Ayssi comensan las paraulas de Albucasim .	Thus begin the words of Al-Bukhary
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	"And he released him according to his desires, and then left him, leaving him like that for some days and ordering that the bandages not be removed. And thus it was until the thighbone and flesh became putrid, resulting in harm."
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	"And I was called to him, and I prepared to remove the bandages, and thus tranquility returned and he recovered from his pain."
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	"But however, corruption had already become established in the member, so that I could not prevent it, and corruption did not cease to wander through the member until the patient died."
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	"And I saw another physician who punctured a cancerous boil, and it became ulcerated some days later, during which time the evil of it increased with the patient."
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	"The reason is that black bile is pure of humor, so it should not be cauterized with fire at all, but rather it should be treated with members which suffer from heat."
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	"And for that reason, my children, it is necessary that the operation be divided into two parts: one is the operation which is associated with health, and one is the work in which there is danger in the greatest dispositions."
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	"And I have already spoken about this in all parts of this book where operation is mentioned which contains error and fear. Therefore, it is necessary for you to observe this and leave that, so that the foolish may not find an opportunity to speak and dishonor you."
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	"And therefore take your weapons with solicitude and protection from God, and your illnesses with patience and firmness."
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	"And use the best way through the grace of God to achieve salvation and blessed success, and leave behind terrible illnesses of difficult healing, and bear your weapons against that which causes you fear, so that you may not waver in your faith and in your name: for more remains to your glory, both here and hereafter, and your sanctity."
Gualia ja diyssec en alcunas sieuas monicios:	"Because it has already been said in some of my books:"
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	"'Do not treat an illness that you do not know, lest you be called a bad physician.'"
E yeu ja he devesit aquest libre segontz tres capitols.	"And I have already divided this book according to three chapters."
Comensa la divisio del libre, e primier de la primieyra partida.	"Begin the division of the book, and first of the first part."
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	"The first chapter deals with the head in its forms of instruments and cautery irons, and what is necessary for the operation."
La divisio de la segonda partida.	"The division of the second part."
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	"The second chapter, on stitching and puncturing, leeching, cupping, extracting arrows and similar things, all organized according to the forms of instruments."
Divisio de la tersa partida.	"Division of the third part."
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	"The third chapter, on reduction and dislocation, and the cure of torsion and similar things; this chapter deals with the head in its weights and forms of instruments."
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	"On cautery by fire and sharp medicine, and a reminder of the operation."
Am aquel comensa le tractat de tot le libre.	"And with that begins the treatise of this entire book."
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	"It is necessary for me to say what are the virtues of that cautery and its harms, and in which complexion cautery is prohibited."
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	"Therefore I say that the discourse on the virtue of cautery and its harm is long and prolix, subtle in science, and secretly hidden; many wise men have already spoken about it, and they disagree among themselves, and it suffices me to mention a little of their discourses for fear of lengthiness."
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	"And therefore I say that cautery confers benefit to all complexions universally, whether they have matter or not, except for two complexions which are without matter."
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	"In the complexion that is cold and dry with matter there will be disagreement; for some say that cautery is beneficial to it, and others say the contrary, that cautery is not suitable for an illness that is caused by quality and dryness, because nature of fire is heat and dryness, and it is not fitting that an illness that is cold and dry with matter should be healed with something hot and dry."
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	"And he who says the contrary of this, that cautery brings benefit to all cold and dry illnesses that occur in men's bodies, for when you compare the body of man and its humidity with the complexion of fire, you find the body of man inferior."
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	"And I say according to what he says, that experience has already proven this to me on several occasions."
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	"But nevertheless it is not necessary to elaborate on this subject that has already been discussed and exercised in the chapter on cautery at length, and after having studied the diversity of complexion in men and the disposition of illnesses in their members, their causes, accidents, and the space of time for each."
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	"But in other complexions there is no cause for fear, especially in hot and humid illnesses, because all physicians agree on these and are not in disagreement about the benefit of cautery in them."
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	"And know, my son, that the secret of curing by fire cautery and its goodness consists in cautery with combustible medicine, because fire is simple and its action only reaches to the member being cauterized, and does not reach another member nearby except with slight harm."
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	"But the action of combustible medicine reaches to that which it touches, and strong heat can bring about an illness in a nearby member that is difficult to heal, and strong heat also exits."
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	"But fire, because of its sublimity and goodness of substance, does not do anything except superfluously. And this is already known to us through experience and long study of the art with regard to the truth of causes; and for this reason I am excused from lengthening the discussion. And if it were not that my book has not yet been read in this place, you would find hidden here a secret about fire and the quality of its operation in bodies and its expulsion by which illnesses are expelled, demonstrated with philosophical speech, which would sharpen your understanding."
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	"And know, my son, that they disagree about the time when it is appropriate to perform cautery and they place the best time in spring."
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	"I say that cautery is convenient at all times, because the harm caused by accidental time is submerged in the judgment of that which is drawn with the cautery, and even more if the cautery is for pains or necessary pains, strong and fixed, which do not tolerate delay because it is feared from those that come malice, which is greater than small entering harm."
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	"And do not count on yourselves, O children, for that is not esteemed by the common people and foolish doctors, since it is believed that any illness that is healed by cautery is a lasting remedy, and they pause at that consequence."
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	"And the cause is not as they believe because cautery is only a substitute for medicine which alters the complexion and dries out the humors, which are the cause of pains."
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	"But however, cautery is superfluous over medicine because of the will of its virtue and operation and the greatness of its Lord."
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	"And it is possible that his illness will return at some time in the future, depending on the complexion of the sick person and the location of their illness, and its virtue and what is prepared in their body from the accumulation of superfluities therein, and what they have acquired through food and similar causes; but if an illness for which cautery has been administered is a subtle one in a member with few superfluities and humors, like cautery of teeth for pain or similar things, it is possible that this pain will not return, but it is done little."
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	"And more commonly it is said that cautery is the last resort of medicine, and this saying is true, for they believe that there is no cure that profits either with medicine or with any other cause besides cautery."
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	"And the reason is contrary to that; and the intention that cautery is the last resort of medicine is only when other remedies have been tried in certain illnesses, and those medicines do not help, and therefore cautery is administered at the end, and it profits for that."
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	"And here it is said that cautery is the last resort of medicine, not according to the intention understood by the common people and many foolish doctors."
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	"And the ancients said that cautery with gold is better than cautery with iron, and they did not say this except for the equality of gold and the sublimity of its substance."
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	"And they said that the place of cautery does not make a scar, which is not absolutely true, for I have seen and proven that this is only so in certain bodies without others, and cautery with gold is good and better than with iron as they said; but nevertheless when you heat cautery with fire with gold it is not declared to you, because it ignites according to the quantity you want due to the roughness of gold, and prepares to receive a burn; and if you adjust the ignition it melts the gold by the fire, and some sheets fall into the fire so that the artist catches them in his occupation."
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	"And for this reason cautery with iron is done more lightly and more gently with regard to the correctness of the operation."
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	"And I have already ordered this chapter on cautery according to chapters, and those of the head within the weights, so that later when asking for something from it you may easily find what you want."
De cauteri de dolor de cap per frigiditat e humiditat.	"On cautery for headache due to coldness and humidity."
Le capitol primier.	The first chapter
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cautery confers upon the skin humidity and coldness; its accidental cause is due to two things: namely, heat and excessive flow of phlegm, called catarrh, which flows from the head down to the eyes and ears, causing excessive sleepiness, toothache and throat pain, and generally speaking, all diseases that arise from coldness, such as paralysis, apoplexy, etc., and similar ones.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	Firstly, you should command the patient to purge with a laxative medicine for three or four nights, depending on what you judge appropriate according to the severity of their illness and their age and constitution.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And then command him to shave his head with a razor, and have him sit on a large bench covered with a sheet, with his face turned upwards.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	Then place the cautery of your palm just above the tip of their nose between their eyebrows.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	But first, when you have arrived at that point with your finger, mark it with a pen and then light the olive-oil cautery which is in this shape:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	Then place it on the marked spot so that it descends gently, pressing down little by little until you feel the heat. Then twist it slowly back and forth.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	Then lift your hand gently and observe the spot; if you see that some of the bone is already exposed, like a grain of barley, then lift your hand. If not, return your hand with the iron, using another one if it has cooled down, until you see what I have told you to look for.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	Then take a little salt and dissolve it on the spot, leaving it there for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	Then place around the edges of the wound and leave it on until the burn scar has healed completely.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	"And then treat the spot with a fourfold remedy so that it may be healed."
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	"And they said that whenever the plague breaks out, it is better to tie one's arms tightly, for it brings greater relief and healing."
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	"And some of them said that the spine should be cauterized within the bone, and that the cautery should be held there until some part of the spinal marrow is adhered."
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	"Then scrape off what has adhered to the bone, and then treat it."
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	"And others said that when the cautery reaches the end, it should press strongly onto the bone until the bone cracks, and this is the form of a small alfecati."
E estiman de aquel loc expiran la vapors del cap.	"And they believe that from that spot the vapors of the head expire."
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	"And let the plague remain untreated for a long time, and then treat it so that it may be consolidated."
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	"But I have not seen these two kinds of cauteries performed entirely, but only in some men due to fear; and that one, it seems to me, is better with health when present, for the head is dilated by solution of continuity from this same cause as we have testified regarding other members, and even more so when the head of the sick person is of a hot nature."
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	"And the first kind of cautery is safer and better, in my opinion; and with that instrument and that procedure one has health."
Capitol segon.	"Chapter Two."
Del cauteri del cap.	"On cauterizing the head."
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	"When there is chronic and long-lasting pain in the whole head and this persists for a prolonged period of illness, and various remedies are used such as bandages, poultices, compresses, plaster casts, ointments, decoctions, poultices made from plants or animal parts, and similar things, especially if it has already been cauterized with a cautery that does not help much due to those causes, then consider whether the head of the sick person is of strong constitution in its nature; and if it is not hotter than usual, then cauterize it with another cautery at another place near that one."
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	"And similarly cauterize it on the horn of his head with a cautery until the bone is broken."
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	"Cut the bone and expose it to the quantity we have mentioned, and cauterize there with a cautery at the last part of the head where it is called 'vagus', which is the place where cupping is performed."
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	"And be gentle in this matter and do not expose the bone, for the illness suffers great pain from this different from the pain of all other cauteries on the head."
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	"And I say this cautery in its place, for it is necessary to cauterize with the cautery that one uses to cauterize the horns of the head and the occiput, which is a more subtle cautery than that used to cauterize the middle part of the head; and this is its form."
Capitol ters.	"Chapter Three."
De cauterisacio de emigranea no-antiqua.	"On cauterizing chronic migraine."
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	"When there is sudden pain in the part of the head or a stabbing pain within it, evacuate with medications that cleanse the head and administer the other treatment which I have mentioned in the remedies for illnesses; and if nothing helps, then cauterize in two ways: either with a caustic medication that burns, or with iron."
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	"The better cautery with burning medication is this: take some aloe and scrape it and cut off both its heads."
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	"And then incise the location of the pain in the temple with a sharp lancet until you reach the bone beneath it."
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	"And then press it with a tight bandage for several hours, and leave it alone for three hours; then remove the bandage and remove the aloe, leaving the wound open for two or three days; then bathe the surrounding area with warm water until the location becomes moist."
E aprop cura aquel am enguent entro que sia sanat.	"And then treat it with ointment until it is healed."
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	"If you wish, do this with some caustic medications which I have written about in the second book of caustic medicines."
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	"The better cautery with iron is done in this way: heat the cautery which has this shape:"
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	"and it is called 'closed nails', for its head is like the shape of a nail with some curvature, and in the middle of it there is a small prominence."
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	"And then place it on the location of the pain, and hold your hand steady so that the heat does not adhere to the cautery which is underneath; and slowly rotate the hot iron with speed."
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	"And if the quantity of it that adheres to the bone is thus much, lift your hand up so that the artery below does not adhere, lest blood flow."
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	"And then immerse the area in salt water and place it there, leaving it alone for three days; then bathe the area with warm water, and treat it with ointment until it is healed."
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	"And if you wish, cauterize with the point of a knife according to cautery, and beware of incising an artery in this chronic migraine properly."
Capitol quart.	"Chapter Four."
De cauterizacio d’emigranea antiqua.	"On cauterizing acute migraine."
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	"When you treat migraine with what we have said about the previous treatment and what we have mentioned in the divisions of illnesses, and if the treatment does not help, and the illness is such that it does not reach what we have said about the first cautery with medication or with fire, then heat the knife cautery until it is red hot, and place your hand on the location of the pain with a line of its length, and press it there until you incise the artery and enter to the bone."
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	"However, it is necessary for you to beware of the continuation of the mandible, which is moved by chewing, and that the muscle is not adhered to and the nerves that move it, and that spasms do not occur."
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	"And if it is about the caution and care of blood flow from the artery that is opened, for there is fear in its opening, especially for him who does not know what he is doing and is not studious and experienced; leave the operation at the beginning."
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	"And I will bring to mind the regimen of accidental bleeding from an artery according to its manner, in its place in this book."
E si veses de aquesta malautia que no abaste aquest cauteri e veses le cors del malaute tollerable, cauteriza aquel en le mieg loc del cap ayssi cum havem recontat, e cura la plagua entro que sia sanada.	"And if you see that this illness does not benefit from this cautery and that the patient can tolerate it, cauterize him in the middle of his head as we have told, and treat the wound until it is healed."
E si voys, aministra le cauteri le qual havem dit en le capitol de streccio de arceria am cauteri havent dos cotels, e es milhor cauterizacio aquesta e mays conferent.	"And if you wish, administer the cautery which we have mentioned in the chapter on tying an artery with cautery having two points, for this is better cautery and more effective."
Capitol .v.	"Chapter Five."
De cauterisacio de las dolors de aurelhas.	"On cauterizing earaches."
