Ayssi comensan las paraulas de Albucasim .	Thus begin the words of Al-Bukharī
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And he set the bone according to his desires, and set it in traction, and left it like that for some days, commanding that they loosen the bandages; but it was done in such a way that the thighbone became inflamed with pus, leading to its ruin.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And I was called to him and prepared to loosen the bandages, but there was no calm or relief from his pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	But the corruption was already established in the member, so that I could not stop it, and the corruption continued to spread throughout the limb until the patient perished.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I saw another doctor who pierced a cancerous abscess, and it became ulcerated within a few days, causing the evil to spread throughout the man's body.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	This is because the cancerous ulcer is full of black bile, so it should not be treated with fire alone, but rather with something that can counterbalance it in the affected member.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And therefore, my children, it is necessary for you that manual operation be divided into two parts: one for operations that are associated with health, and another for those where danger lurks in the most severe dispositions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And I have already mentioned this throughout the entire book wherever an operation involving error and fear is discussed, so that you should guard against it and leave it alone, so that foolish men do not find an opportunity to speak and dishonor you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	Therefore, take up your arms with diligence and protection from God, and treat your illnesses with happiness and firmness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the best way to achieve health and success with the grace of God; leave behind difficult illnesses that are hard to cure; show your arms against what makes you afraid, so that your faith and your name may not waver. For it is more pleasing to remain in glory, and thus it will be later on earth and in heaven for your sanctity.
Gualia ja diyssec en alcunas sieuas monicios:	For as I have said in some of my books:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	“Do not treat serious illnesses unless you are skilled doctors.”
E yeu ja he devesit aquest libre segontz tres capitols.	And I have already divided this book into three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	Here begins the division of the book, and first the first part.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	Chapter One is ordered here concerning the weights of the instruments, their forms and the irons for cauterization, and what is necessary in surgery.
La divisio de la segonda partida.	The division of the second part.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	Chapter Two on dry and wet cupping, perforation, and extraction of arrows and similar instruments, all ordered with their forms.
Divisio de la tersa partida.	Division of the third part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	Chapter Three on reduction and dislocation, and treatment of torticollis and similar conditions; ordered with weights and forms of instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	On cautery with fire and sharp medicine, and a reminder of the operation.
Am aquel comensa le tractat de tot le libre.	With that begins the treatise of the entire book.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	It is necessary that I speak about the qualities of those who perform cautery and its instruments, and in what complexion it is prohibited to perform cautery.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Therefore I say that the discourse on the qualities of the surgeon performing cautery and its instruments is long and complex, subtle by science, and secret. Many wise men have already spoken about it, and they disagree among themselves; but for me, a brief mention will suffice to avoid lengthiness.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And therefore I say that cautery is beneficial for all complexions universally, both with matter and without matter, except for two complexions which are dry without matter.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the dry and hot complexion with matter, opinions are divided. Some say that cautery is beneficial for it, while others say the opposite, that cautery is not suitable for illnesses caused by heat and dryness, since fire has the qualities of heat and dryness, and it would not be appropriate to treat a dry and hot illness with something that is also hot and dry.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	"And he says that which is contrary to that, that by cautery it is done rightly in all dry and hot illnesses that come into the bodies of men, because when you compare the body of man and its humidity to the composition of fire, you find the body of man cold."
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	"And I say according to the speech of that one, that I have experienced this many times in practice."
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	"But it is not necessary that he should come upon this who has already been examined and practiced in the chapter of cautery by recent exercise, and knows the diversity of the composition of men and the condition of illnesses in their members, and their causes, accidents, and duration."
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	"But in other compositions there is less fear of you, and especially in hot and humid illnesses, because all doctors agree on these and are not disagreed about the judgment with cautery in those."
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	"And know, my son, that concerning the secret of curing by cautery with fire and its goodness, it is about cautery in burning medicine, because fire is simple, whose action only reaches the member that is cauterized, and does not harm the other member joined to it except with little damage."
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	"But the action of burning medicine reaches those members which are close to it, and often it brings illness to the member with difficult healing, and often it departs."
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	"But fire, because of its sublimity and goodness of substance, does not do this except to superfluate. And it is already known to us through experience and the length of service in study with the art about the truth of causes; and for that reason I am excused from the length of the sermon. And if it were not that my book is not read by you in this pause, to you would be hidden the secret concerning fire, and the quality of its operation on hearts and its expulsive power through which it expels illnesses, demonstrated with philosophical speech, which would sharpen your wits."
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	"And know, my son, that they disagree about the time in which it is convenient to perform cautery and consider the best time to be in spring."
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	"And I say that cautery is convenient at all times because the harm caused by accidental time is submerged in the benefit of what is attracted by cautery, and especially if the cautery is for pains or necessary remedies for pains, strong and fistulas, which cannot tolerate delay because it is feared that malice may come, which is greater than little harm entering through time."
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	"And also do not keep this in your minds, my son, for that is not esteemed except by the common people and foolish doctors, because it is said that there are illnesses that are cured by cautery at any time, and they pause there."
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	"And the cause is not as they think for this reason, because cautery is only in place of medicine that alters the complexion and dries out the humidity which are the cause of pain."
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	"But nevertheless cautery is superfluous over medicine because of the volatility of its value and virtue of its operation and greatness of its lord."
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	"And it is possible that its illness returns at some hour of time according to the complexion of the sick person and the location of his illness, and the virtue of cautery and what has been prepared in his body from the aggregation of superfluities therein, and what has been brought to him in its acquisition through foods and similar causes; but the illness in which cautery is administered is a subtle illness in members with few superfluities and humidities, thus like cautery for toothache and similar ones it is possible that that pain does not return in him, but this happens rarely."
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	"And moreover common speech says that cautery is the last remedy of medicine, and it is true speech because there is nothing else that they understand in it, because they believe that there is no cure that profits by medicine nor by any other cause before cautery."
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	"And the cause is contrary to this; and the intention that cautery is the last remedy of medicine is only when administering the means of cure in certain illnesses, and those medicines do not confer benefit, and therefore cautery is administered at the end of the disease, and it profits there."
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	"And from here on I say that cautery is the last remedy of medicine, not according to the intention which the vulgar and many foolish doctors understand."
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	"And they said in ancient times that cautery with gold is better than cautery with iron, and they did not say this except for the equality of gold and the sublimity of its substance."
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	"And they said that the place of cautery does not make a scar, as it is not absolutely true, because I have already proved and demonstrated that this is only done in some bodies without the others, and cautery with gold is good and better than with iron as they said; but however when you perform cautery with fire with gold, it is not declared to you, because it becomes ignited according to the quantity that you want due to the heat of the gold, and prepares to receive friction; and if you adjust over it ignition the gold will be melted by the fire, and some thin sheets fall into the fire for the occupation of the artisan."
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	"And therefore cautery with iron should be done more gently and more prudently to the correctness of operation."
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	"And I have already ordered this chapter on cautery according to chapters, and I have ordered those of the head among the feet, so that later when asking for something about it, you can find what you want."
De cauteri de dolor de cap per frigiditat e humiditat.	"On cautery for headache due to coldness and humidity."
Le capitol primier.	Chapter one.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	"This cautery confers benefit to the humidity and coldness on the second accident of which these two causes are the root, such as excess of phlegm and flux calledorrhea from the head to the parts of the eyebrows and ears flowing, and excess of sleep, and toothache and headache, and universally all illnesses that come from coldness, such as paralysis, soddenness, and apoplexy, and similar ones in those illnesses."
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	"The form of this cautery is as follows: first command the patient to be evacuated with laxative medicine purging the head for three or four nights according to what you require based on the virtue of the patient, his age and his habit."
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	"And then command him to shave his head with a razor and then make him sit between your hands on a cushioned bench and have him hold his breath."
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	"And then place the blade of your palm next to the bridge of his nose between his eyebrows."
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	"But however, when your finger has reached the middle place, mark that spot with a point and then heat the olive cautery which is of this form:"
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	"And then place it on the marked spot in such a way that it descends slowly while your hand becomes gradually contracted and you rotate it."
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	"And then raise your hand lightly and look at the spot and if you see that some of the bone is already exposed on the head like the size of a grain of barley, then raise your hand; but if it does not return to its place with that iron, take another one which has cooled down so that what I have said to you can be seen."
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	"And then take some salt and dissolve it on the spot and leave it there for three days."
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	"And then place a piece of cotton dipped in honey around the edge and leave it there until the scar from the fire has healed."
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	"And then treat the spot with fourfold ointment until it is healed."
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	"And it was said that when the wound remains open, it is better to bind the arm, for it is thus better and more healing."
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	"And some of them said that the spine should be cauterized within the bone, and that the cautery should be held until it burns any part of the spinal cord."
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	"Therefore it should be scraped with this bone which is burnt, and therefore it should be treated."
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	"And others said that when the cautery reaches the end of it, it should press firmly onto the bone until the bone cracks, and this is the method of small cauterization."
E estiman de aquel loc expiran la vapors del cap.	"They consider that place where the vapors of the head expire."
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	"And if the wound remains open for a long time, it should be treated until it is consolidated."
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	"More than that, I have not seen these two kinds of cauterization in any person, except in some men according to their fear; and let it be, it seems better with health when they are; for the head is weakened by the solution of continuity from such a wound as we have testified in other members, and more so when the head of the sick man is of weak nature."
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	"And the first kind of cauterization is safer and better in my opinion, and for that reason it is healthier."
Capitol segon.	"Chapter Second."
Del cauteri del cap.	"Of the Cautery of the Head."
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	"When there occurs chronic and long-lasting pain in the entire head, and this is prolonged illness, and remedies are used such as lotions, poultices, compresses, plasters, bandages, cataplasms, and similar things, and especially if it has already been cauterized with a cautery that does not prove beneficial for any of those causes, then consider whether the head of the sick person is of strong constitution in its nature; and if it is not weak but rather robust, then cauterize with another cautery, but not too much."
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	"And properly cauterize there on the horn of his head with a cautery until the bone is broken."
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	"Incise the bone and expose the quantity of bone that we have mentioned, and cauterize there with a cautery at the last part of the head where it is called 'vas', which is the place where cupping glasses are applied."
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	"And ease your hand in this, and do not expose the bone, for by doing so it causes much more pain than all other cauteries of the head."
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	"And I tell you this cautery in its place, for it is necessary to use the cautery with which one cauterizes the horns of the head and the occiput, which is more subtle than that with which one cauterizes the middle part of the head; and this is the form of it."
Capitol ters.	"Chapter Third."
De cauterisacio de emigranea no-antiqua.	"Of Cautery for Non-Classical Migraine."
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	"When there occurs sudden pain in the part of the head or a prolonged pain within the ear, let it be evacuated with medicines that clear the head, and let the other treatment that I have mentioned in the sections on diseases be administered, and if it does not help at all, then cautery is to be performed in two ways: either cautery with an acrid burning medicine or with iron."
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	"But cauterizing with a burning medicine is to take one handful of saltwort, and grind that up finely, and separate the extremities of it on both sides."
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	"And properly incise the location of the pain in the temple with a sharp lancet until it reaches the bone, but so that it remains concealed."
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	"And then strain over it with a tight bandage by means of continuous compression, and leave that for the space of three hours; and properly remove the bandage and squeeze out the saltwort, and let the wound heal for two or three days, and then compress again on the submerged spot until the place becomes hard."
E aprop cura aquel am enguent entro que sia sanat.	"And finally cure it with an ointment until it is healed."
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	"And if you wish, do this with some burning medicines which I have written about in the second book on burning medicines."
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	"But cautery with iron is performed in this way: first, heat a cautery of the following shape:"
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	"And it is called 'clavis clavorum', for the head of it is like the shape of a nail with some curvature, and in the middle part of it there is a small elevation."
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	"And then place it on the location of the pain and hold your hand steady—so that the cautery does not stick to what is left—and turn the hot iron gently with speed."
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	"And if much of it sticks to the bone in this way, then raise your hand for fear that the artery which is left should not stick, lest blood flow."
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	"And then immerse the spot in saltwater and place it there, and leave it for three days; and then compress it with mustard plaster, and finally cure it with an ointment until it is healed."
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	"And if you wish, cauterize with the point of the cutting instrument according to this cautery, and beware of incising an artery in this migraine which is properly non-ancient."
Capitol quart.	"Chapter Fourth."
De cauterizacio d’emigranea antiqua.	"Of Cautery for Ancient Migraine."
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	"But when you are treating migraine with what we have said about the previous treatment and also what we have said in the sections on diseases, but that treatment does not help, and if the disease is such that it does not respond to what has been said about the first cautery with medicine or cautery with fire, then heat the cutting cautery until it becomes red-hot, since you will mark out the location of the pain with a line of its length, or else guess where it is; and then place your hand for a moment and press down hard until you incise the artery and reach the bone."
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	"However, it is necessary for you to guard against damaging the continuation of the mandible, which is moved during mastication, and that the cartilage should not stick and the nerves which move it should not be damaged, and that no spasm occurs."
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	"And if it is about the caution and care regarding the flow of blood from the artery that is opened, since there is fear in its opening, especially for one who does not know what he is doing and is not studious and skilled; and let the operation begin."
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	"And I will bring to mind the regulation of accidental bleeding from an artery according to its manner in its proper place in this book."
