Ayssi comensan las paraulas de Albucasim .	"Thus begins the words of Albohali."
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	"But however it is not necessary to come back onto this which has already been discussed and practiced in the chapter on cauterization through previous exercise, and knowing the diversity of the complexion of men and the disposition of illnesses in their meteyssas (i.e. seats), and their causes, accidents, and the space of time of those."
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	"But in the other complexions, there is no doubt about it, and especially in hot and humid illnesses, for all doctors agree on those, and they are not disagreeing in the use of cauterization in those."
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	"And know, son, that the secret of cure by cauterization with fire and its goodness is much discussed in burning medicine, because fire is simple, whose action does not extend beyond the member being cauterized, nor does it reach the other member joined to it unless with a little harm."
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	"But the action of burning medicine reaches to that which is near it in the members, and strong fire brings illness into the member with difficult healing, and strong fire often goes out."
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	"But fire, because of its sublimity and goodness of substance, does not do anything except superfluously. And it is already known to us by experience and the length of service in studying this art about the truth of causes; and therefore I am excused from the length of the sermon. And if it were not that my book is not read in this place, I would hide from you in this pause a secret with fire, which is the quality of its operation in bodies and its expulsion by which illnesses are expelled, demonstrated with philosophical speech, which would be sharp for your minds."
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	"And know, son, that they disagree about the time when it is convenient to perform cauterization and they place the best time in spring."
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	"And I say that cauterization is convenient at all times, because the harm caused by the accidental time is submerged in the benefit of what is drawn by cauterization, and especially if the cauterization is for pains or necessary pains, strong and fistulous ones which do not tolerate delay because it is feared that they will bring malice, which is greater than little harm entering through time."
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	"And do not put this in your minds, son, for that is only estimated by the common people and foolish doctors, for they think that illness which is healed by cauterization does not have a return at any time, and they place that consequence."
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	"And the cause is not like that which they think for this reason, because cauterization is only in place of medicine which alters the complexion and dries out the humidities which are the cause why pains come."
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	"But however cauterization is superfluous over medicine because of the desire for its power and virtue of its operation and greatness of its lord."
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	"And it is possible that its illness returns at some hour of time, according to the complexion of the sick person and the location of his illness, and the power of cauterization, and what has been prepared in the body for it by the aggregation of superfluities therein, and what has been obtained for it in its acquisition through foods and similar causes; but the illness in which cauterization is administered is subtle in a member with few superfluities and humidities, like cauterization of a tooth for pain and similar ones, it is possible that this pain does not return, but this is done in small things."
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	"And moreover the common saying is that cauterization is the last remedy of medicine, and it is a truer saying than what they understand in it, because they think that there is no cure that profits with medicine nor any other cause that approaches cauterization."
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	"And the cause is contrary to that; and the intention that cauterization is the last remedy of medicine is only when the methods of cure are administered in certain illnesses, and those medicines do not help, and therefore cauterization is administered at the end of the cause, and it profits for that."
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	"And from here on I say that cauterization is the last remedy of medicine, not according to the intention which the common people and many foolish doctors understand."
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	"And they said in ancient times that cauterization with gold is better than cauterization with iron, and they did not say this except for the equality of gold and the sublimity of its substance."
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	"And they said that the place of cauterization does not burn like that which is absolutely true, for I have already proven and verified that this happens only in certain bodies without others, and cauterization with gold is good and better than with iron as they said; but however when you make a cauterization with fire with gold, it is not declared to you, because the ignition is done according to the quantity that you want because of the hardness of the gold, and it prepares to receive friction; and if you place it on the ignition, the gold will melt by the fire, and some plates will fall into the fire so that the artisan catches by the occupation of that."
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	"And therefore cauterization with iron should be done more gently and more carefully in order to achieve the right operation."
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	"And I have already ordered this chapter on cauterization according to chapters, and I have ordered those of the head within the weights, so that later you may ask what you want about it."
De cauteri de dolor de cap per frigiditat e humiditat.	"For headache caused by coldness and dampness."
Le capitol primier.	"The First Chapter."
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	"This cautery eliminates humidity and coldness, the accidental cause of which is the excessive flow of phlegm (called corruption) from the head to the eye sockets and ear canals. It also removes excessive sleeping, toothache, and pain in the throat, generally eliminating all illnesses caused by coldness such as paralysis, pleurisy, apoplexy, and similar illnesses."
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	"The method of this cautery is as follows: first, order the patient to purge their head using laxative medicine for three or four nights, depending on the severity of the illness and the age and constitution of the patient."
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	"Next, command him to shave his head with a razor. Then make him lie down on a heated stone bench, and place his hands on the stone beneath."
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	"Next, place your palm over his forehead, with your fingers spreading out towards his eyebrows, and press gently."
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	"But first, when your middle finger has reached the spot, mark that location with ink. Then heat the olive-oil cautery, which looks like this:"
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	"Then place the cautery on the marked spot, pressing down steadily while twisting it gently to ensure good contact. Keep twisting until you see smoke rising from the skin."
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	"Then lift your hand gently and observe the spot. If you see some bone exposed on the skin, like a grain of barley, then remove your hand immediately. But if not, return your hand with the iron and continue until you see what I have described."
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	"Then take some salt and dissolve it on the spot. Leave it there for three days."
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	"Next, apply a border of wax around the cauterized spot and leave it there until the burn scar has healed completely."
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	"And finally, treat the location with Tetterwax ointment until it is fully healed."
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	"When the wound remains open, it is better to bind the arm, which is more beneficial and helpful."
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	"It was said by some of them that the spine should be cauterized inside the bone, and the cautery should be held until some part of it adheres to the substance of the bone."
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	"And then what sticks to the bone should be scraped off, and then it should be treated."
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	"And others said that when the cautery reaches the end, it should be pressed strongly onto the bone until the bone cracks, and this is the form of the little cautery."
E estiman de aquel loc expiran la vapors del cap.	"And they believe that at that point the vapors of the head expire."
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	"And if the wound remains open for a long time, it should be treated until it is consolidated."
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	"But I do not see these two kinds of cauteries at all, but rather in some men due to fear; and leave that, it seems to me better with health when there is; because the head is opened by solution of continuity from this way just as we have testified in the other members, and even more so when the head of the sick person is of frail nature."
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	"And the first kind of cautery is safer and better in my opinion, and with that I do indeed agree, because with that it is healthier."
Capitol segon.	"Chapter 32." (This means "Chapter According to the Numbering System")
Del cauteri del cap.	Of cauterizing the head.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	"When the head has chronic and long-lasting pain and this is in prolonged illness, and medicines and plasters and cataplasms and poultices and ointments and catarrhs and similar things are used and even if it has already been cauterized with one cautery which does not help for any of those causes, then consider whether the head of the patient is of strong creation in its nature; and if it is not frail but rather somewhat thin-skinned, then that person should be cauterized with another cautery in addition to that one."
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	"And accordingly cauterize him over the horn of his head until the cord is severed."
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	"Cut the cord and uncover the bone as much as we have mentioned and cauterize him with a cautery at the back of the head in the place called 'vass' — that is where the cupping glass is placed."
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	"And do not uncover the bone in this case because the pain caused by it is very different from the pain of all other cauteries on the head."
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	"And I tell you this cautery is placed in its location because the cautery with which the horns of the head and the occupit are cauterized must be more subtle than that with which the middle of the head is cauterized, and this is the form of it."
Capitol ters.	"Chapter 33."
De cauterisacio de emigranea no-antiqua.	Of cauterizing against migraine not accompanied by fever.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	"When sudden pain is felt in the part of the head or a persistent pain in the temple, let it be evacuated with medicines that clarify the head, and let the other treatment which I have mentioned in the sections on illnesses be administered; and if nothing helps, then cauterization should be done in one of two ways: either cauterization with a medicine of burning nature or with iron."
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	"The cautery with a burning medicine is when you take one dram of aloe and scrape it off and cut the ends of it from both heads."
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	"And then incise the place of the pain in the temple with a sharp lancet until it is in the right location near the cord, but hidden."
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	"And then press it with firm pressure for a descending constriction and leave it like that for the space of three hours; and then remove the cloth and take away the aloe and leave the wound open for two or three days, and then cover it with clean bandages until it makes scar tissue."
E aprop cura aquel am enguent entro que sia sanat.	"And then treat it with ointment until it is healed."
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	"And if you wish, do this with some burning medicines which I have written about in the second book of burning medicines."
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	"But cauterization with iron is done in this way: ignite a cautery which has this shape:"
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	"and it is called 'closed nails' because the head of it is like the shape of a nail with some curvature, and in the middle of it there is a small elevation."
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	"And then place it on the place of pain and hold your hand -- so that the cautery is not adhering -- and slowly turn the iron with speed."
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	"And if the quantity of it that adheres to the skin is thus that most of it adheres, then lift your hand up so that the artery which is underneath does not adhere, lest there come a flow of blood."
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	"And then wet the wound with salt water and place it on the location and leave it for three days; and then cover it with clean bandages and treat it with ointment until it is healed."
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	"And if you wish, cauterize with the tip of the scalpel according to cauteries, and beware of incising the artery in this migraine which is properly not accompanied by fever."
Capitol quart.	"Chapter Four."
De cauterizacio d’emigranea antiqua.	Of cauterizing against migraine accompanied by fever.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	"When you treat migraine with what we have said about the previous treatment and what we have said in the sections on illnesses, but the treatment is not effective, then sometimes it happens that the illness does not allow for the first cautery with medicine or fire cautery, therefore you should ignite the scalpel cautery until it is heated, because you place your hand on the location of the pain with a line of length which has most of its part, or if you wish, incise the artery so that it enters into the bone."
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	"But it is necessary for you to guard against the continuity of the jawbone, which is moved during mastication, and that the lacertum does not adhere and the nerves which move it do not suffer spasm."
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	"And if it is about the guarding and caution of the flow of blood from the artery that is incised because there is fear in its incision, especially for him who does not know what he does and is not studious and experienced; let the operation be done at the beginning."
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	"And I bring to mind here in this place of this book the regulation of the flow of blood accidentally from the artery according to its manner."
