Ayssi comensan las paraulas de Albucasim .	The words of Albuquisim begin here.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And then he bound it according to his desires, and then he re-laced it, and then he let it stay for some days and commanded that we loosen the bandage; and it became such that the thigh and leg were gangrened, and it led to destruction.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And you were called to him, and we loosened the bandage, and subsequently he experienced calmness and alleviation from his pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	But meanwhile corruption was already confirmed in the member, so that it could not be restrained, and did not cease to spread corruption in the member until the patient peril.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I saw another doctor who opened up a cancerous abscess and had it ulcerated about four days later, until the great evil of his patient's lordship was revealed.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	Which is because the cancerous abscess is pure of melancholic humor, so that it does not need to come to him with force from all sides, but rather be in a member which suffered as if it was being hosted.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And therefore, sons, it is necessary for you that my operation be divided into two parts: one being the operation associated with health, and another being the work in which there is danger in the greater dispositions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And you have already existed in every place of this book where the operation is in which there is error and fear; therefore it is necessary for you to guard this and leave that aside, so that foolish people do not find a way to speak and to deceive you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And therefore take up your arms with solicitude and protection of God, and your patients with felicity and firmness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the best way with the grace of God and persevere in losing one's life and gaining a glorious succession, and leave behind terrible diseases that are difficult to heal, and keep your arms from this which makes you fear, so that your station remains in your faith and in your name, lest it escapes: for it is more remaining at your glory, and more so in the world and in the end to your sanctity.
Gualia ja diyssec en alcunas sieuas monicios:	Galen has said in some of his own writings:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	"Do not medicate bad diseases, lest bad doctors be unnamed".
E yeu ja he devesit aquest libre segontz tres capitols.	And you have already divided this book into three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	Here begins the division of the book, and first of the first part.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter arranged from head to foot, in the forms of instruments and in the ironworks of cauterizers, and from what is necessary in the operation.
La divisio de la segonda partida.	The division of the second part.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, on cicatrization and perforation, and on cupping, and on wounds, and on the extraction of splinters and similar things to those, all chaptered and ordered in the forms of instruments.
Divisio de la tersa partida.	Division of the third part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter, on restoration and relocation, and on the cure of torticollis and similar things to those; chapter ordered from head to foot, and in the forms of instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	Of cauterizers with fire and acute medicine, and remembrance of the operation.
Am aquel comensa le tractat de tot le libre.	With that begins the treatise of this entire book.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	You should know what kind of joints that cauterizer is suited for and which ones it is not suitable for, and in what condition it should be prohibited to use.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	So I say that the sermon on the quality of the joint of cauterizer and its necessity is a long and prolix one, subtle by science, and secret hidden; and already many wise men have spoken about it, and they have disagreed among themselves, and to me it suffices to share a small part of their sermons, fearing prolivity.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And so I say that cauterizer is suitable for every universal condition that is in material or its matter, except for two conditions, which are conditions where the material is lacking.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the dry and parched condition with material that dries out; for some will say that cauterizer is helpful in this case, while others will say the opposite of this, that cauterizer is not suitable for a disease that is due to quality and dryness, because the nature of fire is quality and dryness, and it would be inconvenient to apply heat and dryness to a dry and parched condition.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And those who say the opposite of this will say that by cauterizer it is made to join together in all dry and parched diseases that are found in the bodies of men, for when you compare the body of man and its moistures to the condition of fire, you find the body of man cold.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I say by this sermon that I have experimented with it many times to discover.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	But I do not think it necessary to repeat what has already been explored and exercised in the chapter on cauterizing by last exercise, and to be familiar with the diversity of human conditions and the disposition of diseases in their respective cases, and the causes of those, and the accidents that occur in them, and the space of time that those take.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	But in other conditions, there is no fear for you, and especially in cold and humid diseases, since all doctors have agreed on those, and are not discordant in the joining of cauterizing in those.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And know, sons, that from the secret of cure by cauterizing with fire and its goodness, so much is said about cauterizing with medicine, it is because fire is simple, whose action only reaches the member being cauterized and does not harm another member adjusted to it except for a small disturbance.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	But the action of medicine combined reaches that member which is distant from it, and very easily brings illness to the affected member with difficult healing and often stays.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	But the fire, by its subtlety and good substance, does nothing more than to superfluously add. Already we have known through experiment and long service of study in the art over the truth of causes; and therefore I am excused from the length of this sermon. And if it were not that the secret hidden with the fire is not read well in this pause to you, and the quality of the operation of it in the bodies and its expulsion by which it expels diseases, with a philosophical demonstration sermon, which would be sharp in your breasts.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And know, sons, that they disagree on the time when it is suitable to perform cauterizing and pause the best time of spring.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	And I say that cauterizing is suitable at any time, because the harm caused by the timing of an accident is submerged in the joining of what attracts to cauterizing, and most especially if the cauterizing is for pains or necessary pains, strong and fierce, which do not suffer delay for fear of those that would bring malice, which is greater than a small harm entering through time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And thus it does not occur in your minds, or sons, that this is not esteemed except by the common folk and foolish doctors, so that for that disease which is cured by cauterizing, there is no reduction of time, and pause that consequence.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the cause is not thus as they say for that reason, because cauterizing is only a place of medicine which alters the condition and dries out the humors which are the cause why pains come.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	But in any case, cauterizing is superfluous over medicine due to the desire for its value and virtue of its operation and greatness of its lord.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	And it is possible that its disease may return at some hour of time, according to the condition of the patient and the location of his disease, and the virtue of it, and what is prepared in his body from the aggregation of superfluous things, and what is arrived at him in his acquisition through foods and similar causes; unless the disease for which cauterizing is administered is a subtle disease in a member with few superfluous things and humors, such as a tooth cauterization for pain and similar cases, it is possible that it will not return to him, but rather it will be reduced to smallness.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	And it is also said that cauterizing is the last resort of medicine, and it is a sermon of desperation, not because I understand what they mean in that, for I believe that there is no cure that profits through medicine or any other cause approaching cauterizing.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	And the cause is contrary to that; and I understand that cauterizing is the last resort of medicine not just when we administer the methods of cure in some diseases, and those medicines do not concur, and it approaches the end of the cause, then one administers cauterizing, and profits from it.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And hours ago, I said that cauterizing is the last resort of medicine, not according to my understanding which I understand from the common people and the foolish doctors.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	And the ancients said that cauterizing with gold is better than cauterizing with iron, and they did not say this except for the equality of gold and its subtlety.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And they said that the place of cauterizing does not take away from it, as this is not absolutely true, for I have already experienced and discovered that it does not do so except in certain bodies where others are not, and cauterizing with gold is good and better than with iron as they say; but when you do cauterizing with fire using gold, it is not declared to you, because it is hidden according to the quantity that you want by the roughness of the gold, and prepares to receive heat; and if you place upon it ignition so that the gold melts by the fire, and case in the fire some plates so that the craftsman can see through the occupation of that.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And therefore it is made to cauterize with iron, that we may proceed more lightly and more promptly to the rectitude of operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And I have already arranged this chapter on cauterizing according to chapters, and arranged those from head to foot, in order that the one demanding this may easily find what they want.
De cauteri de dolor de cap per frigiditat e humiditat.	On Cauterizing of Headache due to Frigidity and Humidity.
Le capitol primier.	The First Chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cauterizing refers to the humidity and frigidity on the serving of the accident which is caused by two causes, one being the cause of soda and the other being the multitude of raumatic fluxes, called corissa, from the head to the parties of the eyes and ears flowing, and the multitude of sleepiness, and pain in the teeth and the throat, and universally all disease that comes through frigidity, such as paralysis, apoplexy, and similar ones in those diseases.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this cauterizing is this: first, I command the patient to be purged with medicine lactative in the head, for three or four nights, according to what is required by the virtue of the patient and their age and habit.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And then I command him to shave his head with a razor, and have him sit between two mats on a well-cushioned bench, and let his mats rest on his own feet.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And then pause the razor's edge on your palm near the nose between their eyebrows.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	But since the time has come as you said, mark that place with a tent, and then light the cauterizing oil of which this is the form:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And then place it on that marked spot with the tent, in a way that descends, so that your hand is gradually constrained little by little, and you revolve it.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	And then lift your hand lightly and gaze at the spot, and if you see that some quantity of bone has been revealed, like the amount of grain of errors, hours elevate your hand, and if it does not return to its original position with that iron, but rather becomes frigidated, until what I have told you is visible to the bone.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And then take a small amount of salt and dissolve it on the spot, and let it stay for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And then place it on the wound that is covered with border and let it stay on it until the scar of the fire is destroyed.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	And then cure the spot with four-herb ointment until it is healed.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And they said that as long as the wound remains open, so much the better it gets, for it is better and more healing.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	And some of them said that the cauterized part should be cauterized to the bone, and held in place until some part of the specificity of the bone is absorbed.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And then it should be razed what has been adjusted to the bone, and then it should be cured.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	And others said that with the cauterizing it should come to an end, and then it should press strongly into the bone until the bone cracks, and this is the form of little alphecati.
E estiman de aquel loc expiran la vapors del cap.	And they believe that from that spot the vapors of the head will evaporate.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And the open wound should be kept for a long time, and then it should be cured until it is consolidated.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	But to me, it is not visible in these two species of cauterizing at all, except in some men according to the way of fear; and I leave that, you should know, better for health when it is so; because the head has been developed by the solution of continuity there, just as we have testified in other members, and especially when the patient's head is of a frigid nature.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	And the first species of cauterizing is more saved and better, according to my judgment; and from that house and with that work, there is health.
Capitol segon.	Second Chapter.
Del cauteri del cap.	On Cauterizing of the Head.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When chronic and long-lasting pain occurs throughout the head in a patient who is prolonged, and uses various remedies such as plasters, poultices, ointments, powders, and balms, and especially if it has already been cauterized with one cauterizing which does not benefit him at all, then consider whether the patient's head is of strong creation in its nature; and since it is not frigid and finds no great relief, then cauterize another cauterizing over that little bit.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And then cauterize it on the horn of his head with a cauterizing until the bone is split apart.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Cut the bone and uncover the quantity of bone that we have described, and then cauterize it with a cauterizing in the rear part of the head at the location called "vas", which is the place where the wind blows.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And raise your hand in this way, and do not uncover the bone, for the patient by doing so will experience a great deal of pain different from the pain of all other cauterizations on the head.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	And you should say this cauterizing in its place, for it is necessary that the cauterizing which cauterizes the horns of the head and the occiput is more subtle than that with which the middle part of the head is cauterized; and this is its form.
Capitol ters.	Fourth Chapter.
De cauterisacio de emigranea no-antiqua.	On Cauterizing of Old Hiccups.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When there is dull pain in the head or it spreads to the eye, and medicine lactative has been purged, and another cure has been administered, which I have described in the divisions of diseases; and all does not benefit, then cauterizing in two ways: either with medicinal acuteness combined, or with iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	But cauterizing with medicinal acuteness is when you take a piece of aloes, scrape it and cut off the extremities from both ends.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	And then make an incision in the place of pain on the temple with a well-sharpened lancet until it makes a spot below the bone, so that it is hidden.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	And then press strongly on it with a stopper to prevent further constriction, and leave it for the space of three hours; and then remove the aloes, treat the wound, and let it stay for two or three days, and then place on it a poultice submerged in border until the spot becomes healed.
E aprop cura aquel am enguent entro que sia sanat.	And then cure that with ointment until it is healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you wish, do the same with some medicinal combinations which I have written in the two treatises on medicinal combinations.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	But the cauterizing with iron according to this manner: ignite by fire of which this is the form:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	and it is called "claus clavilhs", because the head of it is like a shape of a clove in which there is some curvature, and in the middle part of it is a small prominence.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	And then place it on the spot of pain, and hold your hand steady - so that the arrowhead is not absorbed by the surrounding tissue - and rotate the iron slowly little by little with speed.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the quantity of blood that is absorbed by the specificity of the bone is as much as the majority of it, and lift your hand for fear that the artery which is left behind will not be absorbed, so that no flow of blood comes forth.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	And then soak the cloth in saltwater and place it on the spot, and leave it for three days; and then change the cloth with border, and then cure with ointment until it is healed.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And if you wish, cauterize with the edge of the cutlery according to the cauterizing, and beware of cutting into the artery in this old hiccup properly.
Capitol quart.	Fourth Chapter.
De cauterizacio d’emigranea antiqua.	On Cauterizing of Old Hiccups Properly.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you cure emigranea with what we have said about the previous cure and what we have described in the divisions of diseases, and if the cure does not benefit and sometimes the disease is so severe that it does not respond to what we have said about the first cauterizing with medicine or with fire, then you must ignite the cutlery cauterization until it is whitened, because it means on the spot of pain with a line of length which is most of the digit, or whatever; and hold your hand steady for one moment and press strongly there until the artery is incised and reaches the bone.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	However, it is necessary for you to be mindful of the continuation of the jawbone, which is damaged by mastication, and that the ligament not be absorbed and the nerves which are affected by this, and that there be no spasms.
