Ayssi comensan las paraulas de Albucasim .	The words of Albucaisem begin thus.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And I was called to him, and I prepared to remove the bandage, and achieving calmness and easing his pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	But meanwhile corruption was confirmed in the member, so that I could not restrain it, and it did not cease to corrupt the member until the patient perished.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I saw another doctor who pierced a cancerous abscess, and made it ulcerate after some days, until the pus magnified the evil of it with its lord.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	Which cause is that the cancerous part is pure of melancholic humor, whereas it does not need to be brought to him with all force, but rather should be left as a member which suffers and is completely hostile.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And therefore, children, it is necessary for you that the surgery with me be divided into two divisions: one is in operation which is associated with health, and the other is in work where danger is involved in the greatest circumstances.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And I have already existed here in every place of this book where operation is in the wrong and fear; therefore it is necessary for you to keep this and set aside that, so that foolish ones do not find a way to speak and to deceive you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And therefore take up your own arms with solicitude and protection of God, and your own patients with felicity and firmness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the best method by the grace of God to achieve health and praiseworthy success, and put aside terrible diseases that are difficult to heal, and keep your own arms away from this which makes you fear, so that you may situate yourself in your faith and in your own name, not being deceived: for it remains to your glory, and even more so in the world and finally to your sanctity.
Gualia ja diyssec en alcunas sieuas monicios:	Galen already said in some of his own writings:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	"Do not heal bad diseases, lest you be called a bad doctor."
E yeu ja he devesit aquest libre segontz tres capitols.	And I have divided this book into three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	The division of the book begins, and the first part of the first chapter.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter, ordered by the head to the feet, in the forms of instruments and in the furnishings of cauterization, and from which it is necessary for the operation.
La divisio de la segonda partida.	The division of the second part.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, on dryness and puncturing, and on sponges, and wounds, and extraction of splinters and similar things, all chaptered and ordered according to the forms of instruments.
Divisio de la tersa partida.	Division of the third part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter, on restoration and dislocation, and on curing of fractures and similar things; chapter ordered from head to feet, and according to the forms of instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	On cauterization with fire and sharp medicine, and on remembering the operation.
Am aquel comensa le tractat de tot le libre.	In that begins the treatise of this entire book.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	I should say what quality the joints have of that cauterization and what injuries it inflicts on them, and in what condition cauterization is prohibited.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	So I say that the discourse on the quality of the joints in cauterization and its injuries is a long and prolix sermon, subtle by science, and secret and hidden; and already many wise men have spoken about it, and some have disagreed with each other, and for my part, I will only briefly touch on some of their sermons, fearing prolongation.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And so I say that cauterization is suitable for all complete configurations universally, which are in material or its materials, except for two configurations, which are configurations of dry matter.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the dry and withered configuration of material, it will desiccate; for some would say that cauterization is beneficial to it, while others would say the opposite of it, that cauterization is not suitable in a disease which is caused by quality and dryness, for nature of fire is quality and dryness, and it is inconvenient that a dry and withered configuration with water that is hot and dry should be healed.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And say that the one who says the opposite of it is wrong, that by cauterization it is made healthy in all dry and withered diseases that are found in the bodies of men, for when you compare the human body and its humidity to the configuration of fire, you find the human body cold.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I say by this sermon that this experiment is already known to me on several occasions to uncover.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	But meanwhile it is not necessary that this come to be written again in detail, since it has already been exposed and exercised in the chapter on cauterization for the last exercise, and understood the diversity of human configurations and the disposition of diseases in their own bodies, and the causes of these, and their accidents, and the space of time for these.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	But in other configurations, there is no fear on your part, and especially in cold and humid diseases, for all doctors have already agreed on these, and are not in discord about the joint treatment with cauterization in those.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And know, children, that the secret of healing through cauterization with fire and its goodness is that on top of cauterization with medicine, it is combined because fire is simple, the action of which only reaches the member that is being cauterized and does not harm another member that is adjusted to it except for a little damage.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	But the action of medicine combined reaches that member which is distant from it, and very quickly brings disease of difficult healing to the sick member, and very quickly increases suffering.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	But the fire, by its sublimity and goodness of substance, does not do this except to superfluously. And it is already known to us through experience and the length of service in studying the art about the truth of causes; and therefore I am excused from the length of this sermon. But if it were not for the fact that it is not read well in this pause, I would reveal to you a secret hidden in the fire, and the quality of its operation in the body, and its expulsion by which it expels diseases, with a philosophical demonstrative sermon, which would be sharp in your minds.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And know, children, that they disagree on the time when it is suitable to perform cauterization and pause at the best time of spring.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	And I say that cauterization is suitable at any time, because the harm caused by the accident of time is submerged in the joint of what is attracted to cauterization, and even more so if the cauterization is for necessary pains or necessary torments, which do not suffer delay because they are feared of those who come with evil, which is greater than small damage entering through time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And thus it does not sit in your minds, or, children, this is not esteemed except by the common people and foolish doctors, so that to that disease which is cured by cauterization there is no reduction of time, and pause is taken for the consequence.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the cause is not thus, as they think by this, because cauterization is only in a place of medicine that alters the configuration and dries out the humors which are the cause why pains come.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	But meanwhile, cauterization is excessive above medicine by virtue of its validity and virtue of its operation and greatness of its lord.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	And it is possible that his disease may return at some hour of time, according to the configuration of the patient and the location of his disease, and the virtue of him, and what is prepared in his body through the accumulation of superfluidities there, and what is brought to him through acquisition of victuals and similar things to those causes; but if the disease that is administered cauterization is a subtle disease in a member with few superfluidities and humors, just as cauterization of teeth for pain and similar things, it is possible that in him that pain may not return, but rather it will be reduced.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	And besides, it is common speech that cauterization is the last resort of medicine, and it is a dubious saying, not in what I understand there, because I believe that there is no cure that profits by medicine or any other cause approaching cauterization.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	And the cause is contrary to that; and my understanding is that cauterization is the last resort of medicine only when one administers the methods of cure in some diseases, and those medicines do not concur, and just at the end of the cause one minimizes cauterization, and it profits thereby.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And I see now that cauterization is the last resort of medicine, not according to my understanding which understands the common people and many foolish doctors.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	And the ancients said that cauterization with gold is better than cauterization with iron, and they did not say this except for the equality of gold and the sublimity of its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And they said that the place of cauterization does not make a difference, as long as it is absolutely true, because I have already shown and proved that it does not do this except in certain bodies, and cauterization with gold is good and better than with iron, just as they say; but meanwhile, when you perform cauterization with fire on aurum, it is not to be declared, because it is unknown according to the quantity you wish for the roughness of the aurum, and since it prepares to receive heat; and if you adjust over it ignition so that the aurum melts by the fire, and a case occurs in the fire where some plates are formed so that the artisan can see through the occupation of that.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And therefore, it is made to perform cauterization with iron in a way that we must be more lightly and more promptly guided towards the correctness of operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And I have already organized this chapter on cauterization according to chapters, and I have organized those from head to feet, so that it may be easier for the one asking about it.
De cauteri de dolor de cap per frigiditat e humiditat.	On Cauterizing Headaches Caused by Coldness and Humidity.
Le capitol primier.	The First Chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cauterization refers to the humidity and coldness that occurs on the surface of the accident, which has two causes: one is caused by soda and the other is caused by a torrential flow of rheumatic fluid, called corissa, from the head to the parts of the eyes and ears, and also due to excessive sleep, toothache, and yawning, and universally all diseases that come through coldness, such as paralysis, sogginess, apoplexy, and similar things in those diseases.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this cauterization is as follows: first, I command the patient to be evacuated with laxative medicine in the morning, for three or four nights, according to what the virtue of the patient and their age and habit demands.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And then I command him to shave his head with a razor, and afterwards make it smooth between the hairs on top of a well-crafted bench, and have him rest his head on the stone floor.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And then pause the razor's edge on your palm above the nose between your eyebrows.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	But meanwhile, when your mouth says the middle part is reached, mark that place with a tent, and then ignite the olive cauterization of which this is the form:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And then pause that on the marked place with a tent, in a way that it descends, by which your thumb is gradually constricted little by little, and you revolve it.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	And then lift your hand lightly and look at the place, and if you see that some quantity of bone has been uncovered on the skull, just as the amount of grain of errors, then raise your hand, and if it does not return to its original position with that iron, but is cooled down, until what I have said to you becomes visible.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And then take a small amount of salt and dissolve it over the place, and let it sit for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And then pause on that spot surrounded by borders and let it stay there until the scar of fire is destroyed.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	And then cure the place with four-leaf gentian medicine until it is healed.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And they said that the more the wound remains open, the better it gets, so that it is more helpful and beneficial.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	And they said that some of theirs should be cauterized with a red-hot iron into the bone, and hold the cauterization until some part of the specificity of the bone is tempered.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And then remove that which has been tempered with the bone, and then cure it.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	And others said that with the cauterization, it reaches the end, and then presses on the bone with great force until the bone cracks, and this is the form of little alphetiation.
E estiman de aquel loc expiran la vapors del cap.	And they think that from that place, the vapors of the head are released.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And the wound is kept open for a long time, and then it is cured until it is consolidated.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	But to me it seems that these two species of cauterization are not visible from head to toe, but only in some men according to the way of fear; and leave it alone, I think, better is for health when it is so, because the head is revealed by solution of continuity like we have testified in other members, and even more so when the patient's head is of a fearful nature.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	And the first species of cauterization is more saved and better, according to my opinion; and from that house and with that work there is health.
Capitol segon.	Second Chapter.
Del cauteri del cap.	On Cauterizing the Head.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When chronic and long-lasting pain occurs throughout the head in a patient, and they are prolonged in their condition, and use ointments, poultices, capes, emplasters, poultices, and similar things, and especially if it has already been cauterized with one cauterization which does not benefit or relieve the patient, then consider whether the head of the patient is prone to strong creation in its nature; and if not fearful and finds a great chill, then that cauterizes another cauterization, leaving a little bit.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And then cauterize it on the crown of the patient's head with a cauterizing iron until the skull is divided.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Cut the skull and expose the quantity of bone which we have counted, and then cauterize it with a cauterizing iron in the rear part of the head, in the place called "vas", where the wind pipe is located.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And then lift your hand away from there, and do not expose the bone, for the patient will experience a great deal of pain that is different from all the other head cauterizations.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	And you will say that this cauterization is in its place, for it is necessary to cauterize the crown of the head and the occiput with a more subtle cauterization than that which is used for the middle part of the head; and this is the form of it.
Capitol ters.	Third Chapter.
De cauterisacio de emigranea no-antiqua.	On Cauterizing Headaches Not Caused by Ancient Causes.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When headache pain is felt in the crown of the head or spreads to the eye, and evacuation with laxative medicines does not help, then another cure should be administered, which I have mentioned in the divisions of diseases; and if it does not benefit, there are two ways to cauterize: either by using acute medicine combined with a cauterization, or by using iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	But cauterization with combined medicine is when you take a piece of aloes, scrape it off, and cut off the extremities at both ends.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	And then make an incision in the spot of the pain on the temple with a well-sharpened lancet until it is made into a small hole, so that it may be hidden.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	And then strengthen it with a stopper made of descending constriction, and leave it for the space of three hours; and then remove the plaster and treat the aloes, and let the wound be open for two or three days, and then pause on that spot surrounded by borders until the place becomes firm.
E aprop cura aquel am enguent entro que sia sanat.	And then cure it with gentian medicine until it is healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you wish, do this with some combined medicines which I have written about in the two treatises on combined medicines.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	But the iron cauterization according to this manner: ignite by cauterization of which this is the form:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	and is called "claus clavilhs", because the head of it is shaped like a clove in which there is some curvature, and in the middle part of it is a small elevation.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	And then pause on the spot of pain, and hold your hand steady - so that the iron is not scorched where it is left - and slowly revolve the small iron with speed.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the quantity of blood that is scorched by the specificity of the bone is like the majority of it, and lift your hand for this reason - so that the artery which is left is not scorched, lest a flow of blood comes.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	And then immerse the cloth in saltwater and pause it on the spot, and leave it for three days; and then pause another cloth wrapped around the border, and cure with gentian medicine until it is healed.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And if you wish, cauterize at the extremity of the scalpel according to the method, and be careful not to cut into an artery in this proper non-ancient headache.
Capitol quart.	Fourth Chapter.
De cauterizacio d’emigranea antiqua.	On Cauterizing Ancient Headaches.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you cure a headache with what we have said about the previous treatment and what we have said in the divisions of diseases, and if the treatment does not benefit and the disease is such that it does not reach the point where we have said about the first cauterization with medicine or with fire, then you must ignite the cutler's cauterization until it becomes white, because you signify on the spot of pain with a line of length equal to the majority of the same thing, or whatever; and pause your hand for one moment and strengthen that until you incise the artery and reach into the bone.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	However, it is necessary for you to beware of the continuity of the jawbone, which is damaged by mastication, and that the ligament not be scorched and the nerve which is affected by that, and that there be no spasmodic contraction.
