Ayssi comensan las paraulas de Albucasim .	Thus we begin the treatment of the disease of Albucasim.
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	There is no bad doctor who does not know the name of a bad disease.
E yeu ja he devesit aquest libre segontz tres capitols.	And I have divided this book into three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	Here begins the division of the book, and first of the first part.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter deals with the head and feet, in the forms of instruments and in the furnishings of cauteries, and of what is necessary for the operation.
La divisio de la segonda partida.	The division of the second part.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, on suction and perforation, and of cupping glasses, and of plasters, and of extraction of arrows and of similar things, all chaptered and ordered according to the forms of instruments.
Divisio de la tersa partida.	Division of the third part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter, on restoration and dislocation, and of curvature of twisted limbs and of similar things; a chapter ordered from head to feet, and according to the forms of instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	About cautery, I will speak and provide acute medicine and remember the operation.
Am aquel comensa le tractat de tot le libre.	Here begins the treatise on the whole book.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	I will discuss the quality of the juices of that cautery and of its instruments, and in which complexity it is prohibited to use cauteries.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Therefore I say that the sermon on the quality of the juice of cautery and of its instrument is long and prolix, subtle for science, and secretly hidden; and already many wise men have spoken about it, and they are discordant among themselves, and to me it seems sufficient to take a small part of their sermons, fearing prolixity.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And therefore I say that cauteries universally correspond to all complexity in matter or matters, except for two complexities, which are cold complexities without matter.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In cold and dry complexity with matter they disagree; for some said that cauteries are helpful for that, and others said the contrary of that, that cauteries are not convenient in illnesses which are due to quality and dryness, because the nature of fire is quality and dryness, and it is inconvenient that cold and dry illnesses are healed by hot and dry cauteries.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And I say to him who says the contrary of that, that by cauteries it is made helpful in all cold and dry illnesses that occur in men's bodies, because when you compare men's bodies with the humidity of them to the complexity of fire, you find men's bodies are fragile.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I say through the sermon of that, that I have experimented and already discovered many times in my life.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	Moreover, I do not think that it is necessary to speak about that which has already been experimented and exercised in the chapter on cauteries by previous exercise, and to know the diversity of complexity of men's bodies and the disposition of illnesses in their members, and the causes of those, and the accidents of those, and the space of time of those.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	Moreover, in the other complexities, it is not about your fear, and mainly in fragile and humid illnesses, because already all doctors have agreed on those, and do not disagree on the help of cauteries in those.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And you know, sons, that the secret of cure by cauteries is fire and its goodness, so concerning cauteries I am combining medicine, because fire is simple, the action of which does not pass except to the member that is cauterized and does not harm another member unless it is a small nuisance.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	Moreover, the action of combining medicine passes to that in the members where it is united, and strengthens their coming into the ill member with difficult healing and strengthens their assistance.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	Moreover, fire, through its sublime quality and good substance, does not do anything but overflow; and it is already known to us through experiment and the length of service in studying the art about the truth of causes; and for that I am excused from the length of this sermon. And if it were not that it is not read in my book on this subject, you would have a secret hidden fire, and the quality of its operation in bodies and of its expulsion through which it expels illnesses, a philosophical sermon demonstrated, which would be acutely seen in your pious steps.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And you know, sons, that they disagree on the time in which it is convenient to use cauteries and pause at the best time of spring.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	And I say that cauteries are convenient at all times, because the nuisance from the accidental time is submerged in the help of that which I have said about cauteries, and mainly if the cauteries are for pains or necessary pains, strong and steadfast, which do not suffer tardiness because they fear those that come with evil, which is greater than small nuisance entering through time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And thus it is not hidden in your steps, or, sons, that which is not esteemed except by the common people and foolish doctors, so it is that for that illness which is healed by cauteries it is not returned at all times, and pauses that consequence.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the cause is not seen thus by those who do not understand it, because cauteries are not but in place of medicine which alters the complexity and dries the humidity which are the causes why pains come.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	More masters should excel in superficial medicine to validate its value and virtue of their operation and greatness of their lord's sense.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	It is possible that the disease returns at some hour of time, according to the complexity of the patient and the location of their disease, and its virtue, and what has been prepared in the body by the aggregation of superfluous fluids, and what has been received by it in its acquisition of vices and semblances of those causes; unless the disease in which a cautery is administered is a subtle disease in a member with few superfluous fluids and humidity, thus as a cautery on the teeth for pain and semblance to that, it is possible that in it no return of that pain occurs, but rather it happens in a small way.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	And the common speech is that cautery is the last resort of medicine, and it is a desperate remedy, not because they understand it, since they believe that it is not a cure that profits from medicine nor another cause that profits from cautery.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	And the cause is contrary to that; and the intention that cautery is the last resort of medicine is not but when we administer many ways of cure in certain diseases, and those medicines do not confer, and at the end of the cause we administer thus cautery, and it profits from that.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And therefore it is clear that cautery is not the last resort of medicine, but according to the intention which is understood by the common people and foolish doctors.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	And they said that ancient people believed that cautery with gold is better than cautery with iron, and they did not say this except for the equality of gold and the subtlety of its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And they said that the place of cautery does not make a breach, as it is not absolutely virtuous, because you already have it probed and experimented that it does not do this except in certain bodies, and cautery with gold is good and better than with iron, thus as they said; but more masterfully when you make cautery with a focus of gold, it is not declared to you, because it is ignited according to the quantity that you want for the rigor of the gold, and then prepares to receive heat; and if you adjust it above the ignition, the gold melts per focus, and also in the focus certain laminas are made so that the artisan can occupy himself with that.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And for this reason, it is done to make cautery with iron, we cannot push lightly and more profoundly into the rectitude of operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And now I have ordered this chapter on cautery according to chapters, and I have ordered those of the head within the feet, so that one can easily find what one wants from it.
De cauteri de dolor de cap per frigiditat e humiditat.	On cautery for pain in the head due to coldness and humidity.
Le capitol primier.	The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cautery confers on the humidity and coldness above the accidental service of which there are two causes, so it is a cause of swelling and multitude of rheumatic flux, called corrosion, from the head to the parts of the shoulders and ears flowing, and multitude of drowsiness, and of toothache and gout, and universally of all disease that comes from coldness, thus as paralytically, swelling and apoplexy, and similarly in those diseases.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this cautery is this, that primarily it commands the patient to be evacuated from medicine lacative mind, for three or four nights, according to the virtue of the patient and their age and custom.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And then it commands them to shave their head with a razor, and then make a seat between the thighs above a heated bench and place their hands on their chest.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And then place the razor of your palm then put the fingers on the razor between the nostrils of your nose.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	More masterfully, as the finger said of my own place is received, it signs that place with tension, and then ignites the cautery olive wood of which this is the form.
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And then place that on the place marked with tension, in a way that descends, as which the finger of mine is constricted little by little, and you revolve that.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	And then lift your hand lightly and regard the place, and if you see already of the bone being discovered some quantity of the head, thus as the quantity of grains of errors, then lift your hand, and if it does not turn to your hand in that iron, another of that, if it is frozen, until it is seen by the bone what I have told you.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And then take a small amount of salt and dissolve it over the place and let it sit for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And then place it on the covered cloth in a bundle and let it sit until the crust of the focus is destroyed.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	And then heal the place with angelic tetrafarmacon until it is healthy.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And they said that when the Roman plague was uplifted, so many wounds got healed, because it is better and more youthful.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	And they said that some of them who had been cautery-ized on the back bone until to the bone, and held the cautery until it was adhered to some part of the specific bone.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And then you should rasp that which is adhered to the bone, and then you should cure it.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	They say that others who apply the cautery to the back, so that it penetrates into the bone strongly, and this is the way of making small incisions:
E estiman de aquel loc expiran la vapors del cap.	And they think that from that place they extract the vapors from the head.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And it has been held in an open wound for a long time, and then you should cure it until it is consolidated.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	But I have not seen these two special kinds of cauteries at all, unless in some homes according to the way of fear; and thus, you see, I am better, for it is said that salvation is when the head is freed from the continuous solution of the same, as we have testified in other members, and especially when the head of the patient is of frail nature.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	And the first kind of cautery is mostly safe and better, I see; and from that house and in that work, I am saved.
Capitol segon.	Head according to.
Del cauteri del cap.	About the cautery of the head.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When the whole head is affected by chronic and long pain, and it is in a prolonged patient, and uses remedies such as poultices and bandages and capillaries and implants and gauzes and cadels and wadding, and especially if it has been cauterized with a cautery that recounts and does not profit from any of those causes, then consider that the head of the patient is of strong creation in its nature; and it is not frail and weak, then that cautery is another cautery below that one.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And then you should cauterize above the horn of the sieve-like head with a cautery, so that the cord is divided.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Cut the cord and uncover the bone as much as we have recounted and cauterize it with a cautery in the back part of the head at the place called "vas" - and it is that place where the wind is stopped.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And lift your hand in this way, and do not uncover the bone, because the patient suffers from great diverse pain due to that, rather than the pain of all the other cauteries of the head.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	And you will direct this cautery to its place, because it is known that the cautery which cauterizes the horns of the head and the occiput is a more subtle cautery than the one that is cauterized in the middle place of the head; and this is the way of it.
Capitol ters.	Chapter three.
De cauterisacio de emigranea no-antiqua.	On the cautery of non-ancient migrating [humors].
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When pain is felt in the head, or it is a sudden pain until the vein, then evacuate with mondifying medicines of the mundane head, and administer another cure, which you have said in the divisions of the diseases; and if it does not profit, then cautery is done in two ways: either cautery with acute burning medicine, or with iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	One cautery with acute burning medicine is that you take a handful of salt, and scrape it and bind the extremities of the hand with both heads.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	And then you incise the place of pain in the temple with a sharp lancet, so that it is in the same location below the cord, so that it is hidden.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	And then you strengthen it above the hand that is stopped by constant constriction, and thus it remains for three hours; and then you dissolve the poultice and remove the salt, and thus the wound is opened for two or three days, and then you pause on the underlying part submerged in water until the place forms a crust.
E aprop cura aquel am enguent entro que sia sanat.	And then you cure it with an ointment until it is healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you see, make some burning medicines which I have written in the second treatise on burning medicines.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	One cautery with iron is done according to this method: ignite for cautery of which this is the way.
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	and it is called "claus clavilhs", because the head of it is thus formed like a key in which there is some curvature, and in the middle place of it there is a small prominence.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	And then you pause on the place of pain, and hold your hand - so that the artery which is beneath is not hurt - and turn the small iron little by little with velocity.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the quantity of it which is hurt by the specification of the cord thus as the magnitude of it, and raise your hand so that the artery which is beneath is not hurt, so that there is no flux of blood.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	And then you immerse the part in salt water and pause it on the place, and thus it remains for three days; and then you pause the part well-covered in bandage, and then you cure it with an ointment until it is healed.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And if you see, cautery is done on the extremity of the cutter according to cautery, and beware of incision of artery in this non-ancient migrating [humors] properly.
Capitol quart.	Chapter four.
De cauterizacio d’emigranea antiqua.	On the cautery of ancient migrating [humors].
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you treat a migrating disease that we have spoken of in the previous treatment, and which we have mentioned in the divisions of the illnesses, and do not hasten the treatment, and sometimes for the illness that does not abound to what we have said of the first cautery in medicine or of the cautery in focus, then you should ignite the cautery tool within so it is whitened, because it indicates above the line of the long disease which is the greatest part of what has been said; and pause your hand for a moment and strengthen it inside to incise the artery and penetrate inside the bone.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	However, it is necessary for you to be careful about the continuity of the jawbone, which is weakened by chewing, and that the ligament is not injured and the nerves are not affected by that, so that spasms do not occur.
