Ayssi comensan las paraulas de Albucasim .	The words of Albuca's doctrine begin here.
La divisio de la segonda partida.	The division of the second part.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, on drying and piercing, and on cupping, wounds, and extraction of splinters and similar things, entirely chaptered and ordered in the forms of instruments.
Divisio de la tersa partida.	Division of the third part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter, on restoration and dislocation, and on curing of torsion and similar things; chapter ordered from head to foot, and in the forms of instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	On cauterization with fire and acute medicine, and recollection of the operation.
Am aquel comensa le tractat de tot le libre.	Here begins the treatise of the whole book.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	You should know the quality of the joints of that cauterization and the nonuments of it, and in what composition it is prohibited to cauterize.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Therefore I say that the sermon on the quality of the joint of cauterization and its nonument is a long and prolix discourse, subtle by science, and secret and hidden; and already many wise men have spoken about it, and among them there has been disagreement, and for my part, I will not venture to recount all their sermons, fearing prolongation.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And therefore I say that cauterization agrees with all universal composition universally, which is in matter or its matter, except for two compositions, which are compositions without material.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the dry and withered composition with material it will desiccate; because some say that cauterization is beneficial to that, and others say the opposite of that, that cauterization is not suitable in a disease which is due to quality and dryness, for nature of fire is quality and dryness, and it is inconvenient that the diseased part, which is hot and dry, should be healed with heat and dryness.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And you will find that the one who says the opposite of that is wrong, for through cauterization it is made to heal in all hot and dry diseases that are found in the bodies of men; because when you compare the human body and its humors with the composition of fire, you find the human body cold.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I say by the sermon of that, that experience has already shown me several times to uncover.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	But however it is not necessary that what has already been explained and exercised in the chapter on cauterization should come again over this, for I have already known the diversity of the composition of men and the disposition of diseases in their members, and the causes of those, and the accidents of theirs, and the space of time of those.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	But in other compositions, there is no fear for you, and most of all in cold and humid diseases, because already all doctors have agreed on those, and are not discordant in the treatment with cauterization in those.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And know, children, that from the secret of healing by cauterization with fire and the goodness of it, there is something more about cauterization with medicine combined, because the fire is simple, the action of which does not affect except the member that is being cauterized, and does not harm another member adjusted to it but with a small injury.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	But the action of combined medicine reaches that member which is distant from it, and very easily brings disease to a difficult-to-heal member and very easily causes harm.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	But the fire, due to its sublimity and good substance, does not do this except in a superfluous way. And it is already known to us by experiment and the length of service in studying the art above the truth of causes; and therefore I am excused for the length of the sermon. But if it were not that it is not read in your free book in this pause, I would reveal to you a secret hidden with the fire, and the quality of its operation in bodies and its expulsion by which diseases are expelled, with a philosophical and demonstrative sermon, which would be sharpened in your minds.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And know, children, that they disagree about the time when it is convenient to perform cauterization and pause for the best time of spring.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	And I say that cauterization is convenient at any time, because the harm caused by the accidental timing is submerged in the joint of what is attracted to the cauterization, and most of all if the cauterization is for pains or necessary pains, strong and fierce, which do not suffer tardiness because it is feared that those who bring evil may come, which is greater than a small harm entering through time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And thus it does not occur in your minds, or, children, that this is not esteemed except by the common people and foolish doctors, for it is that to that disease which is healed by cauterization there is no reduction at all times, and they pause on the consequence.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the cause is not thus as they say, for cauterization is nothing but a place of medicine that alters the composition and dries up the humors which are the cause why pains come.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	But however, cauterization exceeds medicine by the will of its virtue and the grandeur of its lord.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	And it is possible that its disease may return at some hour of time, according to the composition of the patient and the location of its disease, and the virtue of it, and what is prepared in the body of it from the accumulation of superfluities there, and what has been gained through its acquisition in foods and similar causes; but if the disease in which cauterization is administered is a subtle disease in a member with few superfluities and humors, as with cauterization for toothache and similar pains, it is possible that this pain will not return in full, but rather becomes small.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	And it is also common saying that cauterization is the ultimate remedy of medicine, and it is a saying that is most true, not to what they understand in it, because they believe that there is no healing that is beneficial through medicine or any other cause approaching cauterization.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	And the cause is contrary to that; and I understand that cauterization is the ultimate remedy of medicine not only when we administer the healing methods in some diseases, and those medicines do not concur, and approaching the end of the cause, one administers cauterization, and it proves to be beneficial.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And from now on, know that cauterization is the ultimate remedy of medicine, not according to the understanding which I understand as common and foolish among doctors.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	And the ancients said that cauterization with gold is better than cauterization with iron, and they did not say this except for the equality of gold and its sublime substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And they said that the place of cauterization does not make a difference, as it is not absolutely true, because you have already proven and proved that it does not make a difference in some bodies except for others, and cauterization with gold is good and better than with iron as they said; but however when you do cauterization with fire using gold, it is not declared to you, because it is hidden according to the quantity that you want by the roughness of the gold, and since you prepare to receive heat; and if you adjust above it ignition so that the gold melts in the fire, and the craftsman sees through the occupation of that.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And therefore it is necessary to perform cauterization with iron more lightly and more precisely in order to achieve the rightness of operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And I have already organized this chapter on cauterization according to chapters, and I have organized those from head to foot, in order that the demanding one may be satisfied with it.
De cauteri de dolor de cap per frigiditat e humiditat.	On Cauterization for Headache due to Coldness and Humidity.
Le capitol primier.	The First Chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cauterization is applied to the humidification and coldness on the upper part of the head, which has two causes: one cause being soda and another being a great flow of rheumatic fluid, called corissa, from the head to the parts of the eyes and ears that are fluent, and a great deal of sleepiness, and toothaches, and pain in the jaw, and universally all diseases that come through coldness, such as paralysis, sodomy, apoplexy, and similar things in those diseases.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this cauterization is as follows: first, I command the patient to be evacuated with laxative medicine in the morning, for three or four nights, according to what the disease demands and the age and habit of the patient.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And then I command him to shave his head with a razor, and after that make a section between the hairs on top of his head, and place it on a well-crafted bench, so that he may rest his head on his own feet.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And then pause the razor's edge against the tip of your nose, right between the eyes.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	But when the fire is reached, mark that place with a tent, and then ignite the cauterization oil of which this is the form:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And then pause that oil on the marked place with a tent, in such a way that it descends, by which your own hand is gradually constrained, and you turn it.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	And then lift your hand lightly and look at the place, and if you see that some quantity of bone is already uncovered from the head, such as the amount of grain in errors, then raise your hand and if it is not returned to the iron, use another one that is not chilled, until what I have said to you is seen.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And then take a small amount of salt and dissolve it on the place and let it sit for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And then apply to it a poultice of beggar's ticks and let it sit on the wound until the scar of the fire is destroyed.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	And then cure the place with four-fold medicine, so that it may be healed.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And they said that as long as the wound remains open, so much the better it is for the cauterization to be applied, because it is more effective and beneficial.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	And they said that some of them were cauterized in the cord into the bone, and kept the cauterization until it was absorbed by some part of the specificity of the bone.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And then be rubbed with that which is adapted to the bone, and then be cured.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	And others said that with the cauterization, it will reach the end, until it presses strongly on the bone, until the bone cracks, and this is the form of little alfalfa.
E estiman de aquel loc expiran la vapors del cap.	And they say that from that place, the fumes of the head will evaporate.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And then the open wound should be kept for a long time, and after that it should be cured until it is consolidated.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	But to me, these two species of cauterization do not seem right at all, except in certain men according to the way of fear; and leave that, I say, is better for health when it is, because the head is revealed by solution of continuity, as we have testified in other members, and even more so when the patient's head is of a free nature.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	And the first species of cauterization is more saved and better, as I say; and from that house and with that work, health ensues.
Capitol segon.	Second Chapter.
Del cauteri del cap.	On the Cauterization of the Head.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When in the entire head chronic and long-lasting pain occurs, and this is prolonged in the patient, and uses of warps, cochias, capipurges, emplausters, guats, cadels, and gualinas, and similar things, and most especially if it has already been cauterized with one cautery which does not benefit him at all, then consider that whether the head of the patient is of strong creation in his nature; and if it is not free and finds a great deal of coldness, then he cauterizes another cautery, leaving just a little bit.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And then cauterize that on the horn of his head with another cautery until the cord is parted.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Cut the cord and have it revealed on the bone the quantity which we have recounted, and cauterize that with one cautery in the back part of the head, in the place called "vas", where the wind is paused.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And let your hand be in that way, and do not uncover the bone, for the patient by this will feel a great deal of diverse pain different from all other head cauteries.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	And you will say that this cautery is in its place, for it is necessary to cauterize the horns of the head and the occiput with a more subtle cautery than that which is used on the middle part of the head; and this is its form.
Capitol ters.	Third Chapter.
De cauterisacio de emigranea no-antiqua.	On Cauterization for Headaches not Caused by Ancient Causes.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When headache occurs in the back part of the head, or it is spread into the eye, be evacuated with medicines in the morning, and administer another treatment, which I have said in the divisions of diseases; and if nothing benefits, then cauterization in that place is done in two ways: either by medicine acute and combined, or by iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	But the cauterization by medicine combined is that you take a sweet of aloes, and soak it in water, and abscind the extremities of it from both ends.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	And then cut the location of pain in the temple with a blunt lancet until a small pit is made, and it is hidden.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	And then apply it to the place with a stopper made of descending constriction, and leave it for three hours; and then remove it and treat the aloes, and leave the wound open for two or three days, and then apply a poultice on top submerged in mud until the place becomes firm.
E aprop cura aquel am enguent entro que sia sanat.	And then cure that with four-fold medicine, so that it may be healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you wish, do this with some combined medicines that I have written in the two treatises on combined medicines.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	But the cauterization by iron, according to this manner: ignite by the cautery of which this is the form:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	and it is called "claw's claw", because the head of it is like a shape of a clove in which there is some curvature, and in the middle part of it is a small elevation.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	And then place the iron on the location of the pain, and hold your hand - so that it is not absorbed by the cord that is left - and turn the small iron gradually with speed.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the quantity of it that is absorbed by the specificity of the cord is as great as the majority of it, and lift your hand so that the artery which is left is not absorbed, lest there come a flow of blood.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	And then soak the poultice in saltwater and place it on the location, and leave it for three days; and then apply a mullet poultice wrapped in mud, and then cure with four-fold medicine until it is healed.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And if you wish, cauterize the extremity of the cutlery according to the cautery, and beware of cutting off an artery in this not ancient headache properly.
Capitol quart.	Fourth Chapter.
De cauterizacio d’emigranea antiqua.	On Cauterization for Ancient Headaches.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you treat headaches with what we have said in the previous treatment and in the divisions of diseases, and if the treatment does not benefit, and sometimes the disease is so severe that it does not reach the point where we have described the first cautery by medicine or by fire, then it is necessary to ignite the cutlery cautery until it is white, because you signify on the location of pain with a line of length which is most of the digit or what it may be; and place your hand for one moment and strengthen that until you cut off the artery and reach the bone.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	However, it is necessary for you to beware of the continuity of the jawbone, which is modified by mastication, and that the lacrimal duct not be absorbed and the nerves that accompany that, and that no spasm ensues.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	And if it is about the custody and caution of the flow of blood from the artery that is cut off, for in the cutting off of it there is fear, and especially to him who ignores this process and does not study or practice; and leave the operation at the beginning.
