Ayssi comensan las paraulas de Albucasim .	The words of Albucaisim begin here.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And therefore, take up your own arms with solicitude and protection of God, and your own patients with felicity and firmness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the best way with the grace of God, to preserve health and to obtain blessed success, and abandon terrible diseases that are difficult to heal, and keep your own arms from this which makes you fear, so that your situation remains in your faith and in your name does not escape: because it is more remaining at your glory, and further in the world and in eternity at your sanctity.
Gualia ja diyssec en alcunas sieuas monicios:	Galen already said this in certain of his own writings:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	"Don't treat a bad disease, lest you become a bad doctor."
E yeu ja he devesit aquest libre segontz tres capitols.	And I have divided this book into three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	The division of the book begins, and first, the first part.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter, ordered according to the head and its members, in the forms of instruments and the furnishings of cauterization, and from this it is necessary in the operation.
La divisio de la segonda partida.	The division of the second part.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, on drying and piercing, and on suction cups, and on wounds, and on the extraction of splinters and similar things, entirely chaptered and ordered according to the forms of instruments.
Divisio de la tersa partida.	Division of the third part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter, on restoration and dislocation, and on the cure of torsion and similar things; a chapter ordered from head to foot, and according to the forms of instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	On cauterization with fire and acute medicine, and a reminder of the operation.
Am aquel comensa le tractat de tot le libre.	In that one begins the treatise of the entire book.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	You should know the quality of the joints of that cauterization and the inconveniences of it, and in what condition it is forbidden to cauterize.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Therefore I say that the sermon on the quality of the joints of cauterization and its inconveniences is a long and prolix discourse, subtle by science, and secret veiled; and many wise men have spoken about it, and they have disagreed among themselves, and for me it is sufficient to draw from their sermons a small part, fearing prolongation.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And therefore I say that cauterization conforms to all conditions universally, which is in material or its matter, except for two conditions, which are conditions contrary to their matter.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the dry and withered condition of material, it desiccate; for some would say that cauterization is beneficial to that, and others would say the opposite of that, that cauterization is not suitable in a disease which is due to quality and dryness, for nature of fire is quality and dryness, and it is inconvenient that a withered and dry disease, with water that is hot and dry, should be healed.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And he says that which is the opposite of that, that through cauterization it is made joint in all withered and dry disease that is found in the bodies of men, for when you compare the human body and its moistures to the condition of fire, you find the human body cold.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I say through the sermon of that, that experiment is here already revealed to me several times in discovering.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	But it is not necessary for me to come back on this again, since it has already been dealt with and exercised in the chapter on cauterization, and I have become acquainted with the diversity of human conditions and the disposition of diseases in their respective forms, and their causes, and the accidents that occur in them, and the span of time for those.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	But in other conditions, there is no fear for you, and especially in cold and humid diseases, for all doctors have agreed on these, and are not discordant in the joints about cauterization in those.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And know, sons, that from the secret of healing by cauterization with fire and its goodness, it is more on cauterization with medicine combined, because the fire is simple, whose action does not extend beyond the member being cauterized, nor does it harm another member adjusted to it, only with a small drawback.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	But the action of medicine combined extends to those members which are far away from it, and very quickly brings disease with difficult healing and great suffering to that member.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	But fire, due to its subtlety and the goodness of its substance, does not do this except that it superfluously causes; and it is already known to us through experiment and long-standing service in studying the art, based on the truth of the causes. And therefore I am excused from the length of my sermon. If it were not for the fact that this secret hidden by fire has not been read in a better book, and the quality of its operation in the body and its expulsion by which it expels diseases, with a philosophical demonstration speech, which would be sharp in your chests.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And know, sons, that they are out of accord with the time in which it is suitable to perform cauterization and pause at the best time of spring.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	And I say that cauterization is suitable at any time, for the harm caused by time accidents is submerged in the joint of what is attracted to the cauterization, and especially if the cauterization is for pains or necessary pains, strong and fierce, which do not suffer from tardiness because it is feared of those who come with malice, which is greater than small harm entering through the time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And thus it is not in your chests, or sons, that this is estimated by only the common people and foolish doctors, for it is true that at that disease which is cured by cauterization, there is no reduction of time, and pause from the consequence.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the cause is not as they think it is, for cauterization is nothing but a place of medicine that alters the condition and dries out the humors which are the cause of why pains come.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	But meanwhile, cauterization is superfluous over medicine by the will of its virtue and the greatness of its lord.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	And it is possible that his disease will return at some hour of time, according to the condition of the patient and the location of his disease, and the virtue of what is prepared in the body of what is accumulated in him from the superfluities, and what has been acquired through food and similar causes; but if the disease in which cauterization is administered is a subtle disease in a few superfluities and humors, just like cauterization for toothache and similar pains, it is possible that this pain will not return to him, but rather it will be reduced in small measure.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	And it is also said in plain speech that cauterization is the last remedy of medicine, and it is a dreadful saying, not according to what they understand in it, because I believe that there is no cure that profits by medicine or any other cause that approaches cauterization.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	And the cause is contrary to that; and I understand that cauterization is the last remedy of medicine only when one administers the methods of cure for certain diseases, and those medicines do not concur, and in the end of the cause, one administers cauterization, and it profits from that.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And I conclude here that cauterization is the last remedy of medicine, not according to the understanding which I understand the common people and many foolish doctors.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	And they said the ancients that cauterization with gold is better than cauterization with iron, and they did not say this except for the equality of gold and the subtlety of its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And they said that the place of cauterization does not matter, as if it were absolutely true, for I have already proved and discovered that it does not matter at all, except in certain bodies, and that cauterization with gold is good and better than with iron, just as they said; but however, when you do cauterization with fire on gold, it is not declared to you, for it is hidden according to the quantity that you want by the roughness of the gold, and prepares to receive heat; and if you place over it ignition, the gold melts in the fire, and some plates are formed so that the artisan can see through the occupation of that.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And therefore it is made necessary to perform cauterization with iron in a way that is lighter and more precisely according to the rectitude of operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And I have already ordered this chapter on cauterization according to chapters, and I have ordered those from head to foot, so that the demanding person can easily get what they want from here.
De cauteri de dolor de cap per frigiditat e humiditat.	On cauterization for headaches caused by coldness and humidity.
Le capitol primier.	The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cauterization conquers the humidity and coldness in the serving of accidents which has two causes, one being the cause of soda and the multitude of rheumatic fluxes, called corissa, from the head to the parts of the eyes and ears, and flowing with sleepiness, toothaches, and yawning, and universally all disease that comes through coldness, just like paralysis, sodality, apoplexy, and similar diseases in those illnesses.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this cauterization is this: first, I command the patient to be evacuated with lactative medicine, clearing the head, for three or four nights, according to what the disease requires and the age and habit of the patient.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And then I command him to shave his head with a razor, and then make that shape between the hairs on his back, sitting on a well-cushioned bench, and placing his hands on his feet.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And then pause the razor's edge at the tip of your nose, between the eyes, and place it on the skin.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	But meanwhile, when the time has come from the middle location is accomplished, mark that location with a tent, and then ignite the olive cauterization of which this is the form:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And then pause that on the marked location with the tent, in a way that it descends, and by which my own hand is slightly constricted little by little, and you turn that around.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	And then raise your hand slightly and look at the location, and if you see already that some quantity of bone has been uncovered from the skull, like the amount of grain of errors, hours elevate your hand, and if not return your hand with that iron, with another similar to it, if it is chilled, until what I have told you is visible.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And then take a small amount of salt and dissolve it over the location and let it be for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And then pause over it with a cloth wrapped in a border and let it be over there until the scar of the fire is destroyed.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	And then cure the location with a four-fold medicine, until it is healed.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And they said that as long as the wound remains open, so much the better is the cauterization, because it is more effective and beneficial.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	And some of them said that the tongue should be cauterized into the bone, and the cauterization should be kept until some part of the specificity of the bone is absorbed.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And then it will be cleared what is adhered to the bone, and then it will be cured.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	And others said that with the cauterization it will come to the last, until it presses into the bone with great force, until the bone cracks, and this is the form of little aphicate:
E estiman de aquel loc expiran la vapors del cap.	And they consider that from that location the vapors of the head will be expelled.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And it should be kept open for a long time, and then it will be cured when it is consolidated.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	But to me, these two species of cauterization are not visible at all, except in some men according to the way of fear; and leaving that aside, I consider it better for health when it is; because the head has been revealed by the dissolution of continuity, just as we have testified in other members, and especially when the patient's head is of a frightful nature.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	And the first species of cauterization is more saved and better for me; and from that house and with that work, salvation comes.
Capitol segon.	The second chapter.
Del cauteri del cap.	On the Cauterization of the Head.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When in all the head there occurs chronic and long-lasting pain, and it is prolonged in the patient, and they use various remedies such as wars and cochias and capipurges and emplausters and guats and cadels and gualinas and similar things, and especially if already cauterized with one cautery which does not respond and does not benefit at all from any of those causes, then consider that if the patient's head is of strong creation in its nature; and it is not frightful and finds no great fear, then that cauterization should be done with another cautery, leaving a little bit between.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And then cauterize that over the horn of one's head with a cautery until the tongue is parted.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Cut the tongue and let it be discovered the quantity which we have recounted, and then cauterize that with a cautery in the rear part of the head at the location called "vas", -- and it is that location where the windpipe is paused.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And lift your hand in that way, and do not uncover the bone, because the patient through this will experience great pain of a different kind than all other head cauteries.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	And you will say this cautery in its place, because it is necessary to cauterize the horns of the head and the occiput with a more subtle cautery than that which is cauterized at the middle location of the head; and this is the form of it.
Capitol ters.	The third chapter.
De cauterisacio de emigranea no-antiqua.	On Cauterization for Migraine that is not Ancient.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When the patient in the part of the head feels a dull pain, or it is spread into the eye, let the head be evacuated with medicines that clear the mind, and let another cure be administered, which I have said in the divisions of diseases; and if none of these things help, then cauterization is done in two ways: either with medicine combined with acute remedies, or with iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	But cauterization with medicine combined is that you take a piece of aloes, and scrape it off and cut off the extremities of both heads.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	And then incise the location of the pain in the temple with a well-made razor until it forms a spot behind the tongue, so that it is hidden.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	And then press on it with a stopper for a constant constriction, and let it be for the space of three hours; and then remove the aloes and treat the wound for two or three days, and then pause over it with a cloth wrapped in a border until the spot becomes dry.
E aprop cura aquel am enguent entro que sia sanat.	And then cure that with a four-fold medicine until it is healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you wish, do this with some combined medicines that I have written in the two treatises on combined medicines.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	But cauterization with iron, according to this method: ignite with the cautery of which this is the form:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	and it is called "claus clavilhs", because the head of it is thus shaped like a clove in which there is some curvature, and in the middle location of it there is a small prominence.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	And then pause over the location of the pain, and hold your hand - so that the iron is not too hot to be left there - and slowly turn the iron little by little with velocity.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the quantity of it that is absorbed by the specificity of the tongue is like the majority of it, and lift your hand in order that the artery is not absorbed which is left behind, so that a flow of blood does not come.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	And then wrap the cloth in water and salt and pause it over the location, and let it be for three days; and then pause with a mulled cloth wrapped in border, and then cure with four-fold medicine until it is healed.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And if you wish, cauterize at the extremity of the cutlery according to the cautery, and be careful not to incise an artery in this non-ancient migraine properly.
Capitol quart.	The fourth chapter.
De cauterizacio d’emigranea antiqua.	On Cauterization for Ancient Migraine.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you cure the migraine with that which we have said about the previous cure, and that which we have said in the divisions of diseases, and the cure does not help, and sometimes by the disease it is not enough to do what we have said about the first cauterization with medicine or with fire, then you must ignite the cutlery cautery until it becomes white, so that you mark the location of the pain with a line of length which is the majority of the finger, or where it is; and pause your hand for one moment and press that in to incise the artery and bring it into the bone.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	However, it is necessary for you to beware of the continuation of the jawbone, which is disturbed by mastication, and that the ligament is not inflamed and the nerves which are connected to it are not affected, and that there is no spasmodic deviation.
