Ayssi comensan las paraulas de Albucasim .	Thus begins the words of Albucazim.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	Which is because the blacksmith's anger is pure and melancholy, and it doesn't behoove him to let his wrath prevail over his lord, but rather he should be a member who suffers along with him entirely.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And therefore, my sons, it is necessary for you to have the operation planned in two divisions: one in which health is associated with him, and another work by which danger occurs in the major dispositions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And I have already said that this exists throughout this book in which operation is where there is error and fear; so it is necessary for you to keep this safe and hide that, so that the leaves do not stir up trouble for me to speak and be dishonest.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And so take your instruments in solicitude and protection of God, and your patients with felicity and firmness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the best method for the sake of God's grace to achieve salvation and praiseworthy success, and banish terrifying illnesses with difficult cures, and put aside your instruments from this which makes you fear, so that you may sit in your faith and in your name without being evaded: because more remains for your glory, and more also in the world and in the end to your sanctities.
Gualia ja diyssec en alcunas sieuas monicios:	I'll try my best to translate this short sentence!
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	Do not treat a bad disease poorly, lest you become known as a bad doctor.
E yeu ja he devesit aquest libre segontz tres capitols.	And I have already dictated this book according to three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	Begin the division of the book, and first of the first part.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter ordered by the head physician on weights and measures of instruments, and ironmongery for cauterization, and from there what is necessary in the operation.
La divisio de la segonda partida.	The division of the second part.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, on cutting and piercing, and on cupping glasses, and on blisters, and on extracting arrows and similar things to those, the whole chapter ordered according to the forms of instruments.
Divisio de la tersa partida.	Division of the third part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The fourth chapter (note: you said "tertz" instead of "setz", which I assumed was a typo), on setting and dislocating, and on curing twisting and similar things; chapter ordered by the head physician, and according to the forms of instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	On cauterization with fire and acute medicine, and on recalling the operation.
Am aquel comensa le tractat de tot le libre.	Now begins the treatment for this entire book.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	Know that you should tell the quality of the judgments of this cautery and the contraindications for him, and in what complication it is forbidden to apply a cautery.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Therefore I say that the sermon on the quality of the judgment of cautery and the contraindication for him is long and prolix, and subtle by science, and hidden in secret; and already a great multitude of wise men have spoken about it, and they have disagreed among themselves, and I am afraid to go into detail.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And therefore I say that cautery agrees with all complexions universally as far as the matter is or its materiality, except for two complexions which are those of a hot material constitution.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the hot and dry complexion, matter will desiccate; for some have said that cautery is beneficial for it, and others say the opposite, that cautery is not suitable in a disease which is due to quality and dryness, because the nature of fire is quality and dryness, and it would be unseemly that a hot and dry disease be healed by something that is hot and dry.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And I say that he who says the opposite of me, that cautery is not beneficial in all hot and dry diseases found in human bodies, is wrong; for when you compare the body of man with its humors to the complexion of fire, you find the body of man to be cold.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I say, based on his sermon, that through experience I have already discovered this many times before.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	It seems that this text is discussing a surgical procedure.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	In other complications, there is no reason to fear, and especially in moist and humid conditions, because all doctors have agreed on these, and they are not discordant about the application of a cautery in them.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And you know, sons, that from the secret of healing by cautery with fire and the goodness of it, is a medicine that competes, because fire is simple, its action only reaches the member being cauterized and does not harm the other member next to it, except for slight damage.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	But the action of competing medicine reaches as far as the member that is distant from it, and quickly brings a difficult-to-cure disease into the sick member, and often assists.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	But fire, for its subtlety and the goodness of its substance, does not cause water but only excess; and it is already known to us by experiment and the length of service in studying this art about the truth of causes; and because of this I am excused from the length of the sermon. And if it were not that it is not allowed to me freely in this parchment book to reveal to you the secret hidden with fire, and the quality of its operation on bodies and its expulsion by which it expels diseases, with a demonstrative philosophical sermon, which would be swift in your thoughts.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And you know, sons, that these things are discordant with the time in which it is proper to make a cauterization and pause during the better part of spring.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	And I say that a cauterization is suitable at any time, because the harm caused by an unexpected event is submerged in the juice of water which is attracted to the cauterization, and most especially if the cauterization is for painful or necessary pains, severe and festering, which do not suffer delay because evil is feared that comes with a wickedness, which is greater than small harm entering at any time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And this is not thought in your minds, or, sons, this is not valued except by the common people and foolish doctors. It is that with this disease which is cured by a cauterization there is not always a reduction of time and pause for its consequences.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the cause is not so easily known as they claim for this reason, because cautery is only a form of medicine that alters the complexion and dries out the moistures which are the cause of the pain.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	But however, excessive cautery is considered a virtue in medicine due to the desire for its effectiveness and the greatness of its Lord.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	And it is possible that his illness will return at some point in time, according to the complexion of the patient and the location of their illness, and the virtue of him, and what has been prepared in his body through the aggregation of excesses within him, and what has been acquired by him through food and similarities to those causes; but if the illness that is administered cautery is a subtle disease in few excesses and moistures, just as a tooth cauterization for pain and similar things, it is possible that in him that illness will not return, but rather it will become small.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	Y además, la frase común es que la cauterización es el último remedio de la medicina, y es un dicho verdadero, no solo en lo que entiendo en él, porque creo que no es una curación que aprovecha más a la medicina ni a otra causa propia de la cauterización.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	And the cause is contrary to this; and I intend that a cautery is the last remedy of medicine, it being only when administering curative methods in certain illnesses, and those medicines not helping, then one administers a cautery, and profits from it for that purpose.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And now, here are sixteen hours that a cautery is the last remedy of medicine, not according to my intention, which I understand as commoners and fools of doctors.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	And the ancients would say that a gold cautery is better than an iron one, and they did not say this except for the equality of gold and the sublimity of its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And they said that the place of cauterization does not matter, as it is not absolutely true, for I have already proven and approved that this only works in some bodies but not others, and a gold cautery is good and better than an iron one, just as they said; however, when you do cauterization with fire made from gold, it's not declared to you, because it depends on the quantity of gold you want due to its fineness, and because it prepares to receive sparks; and if you adjust something over it, the gold melts in the fire, and some plates are formed so that the craftsman can take them for his occupation.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And because of this, you should have put us more lightly and more precisely on the straight path of operation, meaning that the text is saying that the author expected to be guided through the process of cauterization with a gold cautery in a simpler and more detailed way.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And I have already arranged this chapter on cautery according to chapters, and I have arranged those of the head between the scales, so that I may relieve the requester from seeking it themselves.
De cauteri de dolor de cap per frigiditat e humiditat.	Pain of the head caused by coldness and moisture.
Le capitol primier.	The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This treatment remedies the humidity and coldness on the surface of the accident, which has two causes: abundance of bleeding from a wound, called hemorrhage, of the head to the parts of the eyes and ears flowing, and abundance of sleep, and toothache and headache, and universally any illness that comes from coldness, such as paralysis, numbness, apoplexy, and similar illnesses.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this treatment is as follows: first you command the patient to evacuate with purging medicine from their head and stomach, for three or four nights, depending on the severity of the illness, the age of the patient, and their habit.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And then you command the patient to cut their hair with a razor, and after that, have them sit on a stone bench with their hands on top of it, so that they are touching the stones with their hands.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And then you have them place the razor in the palm of your hand, and press it against the nose between their eyes.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	But meanwhile, since the middle part of the face has been reached, mark that spot with a tenta (a type of marker or indicator), and then ignite an olive cauter (a type of instrument for applying heat), whose form is as follows: ... (it seems like the description is continuing in another part of the text)
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And then you place that (the olive cauter) over the marked spot on the face, in such a way that it descends, with your hand pressing it down little by little, and you rotate it.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	And then you lift your hand lightly and observe the area, and if you see that any amount of bone is exposed, as much as a grain of barley, at once raise your hand and if not, return your hand to the tool, but in such a way that it is rewarmed, until what I have told you becomes visible on the bone.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And then take a small amount of salt and dissolve it over the area, and let it sit for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And then place over him a cloth wrapped in linen, and let it be spread inside so that the scar of the fire may be destroyed.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	And then cure the wound with a poultice of four-herbs ointment within which will be healed.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And they said that when the Roman's wound was opened, the arm grew stronger, because it is better and more beneficial.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	And some of them said that the tongue had been cauterized between the bone, and held a hot iron in until any part of the sensation of the bone was extinguished.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And then it should be scraped clean what is attached to the bone, and it would be cured.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	And others said that with the hot iron one should arrive at the bone's edge, so as to burn the marrow before it reaches the bone strongly, and this is the form of making an aphrodisiac.
E estiman de aquel loc expiran la vapors del cap.	And they believe that from that place the vapors of the head escape.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And if the wound is left open for a long time, and it should be healed before it becomes solid.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	But I have never seen these two types of cautery in any man, except in some who were led by fear; and thus, I would say to you, it is better for my health when I am; because the head has been opened due to a break in continuity just like we have witnessed in other members, and especially when the patient's head is of very fragile nature.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	And the first type of cautery is more saved and better for me, and from that one I have escaped and from that work I have health.
Capitol segon.	Capítulo segundo.
Del cauteri del cap.	From the cautery of the head.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When a chronic and long-lasting pain occurs in the entire head and this is prolonged in the patient, and they use various treatments such as powders, poultices, plasters, unguents, guaipurges, caldels, and waxes, and most of all if he has already been cauterized with a cautery which did not help him from any of these causes, the physicians consider whether the patient's head is of strong creation in its nature; and if it is not fragile and does not find great difficulty, they then cauterize another part below that one a little.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And they proceed to cauterize him on the crown of his head with a cautery so that the tongue is split.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Cut the tongue and let it be exposed to the bone, as much as we have counted, and then cauterize him with a cautery in the back part of the head, at the place called "vas" which is also where the windpipe is lodged.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And praise God that you do not expose the bone in this case, because the patient will experience a much greater pain than with all the other head cauterizations.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	And I call this cautery by its name, because it is necessary to cauterize the crown of the head and the occiput with a more subtle cautery than that used for cauterizing the middle part of the head; and this is its form.
Capitol ters.	It looks like we've reached the end of the text!
De cauterisacio de emigranea no-antiqua.	The use of old-fashioned medical procedures to treat a type of hernia.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When the pain in the head reaches its peak, or if it spreads inside the eye, the head should be cleared with medicines and then administered another treatment, which I have mentioned in the sections of diseases; and if this is not effective, a cauterization on the patient can be done in two ways: either with a medicine that burns, or with iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	To do a cauterization with burning medicine, you take an almond-shaped container of alum (aluminum sulfate), soak it in water and then burn off the ends on both sides.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	And then you puncture the area of pain on the temple with a sharp lance that is inserted so deep it reaches below the skin, until it's hidden.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	And then you apply pressure on the area with a stopper to cause constriction, and leave it like that for three hours. Then, you remove the stopper, scrape off the alum, and let the wound be open for two or three days. After that, you apply a poultice on the cut, submerged in broth, until the area becomes swollen.
E aprop cura aquel am enguent entro que sia sanat.	And then you cover it with an ointment until it heals.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you wish, do this using some combined medicines which I have written in the treatise on combined remedies.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	And may the cautery with iron be done in this manner: with fire, of which this is the form:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	and it is called claw-iron, because the top of it is as like a form of a nail with some curvature, and in the middle of it there is small prominence.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	And then place it close to the place of pain, and hold your hand back (so that the bowstring doesn't get burnt) and turn the little iron round very slowly.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the part of it that is burnt by the sharpness of the string is as much as the majority of it, and lift your hand back (so that the artery behind it doesn't get burnt) in order that there may not come a flow of blood.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	And then soak the cloth in salty water and place that over the spot, and leave it for three days; and then bind a poultice to the wound and apply an ointment until it is healed.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And if you will, cauterize the end of the wound with iron as in cauterizing, and beware of cutting into an artery in this not-so-old-fashioned migration.
Capitol quart.	Fourth book.
De cauterizacio d’emigranea antiqua.	On the Cauterization of Old Embracing (hernia).
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you treat an old hernia with water, as we said in the previous cure and in the sections of illnesses, and it does not benefit from the cure, and the illness is so bad that what we said about the first cauterization with medicine or the cauterization with fire is not enough for him, then you must heat the knife-shaped cautery until it is white-hot, since it signifies on the painful spot a line of great length from which the majority of the disease comes, or at least some part of it; and hold your hand firmly over it for a moment to strengthen it as much as possible before puncturing the archway and entering into the bone.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	However, it is necessary for you to protect the continuation of the jawbone, which is damaged by mastication, and that the ligament is not scorched and the nerve that nourishes it, so that spasms do not occur.
