Ayssi comensan las paraulas de Albucasim .	Thus begins the words of Albuçasis.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And he undid the ligaments according to their desires, and undid the bandage, and left him lying down for some days and commanded that we release the dressing; and thus it happened within a few days that the thigh and leg had become inflamed, and reached gangrene.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And I was summoned to him, and prepared myself to release the ligaments, and succeeded in bringing calm to him and alleviated his pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	But however corruption had already been confirmed in the member, so I couldn't stop it, and the corruption continued to spread in the member until the patient fell into danger.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I saw another surgeon who perforated a cancerous abscess, and it was ulcerated after some days, and the wickedness of him was magnified before his lord.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	Which cause is that the flesh of a cancer patient is full of melancholy humour, and it's not fitting that he should suffer from every kind of pain, but rather his member which suffers should be completely mortified.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And for this reason, sons, it is necessary that the operation be divided into two parts: one in which there is an association of health to him, and another work in which there is a danger in the major preparations.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And you already know that there is this in every place of this book where there is an operation in which there is error and fear; therefore it is necessary for you to guard this and leave that, so that the leaves do not obstruct the way to speak and to you to be honest.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And so take up your arms with solicitude and protection of God, and your patients with happiness and firmness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the best way for the sake of God to overcome illness and praiseworthy success, and put an end to terrible diseases with difficult cure, and keep your arms from that which makes you afraid, so that standing in your faith and in your name does not forsake you: because more remains for your glory, and even more so in the world and finally in your sanctity.
Gualia ja diyssec en alcunas sieuas monicios:	Wycliffe already said these things in some of his sermons:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	"Do not heal a bad disease, lest you be blamed by poor doctors."
E yeu ja he devesit aquest libre segontz tres capitols.	"And now I will give you this book according to three chapters."
Comensa la divisio del libre, e primier de la primieyra partida.	"Begin the division of the book, and first of the first part."
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	"The first chapter ordered by the head of the profession, on the forms of instruments and on the irons of cauterization, and from this what is necessary in the operation."
La divisio de la segonda partida.	"The division of the second part."
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	"The second chapter, of drying and piercing, and of poultices, and of bleeding, and of extracting arrows and of similar things to those, all capitulated and ordered in the forms of instruments."
Divisio de la tersa partida.	"Division of the third part."
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	"The fourth chapter, of setting and of dislocation, and of treating of twisting and similar things to those; chapter ordered by the head of profession, and in the forms of instruments."
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	"On cauterization with fire and acute medicine and remembrance of the operation."
Am aquel comensa le tractat de tot le libre.	The treatment of this entire book begins with him.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	Know that I am telling you about the quality of the judgments of this cautery and the objections to it, and in what complexity it is prohibited from being done.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	So I say that the sermon about the quality of the judgment of cautery and the objection to it is a long and prolix sermon, subtle because of its knowledge, and secret and hidden; and many wise people have spoken at length about it, and they have disagreed with one another, and for my part I am afraid of prolonging this speech.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And so I say that cautery comforts the entire complexion universally with respect to its matter or matters, except for two complexities, which are complexities of cold matter.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the complex complexion which is hot and dry there is matter that dries out; because some said that cautery is helpful to that one, and others said the contrary of that, that cautery is not suitable in a disease which is by quality and dryness, for the nature of fire is quality and dryness, and it is inconvenient that a hot and dry disease be cured with something that is hot and dry.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And I responded to him who said the contrary of that, that by cautery is made judgment in all hot and dry diseases which are seen in the bodies of men, for when you compare the body of man and its moistures with the complexion of fire, you find the body of man cold.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I say from his sermon that it is experience to me already several times before.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	However, it's worth noting that the text is written in a language that is similar to Latin, Italian, Spanish, and French, but not identical to any of them.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	When dealing with other complexities, you should not be afraid, and especially when it comes to wet and humid diseases, because all doctors have agreed on these, and are not discordant in the judgment of applying cautery in them.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And you know, sons, that from the secret of curing by cauterization with fire and from its goodness, it is above cauterization that medicine combines, because fire is simple, whose action reaches only to the member being cauterized and not to the other member next to it, except for slight harm.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	But the action of cauterizing medicine reaches as far as to those members which are far away from it, and it quickly brings to the ailing member difficult-to-heal disease and also quickly causes harm.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	But fire, for its sublimity and the goodness of its substance, does not cause harm, but rather excess. And it is already known to us by experience and by the long duration of our service in studying the art on the truth of causes; and therefore I am excused from the length of this sermon. But if it were not that I fear that your free time would be taken up by a secret hidden in fire, and the quality of its operation within bodies and its expulsion by which you expel diseases, with a demonstrative philosophical sermon, which would be too much for your patience.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And you know, sons, that these are discordant with the time in which it is fitting to make a cauterization and with the best period of spring.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	And I say that cauterization is fitting at any time, because the harm caused by the accidental passage of time is submerged in the virtue of the fire which is attracted to the cauterization, and most especially if the cauterization is for pains or necessary pains, strong and persistent, which do not suffer delay because those who come with evil intention are feared, whose damage is greater than the slight harm caused by the passage of time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And I'm saying this to you, sons, that this does not make sense in your minds, or the common people and foolish doctors think so. For that disease which is healed by cauterization is not reduced over time, and those consequences are avoided. (Note: This response seems to be a continuation of the previous conversation, where the speaker is arguing against the idea that cauterizations should only be done in specific times or seasons.)
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the cause is not even as they think it is, because cauterization is nothing more than a place for medicine which alters the composition and dries out the humors that are the cause of the pains. (Note: This response suggests that the speaker believes that cauterization is a form of medical treatment, but one that works by altering the balance of bodily fluids or "humors", rather than being a direct treatment for pain.)
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	But, however, cauterization is superfluous on top of the medicine, due to its high value and virtue in its operation and grandeur of its lord. (Note: This response suggests that the speaker believes cauterization has a certain prestige or authority associated with it, possibly due to its perceived effectiveness or reputation as a treatment.)
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	And it is possible that his illness may return at some point in time, according to the composition of the patient and the location of their illness, and the virtue of them, and what is prepared in their body from the aggregation of superfluities in them, and what has come to them through their acquisition of food and drinks and similar causes. But the illness for which cauterization is administered is a subtle illness affecting few superfluities and humors, such as toothache and similar complaints. Thus it is possible that the pain may not return in them, but rather be diminished.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	And it is commonly said that cautery is the last remedy of medicine, and it is a serious business, not to be approached unless one understands it well, for I believe that no cure is improved by cautery or any other cause.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	And the truth is the opposite of that; and I understand that cautery is the last remedy of medicine only when we administer the healing methods for certain illnesses, and those medicines are not effective, and in the end one administers cautery and it is beneficial.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And the hours that pass from here to there show that cautery is not the last remedy of medicine, according to my understanding which I also understand of the common people and many foolish doctors.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	And they would say that gold cautery is better than iron cautery, and they didn't say this only because of the equality of gold and its sublime substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And they would say that gold cautery is better than iron cautery, but this isn't entirely true, because I've already proven it and shown that the former doesn't work except in some bodies and not others, and gold cautery is good and better than iron cautery as they said. But when you do cautery with fire from gold, it's not for your declaration, because it becomes evident according to the quantity you want due to the brittleness of the gold, and because it prepares to receive burning; and if you adjust over it ignition, the gold melts in the fire, and case some plates so that the craftsman can catch them due to the occupation of that.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And because of this, the iron cautery should be done slightly and more carefully in order to avoid deviating from the right operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And I have already arranged this chapter in the book on cautery according to chapters, and I have arranged those within the scales, so that the seeker of this may find what they are looking for from me.
De cauteri de dolor de cap per frigiditat e humiditat.	De la Cauteri (Book on Cautery)
Le capitol primier.	The First Chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cauterization confers humidity and warmth on the affected part, and two causes of its efficacy are: the abundance of blood flow (called "flux raumatic") from the head to the edges of the eyes and ears, and the abundance of sleep, and toothache, and headache, and universally any disease that comes through coldness, such as paralysis, numbness, and apoplexy, and similar diseases.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this cauterization is as follows: first, command the patient to evacuate their bowels with purging medicine for three or four nights, depending on the virtue of the patient and their age and custom.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And then command him to shave his head with a razor, and then have him sit on a bed or bench and place the cauterizing iron between his thighs.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And then place the hot iron of the cauterizer in your hand, and press it against the bridge of his nose between his eyes.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	But as soon as the iron has reached the right temperature, mark that place with ink, and then ignite the olive oil cautery, which is shaped like this: ( likely a diagram or illustration of the shape of the cautery)
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And then place that on the marked location, in such a way that it descends slowly, so that the handle is tightened little by little, and you turn it.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	And then lift your hand lightly and observe the location, and if you see that already some amount of bone is being uncovered, as much as the quantity of grains of barley, then raise your hand at once, and if not, turn back your hand with the iron, to another place, where it has cooled down, until you can see the bone I have told you about.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And then take a small amount of salt and dissolve it on the location, and let that sit for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And then place on it a poultice made with butter, and let that sit on it until the scar of fire is destroyed.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	And then cure the location with tetrafarmacon ointment until it is healed.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And it has been said that when the plague ulcer opens, the arm gets better, so much so that it becomes a more suitable and beneficial remedy.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	And they said that some of them had the throat cauterized between the bones, and a caustic kept in it until a part of the bone's substance was burned.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And thus it would dry up what adheres to the bone, and it would be healed.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	And others said that the caustic would penetrate to the end, until it impressed something hard into the bone before the bone would crack, and this is the form of a small alveoli.
E estiman de aquel loc expiran la vapors del cap.	And they think from there that the vapors from the head will escape.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And if the ulcer is left open for a long time, and it would be healed as soon as it was consolidated.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	But I have never seen these two types of caustic in my life, only in some men by the way of fear; and I leave it to you, dear one, that it is better for someone's health to be as it is when it comes to head injuries, because the head is more easily damaged by a break in continuity, just like we have testified in other members, and especially when the patient has a fragile nature.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	And the first type of caustic is even more saved and better, in my opinion; and from it one can make a work that has health.
Capitol segon.	The second chapter. Would you like me to continue translating? This text appears to be written in medieval Catalan and deals with medical procedures, specifically cauterization. If you'd like, I can try to summarize the content or translate it further.
Del cauteri del cap.	The Cautery of the Head.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When a chronic and long-lasting pain occurs in the head of a patient, and this is caused by a prolonged illness, and they are using remedies such as powders, pills, plasters, ointments, and girdles, and most especially if the patient has already been cauterized with a cautery that was not effective against any of those causes, then consider whether the patient's head is naturally robust in its creation; and it is not fragile and easily irritated by a great cold, then cauterize another area behind that one a little.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And then cauterize him over the crown of his head with a cautery inside, where the skull is split.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Cut the skull and expose the amount we have previously counted, and cauterize him with a cautery in the back part of the head, where it is called the "fontanelle", which is the place where the soft spot is.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And be careful with this one, and don't cut too deep into the bone, because the patient will find a great deal of pain that is different from all the other head cauterizations.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	And you should direct the cautery to its place, for it is necessary that the cautery which is used to burn away the warts of the head and occiput is a finer cautery than one which is cauterized in the middle part of the head; and this is its form.
Capitol ters.	I'm assuming this is a heading or title, possibly related to the medical text you've been translating?
De cauterisacio de emigranea no-antiqua.	A section on "Cauterization of an old (or non-pregnant?) uterus".
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When the pain begins in the head or spreads to the eye, if it is a simple headache, let medicines that clarify the mind be given, and administer the other cure which I have mentioned among the diseases; and if this does not help, cauterization on him can be done in two ways: either with an acrid medicinal cautery, or with iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	The cautery with medicinal burning is to take a dolça ( likely a type of sweet or paste) made from almonds, and dissolve it, then apply it to the extremities on both sides of the head.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	And then carefully make an incision at the site of the pain in the temple with a sharp lancet until you reach a spot where it feels like there is a hidden place or a hollow space.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	And then strengthen the constriction with a bandage, and let it stay like that for three hours; and afterwards remove it and scrape off the almond paste, and leave the wound for two or three days, and after that apply on it a poultice submerged in butter until the place becomes red.
E aprop cura aquel am enguent entro que sia sanat.	And then care for that person with a plaster (or ointment) until they are healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you wish, do this with certain medicines which I have written about in the book of composite remedies.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	Take a red-hot iron, and shape it thus...
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	and it is called "claus clavillus", because its top is like a key shape with some curvature, and in the middle of it there is a small prominence.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	And place it on the spot of pain, and hold your hand so that the bow is not scorched which is left behind - and turn the small iron back and forth slowly.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the part that is burned by the sharpness of the iron is as large as most of it, and raise your hand so that the artery left behind does not get burned, so that blood does not flow.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	And take the poultice and soak it in salt water, and place that over the spot, and leave it there for three days. And take the mustard poultice with a border, and apply an ointment until he is healed.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And if you see, cauterize the extremity of the cutlerian vein with cautery, and be careful not to cut an artery in this area properly called the "emigranée".
Capitol quart.	Fourth chapter.
De cauterizacio d’emigranea antiqua.	On the cauterization of the emigranée (or emigranée antique).
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you treat an empyema with the procedure we have mentioned previously, and the division of diseases that we have discussed, and the treatment is not effective, and the disease does not respond to the first cauterization in medicine or cauterization with fire, then it is necessary for you to ignite the cauterizing knife until it is white-hot, because it signifies on the location of the pain a line of length equal to the majority of the digit, or whatever that is; and place your hand there for an instant and strengthen it so that when you insert the arrow into it it reaches the bone.
