Ayssi comensan las paraulas de Albucasim .	Albucasis begins his treatise as follows: 
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	Here is the translation of the first source sentence: 
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And I was called upon to untie their bonds; the result of my work is tranquility and thus lessening of his pain.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	However, when corruption has already spread to the limb and cannot be stopped, it continues to circulate within the affected member until the patient is in danger.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I saw another physician who punctured a cancerous abscess, which became ulcerated after several days and caused the lord to become more seriously ill.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The reason for this is that the cause of cancer is usually an excess of melancholy humor; therefore, it is not necessary to treat the entire body with iron, but only those limbs where such treatment is required.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And for this reason, my children, it is necessary for you to divide the operation into two parts: one part that is associated with health and another more dangerous part.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And I have already indicated this in every part of this book where the operation is mentioned because it contains error and danger; therefore, you must keep such cases separate so that they do not come to light and discredit you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And so, take up your weapons with solicitude and under God's protection; treat your patients with ease and firmness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	Use the best method, by God's grace, leading to salvation and praiseworthy recovery; leave behind those terrible diseases that are difficult to cure, and keep your weapons away from anything that makes you fearful, so that doubt does not escape your faith and your name: for greater is what remains of your glory, both in this world and beyond among your saints.
Gualia ja diyssec en alcunas sieuas monicios:	The wise man has already said in some of his teachings:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	Do not treat an illness with evil means, lest you be called evil doctors.
E yeu ja he devesit aquest libre segontz tres capitols.	And I have divided this book into three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	Here begins the division of the book, and first of the first part:
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter deals with the instruments of surgery, including those needed for cauterization and their various forms, along with other necessary tools for the operation.
La divisio de la segonda partida.	The division of the second part.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter deals with cauterization, piercing, cupping, wounds, and the extraction of arrows or similar objects; all carefully outlined along with instructions for the required instruments.
Divisio de la tersa partida.	Division of the third part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter is about restoration and dislocation, treating sprains and similar injuries. It focuses on the head and feet and outlines the necessary instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	Cauterization with fire, medicinal sharp points, and recalling the surgical procedure.
Am aquel comensa le tractat de tot le libre.	With this it begins the treatise of the entire book.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	I want to explain the quality of the iron for that cautery and the documents related to it, as well as in which condition it is prohibited to perform cauterization.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	So I say that the discourse on the quality of cautery iron and its documents is long and prolix, subtle in knowledge, and hidden in secrecy; many wise men have spoken about it before and they disagree, so for me, a little of their discourses will suffice, fearing prolixity.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And thus I say that you will apply the cautery to all general complications, which are with matter or without matter, except for two complications, which are causative complications without matter.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the case of a dry and cold complication with matter, there is disagreement; some say that cauterization is beneficial, while others argue the opposite, stating that cautery is not suitable for illnesses caused by qualities and dryness because the nature of fire is characterized by heat and dryness, which are counter to what is required to heal an illness that is dry and cold.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And he who argues against this, stating that cautery is indeed beneficial for all dry and cold illnesses found in the human body, does so because when you compare the human heart and its moisture to the composition of fire, you find the human heart to be colder.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I say this based on the words of the aforementioned individual; my own experiences have already proven this to be true.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	However, it is not appropriate to delve into this further for those who have already thoroughly explored and practiced the art of cauterization in previous chapters; they are aware of the diverse complications that arise within the human body, the disposition of illnesses in their organs, the causes behind them, as well as the varying symptoms and durations of these illnesses.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	Here is my translation of the provided text:
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	Here is my translation of the provided medieval medical treatise: 
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	Furthermore, the action of caustic medicine extends to those parts of the body that are remote from it, and it quickly causes an illness in the affected limb that is difficult to cure and often fatal.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	But fire, because of its sublimity and the goodness of its substance, does nothing but make [something] superfluous. And it is already known to us through experience and through lengthy service in studying the art for the truth of the causes; and for this I am excused from lengthening my speech. And if it were not that my book is not read by these indolent people in this remote place, which you keep secret with fire, and the quality of its operation in the bodies and its expulsion through which it expels diseases, [I would] speak philosophically demonstratively, which would sharpen your minds.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And you should know, my children, that they disagree about the time when it is appropriate to perform cauterization and consider spring to be a better time for it.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	And I say that cauterization is appropriate at all times because the harm caused by delaying it due to weather conditions is outweighed by the benefit gained from what is drawn out by the cautery. And this is especially true for pains or necessary evils, such as abscesses and fistulas, which cannot wait without risking greater harm, as a small present evil is preferable to a larger future one caused by delay.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And this is not found in your books, my sons, for it is only valued by the common people and foolish doctors; that illness which has been healed with a caustic [remedy] never returns at all times, but they neglect that consequence.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	Here is the translation of the provided text: 
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	Furthermore, apply superfluous cauterization in a medical setting due to the haste of its recovery and the potency of its therapeutic action as well as the greatness of its lord.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	It is possible for the illness to recur at any time according to the constitution of the patient and the location of their ailment, as well as their health, the state of their body regarding superfluities in it, what has been prepared within them due to the aggregation of superfluities, and what they have acquired through food and similar causes; unless the disease for which cauterization is administered is a delicate one with few superfluities and humors, like toothaches and similar cases, it is unlikely that the pain will return. However, this should be done carefully in small amounts.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	The common saying is that cauterization is the last resort in medicine, and this is true according to medical professionals; they believe it is not a cure that benefits from medicine or any other cause except for cautery itself.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	The reason for this is the opposite; the intention behind calling cauterization the last resort in medicine is not always accurate. It depends on how cure methods are administered to certain illnesses and whether those medicines have been effective or not. Only when other treatments fail, at the end of the process, should one administer cautery, and it may indeed benefit the patient.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And here we find that cauterization is the last resort of medicine, not according to the understanding of laymen and too many foolish doctors.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	The ancients said that cauterization with gold is better than iron, and they say this only due to the equality of gold and the excellence of its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And they said that the site of cauterization is not weakened, even if this is not absolutely true, for I have proven it and found that it does so only in some bodies without others; thus, cauterization with gold is good and better than iron as they say. However, when you perform cauterization using fire from gold, one must be careful because the amount of heat generated by the gold depends on its quantity due to the roughness of the gold, and it must be prepared to receive moisture; if you expose it to too much flame, the gold will melt with the fire, which is useful for the artisan who wishes to work with it.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And for this reason, one must practice cauterization with iron more lightly and precisely to achieve the correct operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	I have already organized this chapter on cauterization according to the chapters, and I've placed those related to the head among the feet, so that when one seeks a specific topic in it, they may find it easily.
De cauteri de dolor de cap per frigiditat e humiditat.	De cauteri de dolor de cap per frigiditat e humiditat.
Le capitol primier.	The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cauterization process introduces humidity and coldness into the brain, which is an accidental occurrence caused by two factors: one being sodden flux and the other being a multitude of traumatic flux, known as 'corissa', affecting the head and leading to discharges from body parts such as the ears and legs. It also results in excessive sleepiness, toothaches, and throat pain. Generally speaking, it causes all illnesses stemming from coldness, including paralysis, soddening (edema), apoplexy, and similar conditions.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The procedure for this cauterization is as follows: Firstly, instruct the patient to take a laxative medicine that will cleanse their head over three or four nights, depending on the strength of the patient's constitution and their age.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	Then tell the patient to shave their head with a razor and have them sit on a chair with their arms extended between two others' arms, while placing his hands on his own legs.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	Then place the edge of your palm's razor blade close to their nose, right between their ears.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	However, once you have reached the middle of your finger's location, mark that spot with a tent and then use an olive-wood cautery like this:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieva ma sia constrengida petit a petit, e tu revolveys aquel. 
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	Here is my translation of the provided text: 
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And then take a little salt and dissolve it over the area, leaving it for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	Then place on him a poultice made of clay mixed with vinegar, and leave it there until the skin is destroyed by the fire.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	Then treat the wound with four-herb ointment until it is healed.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And they say that when the Roman plague broke out, a better remedy was found with a mixture of garlic and oil, for it is more effective and beneficial.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	And some of them say that the spine should be cauterized at the base of the bone, and the cautery should be held there until some part of the surface layer of the bone adheres.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	Then scrape away that which has adhered to the bone, and treat it afterward.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	And others say that the cautery should be brought to the back and applied with strong pressure until it burns into the bone deeply. This is the form of small alpecin (type of medication):
E estiman de aquel loc expiran la vapors del cap.	They believe that vapours from this place escape to the head.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And if the wound remains open for a long time, then it should be treated before it becomes hardened.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	I have never seen these two types of cauterization used at all, but only in some cases out of fear; leave that, it seems to me, and prioritize the patient's well-being when it is necessary, for the head becomes weakened due to the interruption of continuity as we have mentioned with other body parts, especially when the patient's head is of a more sensitive nature.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	The first type of cauterization is safer and better in my opinion; this method should be used, as it promotes the patient's recovery.
Capitol segon.	It seems that you may have accidentally included a portion of text from another source. Please provide additional context or information if you would like me to translate, summarize, or assist with any other task!
Del cauteri del cap.	On the topic of head cauterization.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When there is persistent and long-lasting pain in the entire head of a patient that persists for an extended period, various treatments are applied such as herbs, cochias (a type of medicine), purgatives, ointments, poultices, baths, crows (possibly referring to a specific treatment or bird-related remedy), and similar remedies. If cauterization has already been performed with a hot iron but none of these methods provide relief, consider whether the patient's head is naturally strong and resistant due to its robust nature; if it is not fragile and experiences intense heat, then proceed with another round of cauterization using a different cautery instrument, applying it beneath the previous one.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	Then cauterize that area over his skull with a hot iron, while the iron is still divided in two parts (not fully cooled down).
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Cut the divided iron and expose it from its wooden handle to the measured length we described earlier, then cauterize that area with a hot iron at the back of the head in the spot known as the vessel - this is the location where a cupping glass would be placed.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	But lift your hand quickly during that process, without uncovering the bone, because the patient will experience an intense pain unlike any of the other head cauterizations.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	Here is the translation of the provided source sentence: 
Capitol ters.	Capitolo terzo." or "Chapter three.
De cauterisacio de emigranea no-antiqua.	On the cauterization of non-ancient hemorrhoids.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When there is a severe pain in the temples or the pain extends into the eyes, first evacuate with medicines that purify the head, and administer other treatments I have mentioned for different diseases; if all of these do not help, then cauterization on them can be done in two ways: either with acute, corrosive medicine, or with an iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	The first type of cautery using corrosive medicine is to take a cloth made of alum, and soak it in water; then cut the ends of its two corners.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	Then make an incision in the area of pain on the temple using a lancet, being careful to do it at the spot that was pointed out beneath the crown, taking care not to make it visible.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	Then press on it with a pad for some time using firm pressure, and leave it there for the space of three hours; then remove the cloth and draw out the alum, leaving the plaster in place for two or three days, and then apply to it cotton soaked in vinegar until the wound is healed.
E aprop cura aquel am enguent entro que sia sanat.	And then treat him with ointment until he is healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you wish, apply some caustic medicines which I have written about in the second treatise on caustic medicines.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	Now proceed with the cauterization in this way: Take a cautery that has this shape:" (likely describing or illustrating the shape of the cautery instrument).
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	It is called a 'claus clavilhs,' because its head has the shape of a nail with a slight curve and a small raised point in the middle.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	Then place it on the painful area, keep your hand steady - so that the arc (of the cautery) below is not touched - and rotate the instrument slowly but swiftly.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	If the amount that adheres to the cautery's face is such that it covers half of it, lift your hand a little so that the artery below is not touched and thus there will be no bleeding.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	Then dip a cotton swab in salt water and place it on the area, leaving it for three days. After that, apply moistened cotton with ointment until healed.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And if you want to cauterize the end of the ulnar artery according to the cautery method, be careful not to make an incision into this rather modern external iliac artery.
Capitol quart.	Chapter four.
De cauterizacio d’emigranea antiqua.	Regarding the cauterization of an ancient external iliac artery.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you treat the external iliac artery using what we have mentioned for previous treatments and considering the different diseases, if the treatment does not work, and sometimes due to the disease which is not enough for the first cautery with medicine or fire cauterization method, then you need to ignite a knife-shaped cautery until it becomes white hot; this means applying it on the pain location along the length line of half of your finger or that one; and place your hand once and press it hard before incising the arch and preventing it from hitting the bone.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	However, it is necessary for you to be careful not to damage the continuation of the mandible, which is important for chewing and that the ligament should not adhere nor pinch the nerve running through it, preventing spasm.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	And regarding the custody and caution of blood flow from an incised artery, as there is a fear of this at the beginning of the operation, especially for those who do not know what they are doing and lack experience; leave the operation in them initially.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	And I will provide a reminder of the treatment for accidental blood flow from archery wounds according to its manner, in this very book.
E si veses de aquesta malautia que no abaste aquest cauteri e veses le cors del malaute tollerable, cauteriza aquel en le mieg loc del cap ayssi cum havem recontat, e cura la plagua entro que sia sanada.	And if you see that this illness does not require such a strong treatment and the patient's body can tolerate it, cauterize them in the middle of their head as we have described before, and treat the wound until it is healed.
