Ayssi comensan las paraulas de Albucasim .	Ayssi comensan las paraulas de Albucasim .
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	Here is the translation of the given text:
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And I was called upon by them, and prepared to loosen the ligature, and indeed it resulted in calmness and this way his pains subsided.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	However, if decay has already firmly established itself in the limb so that it cannot be checked, and there ceases to be any hope of saving the patient.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I saw another doctor who pierced an abscess with a cancerous sore that had been ulcerated for some days and the seriousness of which he belittled before his patient.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The reason for this is that the root of the ulceration was formed in the black bile, and therefore it should not be treated with iron tools but rather only at the site where the suffering occurs.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And therefore, my children, it is necessary for you to divide the operation into two parts; one part that involves an operation associated with health and another part involving work where there are greater dangers.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And I have already mentioned this in every part of this book where the operation is a mistake and to be feared; because it is necessary for you to beware of this and leave that one alone so as not to let loose talk shame you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And therefore, take up your weapons with solicitude and under the protection of God; treat your patients with ease and firmness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	Use the best path, by the grace of God, leading to salvation and praiseworthy success; leave behind those terrible diseases that are difficult to cure, and put aside your weapons, which cause you fear, so that doubt does not evade your faith and your name: for greater remains in your glory, both here on earth and beyond among your sanctities.
Gualia ja diyssec en alcunas sieuas monicios:	Wisdom has already spoken through some of its teachings:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	Do not treat bad diseases, lest you be called bad doctors.
E yeu ja he devesit aquest libre segontz tres capitols.	And I have divided this book into three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	The division of the book begins, and first in the first part:
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter is ordered, which deals with the feet, regarding the types of instruments and the tools for cauterization, as well as what is necessary for the operation.
La divisio de la segonda partida.	The division of the second part.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, regarding drying and piercing methods, cupping, plasters, and the extraction of arrows or similar objects, all thoroughly outlined with instructions on the use of various instruments.
Divisio de la tersa partida.	Division of the third part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter covers restoration and dislocation, as well as the treatment of twists and similar injuries; this chapter is specifically focused on the head and feet, detailing the methods and instruments required.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	Regarding the use of hot and sharp cauterization as well as the application of acute medicinal remedies, with reminders on performing operations.
Am aquel comensa le tractat de tot le libre.	With this, we begin the treatise for the entire book.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	I wish to discuss the quality of the iron used for this cautery and the documentation required for it, as well as in which cases cauterization is prohibited.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Therefore, I say that the discourse on the quality of cautery iron and its documentation is lengthy and verbose, subtle in its science, and hidden in secrecy; many wise men have spoken greatly about it, but they disagree, and so a small portion of their discourses suffices for me, fearing prolonging this.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	Here is my best attempt at translating the provided text into English: 
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And he said that those who say the opposite of this claim that there is benefit in cautery for all dry and cold illnesses that affect men's bodies because when you compare man's body and its moistness to fire, you find man's body cold.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I say this based on the words of the former that I already experienced this several times and it was revealed to me.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	However, it is not necessary for me to explain this matter further since the former has already been thoroughly explored and practiced in the chapter on cautery through previous experience; he understands the diversity of men's constitutions and the disposition of illnesses within their bodies, along with their causes, symptoms, and duration.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	But for other constitutions, you should have no fear; especially in the case of cold and moist illnesses where all doctors are in agreement on these matters and do not disagree about the use of cautery as a beneficial treatment.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And know, my sons, that the secret of cure by cautery with fire and its goodness is found in cautery with caustic medicine, for fire is simple; its action only affects the part being cauterized without harming other nearby parts except to a small degree.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	Moreover, the action of caustic medicine when applied to those parts that are far from the affected member can easily bring disease with a difficult cure and quickly spreads it.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	But fire, due to its excellence and the goodness of its substance, only produces superfluidity in us. And it is known to us through experimentation and a long period of study into the art that deals with the truth of causes; hence I am excused for the length of my speech. If it were not because my book is not read by this rustic person, who hides from you the secret of fire and its quality within bodies, as well as the operation through which diseases are expelled, in a philosophical demonstration speech that would have sharpened your minds.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And you know, my sons, that they disagree about the time in which it is appropriate to do cautery and consider spring to be the best time.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	I say that cautery is appropriate at all times because the harm caused by a delay due to an accident can be submerged in the benefit obtained from what is drawn out through cauterization; and this is especially true for pains or necessary evils, tumors, and fistulas, which cannot bear any delay as it could lead to greater harm arising from minor initial damage due to such delays.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	Here is my translation of the provided text: 
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	Here is the translation of the provided text: 
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	Moreover, superfluous cauterization is employed in medicine due to the speed of its effect, the strength of its virtue, and the importance of the lord's authority.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	It is possible that the illness may return at some point in time, depending on the patient's constitution, the location of their ailment, their inherent strength, and the extent to which superfluities have accumulated within them due to internal causes or external intake through food and similar sources; unless the ailment treated with cauterization is a subtle one affecting a limb that has few excesses and humors, like toothaches and similar pains, it is possible for such pain not to return in the patient - this can be achieved by doing [cauterization] gently.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	The common saying goes that cauterization is the final resort in medicine, and this is a correct statement - not because of what it entails but due to people's understanding of it; they believe that it does not constitute proper healing or benefit from medicine or any other means except cauterization.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	The reason is the opposite of what was just stated; and the intended meaning behind calling cauterization a final resort in medicine is not as people commonly believe it to be but rather when we apply various methods of healing to certain ailments without success, and thus finally administer cauterization at the end of this process - benefiting from it.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And then from here you must understand that the cautery is the last resort of medicine, not according to the intention of what common people and too many foolish doctors think.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	The ancients said that a cautery made of gold is better than one made of iron, and they said this only because of the purity and excellence of gold.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And they said that the place of cauterization does not cause harm, but this is not absolutely true, for I have proven it and found that it only causes such an effect in certain bodies, not others; thus a cautery made with gold is good and better than iron, as they claimed. However, when you use a golden cautery heated by fire, be aware of its limitations because the amount of heat produced depends on the quantity of gold you have according to its purity; the gold must be prepared in such a way that it can receive this heat, and if it is not done properly the gold will melt due to the fire's intensity. In case some of these sheets should become damaged during this process, the craftsman can provide new ones for use.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And so it is for this reason that iron cauteries are made as light as possible, and in the most precise manner to ensure accurate operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And I have already arranged this chapter about cauterization according to different chapters, and I have organized those related to the head down to the feet, so that later the reader can easily find what he is looking for.
De cauteri de dolor de cap per frigiditat e humiditat.	On the cauterization of head pain caused by coldness and moisture.
Le capitol primier.	Chapter one.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cauterization is applied to the moist and cold accident of the brain, which has two causes: one is a sore and numerous traumatic fluxes called coryza, from the head down to the temples and ears running, along with great sleepiness, toothaches, as well as throat pain. It also applies universally to any illness caused by coldness, such as paralysis, apoplexy, and similar diseases.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this cauterization is as follows: first, command the patient to be evacuated with a laxative medicine that cleanses the head; this should be done for three or four nights, depending on the nature and health of the patient, their age, and usual habits.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	Then command the patient to shave their head, and make them sit between your two hands on a chair with arms, placing their hands on their own legs.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	Then place your fingertips, along with the creases of your palm, right above his nose between his nostrils.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	However, when your finger has reached the affected area inside me, mark that spot by trying out this olive-shaped cauterization tool which comes in the following form:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	Then place it on the marked spot and handle it in such a way that your hand gradually compresses it until you rotate it.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	Then lift your hand slightly and examine the area; if you see that some part of the bone or a quantity of gravel has been exposed, raise your hand and return to the same tool or another one like it but cooled down until you notice what I have instructed you.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	Then take a little bit of salt, dissolve it on the area, and leave it there for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	Afterwards, place on him some cold leech and let it sit there until the burn scar is destroyed.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	Then cure the area with ointment made of four medications until it heals.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And they will say that when the plague remains open, the arm is better healed, for it is more beneficial and healing.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	And some say that the vein should be cauterized near the bone, and [the cauterization tool] should be held in place until a part of the outer layer of the bone becomes adhered.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	Then remove what has stuck to the bone, and it shall be healed.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	And others say that you should bring the cautery to the back [side] until it strongly presses against the bone such that the bone sinks inwards. This is called 'small alpecatti':
E estiman de aquel loc expiran la vapors del cap.	They believe that vapours from the head emanate from this place.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And if the wound remains open for a long time, it shall be healed as it becomes consolidated.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	I have not seen these two types of cauterization in practice myself but only heard about them through word-of-mouth; however, I believe that it is better for health when the head becomes debilitated due to a loss of continuity as we mentioned before with other parts of the body and especially so if the patient's head is naturally cold.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	And the first type of cautery is safer and more beneficial for me, and from that practice and with that work comes salvation.
Capitol segon.	Chapter Two.
Del cauteri del cap.	Regarding the cauterization of the head.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When there is persistent and prolonged pain throughout the entire head of a patient, after having tried various treatments such as warblers, cockroaches, leeches, plasters, poultices, sponges, hen's combs, and similar remedies, but with no improvement or benefit from any of these causes, consider this: if the head of the patient is formed in a strong constitution by nature; and it does not feel cold nor shows great pallor, then cauterize it again with another cautery device, slightly milder than the previous one.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	Then cauterize that area above their temple with a split-ring cautery.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Incise the ring and expose the bone to the extent we have mentioned earlier, then cauterize it with a cautery on the back part of the head in the place called 'vas' - which is where the cupping glass is placed.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	And I will place this cautery in its correct position, for the cautery with which you cauterize the horns of the head and the occiput is a more delicate cautery than that with which you cauterize the middle part of the head; and this is its shape.
Capitol ters.	Chapter three.
De cauterisacio de emigranea no-antiqua.	On the cauterization of non-ancient hemorrhoids.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When a hard pain arises from the back of the head or spreads inside to the eye, evacuate it with medicines that purify the head and administer other treatments I have mentioned for different illnesses; if none of these are beneficial, then cauterization can be done in two ways: either with an acrid medicine that burns out [the bad humors], or with iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	A better method of cauterization with medicine is to take a fig leaf and scrape it, then fold the two ends together.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	Then make an incision in the painful spot on the temple with a lancet so that it is at the same level as the hairline but hidden by it.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	And then press firmly on him with a bandage for a short time, and leave him like that for three hours; and then untie him and move him to another place, and leave the wound for two or three days, and then apply to it a poultice made of barley water until the area becomes warm.
E aprop cura aquel am enguent entro que sia sanat.	And then treat him with ointment so that he may be healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you wish, make these with some caustic medicines which I have written about in the second treatise on caustic medicines.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	May the cauterization be done with iron, according to this manner: take a cautery of which this is the form:" (presumably followed by an illustration or description of the shape).
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	It is called 'claus clavilhs', because its head has the form of a nail with some curvature, and in the middle of it there is a small raised area." (This description could be referring to a specific type of cautery tool used in medieval medicine).
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	And then place it on the area of pain, and keep your hand still - so that you do not move the bowstring which is underneath - and rotate the iron tool slowly with speed." (Here, 'bowstring' likely refers to a string-like structure in the body, such as a nerve or tendon).
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	Here is the translation of your first source sentence: 
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	Certainly! Here is my translation of the first source sentence: 
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And if you want to cauterize the tip of the little finger with a pointed cautery tool, be careful not to cut into the artery in that slightly older vein.
Capitol quart.	Chapter Four.
De cauterizacio d’emigranea antiqua.	On the cauterization of an older vein.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you treat the older vein using what we have discussed for previous treatments and as mentioned in the sections on illnesses, and if the treatment is not effective due to a disease that does not respond to the first cauterization method with medicine or the hot iron cautery method, then it is necessary that you ignite the knife-like cautery until it becomes white-hot. This means applying it along the length of the painful area, either halfway up the finger or whatever [area] else; and place your hand over once to hold it there so as not to cut into the bone.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	However, it is necessary for you to be careful not to damage the jawbone, which is essential for chewing and must not adhere to or harm the nerve that controls it, nor should it become spasmodic.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	And if it is about the care and caution needed for the bleeding of an opened artery, as there is fear when opening it, especially among those who do not know what they are doing and are inexperienced or unprepared; and leave such operations to them at the start.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	And I will come back to the recollection of the regimen for the accidental flow of blood from archery according to its manner, in its place within this book.
E si veses de aquesta malautia que no abaste aquest cauteri e veses le cors del malaute tollerable, cauteriza aquel en le mieg loc del cap ayssi cum havem recontat, e cura la plagua entro que sia sanada.	And if you see that this illness does not respond to the aforementioned cautery and you find the patient's body is tolerable, cauterize it in its central location on the head as we have recounted, and treat the wound until it has healed.
E si voys, aministra le cauteri le qual havem dit en le capitol de streccio de arceria am cauteri havent dos cotels, e es milhor cauterizacio aquesta e mays conferent.	And if you, administer the cautery which we have mentioned in the chapter on archery wounds using two cauteries, this is the better and more effective method of cauterization.
