Ayssi comensan las paraulas de Albucasim .	Here is my translation of your provided text: 
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	Understood. Let's continue with the translation: 
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And I was called upon to aid him; and so I prepared myself for removing the bonds, and thus achieved tranquility and some relief from his pain.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	However, if the corruption (gangrene) has already set in on the limb and cannot be halted, it will not cease spreading throughout the body until it becomes fatal for the patient.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	I also witnessed another doctor perforate a cancerous abscess that had been festering for several days while becoming increasingly virulent as its owner neglected it.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	Which is due to the fact that as the cancerous growth has its origins in melancholic humours, it should not be treated with iron but with another member of the body from which the humour can be extracted.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And for this reason, my child, it is necessary for you to design the operation in two parts; one part dedicated to healing and restoration of health, while another dedicated to the most perilous procedures.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	I have already outlined this in every chapter of the book where I discuss operations that are fraught with error and fear; it is necessary for you to ensure you keep these apart and do not mix them, lest the pages turn against each other and bring dishonour upon yourself.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And so, take up your arms with solicitude and protection from God, and bring ease and resilience to your ailments.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	Use the best path for your well-being and with God's grace, lead yourself towards healing and praiseworthy recovery. Leave behind those terrible ailments that are difficult to cure, and put aside your fears of what afflicts you so that doubt does not cloud your faith or diminish your name: for greater is what remains in your glory here on Earth and beyond to your sanctity.
Gualia ja diyssec en alcunas sieuas monicios:	Julia has already dissected some of her instructions:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	Do not treat severe illnesses, lest you be known as poor physicians.
E yeu ja he devesit aquest libre segontz tres capitols.	And I have divided this book into three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	The division of the book begins, first in the first part:
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter is an arrangement of the material within this book; it concerns feet, the instruments and tools of cauterization, and what is necessary for the operation.
La divisio de la segonda partida.	The translation of the provided text into English is as follows: 
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	Here is the translation of your provided text: 
Divisio de la tersa partida.	Divisio de la tersa partida.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter is about the restoration and treatment of dislocations, as well as curing twisting or similar issues; this chapter is organized from head to toe and describes the forms of instruments used.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	Using a cautery with fire and sharp medical tools, we recall the operation.
Am aquel comensa le tractat de tot le libre.	This begins the treatise of the entire book.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	I want to tell you about the quality of the jugments regarding that cautery and its documents, and in which case it is prohibited to use a cautery.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Therefore, I say that the discourse on the quality of the judgments regarding cautery and its documents is long and prolix, subtle due to its scientific nature, and secret, hidden knowledge; many wise people have already spoken about it and disagreed, so I will suffice with a small part of their discourses, fearing lengthiness.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And so I say that cautery can be applied universally to all conditions that have matter or will have matter, with the exception of two conditions, which are immaterial.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the case of a dry and cold condition with matter, there is disagreement; some say that cautery is beneficial for such a condition, while others argue the opposite, that cautery is not suitable for illnesses caused by qualities and dryness because the nature of fire is hot and dry, which would be detrimental to healing a condition that is already cold and dry.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And he says that whoever claims the opposite, that cauterization is beneficial for all chronic and dry diseases that affect men's bodies, because when you compare man's body and its fluids to the nature of fire, you find man's body cold.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I say this based on the words of that person, as my own experiments have shown me.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	However, it is not suitable for those who are inexperienced and have not practiced in the art of cauterization through extensive practice, understanding the diversity of human constitutions, the distribution of diseases within their bodies, as well as their causes, symptoms, and durations.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	But for other constitutions, there should be no fear [of using this method], especially in cold and humid diseases since all doctors have agreed upon them and are not divided on the beneficial use of cauterization in such cases.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And know, my sons, that of the secret of healing through cauterization with fire and its goodness is attributed to cauterization with caustic medicines [substances], for fire is simple, whose action does not pass beyond the member being cauterized nor harms the adjacent one except slightly.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	Moreover, the action of burning medicine affects those body parts from which it keeps away, and its strong odor makes diseases difficult to cure come into sick limbs very quickly.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	But fire, due to its sublimity and the goodness of its substance, does nothing but superfluous things. And it is known to us through experience and a long history of studying art about the truth of causes; and that is why I am excused from lengthening my speech. If it were not because my book is not read in this remote place where you are hidden with fire and its operation within bodies, and its expulsion by which you expel illnesses, with demonstrative philosophical speeches, which would sharpen your minds.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And you should know, my children, that they disagree about the time when it is appropriate to do cauterization and consider spring the best season for this practice.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	And I say that cauterization is suitable at any time because the harm caused by delaying it due to seasonal changes can be compensated for with what is gained through cauterization. This is especially true when dealing with necessary pains and fistulas, which cannot wait without risking further damage; a minor evil today is preferable to a greater one later on.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	Here is my translation of the provided text: 
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	Here is the translation of the first line: 
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	Moreover, superfluous cauterization [or burning] is performed due to the haste of the healer and the effectiveness of its operation and the greatness of his master.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	It is possible that the illness may return at some point in time depending on the patient's constitution and the location of their ailment, as well as their overall health and the presence of excesses within their body, along with what has been consumed through food or similar causes; however, for illnesses where cauterization is administered like subtle joint pain with few excesses and humors, such as toothaches and similar, it is possible that the pain may not return after cauterization, but this is done in a minor way.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	The common saying is that cauterization is the last resort in medicine, and this is true from a legal perspective; it refers to how people perceive it, believing that it provides no real benefit or cure beyond medicine or any other method except for cauterization.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	The reason for this is the opposite; the intention behind referring to cauterization as the last resort in medicine is not incorrect. When we apply various methods of treatment for certain illnesses and those medicines fail to provide relief, it is then that one administers cauterization at the end, and it proves beneficial.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And here is what needs to be done: although cauterization is the last resort in medicine, not according to the intention of those who understand it, namely ordinary people and too many foolish doctors.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	And the ancients said that cauterization with gold is better than iron, and they say this because of the equality of gold and the nobility of its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	They said that the place of cauterization is not harmed by gold, but this is not absolutely true, for I have proven it and found that it only does so in some bodies without others, and cauterization with it is good and better than iron, as they say; however, when you perform cauterization with fire using gold, it's not up to you to declare (the quantity), because it ignites according to the amount you want due to the delicacy of gold, and because it prepares to receive heat; and if you place it over the flame, the gold melts due to the fire, and in case some sheets are present due to the work of the artisan.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And for this reason, cauterization with iron should be done more lightly and precisely to ensure the accuracy of the operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	I have organized this chapter on cauterization according to the different chapters and those of the head within the feet, so that later the inquirer can find what they want from it.
De cauteri de dolor de cap per frigiditat e humiditat.	De cauteri de dolor de cap per frigiditat e humiditat.
Le capitol primier.	The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cauterization affects moisture and coldness in the brain, which are two causes of frequent bleeding, known as 'corissa', from the head to the parts of the arms and ears that leak fluid, and also a lot of drowsiness, toothache, sore throat, and generally all illnesses caused by coldness, such as paralysis, gout, and apoplexy.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The process of this cauterization is as follows: First, command the patient to be emptied with laxative medicine by regulating their diet for three or four nights, depending on how strong the patient's health and age are and what they usually eat.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	Then command them to shave their head with a razor and make sure they lie down between two servants on an inclined board while placing their hands upon their feet.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	Then place the edge of your palm near his nose, between its nostrils.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	Meanwhile, as your finger of the middle place has reached there, mark that place with a tent and get the olive-oil cautery which is shaped like this:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And then place that on the marked spot with force, so that it descends and gradually compresses his hand, and you turn him around.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	And then gently lift your hand and check the area; if you see that any part of the bone or skull is exposed to some degree, like the amount of an egg's width, raise your hand. If it doesn't return to the iron instrument (or another one nearby) as it cools down, take a look at what I've mentioned.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And then take a small amount of salt, dissolve it on the wound, and leave it there for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	Then place a coagulated egg in butter on him, leaving it until the burn's scab is destroyed.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	Then treat the wound with four-ingredient ointment until it heals.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And it is said that when the Roman plague arrives, a better arm is obtained, as it provides more protection and support.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	Some of them say that the skull bone should be cauterized to make an opening in it, and they hold on to the iron until some part of the membrane covering the brain adheres to it.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And now remove this which is stuck to the bone, and it shall be treated.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	And others said that the cautery should be applied to the back part of the wound, pressing strongly onto the bone until it reaches deep inside and touches the bone itself. This is the small cauterization process:
E estiman de aquel loc expiran la vapors del cap.	It is believed that from this place, the vapors of the head escape.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And if the wound remains open for a long time, it shall be treated once it has started to heal.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	I have not seen these two types of cauterization performed often, only in a few cases due to fear; however, I believe that one's health should always come first when making such decisions. This is especially true as the head can become weakened by excessive discharges and solutions, just like what we've observed in other body parts, especially if the patient has an inherently weak constitution.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	The first type of cauterization is safer and more beneficial, in my opinion, and I recommend using it for the patient's well-being.
Capitol segon.	Chapter Two.
Del cauteri del cap.	On the Cauterization of the Head.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When a patient experiences chronic and long-lasting pain in the head, and this pain persists despite using various treatments such as bloodletting, leeches, purgatives, plasters, poultices, baths, hot compresses, and other similar remedies, especially if they have already been cauterized with a cautery iron that we described but it did not provide any benefit or improvement to their condition. In this case, consider whether the patient's head is of strong constitution in its nature; if it is not fragile and receives much cold, then cauterize it again with another type of cautery, slightly less intense than the previous one.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	Then cauterize that area on their head, right above the temples, using a split cautery iron.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Open the split and expose the bone to the extent we have described, then cauterize it with a cautery on the back of the head in an area called the 'vase' - which is where the cupping glasses are placed.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And be careful with your hand there, do not expose the bone, because the patient will experience intense pain that is different from any other head cauterization procedure.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	And we will leave this cautery in place, because the cautery that is used to treat the temples and occipital areas of the head is a more delicate cautery than the one used for the top part of the head; this is its shape: [insert illustration or description]
Capitol ters.	Capitolo tre." (Chapter Three)
De cauterisacio de emigranea no-antiqua.	On the cauterization of non-ancient hemorrhoids.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When a severe headache occurs or pain spreads behind the eye, evacuate it with cleansing medicines and administer another treatment I have mentioned for various illnesses; if all this brings no relief, there are two ways of cauterization: either with a caustic medicinal substance, or with an iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	A caustic medicinal substance is made by taking a fig tree twig and stripping off its bark at both ends.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	Then make an incision at the site of pain in the temple with a lancet placed so that it is over the location where the twig was stripped, provided this location is concealed.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	Then press it with a compress to prevent any discharge and leave it for three hours; then remove the fig tree twig, take out the scabs, and let the place remain open for two or three days, then apply to it a poultice of barley gruel until the place is healed.
E aprop cura aquel am enguent entro que sia sanat.	And then treat him with ointment until he is healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you wish to prepare some caustic medicines, I have written about a few in the second treatise on caustic substances.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	The application of the cautery may be performed in this manner: ignite the cautery, which is shaped as such:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	It is called 'claw tacks', as its head resembles the shape of a nail with a slight curve, and there is a small prominence in its middle.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	Then place it on the painful area, hold your hand to prevent the bowstring from adhering (which is underneath), and turn the iron slowly with speed.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the amount that adheres to the bowstring is such that half of it sticks, raise your hand to prevent the artery from adhering (which is underneath) so that there is no outflow of blood.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	Then soak cotton in salty water and place it on the area for three days. Afterwards, apply moistened cotton with ointment until they are healed.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And if you cauterize, do so at the extremity of the radial artery according to the cautery, and be careful not to incision the artery in this rather recent migration.
Capitol quart.	Chapter Four.
De cauterizacio d’emigranea antiqua.	Regarding the cauterization of an old migration (of the body, I assume).
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you treat a migration with what we have discussed about the previous cure and in the divisions of illnesses, and it does not benefit from the cure (that is to say, the illness has progressed past the point where cauterization or fire would be effective), then you must ignite the knife-like cautery until it is white hot, as this signifies that the place of pain along the length of which is half a finger, or so; and once you have placed your hand over it once and held in incision towards the bone.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	However, it is necessary for you to be mindful of the continuity of the jaw, which is damaged due to chewing, and that the tendon should not adhere to it nor the nerve that caused this damage, and that there are no spasms.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	And if it is about the caution and care regarding the flow of blood from an artery that has been cut, as there is fear in cutting it, especially for one who does not know what they are doing or is inexperienced; and leaves the operation to them at the beginning.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	And I will come back to the recollection of the regimen for the accidental bleeding from archery wounds, in its place within this book.
E si veses de aquesta malautia que no abaste aquest cauteri e veses le cors del malaute tollerable, cauteriza aquel en le mieg loc del cap ayssi cum havem recontat, e cura la plagua entro que sia sanada.	And if you encounter this illness and find that the patient's body can withstand it without this cautery method, apply the cautery to the middle of their head as we have previously described, and treat the wound until it is healed.
E si voys, aministra le cauteri le qual havem dit en le capitol de streccio de arceria am cauteri havent dos cotels, e es milhor cauterizacio aquesta e mays conferent.	And when you administer the cautery that we have mentioned in the chapter on stretching archery wounds with two cautery irons, this method of cauterization is better and more effective.
Capitol .v.	Chapter 5:
De cauterisacio de las dolors de aurelhas.	De cauterisacio de las dolors de aurelhas.
