¶ De utilitate Phlebotomiae, et cautelis in ea obseruandis.	On the usefulness of bloodletting, and the precautions to observe in it.
Si ergo aperitur uena ex uice una, tunc bonum est.	If then the vein opens with one attempt, that is good.
Et si non, tunc itera illud uice alia sub illo loco parum, aut supra ipsum cum festinatione: si non apostematur locus.	And if not, then repeat it with another attempt a little below or above that spot, with quickness, unless the area becomes inflamed.
Quod si apostematur, aut expauescit infirmus, tunc dimitte eum die, aut duobus diebus: et non stringat ligamentum.	But if the area becomes inflamed, or the patient grows fearful, then leave him for a day or two, and do not tie the binding.
Fortasse enim attrahet apostema calidum.	For it may draw a warm inflammation.
Neque ingrediatur balneum.	Nor should he enter a bath.
Deinde iteret phlebotomiam, si amat.	Then let him repeat the bloodletting, if he wishes.
Quod si apertio est parua, aut currit sanguis subtiliter: et times ut non egrediatur ex sanguine quantitas quam uis: tunc itera phlebotomum in foramine ipso secundum rectitudinem, et adde in operatione parum.	But if the opening is small, or the blood flows subtly, and you fear the desired amount may not exit, then insert the lancet again in the same opening straightly and add a bit to the procedure.
Et fac illud cum festinatione, antequam apostemetur locus, apostematus enim locus est in multis hominibus apud operationem paruam.	And do this quickly, before the area becomes inflamed, for in many people, a small procedure leads to an inflamed area.
Si ergo uides ipsum iam apostematum, tunc non iteres super ipsum omnino, non enim excusat apud te aliquid.	If you see that it is already inflamed, then do not repeat on it at all, for nothing excuses it to you.
Et pone super ipsum aliquid ex faece olei: quoniam alleuiat cursum sanguinis.	And place something of the oil sediment on it, for it alleviates the flow of blood.
Et est melior in hoc loco quam oleum ipsum, et quam reliqua olea.	And it is better in this case than oil itself or other oils.
Et similiter administra faecem olei in omni phlebotomia tua, qua phlebotomas uenas apud prohibitionem cursus sanguinis: et faciunt illud tyriaca alfarach, et sagzenea, quando ponitur ex una earum super locum.	Similarly, use oil sediment in all your bloodlettings, in which you treat veins with a restriction on blood flow: alfarach antidote and sagzenea do this when one of them is placed on the area.
Sanguis enim subtiliatur et resoluitur, quando est grossus.	For the blood is thinned and dissolved when it is thick.
Quod si accidat in loco phlebotomiae apostema magnum, nam multotiens accidit, praecipue ei qui non est phlebotomatus nisi uice illa, aut est apertio uenae parua, tunc propera et pone super locum spongiam infusam in aqua et sale, calefacta parumper: et stringe eam hora una: quoniam soluitur.	But if a large inflammation occurs at the site of bloodletting, as often happens, especially to one who has only been bled that time, or if the vein opening is small, then quickly place a sponge soaked in water and salt, slightly heated, on the area, and press it for an hour, for it will dissolve.
Et oportet, ut facias illud post exitum sanguinis ex uena ipsa, cum complemento sui, aut ex uena alia.	And you should do this after the blood has exited from that vein fully, or from another vein.
Quod si remanet in loco post dies aliquid nigredinis, aut uiriditatis, non nocet illud: et si uis, pone super ipsum aliquid aloe, aut myrrhae solutorum: aut aliquid ex succo menthastri, id est, calamenti aut simile illius.	If, after some days, something dark or green remains in the area, it is not harmful; and if you wish, place on it some dissolved aloe or myrrh, or something of the juice of pennyroyal, that is, calamint or something similar.
Et multotiens quidem accidunt apostemata et eminentiae apud phlebotomiam Basilicae.	And indeed, often inflammations and swellings occur with bloodletting of the Basilic vein.
Pone ergo manum tuam super ipsam, tunc si inuenis molliciem apud compressionem tuam super ipsam, tunc illa eminentia est mala.	Therefore, place your hand on it, and if you find softness upon your pressing it, then that swelling is bad.
Caue ergo, ut ponas super eam aliquid ex eo quod diximus.	Be careful, then, not to place on it anything from what we have mentioned.
Nam fortasse fluet ex ea sanguis arteriae.	For blood from the artery may flow from it.
Sed fac emplastrum ei cum eo in quo est stipticitas, ut induretur locus.	But make a plaster for it with something astringent, so that the area becomes firm.
Deinde cura ipsum cum reliqua curatione, donec sanetur.	Then treat it with the remaining treatment until it heals.
Et oportet, ut extrahas omni homini ex sanguine secundum quantitatem uirtutis suae.	And you must extract blood from every person according to the measure of his strength.
Et quod apparet ex colore uincente super sanguinem.	And from what appears as the dominant color in the blood.
Nam sanguis si est niger, tunc dimitte ipsum exire, donec rubeat: et similiter si uides ipsum grossum: tunc dimitte eum, donec subtilietur: et similiter si est acutus, donec auferatur acuitas eius.	For if the blood is black, then let it flow out until it becomes red; similarly, if you see it thick, then let it flow until it becomes thinner; and similarly if it is sharp, until its sharpness is removed.
Et oportet ei qui est plenus, fortis, et indiget extractione sanguinis uice una, ut amplificetur phlebotomia uenae, et sit phlebotomus latus: et in eo qui est debilis, sit econtrario illius.	And if someone is full, strong, and requires blood extraction all at once, the bloodletting incision should be widened, and the lancet should be broad; and for someone who is weak, the opposite should be done.
Et oportet, ut extrahat ipsum in uicibus, et ut sit foramen strictum: et melius quod administratur in phlebotomia uenae est, ut sit transuersa sectio, non punctura.	And it should be drawn out in stages, and the opening should be narrow: the best method in venous bloodletting is a transverse cut, not a puncture.
Et iste modus phlebotomiae est saluus a fluxu sanguinis, et ab incisione nerui: et est laudabilior, et saluior quam phlebotomia per latitudinem et longitudinem.	And this method of bloodletting is safe from excessive blood flow and from cutting a nerve: it is more praiseworthy and safer than bloodletting along the width or length.
Et cui consueuit peruenire apud phlebotomiam syncopis, oportet ut cibes ante phlebotomiam modico pane infuso in aqua granati muzi: aut secaniabin, si est calefactus: et extrahas ei ex sanguine in tribus uicibus, aut quatuor.	For one who is accustomed to experiencing fainting during bloodletting, it is necessary to feed him before bloodletting a small amount of bread soaked in water with pomegranate juice, or secaniabin if he is warm; and draw blood from him in three or four sessions.
Et si est infrigidatae complexionis, tunc accipiat ante phlebotomiam panem infusum in syrupo miua, aut in syrupo de melle aromatizato cum speciebus, aut in syrupo aromatizato odorifero.	If his constitution is cold, then he should take before the bloodletting bread soaked in syrup of quince, or in syrup of honey aromatized with spices, or in a fragrant aromatic syrup.
Quod si accidat syncopis apud phlebotomiam, et est caussa eius exitus sanguinis multi: tunc oportet, ut sumat in potu aquam carnis, et syrupum odoriferum subtilem: et utatur aromaticitate cum algalia, et liniatur pectus eius cum ea: et utatur reliquis quae diximus in diuisione in capitulo syncopis ex euacuatione.	But if fainting occurs during bloodletting, and it is due to excessive blood loss, he should then drink meat broth and a fine, fragrant syrup, use aromatics with musk, anoint his chest with it, and use the other remedies we have discussed in the section on fainting from evacuation.
Qui autem uult euentare brachium suum, et soluere sanguinem suum secundo: oportet ei cuius phlebotomia est propter euacuationem multam, et uirtus eius est debilis, ut soluat sanguinem paulatim per quantitatem uirtutis in diebus continuis.	For one who wishes to let his arm breathe and release blood a second time: if the bloodletting is for significant evacuation and he has weak strength, he should release blood gradually according to his strength over continuous days.
Qui uero uult euentare brachium suum, et soluere sanguinem suum secundo, et est corpus eius forte: tunc faciat illud post septem horas, aut nouem a phlebotomia sua prima.	However, if he wishes to let his arm breathe and release blood a second time and he is strong, then he should do so after seven or nine hours from his first bloodletting.
Qui autem uult attrahere sanguinem ex corpore suo ad contrarium partis ad quam declinat: oportet ut euentetur ei in die secundo, aut in tertio.	For one who wishes to draw blood from his body opposite to the side where it tends to accumulate, it should be let on the second or third day.
In cuius uero corpore est sanguis multus iam calefactus, et acuitur, et facit accidere febrem: oportet, ut egrediatur ex eo sanguis in uice una, et extrahatur ex eo quantitas multa: et amplificetur apertio usquequo accidat syncopis: postquam tu fueris conseruans omnes conditiones phlebotomiae: et ut ponas manum tuam super pulsum eius apud cursum sanguinis, ut non accidat mors loco syncopis.	But if there is much blood in his body that has already become warm and sharp, causing fever, blood must exit in one session, and a large quantity should be drawn, with the incision widened until fainting occurs, all while observing all the conditions of bloodletting. Place your hand on his pulse during the blood flow, so that death does not occur in place of fainting.
Multotiens enim accidit illud, quando ignorat phlebotomator, et cadit negligentia.	For this often happens when the bloodletter is ignorant, and negligence occurs.
Et non oportet quando uis soluere brachium, et soluere sanguinem secundo, cum iam clausum sit orificium uenae, et fiat difficilis exitus sanguinis, ut prematur super ipsum cum uehementia, et curuatum extendatur uelociter.	And it is not appropriate, when you wish to release the arm and draw blood a second time, with the vein's orifice now closed and the blood's exit becoming difficult, to press on it forcefully and to quickly extend it after bending.
Nam illud est malum ualde, imo dimitte ipsum, donec phlebotometur secundo.	For this is very harmful; instead, leave it until it can be bloodlet a second time.
Aut remoue cum acuitate phlebotomi illud quod coagulatum est ex sanguine in orificio uenae, et pone super ipsum aliquid salis dissoluti in aqua.	Or carefully remove what has coagulated from the blood in the vein’s opening, and place on it something of salt dissolved in water.
Et pone super ipsum aliquid ex tyriaca alfaroch, aut sagzenea, et pone ipsum compressione leni, donec egrediatur sanguis.	And place on it something from alfaroch or sagzenea, applying it with gentle compression until the blood exits.
Si uero iam apostemata est uena, tunc dimitte eam, et non tegas eam, donec sedetur apostema.	But if the vein is already inflamed, then leave it and do not cover it until the inflammation subsides.
Quod si necessitas prouocat ad soluendum sanguinem secundo, et non est excusatio, tunc aut phlebotoma ipsum supra illum locum, aut in brachio alio in uena alia.	If necessity demands releasing blood a second time and there is no excuse, then either bloodlet above that spot or on the other arm in a different vein.
Funis autem brachii phlebotomatur loco Fuscae, et Basilicae, cum non inueniuntur, et sunt occultae, quoniam est composita ex eis.	The cord of the arm is bloodlet at the location of the Fusca and Basilic veins, when they cannot be found and are hidden, as it is formed from them.
Et qualitas phlebotomiae eius est, ut intromittat infirmus manum suam in aqua calida, donec rubeat focile, et appareat uena manifeste.	And the manner of this bloodletting is that the patient should place his hand in warm water until the palm reddens, and the vein becomes clearly visible.
Deinde stringatur super ipsam cum ligamento parum constrictione media.	Then it should be lightly bound over the vein with moderate constriction.
Deinde phlebotoma secundum transuersationem paulatim, non latitudinaliter, neque secundum longitudinem: et sit apertio ampla, et sit phlebotomia tua qua eam phlebotomas super iuncturam manus parumper.	Then, bloodlet it gradually across, not horizontally nor lengthwise; the opening should be wide, and your incision for bloodletting should be slightly above the wrist joint.
Quod si prohibetur exitus sanguinis, tunc itera manum in aqua calida, et dimitte sanguinem currere in aqua, donec consequaris necessitatem tuam.	If the blood flow is restricted, then immerse the hand in warm water again, and let the blood flow into the water until you achieve your goal.
Si autem fueris in diebus aestatis, tunc excusaris ab iteratione manus in aqua calida.	If it is during the summer, then you are excused from reimmersing the hand in warm water.
Et plurimum quidem ponitur cursus sanguinis in aqua calida in tempore hyemis.	And indeed, the flow of blood is most often placed in warm water during winter.
Et phlebotomia huius venae est saluior omnibus venis, quoniam non est sub ea vena pulsatilis, neque nervus.	Bloodletting from this vein is safer than from all other veins, as there is no pulsating vein or nerve beneath it.
Phlebotomia vero Saluatellae manus dextrae, est conferens aegritudinibus epatis.	Bloodletting from the Salvatella vein of the right hand is beneficial for liver ailments.
Et qualitas phlebotomiae eius est, ut stringas mahason manus cum ligamento, aut manu tua, postquam tu intromittis eam in aquam calidam, donec infletur vena, et demonsteretur sensui valde.	The manner of this bloodletting is to bind the mahason of the hand with a band or your own hand, after immersing it in warm water until the vein swells and becomes easily palpable.
Deinde phlebotoma eam transuersando.	Then, bloodlet it by making a transverse incision.
Et si incidis eam totaliter, non nocebit ei illud in aliquo.	And if you cut it entirely, it will cause no harm at all.
Et conserva, ne ultimes manum tuam cum phlebotomo.	Take care not to apply excessive pressure with your hand when using the bloodletting instrument.
Sub ea enim sunt nervi digitorum denudati ex carne.	For beneath it lie the finger nerves, exposed without much flesh.
Deinde itera manum ad aquam calidam, et dimitte currere sanguinem in ea.	Then, immerse the hand in warm water again and allow the blood to flow into it.
Nam si tu non iteras eam in aqua calida, coagulatur sanguis in orificio venae, et prohibetur a cursu.	If you do not immerse it again in warm water, the blood coagulates in the vein’s opening, blocking the flow.
Cum ergo extraxeris ex sanguine quantitatem necessitatis, tunc pone super venam oleum et sal: ut non consolidetur velociter.	Once you have drawn the necessary amount of blood, apply oil and salt to the vein to prevent rapid closure.
Et similiter oportet, ut facias cum omni ramo stricto.	And you should do likewise with any narrow branch vein.
Iuvamentum vero phlebotomiae eius ex manu sinistra, est: quoniam est conferens ad aegritudines splenis: et similiter fac in phlebotomia eius, sicut fecisti in secunda aequaliter.	The benefit of bloodletting from the left hand is that it aids ailments of the spleen; perform this bloodletting in the same way as for the right hand.
Saphenae autem phlebotomiae iuvamentum, est ad aegritudines quae sunt in inferiori parte corporis, sicut aegritudines matricum, et retentionem menstruorum, et infirmitates renum, et ulcera coxarum et crurium antiqua, et similia ex aegritudinibus.	Bloodletting from the saphenous vein is beneficial for ailments in the lower body, such as uterine conditions, menstrual retention, kidney ailments, chronic ulcers on the hips and legs, and similar conditions.
Et qualitas phlebotomiae eius est, ut intromittat infirmus pedem suum in aquam calidam: et faciat super ipsum fricationem, donec exuberent venae: et liga supra iuncturam pedis cum corrigia.	The manner of bloodletting from this vein is for the patient to place his foot in warm water and rub it until the veins swell, then bind it above the ankle with a strap.
Et venae quidem locus est apud calcaneum, apparens versus pollicem: et ramificantur ex ea in facie pedis rami multi.	The location of the vein is near the heel, appearing toward the big toe, and it branches out with many branches over the surface of the foot.
Phlebotoma ergo eam in ampliore ramo eius, aut apud calcaneum in aggregatione eius: quoniam est melius et saluius.	Bloodlet from a larger branch of it, or at its cluster near the heel, as this is better and safer.
Quod si phlebotomas eam in facie pedis, tunc caue a nervis qui sunt sub ea super faciem pedis.	If you bloodlet it from the top of the foot, take care to avoid the nerves that lie beneath the surface.
Et pone phlebotomiam tuam qua eam phlebotomas ex transuerso, quasi tu velis incidere eam: et sit phlebotomus Nesil.	And position your incision for bloodletting transversely, as if you intend to cut it; the incision should be Nesil.
Si autem prohibetur exitus sanguinis, tunc itera pedem eius in aqua calida: et dimitte sanguinem currere in eam, donec evacuatur.	If the blood flow is restricted, immerse the foot in warm water again and let the blood flow into it until evacuated.
Quod si errat venam phlebotomator in prima vice, tunc iteret cum phlebotomia ad superiora parumper, nam locus est saluus, et non times ex eo maliciam, quando tu caues a nervis, sicut diximus.	If the bloodletter misses the vein on the first try, then retry slightly above, as the area is safe, and there is no need to worry about harm if you avoid the nerves as instructed.
Et similiter cum Saphena pedis alterius aequaliter.	Do likewise for the saphenous vein of the other foot.
Venae autem Sciaticae locus, sicut diximus, est apud calcaneum ex latere syluestri.	The location of the sciatic vein, as we have said, is near the heel on the outer side.
Et iuvamentum phlebotomiae eius est, ad dolorem anchae, quando est propter sanguinem calidum.	Bloodletting from it relieves hip pain when caused by hot blood.
Et qualitas phlebotomiae eius est, ut ingrediatur infirmus balneum, et festinet: et stringe crus eius a latere anchae usque supra calcaneum quatuor digitis, cum vitta subtili longa: non enim apparet nisi propter illud.	The manner of bloodletting is for the patient to enter a bath and hurry, then tie his leg from the side of the hip down to above the heel with a long, narrow band four fingers wide, as it is not visible otherwise.
Quando ergo apparet, tunc phlebotoma eam secundum quodcumque ingenium est tibi possibile, aut secundum transuersionem: et est melius, aut ut incidas eam incisione, aut seces eam sectione.	When it becomes visible, bloodlet it in whatever way you find possible, or transversely, which is better, or by making a cut or incision.
Locus enim eius est saluior, et ipsa est in pluribus hominibus occulta valde.	Its location is safer, and in most people, it is very concealed.
Quod si non inuenis eam, et non apparet sensui omnino: tunc phlebotoma aliquem ramum eius, et est ille qui apparet in dorso pedis, et versus auricularem: et caue a nervis, et fac currere ex sanguine quantitatem quam vis.	If you cannot find it and it is entirely hidden to the senses, then bloodlet from one of its branches, namely the one that appears on the top of the foot toward the little toe; avoid the nerves, and allow the desired amount of blood to flow.
Deinde solue stricturam, et pone super locum phlebotomiae corium, et stringe locum.	Then loosen the binding, place leather over the bloodletting site, and bind the area.
Velociter enim sanatur.	It will heal quickly.
¶ De Ventosatione, et qualitate usus eius.	On Cupping and the nature of its use.
Caput XCVIII.	Chapter 98.
Uentosae fiunt ex cornibus, et ex aere, et ex uitro.	Cups are made from horns, metal, and glass.
Et Ventosatio quidem fit secundum duos modos.	And cupping is indeed done in two ways.
Cum scarificatione, et extractione sanguinis: et alter est uentosatio sine scarificatione.	With scarification and blood extraction; and the other is cupping without scarification.
Et haec Ventosatio quae est sine scarificatione, est secundum duos modos.	And this cupping, which is without scarification, is also done in two ways.
Aut enim est cum igne.	For it is either with fire.
Aut est absque igne.	Or it is without fire.
Et uentosis quae administrantur cum scarificatione et extractione sanguinis sunt quatuordecim loca corporis.	And there are fourteen places on the body where cupping is applied with scarification and blood extraction.
Quorum unus est, Ventosatio Alnocrati, et est postremum capitis: et Alkehel, et est medium colli: et uentosae Alhagdahim, et sunt duae laminae colli a duabus partibus simul: et uentosae menti, et est sub mandibula in inferiori oris: et uentosae duarum spatularum: et uentosae Alachosos super finem caudae: et uentosae duorum focilium, et sunt medium duorum brachiorum: et uentosae duorum crurium: et uentosae duarum cauillarum.	One of these is the cupping of Alnocrati, which is at the back of the head; and Alkehel, which is at the middle of the neck; and the cupping of Alhagdahim, which is on the two sides of the neck at the two blades; and the cupping of the chin, which is below the jaw at the lower part of the mouth; and the cupping of the two shoulder blades; and the cupping of Alachosos above the end of the tail; and the cupping of the two elbows, which is the middle of the two arms; and the cupping of the two thighs; and the cupping of the two ankles.
Et Ventosatio quidem non extrahit sanguinem tibi ex uenis minutis sparsis in carne, et propter illud non cadit uirtus ex eis, sicut est casus eius ex phlebotomia.	And indeed, cupping does not draw blood from the small veins scattered in the flesh, and therefore the strength does not diminish from them, as it does in phlebotomy.
Neque oportet, ut administretur uentosatio siue cum igne, aut absque igne in aliqua aegritudinum quae fiunt ex repletione, donec euacuetur totum corpus.	Nor is it appropriate to administer cupping, either with fire or without fire, for any illness caused by fullness, until the entire body is evacuated.
Quod si necessitas prouocat ad Ventosationem ex aegritudine, aut propter consuetudinem, administramus eam in omni hora in principio mensis, in fine eius, et in medio ipsius, et in quocumque tempore fuerit.	But if a need for cupping arises due to illness or habit, we administer it at any time, at the beginning of the month, at its end, and in its middle, and at any other time.
Quod est, quia ex hominibus est qui quando multiplicatur in eo sanguis, donec indiget extractione eius per uentosationem, inuenit in capite suo grauedinem, et sodahan.	For there are people in whom, when blood multiplies to the extent that cupping extraction is needed, they experience heaviness and dizziness in their head.
Et ex eis est qui inuenit repletionem et rubedinem in facie sua, capite suo, et collo suo.	And some of them feel fullness and redness in their face, head, and neck.
Et ex eis est qui inuenit pruritum in facie sua, et fronte sua, et tenebrositatem, et hebetudinem in oculis suis.	And some of them experience itching in their face and forehead, dimness, and dullness in their eyes.
Et ex eis est qui scalpit locum uentosationis suae.	And some of them scratch the place of their cupping.
Et ex eis est cuius risus multiplicatur.	And some of them experience an increase in laughter.
Et ex eis est qui inuenit gustum sanguinis in ore suo: aut apostematur lingua, et expuit sanguinem.	And some of them taste blood in their mouth; or their tongue swells, and they spit blood.
Et ex eis est cuius somnus multiplicatur.	And some of them experience an increase in sleep.
Et ex eis est qui uidet in somno suo sanguinem et rubedinem, et interfectos, et plagas, et quae sunt similia illis.	And some of them see blood and redness, the dead, wounds, and similar things in their dreams.
Quando ergo uidemus aliquid ex illis, et proprie si est in tertia media mensis: praecipimus tunc uentosationem fieri, postquam praeterierunt de die duae horae, aut tres.	When, therefore, we observe any of these signs, particularly if it is in the middle third of the month, we then order cupping to be performed after two or three hours of the day have passed.
Iuuamentum autem Ventosationis nuchae, est: quoniam ipsa confert ad grauitatem in capite, et quod effunditur ad oculos.	The benefit of cupping the nape is that it relieves heaviness in the head and benefits the eyes.
At uero oportet, ut sit illud post euacuationem totius corporis.	However, it should be done after the entire body has been evacuated.
Et haec quidem Ventosa est loco phlebotomiae Cephalicae.	And this cup indeed serves in place of the cephalic phlebotomy.
Et non licet, ut utatur ea qui est frigidae complexionis, aut in quo est catarrus.	And it is not permitted for those of cold complexion, or those with catarrh, to use it.
Nam infert ei nocumentum magnum.	For it brings great harm to them.
Et propter illud non oportet, ut utantur ea senes, et in cuius capite sunt aegritudines frigidae.	And for this reason, the elderly and those with cold illnesses in the head should not use it.
Qui autem super eam fit assiduus, generatur super eum obliuio.	And whoever uses it frequently will develop forgetfulness.
Et propter illud oportet, ut praecipias Ventosatori, ut deponat manum suam cum uentosa parumper ad inferiora, timendo ex generatione obliuionis.	And because of this, you should instruct the cupper to lower his hand with the cup a bit, for fear of causing forgetfulness.
Ventosatio aut Alkehel, est loco phlebotomiae Fuscae, et phlebotomiae Basilicae, et propter illud confert asmati, et constrictioni anhelitus, et fissurae instrumenti anhelitus, et tussi, et repletioni.	The cupping of Alkehel serves as an alternative to dark and basilic phlebotomy, and thus it helps with asthma, difficulty in breathing, fissures of the respiratory organ, cough, and fullness.
Et oportet, ut impellatur Ventosa Alkehel parumper, quoniam si ponitur inferius, generat debilitatem in corde, et stomacho.	And the Alkehel cup should be applied gently, for if it is placed too low, it weakens the heart and stomach.
Ventosatio uero alhagdahim, confert doloribus accidentibus in capite, et obtalmiae, et hemigraneae, et perforationi, et dolori in radicibus dentium: et est loco phlebotomiae Basilicae.	The cupping of Alhagdahim helps with pains occurring in the head, eye inflammations, migraines, perforations, and pain at the roots of the teeth; and it serves as an alternative to basilic phlebotomy.
Et oportet, ut praecipias Ventosatori, ne premat manum suam cum scarificatione: ut non incidat arteriam, et accidat fluxus sanguinis.	And you should instruct the cupper not to press his hand during scarification, so that he does not cut an artery and cause a blood flow.
Ventosatio autem sub mento, confert alcolae in ore, et corruptioni gingiuae, et similibus eis ex aegritudinibus quae sunt in ore: et stat loco phlebotomiae alieherich, quae sunt in duobus labiis.	Cupping under the chin benefits conditions in the mouth, such as ulcers and gum disease, and similar illnesses in the mouth; it serves in place of the phlebotomy of alieherich, which is in the two lips.
Ventosatio autem spatularum, confert ad alchafacham, quae fit ex replexione, et caliditate.	Cupping on the shoulder blades benefits alchafacham, which arises from fullness and heat.
Ventosatio uero interiorum partium duorum focilium, confert iuuamentum phlebotomiae uenarum trium, Basilicae, et Fuscae, et Cephalicae: quoniam ipsa attrahit sanguinem ex omnibus illis uenis minutis, quae sunt in carne: et attrahunt illae uenae minutae ex uenis aliis grossioribus eis, donec peruenit attractio ad uenas tres.	Cupping on the inner parts of the two elbows serves as an aid to the phlebotomy of the three veins: basilic, dark, and cephalic; for it draws blood from all the small veins in the flesh, and these small veins draw from the larger veins, until the attraction reaches the three main veins.
