¶ De restauratione fracturae ossium, quando est cum vulnere.	On the Restoration of Bone Fractures When There is Also a Wound
Quarum una est, multitudo solutionis ligamenti et ligationis eius non secundum quod oportet: aut propter superfluitatem stricturae ligamentorum, donec prohibeatur nutrimentum currere ad membrum: aut propter multitudinem embrocationis superfluae in non sua hora: aut propter paucitatem sanguinis in corpore infirmi, et debilitatem eius.	One reason is the frequent loosening and improper binding of the ligament, or due to the excessive tightness of the bindings, which prevents nourishment from reaching the limb; or due to excessive embrocation at the wrong time, or due to a lack of blood in the patient's body and their weakness.
Et curatio illius est, cibare infirmum, et tenerum facere corpus eius, donec multiplicetur sanguis in eo.	The treatment is to feed the patient and to soften their body until blood increases in it.
Et administra balneum.	And administer baths.
Et intromitte gaudium et laeticiam super eum.	Introduce joy and cheerfulness to the patient.
Deinde pone picem super membrum: ut attrahat pix ad ipsum nutrimentum multum.	Then place pitch on the limb, so that the pitch draws much nourishment to it.
Et assiduet embrocationem eius cum aqua tepida, donec currat nutrimentum, et redeat ad figuram suam naturalem.	And continually apply embrocation with warm water until nourishment flows and the limb returns to its natural shape.
¶ De curatione ossium fractorum quando restaurantur tortuose.	On the treatment of broken bones when they heal crookedly.
Caput XXIII.	Chapter 23.
Quando accidit membro iam restaurato post sanationem eius tortuositas, et eminentia ossi fracto, aut nodatio: et foedatur per illud forma membri, uerumtamen membrum non prohibetur ab operatione sua naturali: tunc non oportet ut recipias sermonem eius, qui existimat, ut frangatur membrum denuo.	When, after healing, a crookedness, protrusion of the broken bone, or a knotting occurs in the limb and this distorts the shape of the limb, but does not prevent it from its natural function, then do not follow the advice of anyone who suggests breaking the limb again.
Et iam fuerunt multi stolidorum medicorum et restauratorum, qui fecerunt illud in terra nostra.	Many foolish doctors and restorers in our land have done this.
Et haec quidem operatio est uituperabilis ualde, perducens ad mortem, uel timorem magnum, ut scilicet sit mortalis.	This procedure is indeed highly blameworthy, leading to death or great fear, as it is potentially fatal.
Verum si claudicatio et nodatio sunt recentes: tunc oportet, ut embrocetur cum aqua tepida, in qua decoctae sint herbae mollificantes, sicut folia alteae, et radix eius, et mellilotum, et illis similia.	But if the limp and knotting are recent, then they should be massaged with warm water in which softening herbs, like marshmallow leaves and root, and sweet clover, and similar herbs, have been boiled.
Et fiat ei emplastrum cum emplastro mollificatiuo, sicut dyachilon decenter factum.	Apply a plaster made with a softening plaster, such as properly prepared dyachilon.
Aut sumatur mucilago radicis alteae, et concutiatur cum adipe gallinae, aut oleo sisamino: et emplastretur cum eo.	Or take marshmallow root mucilage, mix it with chicken fat or sesame oil, and apply it as a plaster.
Aut sumantur ficus pingues, et terantur cum fimo columbino, et similibus eis quae nominantur ex medicinis diminuentes consolidationem.	Or take fat figs, grind them with pigeon dung, and similar ingredients known among medicines that reduce hardening.
Et quandoque soluitur nodatio cum fricatione assidua, antiqua, et leni, quae fit cum manibus humidis.	Sometimes, the knotting loosens with gentle, prolonged, and careful rubbing done with wet hands.
Et administretur motus membri ad omnem partem in horis omnibus.	Move the limb in every direction at all times.
Si autem tortuositas iam antecessit, et fortis facta est, et conuersa est in lapidem, et prouocata est necessitas ad curatonem eius cum ferro: tunc oportet, ut secetur superius eius, et soluatur continuatio ossis, et incidatur quod superfluit ex nodatione aut osse cum Incisoriis subtilibus: et administretur facilitas in illo cum sollicitudine et studio.	If the crookedness is longstanding, has become strong, and has turned to stone, and there is a need to treat it with metal tools, then it is necessary to cut above it, to separate the bone union, and to remove the excess from the knot or bone with fine cutting tools, applying ease and care.
¶ De sermone in Dislocatione.	On the discussion of dislocation.
Caput XXIIII.	Chapter 24.
Dislocatio est exitus alicuius iuncturarum a loco suo.	Dislocation is the displacement of a joint from its natural position.
Quare prohibetur a motu suo, et foedatur figura membri.	Thus it is prevented from movement, and the limb’s form is disfigured.
Et facit accidere super infirmum dolores, et laesiones uehementes.	It causes the patient severe pain and injury.
Quando ergo accidit alicui dislocatio, tunc oportet festinare ad restaurationem eius: neque tardet eam omnino.	Therefore, when a dislocation occurs, it is necessary to quickly restore it and not delay at all.
Nam si tardatur, apostematur locus, et fortasse cum eo reductio dislocationis.	For if delayed, the area may become inflamed, and perhaps hinder the reduction of the dislocation.
Propter illud ergo non oportet, ut moueatur, neque extendatur in hora apostemationis eius.	For this reason, it should not be moved or extended when it is inflamed.
Quoniam multotiens facit accidere spasmum, et dolores laedentes.	Since often it causes spasms and harmful pains.
Verum quando accidit illud, tunc oportet, ut properes ad phlebotomiam infirmi.	But when this happens, you must promptly perform bloodletting on the patient.
Deinde dimittatur, donec quiescat apostema.	Then leave it until the inflammation subsides.
Deinde embrocetur membrum cum aqua calida et oleo.	Then rub the limb with warm water and oil.
Deinde reducatur cum facilitate.	Then it should be reduced with ease.
Et curetur omne membrum cum eo cuius rememoratio ueniet in loco suo.	And treat every limb with the appropriate remedy, which will be discussed in its proper place.
Ego quidem iam ordinaui capitula dislocationis, etiam secundum quod praecessit in fractura, a superiori parte corporis usque ad inferiorem eius.	Indeed, I have already organized the chapters on dislocation, just as in fractures, from the upper part of the body to the lower.
¶ De cura dislocationis Mandibulae inferioris.	On the treatment of dislocation of the lower jaw.
Caput XXV.	Chapter 25.
Parum dislocantur duae Mandibulae nisi raro.	The two sides of the jaw rarely dislocate.
Et dislocatio ambarum fit secundum unum duoru modorum.	When both are dislocated, it occurs in one of two ways.
Aut enim remouentur a locis suis remotione parua, et mollificantur parumper.	Either they are displaced slightly, becoming somewhat loosened,
Aut dislocantur dislocatione integra, completa, donec mollificentur ad partem pectoris, donec currat saliua infirmi, et non possit tenere eam, neque possit claudere os suum, et inuoluatur lingua eius cum sermone.	Or they are entirely dislocated, so that they fall toward the chest, causing saliva to flow uncontrollably, preventing the patient from closing the mouth, and causing the tongue to interfere with speech.
Quando autem dislocatio eius est parua, tunc redit in pluribus dispositionibus per se cum paucitate.	When the dislocation is minor, it often returns to its normal position on its own with minimal intervention.
Si uero est dislocatio completa, integra: tunc oportet, ut administretur reductio eius uelociter, et non tardetur penitus. Et est, ut teneat minister caput infirmi: et intromittat medicus pollicem manus suae unius in radicem Mandibulae dislocationis inter os eius, si dislocatio est a parte una.	But if the dislocation is complete, it is necessary to reposition it quickly, without any delay. To do this, an assistant should hold the patient’s head still, while the physician inserts the thumb of one hand along the root of the jaw’s dislocation, on one side if only one side is dislocated.
Aut intromittat duos pollices suos simul, si dislocatio est a duabus partibus.	Or, if both sides are dislocated, the physician should insert both thumbs simultaneously.
Et reliqui digiti manuum eius sint extra, quibus aequet.	The other fingers should be placed outside to steady the movement.
Et praecipe infirmo, ut mundificet Mandibulas suas, et absoluat eas ad manducandum ad omnem partem.	Instruct the patient to relax the jaw, as if preparing to chew from side to side.
Et medicus aequet Mandibulam, et impellat Mandibulam, donec redeat ad locum suum.	Then the physician should gently push the jaw, guiding it back into its position.
Quod si difficilis sit reductio eius, praecipue si sunt ambae Mandibulae simul: tunc administra uaporationem cum aqua calida, et oleo, donec fiat facilis reductio ambarum: neque tardes reductionem ambarum omnino, sicut diximus.	If repositioning is difficult, especially when both sides are dislocated, then apply warm steam with water and oil until the jaw can be repositioned more easily. Do not delay the procedure.
Cum ergo redeunt et aequantur, et clauditur os infirmi, et non mollificantur: tunc pone super eas puluillos pannorum, cum ceroto quod sit factum ex cera: et oleo rosato.	Once the jaw is realigned and the patient can close the mouth without looseness, place small cloth pads over the area, with a plaster made of wax and rose oil.
Deinde ligetur cum facilitate cum ligamentis mollibus.	Then gently secure it with soft bindings.
Et sit somnus infirmi super dorsum suum: et caput eius sit stans inter duo puluinaria, ut non moueat ipsum ad dextram et sinistram: neque conetur, uel cogatur masticare aliquid: imo ponatur cibus eius sorbitio lenis, donec quando remouentur dolores, et nodatur Mandibula: tunc comedat quod uult, et administretur illud cum facilitate.	The patient should sleep on their back with the head held steady between two pillows to prevent any movement to the sides and should avoid any chewing motions. Food should be given in soft sips until pain subsides and the jaw stabilizes; then, the patient may eat freely but cautiously.
Non laboret super operationem oris sui apud comestionem et potum, et oscitationem, donec nodetur Mandibula, et sanetur.	The patient should avoid straining the jaw during eating, drinking, and yawning until the jaw is stable and healed.
Quod si difficilis fiat reductio duarum Mandibuiarum, quando dislocantur in hora aliqua, et non conuertuntur ad loca sua: tunc multotiens accidunt inde febres, et soda assidua: et fortasse soluitur uenter infirmi, et fortasse uomit choleram puram.	If both sides of the jaw are severely dislocated and cannot be repositioned, fevers, continuous sweating, diarrhea, and possibly vomiting of bile may occur.
Cum ergo uides illud: tunc scias, quia est perditio, et multotiens moritur ille cui accidit illud in decem diebus.	When these symptoms appear, know that it is likely fatal, and often the patient dies within ten days.
¶ De reducione dislocationis Furculae, et extremitatis humeri.	On the reduction of the dislocation of the clavicle and shoulder joint.
Caput XXVI.	Chapter 26.
Furcula quidem non dislocatur ex latere intrinseco, propter continuationem suam cum pectore.	The clavicle does not typically dislocate inward due to its connection with the chest.
Et dislocatur quandoque ad exteriora: et declaratur illud sensui.	Occasionally, it dislocates outward, which is evident to the touch.
Et restauratio eius est, ut iaceat infirmus super dorsum suum, et extendat brachia sua.	To restore it, have the patient lie on their back and extend their arms.
Deinde coarta locum cum palma tua coartatione forti, nam ipsa redibit.	Then press the area with your palm firmly, which should reposition it.
Deinde pone super ipsam emplastrum, et puluillos, et stringe eam.	Afterward, apply a plaster and cloth pads, and secure it.
Extremitates uero eius quae sequuntur cubitum, et continuantur cum eo, non dislocantur, nisi raro.	The ends of the bones extending toward the elbow, connected to it, rarely dislocate.
Quod si dislocatur die aliquo: tunc oportet, ut reducatur et aequetur secundum quod diximus, et quod praeparatur tibi.	But if it is dislocated on any day, then it should be reduced and aligned as we have said, and what is prepared for you.
Deinde pone super ipsam emplastrum, et puluillos, et stricturam.	Then place a plaster over it, along with cushions and a bandage.
Et praecipe infirmo, adhaerere tranquillitati et quieti, donec sanetur.	And instruct the patient to adhere to calm and rest until healed.
Et cum hac eadem curatione reducitur extremitas Humeri, quando separatur etiam a loco suo.	And with this same treatment, the shoulder extremity is reduced when it is also separated from its place.
¶ De reductione dislocationis Humeri.	On the reduction of shoulder dislocation.
Caput XXVII.	Chapter 27.
Scias, quod Humerus non dislocatur, nisi secundum tres modos.	Know that the shoulder is dislocated only in three ways.
Quorum unus est, ut dislocetur ad partem titillici ad inferiora.	One of these is that it dislocates downward toward the side of the armpit.
Secundus est, ut dislocetur ad partem pectoris.	The second is that it dislocates toward the chest.
Et fortasse dislocatur ad superiorem partem Humeri: et illud fit raro.	And sometimes it dislocates to the upper part of the shoulder: and this occurs rarely.
Et non dislocatur ad posteriora, propter spatulam.	And it does not dislocate backward, because of the shoulder blade.
Et non dislocatur ad anteriora, propter neruos.	And it does not dislocate forward, because of the nerves.
Et plurimum quidem dislocatur et egreditur ad inferiora uersus titillicum: praecipue in illis, quorum carnes sunt paucae.	And indeed, it most often dislocates and exits downward toward the armpit, especially in those who have little flesh.
Quoniam egrediur in eis uelociter, et ingreditur uelociter.	For it exits from them quickly and re-enters quickly.
In illis autem quorum carnes sunt multae, est econtrario illius, scilicet quia egreditur cum difficultate, et ingreditur cum difficultate.	However, in those with much flesh, the opposite is true, namely, it exits with difficulty and re-enters with difficulty.
Et fortasse accidit quibusdam hominibus percussio, aut casus, et apostematur Humerus apostemate calido, et putatur propter illud, quia iam dislocatus est.	And sometimes, a blow or fall happens to certain people, and the shoulder is inflamed with a hot abscess, and because of this it is thought that it has been dislocated.
Oportet ergo, ut experiaris illud, donec stes super certitudinem eius, et tunc procedas in curatione eius.	Therefore, you should examine it until you are certain of it, and then proceed with its treatment.
Et cognoscitur dislocatio, quando est ad inferiora uersus titillicum: et distinguas inter Humerum dislocatum, et humerum sanum.	And the dislocation is recognized when it is downward toward the armpit, and you can distinguish between a dislocated shoulder and a healthy shoulder.
Nam tu inuenis inter eos diuersitatem manifestam, et inuenis in capite Humeri concauitatem, et sub titillico apud tactum caput humeri quasi ipsum sit ouum: et non potest infirmus reducere manum ad aurem suam, neque mouere eam omnibus motibus.	For you will find a clear difference between them, and you will find a concavity at the head of the shoulder, and under the armpit, upon touch, the head of the shoulder feels almost like an egg: and the patient cannot bring his hand to his ear or move it in all motions.
Et similiter, si dislocatur uersus pectus, aut ad sursum: tunc inuenis manifestum tactum, neque occultatur.	And similarly, if it dislocates toward the chest or upward, then you find it clearly by touch, nor is it hidden.
Et huius quidem dislocationis fit facilis reductio, quando est recens, aut infirmus est puer.	And the reduction of this dislocation is indeed easy when it is recent, or the patient is a child.
Et reductio eius est, ut eleuet minister manum suam ad superiora.	And its reduction is achieved by the assistant raising his hand upward.
Deinde pone tu pollices tuos sub titillico eius, et eleua iuncturam cum fortitudine ad sursum ad locum suum: et minister eleuet manum suam, et extendat eam ad sursum.	Then place your thumbs under his armpit, and lift the joint forcefully upward to its place, and the assistant raises his hand and extends it upward.
Deinde ponat eam inferius, ipse enim redit uelociter.	Then place it downward, for it returns quickly.
Si autem non redit per illud quod diximus, et sunt a principio quo accidit dislocatio dies multi: tunc oportet, ut balneetur infirmus in aqua calida, et administretur embrocatio quae mollificat et lenit, sicut si decoquantur radices alteae, et foenugraecum, et mellilotum in aqua, et administretur.	But if it does not return by what we have said, and many days have passed since the dislocation occurred, then it is necessary for the patient to bathe in warm water, and to receive an ointment that softens and soothes, as if the roots of marshmallow, fenugreek, and melilot are boiled in water and applied.
Deinde resupinetur infirmus super dorsum suum: et ponatur sub titillico eius sphera et lana, quae sit aequalis inter lenitatem et stricturam.	Then the patient should lie on his back, and a sphere and wool, balanced between softness and firmness, should be placed under his armpit.
Deinde ponat medicus calcaneum suum super spheram, et eleuet caput humeri cum uirtute, et attrahat manum infirmi ad inferiora.	Then the physician places his heel on the sphere, lifts the head of the shoulder with force, and pulls the patient's hand downward.
Et minister alius teneat caput infirmi, ut non moueatur ad inferiora: ipse namque redit statim.	And another assistant holds the patient’s head so that it does not move downward, for it returns immediately.
Et si uis, reduc eum secundum modum hunc: et est, ut facias esse praesentem uirum qui sit longior infirmo, et stet a parte lateris, et intromittat humerum suum sub titillico infirmi: et eleuet titillicum eius ad superiora, donec sit infirmus suspensus in aere.	And if you wish, reduce it according to this method: have a taller man than the patient stand at the side, insert his shoulder under the patient's armpit, and lift his armpit upward until the patient is suspended in the air.
Et minister alius trahat manum infirmi ad inferiora uentris eius.	And another assistant should pull the patient’s hand downward toward his abdomen.
Si autem infirmus est leuis: tunc oportet, ut suspendatur cum eo aliquid aliud, ut grauet ipsum: nam redit dislocatio statim.	But if the patient is light, then something else should be suspended with him to weigh him down, for the dislocation will return immediately.
Et reducitur etiam secundum modum alium: et est, ut figatur in terra lignum longum, cuius caput sit rotundum figura: sicut manica mortarii: quod non sit grossum, neque subtile.	And it is also reduced according to another method: this is, a long piece of wood is fixed in the ground, with a rounded head in shape, like the handle of a mortar, which should be neither thick nor thin.
Deinde ponatur sub infirmo postquam ponuntur super caput ligni panni lenes: et infirmus sit stans secundum longitudinem ligni.	Then, after placing soft cloths over the head of the wood, it is positioned under the patient, who should stand along the length of the wood.
Deinde extendatur manus eius ad inferiora a parte altera, et extendatur corpus eius ab altera parte cum fortitudine: nam iunctura redit ad locum suum cum uelocitate.	Then his hand is stretched downward on one side, and his body is extended from the other side with strength, for the joint quickly returns to its place.
Quod si difficilis sit eius reductio per omnia quae diximus, tunc utere hac cura: et est, ut accipias lignum cuius longitudo sit quantitas duorum brachiorum, et eius latitudo quantitas quatuor digitorum, et grossitudo eius quantitas duorum digitorum: cui sit caput rotundum, ut alleuietur introitus eius in profundum titillici, secundum hanc formam.	But if its reduction is difficult with everything we have described, then use this method: take a piece of wood with a length equal to two forearms, a width of four fingers, and a thickness of two fingers, with a rounded head to ease its entry into the depth of the armpit, according to this shape.
Deinde ligentur super caput rotundum panni lenes, ut non laedat lignum infirmum.	Then tie soft cloths over the rounded head so that the wood does not harm the patient.
Deinde ponatur sub titillico infirmi, ut extendatur manus, aut brachium super lignum usque ad inferiora: et ligetur lignum super adiutorium et brachium et extremitatem manus.	Then place it under the patient’s armpit so that his hand or arm stretches downward over the wood, and the wood is tied over the support, arm, and the end of the hand.
Deinde ponatur brachium super gradum scalae per latitudinem, et extendatur manus ad inferiora, et dimittatur reliquum corpus suspensum a parte altera.	Then place the arm over the width of a step of a ladder, extend the hand downward, and let the rest of the body be suspended from the other side.
Iunctura enim ingreditur statim.	For the joint re-enters immediately.
Cum ergo completur introitus eius secundum quemcunque modum possibile est: tunc oportet, ut ponas sub titillico spheram aequalis quantitatis ex lana.	When its re-entry is thus completed by whatever means possible, then it is necessary to place a sphere of equal size made of wool under the armpit.
Deinde pone emplastrum praeparatum ex puluere molendini cum olibano, et albumine oui super humerum totum, sicut reuoluitur desuper.	Then apply a plaster prepared from mill dust with frankincense and egg white over the whole shoulder, as it is wrapped above.
Deinde stringe sub titillico strictura decenti: et reuoluatur ligamentum super emplastrum desuper: et annectatur manus eius ad collum ipsius, et dimittatur, neque moueatur manus eius septem diebus.	Then secure it under the armpit with an appropriate bandage, wrap the ligament over the plaster, and fasten his hand to his neck, leaving it unmoved for seven days.
Et oportet, ut ponatur cibus infirmi paucus, donec confortetur membrum: quoniam est uelocius ad sanationem eius.	And it is necessary to keep the patient’s food light until the limb is strengthened, for it aids its healing more quickly.
Deinde ponatur amplior post septem dies, aut quinque, et exerceatur cum motu.	Then after seven or five days, a larger amount may be given, and it should be exercised with motion.
Si ergo firmatur et non mollificatur, tunc iam sanatus est.	If it thus becomes firm and does not soften, then it is healed.
Si uero iunctura dislocatur multotiens, propter humiditatem quae accidit ei, aut propter caussam aliam: tunc oportet, ut administretur in ea cauterium cum tribus foraminibus, secundum quod praemissum est in capitulo de cauterio.	But if the joint dislocates many times, due to humidity affecting it or for another reason, then it is necessary to apply cautery with three openings, as mentioned previously in the chapter on cautery.
