Ayssi comensan las paraulas de Albucasim .	Ayssi begins speaking about Albulaccius.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	Indeed at that time there was confirmed decay in the limb, so it could not be restrained and did not stop moving within while the malady persisted.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And another doctor pierced an abscess, and it became ulcerated for several days until its wickedness was clear to them lord of the patient.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The cause is that the head was treated for yellow bile (choler), and it does not affect them entirely but rather the member where they have been hosted since then.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	For water (or humor), children, it is necessary for you that the operation be planned in two parts: one associated with health and another where there are greater dangers involved.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	Here comes the first source sentence to translate:
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	Therefore take up your arms in solicitude and for the protection of God, and your diseases are strengthened and firmly held.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	Here comes the translated text line by line into English:
Gualia ja diyssec en alcunas sieuas monicios:	Water also enters some of your joints," - Here translates as "Aqua anche penetrare in alcune sesui delle tue articolazioni.
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	Not all illnesses are due to bad humors, for doctors cannot name them thusly." - Here translates as "Non tutte le malattie sono dovute a cattivi umori, poiché i medici non possono dar loro il
E yeu ja he devesit aquest libre segontz tres capitols.	And you (you) already possess this book's next three chapters." - Here translates as "Ti già possiedi gli ultimi tre capitoli di questo libro
Comensa la divisio del libre, e primier de la primieyra partida.	Begin the division of the book, starting with the first chapter." - Here translates as "Iniziare il divario del libro, iniziando dalla prima parte.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter ordered within the body, in terms of instruments and surgical tools required for intervention." - Here translates as "Il primo capitolo all'interno del corpo, riguardo agli strumenti e alle ferriere necessarie per l'intervento." This sentence suggests that there is a specific order or hierarchy to be followed when it comes to the instruments and surgical tools needed for an operation. The context appears medical (given words like "capitol," which
La divisio de la segonda partida.	The division of the second chapter." - Here translates as "Il divario del secondo capitolo." This sentence
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter on cupping and cauterization; draining wounds with leeches, removing spirits from those afflicted to them herein arranged by the forms of instruments." - Here translates as "Il secondo capitolo su intorciamento e cavitazione; svuotamento delle ferite con i veleni da insetti, rimozione degli spiriti per quelli colpiti fino a loro disposizione organizzata nelle forme dei strumenti." This sentence indicates that the second chapter discusses various medical procedures such as cupping and cauterization
Divisio de la tersa partida.	Division of the clean portion.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third part of restoration and displacement, as well as the curing of twisting and appearance for these purposes; ordered within its place in the head under pressure, and forms the instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	Of cupping therapy (foc) and acute medicine and recollection of suffering,
Am aquel comensa le tractat de tot le libre.	At that point begins the treatment of all free parts.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	When you examine the quality of that poultice and its application to him/her, where it is forbidden to apply treatment:
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	So it is said that the speech of cautery and its nonessential (perhaps meaning unnecessary or irrelevant) are long and elaborate, subtle by science, with hidden motives; they argue much about fine points and disagree among themselves, which for me suffices as a brief part of their discussions.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And it is said that the pointed cautery comforts all of the body universally, except for two kinds of its matter, which are tail matters.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the complexity of a dry and dehydrated body; they find that warmth pleases one therapy for it, while others prefer its contrary, as this is suitable in both quality and dryness, where nature itself is such—wherefore necessity dictates pouring water into what's dried out and then heating up the same to cure.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	Here comes the first sentence to translate:
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	Through the speech of that person, I have discovered some things for myself at times.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	May nevertheless he who comes after expels that which has already been drained out and exercised in the place of cauterization for today's practice, understanding both the complexity of human composition and the disposition of diseases within their bodies, as well as the causes of those ailments and accidents, along with the time span of these conditions.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	May occur in other complexities as well, not out of fear, but mainly due to excessive humors and moist conditions; all doctors agree on this matter, without concern for the strength required for cauterization in these situations.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And as for those who understand the secret of healing with fire and know their patient well, they use medical cautery on this point only, which reaches the part that has been cauterized but does not affect the other parts of the body unless minor harm is done to them.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	May the medicine burn reach him in those parts where he was laid low, and forcefully bring about recovery of that ill body which is difficult to cure and forces its way out.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	May the fire (or heat), due to its sublimity and good substance, does not cause harm unless in excess; we have come to know this through experimentation and long study of service towards mastering art on truth about causes; therefore you are excused for lengthy discourse here as I secretly manipulate the focus, aimed at expelling illnesses from their courses.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And wise men understand that it is most appropriate to perform cauterizations and breaks in the early months of pregnancy.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	Here comes the first source sentence to translate: "E yeu dic that cauteries are convenient at all times, in order that the harm caused by water retained within the caustic may be drawn out and mostly when they are necessary for pains or essential needs such as bloodletting and bleeding which do not suffer delay due to fear of malevolent spirits; it is considered greater evil than small temporary injury.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	So don't put pressure on your feet or knees, for ordinary people and doctors consider them as the cause of this illness that is treated with cautery but not completely eradicated; thus they impose rest periods to deal with these consequences.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	The cause is not due to what they eat and drink (water), for the treatments are only in places of medicine that alter the constitution and dry up the humours, which are causes why pains come about.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	Even if it is necessary for points beyond what medicine typically requires, due to the patient'sin health and strength of work executed by their lord/master, use additional cautery accordingly.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	Here comes the first source sentence to translate:  
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	Even though it is common speech that lancets are the tools of medicine and this language is not understood by me because I do not know how to deepen my understanding through these instruments or other causes related, as far as they belong to medical treatment with a scalpel (cauterization) neither shall I proficiently treat them.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	Here comes the first source sentence to translate:
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	Here comes the first source sentence to translate:
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	Here comes the first source sentence to translate: And those made of gold are better than those made of iron for caulcerating purposes, and they were not used except where there is equality with silver in substance (quality).
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	Here comes the first source sentence to translate:
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	Through this we place our iron hooks gently, putting them down for the operation preparation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And in the instruments of cautery, as ordered hereinabove concerning their usage within the limbs (specifically feet), they have arranged them accordingly to satisfy whoever requests it from him/her.
De cauteri de dolor de cap per frigiditat e humiditat.	Of coldness and moisture for head pain relief using cautery instruments.
Le capitol primier.	The First Principle.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cauterization conveys moisture and coldness to the accident that is causing it; its cause is a lot of fluid discharge from headaches down limbs' joints and fingers, prolonged sleeping periods, dental pain, gout throughout illnesses characterized by chilliness due to fluid accumulation or paralysis-apoplexy, as well as resemblance in these maladies.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this cauterization is as follows: firstly command the humors to be expelled through medicine-cleansing actions for three or four nights, depending on the discharge rate of the humor and the patient'se age and habits.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	Here comes the first source sentence to translate: "E aprop comanda li that race his head may rise, and have him set here between their bodies on an erected bench so as not to rest upon their heads.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	Return your hand'softhepalmto preventthe patientfromsneezingbetweenthesetubulesofyournostrillregionwithanother servant positionedaboveandbelowon their body,holding theirhandstogether.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	Even though the heat has reached that location from above as indicated by signs therein, they apply fire to the caustic of which this is one form.
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	Here comes the first source sentence to translate: E propria pausa quelso s'intenda arribeder una tentura, à malo che declina, là dove le vena si contragghi poco per volta, ed in tal modo lo girovogli.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	Here is the translation line by line:
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	Once you have inserted a small amount of salt and dissolved it over the place, let it act there for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And place your hand over his chest where it has begun at the border, and lay that upon him who is disrupted by a broken shield of the focus (possibly referring to someone with signs or symptoms related to a healing injury).
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	Return care to the wound area within which it is healing.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And when a sick person has urinated (diyserò), they take the bedclothes and wash them with water for as much time as possible, so that it is better and more beneficial for health recovery.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	Here comes the first source sentence to translate: "And those who are bleeding within the body have their wounds sealed with a cauterizing instrument, and it is placed inside until any division of the bone has healed.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	Return its moisture that is lost from bone, and attend to it as well.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	Here come others with the lancets to enter and before entering into the strong bone within which it enters already, this is the form of apoplexy smallness.
E estiman de aquel loc expiran la vapors del cap.	E from that location exhales the head' extraneous humors.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	If there has been an opening of the wound for a long time, and it is healed within that period.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	Mays I have not seen these various cautery instruments for all, but in wise homes according to fear; and such one must you provide me better health when the head is developed through solar contemplation as we observed among other members, especially when it pertains to the natural growth of the abdomen.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	And if it is possible that this initial form of cautery may save and be more beneficial, then from there they seek health for themselves using their work herein.
Capitol segon.	Capitol Second.
Del cauteri del cap.	From the points of the caustic (pointing towards 'cautery
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When in the whole head there is chronic and long-lasting pain, and it resides within the spleen extended for a while, using knives and cupping glasses as well as lancing needles and scrapings of mercury or lead (which were believed to be implicated), with hands holding these tools—if any cautery has already been applied on such areas without further investigation into their causes; moreover, if the spleen's nature is characterized by significant heavy metal content in its constitution; it does not constitute excessive harm and abomination (as they would perceive), hence why another caustic tool should be used immediately for treatment.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	Return that over the head of your neck with caustic inside while cutting the tendon.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Cut the ribcage and expose its thickness as we have recorded and will cauterize that portion in the lower part of the chest where it is being applied, which is also the location for applying a bellows (ventouse).
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And lift your hand so high that you do not discover the bones, for when humors have attacked them severely and caused great pain different from pains treated by other caulters of the head.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	And apply this cautery in its place, where the same cautery will heal the corns on the head and back (the vertex), which they have applied as treatment here at this location; this is how it'dicted by them.
Capitol ters.	The translation of "Capitol ters" line by line into
De cauterisacio de emigranea no-antiqua.	In this context, translating the Latin phrase "Caute irundo," one could interpret it as a call to surgical intervention or precise action concerning an obstruct
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When arthritic joint pain becomes persistent or when the ache enters into the groin area, let physicians administer immediate care for these conditions; and here two kinds of surgical intervention are mentioned: cauterization as provided by acute medicine burns treatment, or with iron. This means that there were believed to be specific treatments involving heat application from a burning agent in traditional medical practices (acute comburent) alongside the use of metal tools for this purpose – likely hot irons used on wounds and lesions following an infectious outbreak within maladies, which required immediate attention.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	May healers use medicine as a means of incineration and take that piece out along with both the hands of your patient.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	And apply pressure at the location of pain on one side with a sharp lance inserted wherein it is hidden within its fleshly place until you find that which was concealed undernethy joints and bones, namely, your own coccyx (tailbone).
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	Here is the line-by extraneous to English translation of this medieval medical text:
E aprop cura aquel am enguent entro que sia sanat.	Return care is given that it enters where healing occurs within them (referring back into themselves), with this ointment inside, and another attendant on their legs/ch
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you bring water with some of the burning remedies that you have written in the section on caustic medicines, it implies preparing and using these substances as treatment for certain conditions according to ancient medical practices described within those pages. Here, 'tu voys' means "you would," suggesting a hypothetical or instructional context where someone is advised what actions should
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	According to this method, the practice of cauterization involves using fire as follows for treatment (implying there's a specific technique being referred to): The use of heated substances or instruments is indicated here. In ancient medicine texts like these, cauterization often involved applying heat directly to wounds to seal them and prevent infection
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	And it is called "claus clavilhs," where the head of your instrument takes on a shape similar to that of a key (likely referring to an actual physical implement used in treatments), and at this spot, you insert or press into place something small for assistance – possibly indicating another tool's purpose within their practice. Here 'es apelat claus clavilhs' could mean the name given by physicians or practitioners of these ancient times to a particular device used in treatments involving
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	Then place your hand over the location of pain – ensuring that you prevent harm from coming to those joints (likely referring back, as in cauterization or other forms of hands-on treatment) which could be at risk due to conditions like arthritis ('la qual es dejos'), and slowly rotate a small tool — perhaps indicative of another instrument used for this purpose. Here the action is focused on handling delicate areas with care, possibly indicating manipulation techniques or therape
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	If the amount of humidity that has been accumulated through nasal secretion is as much as what you have secured in your mouth, then place your hand over it to prevent the artery from being blocked wherein blood flow will not occur.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	Here comes the first source sentence to translate:  
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	If you go ahead, then perform cauterization on the extremity of the lancet according to previous cauterizations, and watch carefully for any incision of an artery in this operation without haste.
Capitol quart.	Capital quintus (Assuming "capitol
De cauterizacio d’emigranea antiqua.	From ancient times of cauterization, specifically on the thighs ("cauterizatio" referring to a medical procedure involving heat or chemical application;
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you treat ingrown toenail conditions as discussed in previous curative advice for various diseases, and if not properly addressed, the condition worsens; it'thy that when igniting a cauterizing tool within which has been heated or chemically prepared (perhaps referring to medical treatment with heat), placing your hand over this spot denotes where the prolonged line of pain lies along which is said here. Thus restrained by an intermittent application and persistence, you apply pressure using forceps through small incisions into flesh until it reaches bone: then stop applying direct touch (implying a pause or cessation), holding your hand with such intention to maintain control over the area of pain while proceeding.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	However, it is necessary for you to guard against the continuation of the protruding jaw that chews, and prevent lacerations from occurrthy thereof and nervous issues associated with said mouth defect; lest spasms occur.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	If it is about the custody and caution of blood flow from the artery that expels, there is fear in its exit, mostly for those who do not know what causes it and does not study them; perform the operation with care at this time.
