Ayssi comensan las paraulas de Albucasim .	Ayssi begins speaking (or announcing) with them/themselves/their words related to Albuccas.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	Here you return the ligaments according to your wishes, and fix them in place with straps during certain days as directed by us; this is when the thigh and buttock are outside of the socket joint, leading to dislocation.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And you called upon him (the doctor), and provided instruments to remove the ligaments, achieving relief and easing of your pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	Even though decay has been confirmed in the limb, so it cannot be restrained and will not stop roaming within while under the malady'supreme condition (presence of illness).
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	Here comes another doctor who pierced an ulceration, and it became inflamed within days; meanwhile, the cunning of him grew towards becoming his lord (or master).
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The cause is that the skull needs to be treated for melancholalgy; not because it comes into contact with everything around them, but rather, it's the member where they have been held throughout their life.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	For this sentence in the medieval medical treatise, here is an attempt at translation into English line by line with consideration for its somewhat archaic language structure:
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	Here comes the first sentence to translate: E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	Therefore take up your weapons for solicitude and protection from God, and let your illness suffer defeat and cessation of pain.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	Here comes the translation of each line into English:
Gualia ja diyssec en alcunas sieuas monicios:	When gouty pains occur in some of its manifestations," or "When signs of gout appear in some forms:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	Not a physician suffers from melancholy, for such doctors cannot be named.
E yeu ja he devesit aquest libre segontz tres capitols.	And you have already read this book for the second time three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	Begins the division of free space, and first from the primary section.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The ordered first chapter within the body weight, in terms of instruments and iron tools for caustics, what is required therein.
La divisio de la segonda partida.	La division of the second section.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The Second Chapter on cautery and perforation, as well as pills, poultices, extraction of herbs and similars for those purposes, has been arranged and ordered according to the forms of these instruments.
Divisio de la tersa partida.	Division of the pure portion.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third part of restoration and displacement, as well as treatment for twisting and appearance to these individuals; the table ordered within their bodies under the feet, and forms established by instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	From cautery (foc) and acute medicine and recall of suffering.
Am aquel comensa le tractat de tot le libre.	At that point begins the treatment of all parts free (or "tractate" in Latin suggests starting or treating something comprehensively
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	At that point begins the assessment of how well those treatments and herbs affect his body's health (or "cauterize" in Latin refers to heating or burning something as a form of treatment), focusing on their quality, with explicit restrictions placed upon such cauterizations.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Thus the conversation about the quality of health for those treatments and herbs is lengthy and detailed (suggesting an in-depth discussion on their effects), subtle according to knowledge, yet secretly guarded; they speak greatly among themselves about it, but there's disagreement within them. To me enough has been communicated—the prolongation of this dialogue would not benefit my understanding due to these internal disputes and secrecy surrounding the information (implying that despite hearing some parts of their discussions, I don’t fully grasp everything because they are reluctant or selective in sharing what is known among them).
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	Thus it is said that the treatment applies universally throughout all components of matter or substance (indicating a broad application), with exceptions to two complexes—these are parts at the base/end of his body's structure. It implies these particular areas might require different attention due to their foundational and terminal roles in bodily composition, which could influence how treatment is applied there versus other regions where it’s universally effective (pointing out that while a general approach works for many parts, special consider
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the tail and dry parts of matter there is disagreement; some argue that treatments are beneficial for those areas due to their quality and lack of moisture, while others counter this viewpoint because it's unsuitable in cases where these properties—quality being goodness or excellence, combined with a state of desiccation (dryness) —are present. It leads them to believe that if the wet part associated with those areas is cauterized and dried as treatment, this would be inconvenient for maintaining health since it's against nature: quality implies refinement or purity while dryness suggests a lack of something necessary (usually moisture). Thus any artificial attempt to correct the wet part by means such as heating might not align with natural conditions and could prove detrimental rather than beneficial. Here, there's recognition that treatments must be appropriate for each specific situation; what works or is advisable in one case (the tail/dry parts) may contradict another approach necessary when addressing different symptoms associated elsewhere due to opposing natural conditions—highlighting the
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	Here comes the first source sentence to translate:
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	Through his speech, it has been told me that at times I have already discovered some things myself.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	Even though there is no way to excise the one already assessed and subjected to cautery exergy in today's exercise of instruments, we understand the complexity of human composition and how diseases manifest within them, as well as their causes and accidents; also acknowledging the time span for these occurrences.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	May also in other complexities there is not fear, and mostly in the chilly phlegmatic humors where doctors are already agreed upon these matters, without concern for bleeding while performing cauterization on those very things.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	Here comes the first source sentence to translate:
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	May the medicine ignite for that which has lain in his body and bring it to life thereof; strengthen also its ill member with difficulty of healing, and drive outwardly from within him as well.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	May the focus, due to its sublimity and nourishing substance, does not make it excessive; already we understand by experimentation and long-term service in studying this art about truth of causes—and thus you are excused from lengthy discourse here during our pause. And now that I am at your leisseon within these moments to share my secret knowledge on the focus, which demonstrates through surgical intervention for removing diseases and its philosophic elucsion demonstrated in speech will strengthen your bones (or teeth).
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And wise men understand that it is best in early spring for performing cauterizations and intervals of rest.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	Even says that cautery is convenient at all times, in such a way that the harm caused by water retained within it after application of the cautery disappears, and mainly if for pains or necessary painful sensations, which do not suffer delays due to fears about what comes out during its expulsion; this greater potential damage entering over time is worse than smaller immediate injury.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	So do not sit on your thighs or feet; ordinary people and simple physicians only estimate them in relation to this illness that heals through caustics but cannot be completely removed at once, resulting in these consequences.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	The cause is not due to what they eat for water (possibly referring to fluid intake or a dietary imbalance), and cauterization is only done in the place of medicine that changes complexity and dries out the humours which are causing pain.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	Even though there may be excessive use of the lancet in medicine due to its necessity and grandeur commanded by one'thy lord, it is essential for treatment with caution.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	Here comes the first source sentence to translate:
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	Even though vulgar speech may be the remedy used in medicine and is directly related to healing without involving external sources that I do not understand, as they are beyond medical knowledge or any other cause for which caution must be exercised with these instruments of treatment.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	E the cause is contrary to water; and I understand that cautery (medicine) for some illnesses is only used when administered by a physician's hand at the last resort, and this intervention addresses the root of the problem directly where it originates.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And when it comes time for the last application of medicine as understood by common sense and various doctors' practices, then:
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	Here are the translated lines from the medieval medical treatise:
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	Here comes the first source sentence to translate:
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	Through this we apply pointed forceful instruments (likely some form of metal tool), placing them along the course of operation, and with proper positioning in accordance to our procedure.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	Here comes the first source sentence to translate: And in the case of cautery (as ordered herein), they have arranged it according to this text within their instruments for use inside the feet, thereby allowing them when requested by him/her what he/she needs from you.
De cauteri de dolor de cap per frigiditat e humiditat.	From "coldness and moisture" for headaches using cautery instruments:
Le capitol primier.	The primary one. (This translation is literal; contextually it might
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	 The cauterization will confer humidity and coldness on the accident wound of which you suffer due to sodium chloride (salt) in excessive amounts along with body fluid accumulation, caused by lying down too much time causing edema, constipation or similar issues. This leads to pain such as joint discomfort, gout from urine retention and dental/gum problems; these are common maladies associated with coldness in the body which can also result in paralysis (paresis), hardening of limbs (sclerosis) or stroke-like conditions.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this cauterization is as follows: initially command the patient to expel what must be removed through medicine via vomiting for three or four days, according to the intensity of the prolapse and the age of the individual and their customs.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	Here comes the first source sentence to translate: "E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre les tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	When you rest your hand on the back of your palm, place it over the bridge of your nose between their nostrdictions (ears), as directed by them.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	Whenever the patient'thy comes to rest at this place due to heat (possibly from exposure or other factors), signs indicate that it is trying there, and appropriate fire should be applied using the aforementioned cautery tool.
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	Here comes the first source sentence to translate:
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	Here comes the first sentence to translate:
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And apply a small amount of salt and dissolve that on the location, leaving it there for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	Return your hand over his wound site at its edge, and place it there where the skin has been torn open by the focus of pain.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	Return care is given where there's snake venom inside so that it may be healed.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And when the patient expels phlegm through coughing, they take it in by means of a breath to better and more healthfully.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	Here comes the first source sentence to translate: "And for those who are burned inside the bone and have had their tools inserted within it, place your instruments there where some division of the bone has been hardened.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	1. Return its moisture that is lacking from bone and provide for its healing care.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	Here come others with the lancets to arrive at the bone, entering before it hardens and upon which point they pierce when the bone becomes rigid – this is how small punctures are made.
E estiman de aquel loc expiran la vapors del cap.	E from that place exhales the breath of the head.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	When the swelling has been present for a long time, and it is cured within that period when solidification occurs.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	May I not see these pains of all kinds of cautery instruments here, but in wise men according to the fear; and such a one must be better for my salvation when my head is lifted by reason of continuity during sex as we have testified among other members, especially when from the malady'dict thigh it swells naturally.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	The special thing about initial caustics is that it may save and be better for my health, as well as being beneficial to this work of healing.
Capitol segon.	Capital Second. (Assuming this line refers to an ordinal
Del cauteri del cap.	Of or concerning the point of caution, second. This translation assumes that 
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When there is chronic and long-lasting pain throughout the body, using swords and scrapes along with chairs and cupping devices, as well as electrical currents (possibly referencing various forms of traditional therapies), primarily if any such treatment has already been conducted on that portion; moreover, consider it only when there is a strong calcification in the nature of this swelling—do not harm greatly or cruelly. Should you have previously cauterized with an instrument upon which some form of these treatments was applied (implying perhaps using similar tools for different therape extraneous causes), now apply another such treatment to that specific spot, holding their hands in the process as a precautionary measure against unintended consequences.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	Return that above the patient's head for cauterization, within which the intestine is cut apart.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Cut the tongue and expose its quantity as we have counted and sealed it with a cauterizing tool at the back part of the head wherein lies that which is being called upon by you, namely, this location in which suction (aspiration) takes place—this is where.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And lift your hand so high, and do not touch the abdomen, for it inflicts great pain different from that of other caustic procedures on the head.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	Here, apply the cautery in its place, whereby that which is cauterized there are those corns on the head and back under subtle cauteries, which belongs to this treatment method.
Capitol ters.	Capital (hard): The term "capital" here refers to
De cauterisacio de emigranea no-antiqua.	From your given Latin text, the English translation would be as follows:
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When severe pain occurs in the head or when it is protruded outwardly at the neck, extract remedies with the physician' extricating tool and administer another treatment as described for diseases; otherwise, cauterization will be performed here using two tools: acute combustion medicine or iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	Maycuracies are used in medicine to apply pressure with a leather pouch and remove the limbs of both patients from it.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	Return and apply pressure at the location of pain on one'thy hand with a sharp lance inserted within that place where you can no longer see beneath it down to the coccyx (tailbone).
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	Here comes the first source sentence to translate:
E aprop cura aquel am enguent entro que sia sanat.	Returning care for that which is inside so it may heal.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	If you come, take some of the burning remedies that you have written about in the section on hot medicines.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	As for this method of cauterization, it is with iron as follows:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	and it is called a lock with the shape of a key in which some curvilinearity occurs at its head (on the patient), and where there's an outstanding small spot on their body.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	Return the pause over the location of pain, and hold your hand—so that it is not dragged out (which has already happened), turning slowly with velocity.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	If the amount of blood that is extracted through the speculum inserted into the vein prevents your hand from being hurt, hold it there to ensure that the artery does not get cut and bleeding occurs, thus preventing bile flow outwardly.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	Here is the line-by-line translation of each sentence into English:
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	If you go, then perform a lancet on the part of the scalpel according to lancing procedures, and watch out for incision into this blood vessel properly as it is not ancient.
Capitol quart.	Capitol Quart.: This phrase could be referring to one
De cauterizacio d’emigranea antiqua.	Caute irremovibile": The term "cautery" relates to a medical treatment used in ancient times, particularly for conditions like gout
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When treating ancient migra the poultice that we have discussed for healing, and what has been mentioned about its treatment of diseases; without properly applying these treatments or failing to administer them as prescribed by traditional medicine (either external cautery or internal caustic), occasionally leaving a residue from previous cauterizations. Place this poultice over the area where pain is present, along which long line it dictates its extent; and rest your hand upon that spot for some time within these strikes of iron—meaning you are applying pressure directly to the site causing discomfort or ailment:
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	However, it is necessary for you to guard against the continuous movement of the jaw joint which grinds teeth (bruxism), and that the looseness does not tighten up nor affect those nerves involved in causing this condition, so as not to provoke spasms.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	If it is about the custody and caution of the flow from where the artery begins, there is fear in its origin, mostly to that which does not know what makes it happen and does not study it; perform the operation at once.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	When you come for memory of the flow of sickness caused by excessive urine according to their habitual manner here in this place.
E si veses de aquesta malautia que no abaste aquest cauteri e veses le cors del malaute tollerable, cauteriza aquel en le mieg loc del cap ayssi cum havem recontat, e cura la plagua entro que sia sanada.	If you feel this illness from which the caustic cannot suffice and touches the parts of the body affected by it (malady), cauterize there in the place where we have mentioned before, taking care that within be healed.
