Ayssi comensan las paraulas de Albucasim .	Ayssi begins speaking (or is about to speak) with Albuccas.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	Here they apply the splint according to their wishes, and bind it securely with rope or bandage over several days' time as commanded by us; herein we enter until the thigh bone enters the fracture site, leading to disintegration (likely referring to healing).
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And he was called hereby (or) unto us, and we prepared to loosen the ligature, which resulted in calmness and relief from their pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	Even though there has been confirmed decay in the limb, it cannot be restrained and will continue to spread while under the malady'thy influence.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And another doctor pierced an abscess and it erupted within days, as his malevolence became apparent to the lord of him.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The cause is such that the head needs to be restrained due to melancholalgy humors from all over but only in one member where it was previously housed.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And for this reason, children, you must plan the operation in two ways: one is related to health (the surgical intervention), and another involves major precautions where there may be risk.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	Here comes the first source sentence to translate: And you have exposed water in this free place where it overflows from which error and fear arise; therefore, it is necessary for you to guard the water and set that aside so that leaves don'thy folds not withdrawn into silence and deceit.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	So take up your arms in supplication and for the protection of God, and let your illness be healed and brought to firmness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	Here comes the first source sentence to translate into English line by line:
Gualia ja diyssec en alcunas sieuas monicios:	Guild has entered into some of your offices": Here we are dealing with a metapthy or allegory where "guild", meaning medical practitioners, have
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	The sentence in English would be: "A doctor does not cause harmful illness; it's when bad doctors attempt to name things." Here the speaker seems to imply that only negative practitioners might make incorrect or misguided attempts at diagnosing, rather
E yeu ja he devesit aquest libre segontz tres capitols.	In English: "But you have already opened some of their offices in the second part (chapter) three." Here it appears that 'you' are suggesting someone has gained access or insight into certain
Comensa la divisio del libre, e primier de la primieyra partida.	In English: "Begin with the division of the book, first in its initial chapter." Here it seems that 'you' are being instructed to start studying or discussing a text from where they begin - this is likely
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The English translation of the line is: "In the first chapter within pounds (or mass), in terms of instruments and forged items such as lancets used during surgery." Here it seems that 'you' are being asked to consider or examine tools, specifically those associated with medical procedures. The text appears from a medieval context where weight was often used instead of volume measures like "pounds". It also implies the need for these specific instruments in some form of preparation – possibly related to surgery as
La divisio de la segonda partida.	In English: “The division of the second chapter.” Here it indicates that 'you' are expected or guided towards expl
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The English translation of the line is: "In this second chapter concerning cautery and perforation tools like lancets; ventouses (suction devices); plagues for drawing out putrid matter, as well as methods to extract worms or resemblances from them. Here it appears that 'you' are expected to delve into a detailed description of surgical instruments found in the second chapter and their uses within medical procedures during this period. The specific reference could suggest traditional treatments for parasitic infestations, common health issues at times when sanitation was not as advanced by modern
Divisio de la tersa partida.	Division of the healthy portion.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third part for restoration and detachment/relocation of the pelvis (belly), as well as treatment of twists and resembling illnesses directed towards these; a specific order within itself about weight management in body, and forms of instruments used therein.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	From cautery (foc) and acute medicine and memory of treatment.
Am aquel comensa le tractat de tot le libre.	At that point begins the treatment of all that is free within the body.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	When you apply the quality of that cauterization and its hidden contents to it, and where such treatment is forbidden by complexity:
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	So it is said that the language of cautery and its obscurity is long and elaborate, subtle by science, with secrets hidden within; they speak much about these topics, and often disagree among themselves, enough for me to grasp only a small part of their discussions.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And thus it is said that the cautery comforts all of the body universally, except for two types of matter within its material, which are tail matters.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the complex tail and dry matter they separate; those who use cautery are beneficial to it there, and others oppose that which is convenient in such illnesses where quality and dryness prevail – for nature of fire both has qualities and aridity, hence convenience lies in treating with water that separates itself into moisture and being quenched; this type of disease involving the tail (likely referring to a condition affecting specific body parts) requires such treatment.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	Here comes the first source sentence to translate:
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	Here is the line-bydependent translation of each segment from Latinate medieval language into English:
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	Mightily indeed, who heals that which has already been probed and exercised in the domain of cauterization for today'se practice, understanding both the complexity of human beings and their disposition towards diseases within them; as well as causes these afflictions have, and timing thereof.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	May also occur in other complexities, not out of fear but mostly due to damp and cold humors, which all doctors agree upon regarding treatment with caution therein.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	Here comes the first source sentence to translate: "E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent; es quar le foc è semplice, l'accio del quale non perven solo al membre che si sta curando ma anche a quello accanto ad esso senza causare piccolo danno.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	May the medicine cause inflammation in that limb which was laid low by illness and difficulty of recovery, causing it to come back into life vigorously.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	May the fire (which refers to applied heat therapy), because of its sublimation and beneficial substance, does not produce excess but rather aids in healing E even now we have come down to you through experiment and long service as students at this art concerning truth about causes; thus they excuse us from lengthy speech (the treatment method). And while here I am temporarily restrained with these concealed secrets of the focus, which demonstrates its operative effect in limbs and expulsion of diseases—a philosophical discourse shown through our bodies' pains.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And learned men, who understand when it is most suitable for performing cauterizations and intermittent stops of bleeding during the first month after birth.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	E you say that cautery is convenient at all times, for it draws the harmful water into which the cautery is applied, and mostly when dealing with pains or necessary interventions such as fractures and wounds; these do not delay because of fear of those spirits whose evil magic causes further damage—indeed, a small ongoing injury may be lesser than potential greater harm.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	So do not hurt your feet or legs; these are where the common people and unlearned physicians believe it to be caused by a wicked crowd and ignorant healers, so that curing with cautery cannot completely eliminate this illness, nor can pauses stop its consequences.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	The cause is not due to excessive drinking where the poultices are applied, for cauterys in medicine alter complexity and dry out these moisture-producing causes that bring about pain.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	Even though there are unnecessary cautions above medicine due to the patient's wellbedict and operation grandeur of their lord, it is important for proper treatment.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	Here comes the first source sentence to translate:  
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	Even though it is vulgar speech that some believe to be the core of medicine practices and true healing methods, they think these cannot provide relief if understood by laypeople or not applicable in other causes for which I use cautery as treatment.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	Here comes the first source sentence to translate:
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	Here comes the first source sentence to translate:
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	Here comes the first source sentence to translate: "Edisser las antiguas cuerdas de oro mejor que esmeraldas para cauterios y nunca usaron excepto por igualdad del oro y refinamiento de su composición.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	Here comes the first source sentence to translate:
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	Through this we apply pointed tools (cauterants) and place them properly within the operation site for treatment or intervention.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	Here comes the first source sentence to translate:
De cauteri de dolor de cap per frigiditat e humiditat.	From coldness and moisture with regards to headache pain using cautery instruments.
Le capitol primier.	The first paragraph (or initial section).
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	Here comes the first source sentence translated line by line into English:
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this cauterization is as follows: initially command the hump to be evacuated through medicinal leaks for three or four nights, according to what exhort you from it and its age and custom.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	Here comes the first source sentence to translate: "E aprop comanda li that race his head may rise, and command him where he stands on one lowered bed so as not to rest his body upon it.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	Return your hand resting on the back of your palm and place it over your nose between their nostries, here are these hands being used by someone:
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	Even when the fire (from above) reaches this place as indicated by signs herein provided, that spot attempts to burn out and for such fires use the oil lamp of which these are forms.
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	Here comes the first source sentence to translate: And place that pause above where it was attempted, which is how inflammation occurs and increases slowly until you turn it over. (This translation assumes some context from previous sentences not provided.)
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	Return your hand and observe the location; if you discover any quantity of bone from within the skull, raise it as much as the amount of blood clots produced by errors (gross body imperfections), then lower your hand to that which is made of iron or another metal found in this place. If cold has invaded and affected these areas observed earlier today, show them what was already described about their condition from within bone'thy skulls themselves.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	Return (bring back) an amber piece and dissolve that over the location, letting it remain there for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	Return your hand over the area where it has begun at the border, and place that same hand inside what was previously broken down by surgery of the focus (eye).
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	Return care for the location where the snake' extramedicine is inside that it heals.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And when a child is weaned and begins to walk (take their braces), it becomes better for health and growth.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	Here comes the first source sentence to translate: And let those who are bleeding be cauterized within the bone, and have their treatments applied where any portion of the dissected bone has been healed.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	Return its moisture that is from the bone, and return its cure as well.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	Here comes another that has come down with the caustic and entered into the bone within which it is lodged already; this forms small treatment.
E estiman de aquel loc expiran la vapors del cap.	E from that location exhales the breath of the head.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	If there has been an opening of wound for long time and it is healed within while being treated,
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	Might I not see all these remedies of cautery in everyone, but only to those who fear as per our advice; and so that you may be healthier when your head is lifted by the light's continuity (perhaps during sleep), especially since it happens naturally with a fever atop the waist.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	The special aspect of pointed cautery is that it may save and be more beneficial than anything else I have, as from this tool comes the salvation for health.
Capitol segon.	Second part of the treatise/text. (Assuming "Capit
Del cauteri del cap.	And with regard to treating the head, proceed as follows... (This translation assumes
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When in the entire head there is chronic and long-lasting pain due to an enlarged spleen (maula), using knives and cups, cappings and liniments, ointments and poultices among other things; most importantly if any cautery has already been applied on one of these causes, consider that the head's swelling is due to excessive bone growth in its nature. It should not be harsh or abusive treatment as such does no good for it—therefore apply another form of cauterization thereon. (Here "le maula" refers to what was traditionally understood by the term 'spleen' within medieval medical practice, though this terminology can vary from contemporary understanding.)
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	Return that over the patient's head for burning (cauterizing) purposes, while ensuring it remains within where the spinal column has been divided.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Cut the ribcage and expose the bone as much as we have counted previously; apply that instrument there on the back part of the head where it is applied (the place to which air has accumulated), — this location in which they stop blowing with a ventouse.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And apply pressure with your hand firmly, and do not discover the bones beneath; for the humors have inflicted great pain different from that of other brandishers on the head.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	Here is the line by line translation of the medieval medical treatise text:
Capitol ters.	Capital pain or discomfort.
De cauterisacio de emigranea no-antiqua.	Of ancient non-antidotal cautioning.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When severe pain occurs in the head or when it is stretched out (torticollis), both extract with medicine the hardness of the skull and administer other treatments; thus without proper understanding you cannot cure them unless by: either a combustion-based medicinal cauterization, or one made from iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	Mayches use in medicine burn (cauterize) are that you grasp an iron lancet and extract the limbs of both patients.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	And place it into the location of pain on the temple with one lance inside that is hidden within its thrusting point under where the thighbone lies, beneath which remains concealed.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	Here comes the first source sentence to translate:
E aprop cura aquel am enguent entro que sia sanat.	Return that which is inside with care; it has been healed within where such was applied.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	If you come, apply some of the burning remedies that you have written down in your treatment book on burns treatments.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	May the cautery using fire (second in this method): The form of which is burning with iron.
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	And when it is called for a clamp with nails or screws like the shape of a rose in which there may be some bending at this location where they are applied on the head, small and prominent pinpointed area.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	Here comes the first source sentence to translate: Return your hand over the location of pain and hold tightly—so that the iron needle does not come loose, which is already out—and rotate the small needle gradually with speed.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	If the amount of urine that is retained through the catheter insertion reaches the level where it threatens your hand'dictum (control), then place your hand over such to ensure that the artery does not get compressed, thus preventing a flow blockage in the vein.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	Here comes the first source sentence to translate:  
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	If you wish, then anneal the end of the scalpel according to the salts used for cauterization, and be careful not to cut into this vessel as it is newly opened in its proper place without antiquity.
Capitol quart.	Capitol Quart - This phrase does not directly convey medical information
De cauterizacio d’emigranea antiqua.	Cauterization of ancient migraine." – This translation attempts to make sense of the Latin-like text provided, though it should be noted that without a
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you treat ancient migraine (or other ailments), taking into account the remedies previously discussed for these conditions and not profiting from them, especially when it is not sufficient to apply heat as with cauterization at its initial stage or focal point—whereby this refers either to external application of medicinal fire/cauterization points outside (implied by "cutellar") on the site of longstanding pain and wherein lies the matter's origin, stopping there for some time; meanwhile placing your hand within thresholds with an intermittent touch through which you can convey heat or cauterizing substance.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	However, it is necessary for you to guard against the continuous movement of the jaw joint, which grinds your teeth (bruxism), and that the temporomandibular ligament not become tightened nor does the nerve associated with this cause cramping or spasms.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	If it is about the custody and caution of the sanctity of blood flow from the artery, there is fear in its abcession, mostly to that which ignores what flows and does not study or examine; thus perform the operation with care.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	When it is time for recalling the flow of sickness from the humors according to the doctor'thy methodology in this place free from illnesses.
E si veses de aquesta malautia que no abaste aquest cauteri e veses le cors del malaute tollerable, cauteriza aquel en le mieg loc del cap ayssi cum havem recontat, e cura la plagua entro que sia sanada.	If the malady does not supply this cautery and affects only part of the affected area (head), then heat it there where we have mentioned previously, and care for the patients until they are healed.
