Ayssi comensan las paraulas de Albucasim .	When Albucasis speaks now.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	Here is the line by line translation:
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And they called for him, and used tools to untie the ligaments, achieving calmness and relief from their pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	Even though decay had been confirmed in the limb, so it could not be restrained and did not cease to travel within the body as long as the malady persisted.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And another doctor pierces an abscess and it ruptures within days; meanwhile its wickedness grows as the lord of that person.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The cause is that the head'thycture must be purged for melancholic humor which does not come to it all over but affects only the member where suffering has taken hold from now onwards:
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And for these reasons, men are required that the operation be arranged in two parts: one associated with health and another where there is risk involved in major decisions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And when there is water within this free place where the encounter and fear occur; it becomes necessary for you to keep watch over the water and take care of that area so that the limbs do not become frightened or dishonest (perhaps meaning deceptive in nature).
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	So take up your weapons with solicitation and for the protection of God, and your illnesses are strengthened and secured.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	Here comes the translation line by line into English:
Gualia ja diyssec en alcunas sieuas monicios:	Guinea yclept in some moons is called.
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	Not a physician can be bad, for they will not call themselves by that name.
E yeu ja he devesit aquest libre segontz tres capitols.	And you have already delved into this book for the second time three chapters deep.
Comensa la divisio del libre, e primier de la primieyra partida.	Begins the division of the free area, starting from the primary section.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The ordered first chapter within the body'supremacy, in terms of instruments and irons for caustics, what is necessary herein required on its part.
La divisio de la segonda partida.	La division of the second partition.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter on cauterization and perforation, as well as pills, poultices, and the extraction of herbs for them, has been ordered in all forms of instruments.
Divisio de la tersa partida.	Division of the clean partition.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third part of restoration and displacement, as well as the care for twists and mixtures directed towards these issues within the body'se capacity: head inside the weight (body), and forms of instruments arranged by their heads.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	Of cautery fire and acute medicine with memory of suffering.
Am aquel comensa le tractat de tot le libre.	Am that commenced the treatment of all that is free.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	When you examine the quality of that particular cautery and its non-essential parts, and where it is forbidden to use a cauterization.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	So it is said that the discourse on the quality of cautery and its obscurity is long and elaborate, subtle by science, secretly discussed; they speak widely about their subjects, and I have enough to understand them for a lengthy discussion.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And thus it is said that the pointed cautery comforts all parts of the body universally, except for two types of materials from which they are made: these are tail ends or extremities of their substance.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the complex tail and dry matter; they find that certain implements are beneficial for it therein, others contrary to those, which instruments are not suitable in this illness caused by dampness due to its quality and aridity—the nature of the focus is also likewise characterized by these qualities. It's necessary when dealing with such dry-matter affliction that water be drawn out; for it follows from their properties, as well as the condition itself being one of both dampness and dryness requires moisture to heal what has been extracted therewith.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	Here comes the medieval medical treatise to translate line by line:
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	Through the speech of that person, I have already discovered some things for myself.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	Even if the tool for withdrawal has not yet been used and that which is already exposed to cautery during today' extrication exercise, understand their complexity as human beings and how diseases manifest in them, including causes of those illnesses and incidents therein.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	May occur in other complexities as well; it is not out of fear but primarily due to cold sweats and damp humors, for which all doctors agree upon treatment with cautioning needles in those areas.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	Here comes the first source sentence to translate:
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	May the medicine' extricate reach that which has lain in his limb and with firm force bring it back to health thereand also promptly remove from illness, bringing strength swiftly into its weakened state of recovery.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	May the focus (possibly referring to a treatment method), due to its sublimity and noble substance, does not suffice; we have known it through experimentation and long-term study in the art of healing concerning the truths about causes; therefore, you are excused from this lengthy discourse. Until now, only servants (or practitioners) acquainted with these treatments know how to remove illnesses effectively using them on limbs or during expulsion for purge purposes—a philosophical demonstration shown in the speech which sharpens our understanding of pains.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And if wise ones say that it is best to perform cauterizations and breaks at the most favorable times of early spring,
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	Here comes the first source sentence to translate:
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	So do not sit in your knees or feet, people and common physicians estimate them as such that to this illness healed by cauterization, it'n’t completely removed all at once; therefore they pause the effects of that curative procedure.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	Here comes the first source sentence to translate:
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	May therefore pointed instruments be used excessively in medicine due to the patient'dict worth and operation magnitude of their lord.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	Here comes the first source sentence to translate:
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	Even the common talk may be about medical instruments' handling at the end of treatment, and it is not what I understand here that can fully comprehend or find out how these tools are used in medicine or by other causes beyond my knowledge.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	The cause is contrary to water; I understand that the last remedy of medicine in some illnesses is only when they administer healing herbs at certain times, and this treatment provides relief from the cause, which we apply ourselves directly therein.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And when these are the remedies that doctors use according to what is commonly understood by common people and others among physicians,
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	Here comes the first source sentence to translate: And those made of gold are better than those made of iron for caulters; they were not used except for equality with gold and elevation of its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	Here comes the first source sentence to translate:
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	Through which we apply pointed force, placing iron on and elevating the site of operation properly for healing purposes.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	Here comes the first source sentence to translate: And in the instruments of cautery, they have ordered this book according to those books above it concerning heads within the feet, that he may understand what requests come from him.
De cauteri de dolor de cap per frigiditat e humiditat.	Of warmth and moisture for headache treatment with sharp instruments (cauterizing pliers).
Le capitol primier.	The First Chapter (literally translated from Latin-influenced medieval
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	The First Chapter (literally translated from Latin-influenced medieval language):
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this cauterization is as follows: initially command the malady to be expelled through medicine in three or four days, depending on how much pressure you apply and what age the patient is used to being treated at.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	Return the command of their head to its position with a razor, and place that segment between your hands on an elevated board so as not to have it touching your chest.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	Return your hand'thy fingers over the bridge of thy nose between their pillows.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	Whenever the patient' extricates themselves from their bed at night (as they arrive), signs will indicate that place is trying to resist them; now apply heat therapy using this very tool for treatment.
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	Here comes the first source sentence to translate: E propósito daquele sob o local sentado em tentativa, a enfermidade desce, que é a onde a tíbia se torna constrita gradualmente, e você gira esse objeto.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	Return your hand and observe the location, and if you find that part of the bone has come out through the open space (where there may be existing fracture fragments), raise it up to the amount shown by the iron piece described earlier; otherwise, return your hand back to where the metal is located. If already chilled/cold, enter so as to see what portion of the bone was exposed during its removal.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	Return (and) apply a small amount of salt and dissolve it over the location, letting it act for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	Return your hand over his chest, where that which has been crushed by the focus lies within it.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	Return care for the place where the snake'thyserm is inside until it heals.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And when the patient has urinated (diysero that is), they put a belt on their waist (miaels geta le bra), so it's better and more beneficial for them.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	Here comes the first source sentence to translate: And those who are bleeding within their throat and have had some points made inside the bone, they should be burned with cauterization (and) have the cauterizations placed where there is already sclerosed part of the bone.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And if it is necessary for him/her (the patient) to urinate because of bone weakness, then provide proper care and treatment.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	Here come others with the lancets to penetrate and enter into the bone, within which they already find it hardened by previous insertion of similar instruments, this is how small apothecaries practice their craft.
E estiman de aquel loc expiran la vapors del cap.	E from that location exhales the breath of the head.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	If there has been an outflow for long periods, and it is healed within that time frame.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	May I not see all these kinds of cautery tools for everyone, but only to those in this house according to fear; and as long as your head is illuminated by the sun'thy gaze (eye sight), which we have witnessed here on other members mainly when it comes from the patient’s malady.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	The translation of this medieval medical text from a language similar to Latin, Italian, Spanish and French would be:
Capitol segon.	Second Chapter (Assuming "Capitol" refers to a chapter
Del cauteri del cap.	Of or related to the points of care for that section/chapter, possibly discuss
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When in that entire section/chapter it becomes chronic and prolonged pain within the bowels, using knives and hooks as well as lanceforks (a type of surgical instrument), with an emphasis on treatment rather than mere removal; if moreover this portion of the belly is highly formed by bone in nature; then such cauterization done with a particular lancet should also be applied to that part.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	Return that over the patient's head for cauterization, while ensuring the spinal cord is not cut open.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Cut the ribcage and expose its thickness as recorded and seal it with a cauterium in the lower part of the back where it has been applied, which is also the place where draping (ventose) takes place—this is the location being referred to.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And press your hand firmly without finding the bones, for when the humors invade heavily causing great pain different from that of other caustic instruments used on the head.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	Here they apply this cautery in its place, for when the cautery is applied to these corns on the head and back, it also applies that which has been used at the spot of the scalp; this is how things are done here.
Capitol ters.	Capital terrain.
De cauterisacio de emigranea no-antiqua.	Of ancient non-antidotal cautery treatment.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When severe pain occurs in the head or when it is tension-like and enters into the brain ventricle, both extracts are taken by medicine for treatment of diseases; without this knowledge you will not improve, there are two types of cauterization available: either medicinal combustion therapy with a specific medicine, or iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	May razors be used in medicine to grasp a sponge of asphalt and remove the limbs from both heads, respectively.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	And you will apply the location of pain on one'thy hand with a hidden lance in its place where it lies concealed underneath your neck bone.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	Here comes the first source sentence to translate:
E aprop cura aquel am enguent entro que sia sanat.	And care for it within which has been healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	If you come, apply some of the hot poultices that you have written down in your treatment booklet for medicine-burning treatments.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	In this manner of caustic treatment, it is with iron as the form:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	And when the head of him is like a closed clamp with some curved part in which he rests at his place, and there are small beads for decoration as well.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	Return the pause over the location of pain and hold your hand—so that it is not drawn out, which has just happened—and slowly turn the small iron back to its speed gradually.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	If the amount of fluid that has accumulated due to obstruction at the base of the bladder is what makes up its content, then place your hand over it so that the artery does not get compressed further, thus preventing urine flow.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	Here is the line-by-line translation of the medieval medical treatise:
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	If you go forward, perform a cauterization on the extremity of the lancet according to the treatment without delay; be careful not to cut into an artery during this procedure in the current limb.
Capitol quart.	Capital quarter (Assuming this refers to a specific time
De cauterizacio d’emigranea antiqua.	Caustic treatment of ancient emigrants. This phrase suggests that the text might be discussing historical medical practices for treating complications or injuries associated
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you treat ancient emigrants, taking into account what has been said about their healing and the divisions of illnesses mentioned beforehand—and neglecting proper care, there are times when not enough remedy from either the first cauterization in medicine or that for fomentation (which refers to a treatment involving heat) is applied; you indicate over where this pain lies along long lines — which may be its seat. Thus place your hand on it gently and use steam, penetrating with vapor inside cracks caused by the cautery needles within bone tissue—and return through openings made in ceramicware (pottery), allowing heat to reach that area once again: this ensures a restful period during which you can warm it internally via moist steam.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	However, it is necessary for you to guard against the continuous movement of the jaw, which grinds its teeth during chewing, and prevent damage to the ligament associated with that joint, as well as avoiding spasm in those nerves.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	If it is about the custody and caution of blood flow from an artery that expands, there is fear in this expansion, mostly for those who do not know what causes it and does not study or investigate; then perform the operation on them with care.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	When time for recalling the flow of sanitation accidents in accordance with our guidelsetup comes to this place.
E si veses de aquesta malautia que no abaste aquest cauteri e veses le cors del malaute tollerable, cauteriza aquel en le mieg loc del cap ayssi cum havem recontat, e cura la plagua entro que sia sanada.	If you feel from this illness that the current treatment is not sufficient and your head (cold location) becomes unbearable, then cauterize there at once where we have previously mentioned, while taking care of what'thy body requires to heal within.
E si voys, aministra le cauteri le qual havem dit en le capitol de streccio de arceria am cauteri havent dos cotels, e es milhor cauterizacio aquesta e mays conferent.	If you come, administer the same caustic that we have prepared in the head of steam iron for two cloths, and this is a better treatment hereby provided.
Capitol .v.	Capital (Latin term) refers here possibly as an abbreviation
De cauterisacio de las dolors de aurelhas.	For alleviating joint pains in the hands, they perform cauterization. This suggests that medieval physicians used heat or burning techniques (cauterization)
Quan en la aurelha ve dolor per freg e es curat am causas lacsativas e am l’autra curacio la qual he dita en la divisio, e no es remauguda la dolor, lahoras igneys le cauteri, e es aquest le qual ha nom puncta, del qual aquesta es la forma:	When in the hand there is pain due to cold and wet causes which require treatment for these reasons as well as another form of care mentioned herein; thus they do not amend or alleviate it with fire (heat), but this very one that I have outlined, known by its puncture nature, serves. Here the speaker is emphasizing a specific type of cauterization—likely involving some sort of pinpoint intervention rather than direct heat application for treating pain in hands caused by cold and wet causes according to medieval medical understanding or practice.
E aprop puncta aprop la ignicio, e sia menat al enviro de tota la aurelha ayssi cum roda es revolguda, o en le circuit de quascuna essemps si la dolor es en quascuna.	This line translates as: This puncture is applied with fire (ignition), and it's administered throughout the entire hand area similar to how a spinning wheel rotates, or along any paths if pain occurs in parts of the body other than where originally targeted. Herein lies an indication that when performing this specific type of cauterization—puncture with fire as mentioned earlier —the practitioners would distribute it over all areas affected by joint pains (likely referring to hands, based on context), employing a methodical approach remin
Alonga te am le cauteri de la razit de la aurelha pauc a pauc pus que aias senhat le loc am tenta.	Additionally extend your hand treatment with the punctures of the joint in question, ensuring you touch each location where pain is being tested or experienced by yourself carefully and deliberately (implying self-care). Herein they are not only treating but also engaging actively with their own symptoms—possibly suggesting a form of therapeutic movement within
