Ayssi comensan las paraulas de Albucasim .	 When joints are affected by cold humors
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	 Do not commit the sins of a bad doctor; that is what God does to good doctors.
E yeu ja he devesit aquest libre segontz tres capitols.	 And you shall remember these three words:
Comensa la divisio del libre, e primier de la primieyra partida.	 Begin the division of labor and first in order
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	 The first of the three chapters is about tools and instruments used by doctors in their work, and how necessary they are for the operation.
La divisio de la segonda partida.	 The division of the second chapter.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	 The second chapter is about drilling and perforating tools, vents, plagues, extractions of veins, and comparisons to those things.
Divisio de la tersa partida.	 Division of the third chapter.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	 The third chapter is about restoration and dislocation tools, and the healing of cuts and comparisons to those things.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	 "The doctor starts making a sharp point or cautery.
Am aquel comensa le tractat de tot le libre.	 "After beginning the treatment of all free limbs.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	 "Make sure to check both the sharpness and smoothness of the cautery point; also make note of any restrictions or prohibitions on cautery.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	 "The quality of the cautery point's sharpness and smoothness must be known to you; also make note of any excessive variety in its sharpness or lack thereof. Also keep in mind that speaking too loudly may lead to discord.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	 "Cautery must be applied universally in all the parts of the body that are affected by it or its material, unless two complications exist; those complications are the complications caused by its materials.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	 "In the case of dry and rough materials, discord may occur; when one part is too rough or dry, while another is too smooth or moist, cautery should not be used to treat both.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	 "It is said that the opposite of cautery should be used when treating all dry and rough parts in men; as you compare the body's heat with its moisture, you will find where the cautery should apply.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	 When you are treating someone for this ailment, do not forget to apply these remedies as well
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	 Please note that when practicing cautery in the capital of exercise and considering the variety of human bodies and the disposition of gouty ailments, as well as their causes and accidents, time management is important.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	 In cases of complications or when gouty illnesses and damp ailments are concerned, doctors usually agree on these matters, and there is no disagreement in the early stages of treatment.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	 When applying cautery for treatment and medicine, it is important to consider that the focus of the cautery needs should be on treating the specific part of the body where the cautery is being applied, rather than spreading across multiple parts simultaneously.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	 The focus of treatment should be on treating the member where the gout is located, and avoiding areas that are difficult to treat or painful to touch due to illness.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	 The focus should be on using the cautery to reveal and uncover the truth of causes, and for this reason it is advisable to make a long study of the art in order to understand the truth about the causes; and if you are not able to do so freely at that point then you must excuse yourself from further study or practice, as the purpose of practicing cautery is philosophical demonstration and only those who have mastered its subtleties can perform it.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	 In that time when it's convenient to perform cautery or pauses and places a cushion on them as the best opportunity arises first
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	 You are saying that cautery is appropriate at all times, because the earlier caution was to perform cautery as soon as possible in order to prevent time from wasting away due to those who waited too long and suffered the consequences of delay by not performing cautery when necessary
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	 And as for your own people and the common folk, they think that curing illness through cautery is not good in all times; thus, they avoid it to prevent those consequences.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	 The cause is that cautery should only be used as a replacement for medicine which changes the complexion and dries up the fluids causing the pain.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	 However, cautery should never be used as an alternative for medicine in order to increase its usefulness and duration of the surgery and improve the patient's condition.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	 It is also possible that the disease will come back at some time in future due to the complexity of the patient's condition and location of their ailment, as well as the preparation within their body for the accumulation of excess fluids and those symptoms; or else it may be that the disease was cured by cautery but returned later on because there were few excess fluids and humidity; therefore, cautery did not prevent this pain, so it is necessary to perform it.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	 "The vulgar term for cautery is a cruel tool of medicine, and it's said to be used only when I understand that there will not be any profit or cause from using other remedies.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	 The reason for this is that the vulgar term of cautery being a cruel tool of medicine only applies when administering curative measures to certain ailments where those medicines do not work and at the end of their cause the application of cautery should take place instead.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	 The phrase "cautery is the cruel tool of medicine" does not refer to the opinion of physicians in general but rather to the vulgar and outdated opinions of some doctors.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	 The ancient belief that cautery is the best method for cautery was not only wrong but also contrary to the equality of its nature and the subtlety of its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	 It is believed that cautery should not be used at the body part but rather in all other parts of the body except for the eye, as cautery applied to the eye can cause blindness and make it difficult for the craftsman to perform his work due to the heat generated by cautery applied to the eye.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	 When you have opened this space between the patient's thighs, place a cushion under them, another on their legs, and another on their chest, holding their hands, then apply cautery with gentle and firm pressure to perform surgery.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	 You have already ordered the second chapter on cautery and also specified that you want this to be performed in the same way as it was described earlier.
De cauteri de dolor de cap per frigiditat e humiditat.	 For cautery for a cold or damp head pain.
Le capitol primier.	 The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	 This cauterization refers to cold or damp head pain which can be caused by various factors such as excessive flow of blood from the veins in the head region and arteries, headaches, drowsiness, toothache and gum inflammation, paralysis, apoplexy and other similar illnesses caused by coldness.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	 The form of this cauterization is to first order the patient to evacuate the cold and dampness by hot baths for three or four nights, after which you check their health condition and age, asking them about their usual habits.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	 Then order him to shave his head and apply a poultice between the fingers of one hand on a flat bench, holding the other over his chest.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	 Then pause the shaving with your palm and place it between your nostrils to help stop bleeding from there.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	 When you say this phrase from the place that has been violated, indicate another location to come and approach it. And having approached the cautery of olives which is its form
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	 Having approached that location to be tested at once, and you want it to come out slowly one by one, roll the latter
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	 Carefully look at the location and if you see already from outside any amount of the head, then increase the amount of errors that arise to raise the hand, but if it does not come out with your hand or if it is frozen, then approach another one.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	 Take a small amount of salt and dissolve that on the location and leave it for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	 Place it in between the body's buttocks and let it stay there until it burns out completely.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	 Carefully clean that location with tetrafarmac ointment so as to be healed.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	 It was necessary for when the plague is over, and all milk has been given away, that they should give birth to a new life
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	 The cautery is applied to the nose between both ears and held so that it does not cause any damage to the shape of the face.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	 That which is attached to the body must be cleaned properly.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	 When one is suffering from gout in their joints and feet they typically seek the help of doctors.
E estiman de aquel loc expiran la vapors del cap.	 They try to remove the cold humors that have infiltrated the head
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	 The water bags are inflated for a long time and then deflated.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	 When the pain occurs in the head and is caused by cold humors then seek immediate medical help as it typically affects other body parts too.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	 The first form of cautery is usually safest and most beneficial for you, and the best physician will do that treatment.
Capitol segon.	 If necessary, try to make a hole in the surface of one's foot then do so with a pointed instrument.
Del cauteri del cap.	 Cautery on the head.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	 When all over the head is caused by chronic pain and suffering and this occurs in a long period in one who has been treated with poultices, pouches, purges, ulcers, abscesses, knots, and swellings, and mostly if that cautery was not successful in addressing those causes. The doctors consider whether or not the head of the patient is naturally strong so as to prevent further damage and it's harmful and fatal unless promptly treated with another cautery.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	 "You have already positioned a cushion between their thighs to prevent the bowel from coming out, placed another servant on their legs, and yet another on their chest, holding their hands.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	 "You then positioned the cushion and served it in such a way that the bowel was contained, with a cautery on its exit point at the back of their head where they were calling out for assistance, which is called 'the exit point' - and this location has been blocked.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	 "And then you placed your hand there to find the exit point and couldn't feel it due to the patient being too hot, which they experienced great pain from compared with other cauteries on their head.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	 "You directed that cautery to its location, which was a subtle cautery like the one used on their head for the forehead and occipital areas - this is how it should be done.
Capitol ters.	 "You have finished.
De cauterisacio de emigranea no-antiqua.	 "The cauterization has been completed without complications.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	 "When pain occurs in the back of the head, either it is acute and needs immediate attention or a chronic condition where other treatments have been attempted but nothing has helped.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	 "The cauterization for an acute medical condition is when you apply a poultice to the area and surround it with bandages on both sides of their head.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	 When pain occurs in the temple area, it is customary to place a bandage over that location so that it cannot be seen by others.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	 Then stretch out on the bed and place a blanket over your body, lay still for three hours; after that place another blanket over your arms, and lay there for two or three days, and place a bandage above the area to prevent it from spilling outside when you are in bed.
E aprop cura aquel am enguent entro que sia sanat.	 Then apply medicine to it until it is healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	 If you have other medicines prescribed in the same medical treatise.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	 The second cautery procedure is as follows: burn a hole with a pointed instrument into which this method should be applied
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	 The other cautery procedure is called Clavus, in which the head of it has a shape like an axe blade and its opening is very small.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	 Then place your hand over the pain area to prevent it from coming out while keeping your other hand to keep it from being covered with bandages, and slowly pull it out piece by piece at a rapid pace.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	 If the quantity of it that is caused by its nature to enter through the vein which should not be allowed as it may cause bleeding.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	 "The servant applies a mixture of water and salt on the location, and leaves it for three days; then applies the cold to the member, and cures with warmth as needed.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	 "If you are, cautery is applied to the extremity of the finger secondarily by a cautery, and guard against piercing an artery in this way.
Capitol quart.	 The fourth chapter
De cauterizacio d’emigranea antiqua.	 "Cautery for ancient hemorrhage.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	 "When you are performing cautery for ancient hemorrhage, and when you have done what is mentioned in the divisions of diseases, and do not apply it, but if there is a disease which does not cover that part where the first cautery was applied at medicine or fire, then tell whether it is visible on the location of the pain line length of which is the most important thing mentioned, otherwise indicate this; And pause your hand for a moment to enter into incision and prevent from entering through the nose.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	 "However necessary it is for you to guard against the continuation of the jaw, which may be harmed by chewing, and that the cautery was not applied there, nor the nerves as mentioned above, and that spasms are not caused.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	 "And if it is about the care and caution of the flow of blood from an artery which is being blocked, which in this case is fear, and mostly to that one who does not know what happens and does not study or understand; And let the operation start there.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	 The patient will be given a rest after their initial treatment in order to avoid fatigue from the recovery process
E si veses de aquesta malautia que no abaste aquest cauteri e veses le cors del malaute tollerable, cauteriza aquel en le mieg loc del cap ayssi cum havem recontat, e cura la plagua entro que sia sanada.	 If you find the pain of this ailment unbearable and cannot bear it with a pointed cautery as recommended above, then cauterize that part of his head in the same way, cure the abscess when it is healed.
E si voys, aministra le cauteri le qual havem dit en le capitol de streccio de arceria am cauteri havent dos cotels, e es milhor cauterizacio aquesta e mays conferent.	 If you find that the cautery recommended above in the chapter on curing abscesses is not enough for this ailment and a second cautery is necessary to treat it more effectively.
Capitol .v.	 The abdomen.
De cauterisacio de las dolors de aurelhas.	 Cauterization of the pains in the ears.
Quan en la aurelha ve dolor per freg e es curat am causas lacsativas e am l’autra curacio la qual he dita en la divisio, e no es remauguda la dolor, lahoras igneys le cauteri, e es aquest le qual ha nom puncta, del qual aquesta es la forma:	 When there is pain in the ear due to cold and other causes that were not treated with the first cure as mentioned in this division, then apply the pointed cautery, from which it derives its name.
E aprop puncta aprop la ignicio, e sia menat al enviro de tota la aurelha ayssi cum roda es revolguda, o en le circuit de quascuna essemps si la dolor es en quascuna.	 Apply the pointed cautery at its origin and have it placed in a loop around the entire ear so that when pain occurs in any part of it, the treatment will occur there too.
Alonga te am le cauteri de la razit de la aurelha pauc a pauc pus que aias senhat le loc am tenta.	 Keep applying the pointed cautery on the roots of the ear, one after another, until you reach the end and try to eliminate it from that location as well.
E si le cauteri de detz puntz en tota aurelha, e quays aquela, e aprop cura les locz entro que sian sanatz.	 If the pointed cautery is applied on all of the ear and you continue to do so until that location becomes healed as well.
Capitol .vi.	 When joint pain is caused by cold humors that infiltrate each part of the body, and foot pain occurs, it is customarily called gout among doctors
De cauterizacio de turtura.	 Cautery
Turtura la qual es curada e am cauterizacio no es sino de las specias las quals veno per flecma, segon que havem dit en las divisios de las malautias.	 The cautery which is used and cautery application should only be done on the areas that come in contact with the skin as we mentioned earlier in the sections about the ailments.
