Ayssi comensan las paraulas de Albucasim .	 When joints are afflicted by cold humors, each part of the body will be affected.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	 You must now enter the location of that free space where the operation occurs which has errors and fear, so that you should preserve it and save that one, in order for people not to stumble upon the way they speak and you are distressed.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	 Then please take your weapons of solicitation, protection from God, and your sins that have been spoken and committed.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	 Then proceed by the grace of God to heal and achieve success, take on terrible sins that are difficult to cure, hold your weapons here so you do not tremble; in faith and in His name may it never fail: for how much remains to your glory?
Gualia ja diyssec en alcunas sieuas monicios:	 And please excuse any of your shortcomings.
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	 "I will not bring evil to my patients.
E yeu ja he devesit aquest libre segontz tres capitols.	 It is necessary that you enter this free space in three parts.
Comensa la divisio del libre, e primier de la primieyra partida.	 Begin the division of the free area by the first part of the first stage.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	 The first stage is organized in terms of instruments and procedures to be carried out by the doctors for this operation.
La divisio de la segonda partida.	 The second division
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	 The second chapter of surgery and incision, extraction, and excision; it is ordered to show the forms of instruments used in this field
Divisio de la tersa partida.	 The third division
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	 The third chapter of restoration and dislocation, and treatment for the sick or injured; it is ordered from top to bottom, and shows the forms of instruments used in this field
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	 This chapter includes medical treatments and surgical interventions, and their memorization of operations.
Am aquel comensa le tractat de tot le libre.	 This treatise is the beginning to deal with everything free.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	 Consider the quality of youth and old age in cautery; and what complications may arise as a result.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	 The youth of cautery and age are long and complex, subtle to understand, and secret; many secrets there are, and disagreements arise, so that the sermon on them is long.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	 Cautery interferes with all universally relevant material, except two complications: adhesions and scars of the body.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	 In the adhesion and scar complication of cautery, healing occurs; it is convenient for cauterized wounds that are dry to be cured, as dryness is characteristic of fire, and inconvenientness arises when dry wounds occur with wet cauterization.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	 When joint pain is caused by cold humors that infiltrate each part of the body and pain occurs in the feet, it is customarily called gout by doctors.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	 You have already opened the space between the patient's thighs, placed a cushion under them, another servant on their legs, and another on their chest, holding their hands.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	 However, you should also note that practicing caution and exercise in the practice of cautery is important to avoid accidents, injuries from these practices, as well as the time limit for each.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	 It is advisable to consult with doctors about these complications as well, and avoid practicing cautery in haste, especially when dealing with wet or moist conditions that all doctors agree are best avoided.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	 Lastly, it is important to note that the secret of cure for cautery burns and its effects on the body are known best in cautery as medicine compared to simple cauteries where only the part which has been cauterized feels pain and not the other member at the same time but instead a short while later.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	 Medicine practiced on the affected member will cause pain in another part of the body that is difficult to heal and be very painful.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	 In the presence of a great amount of warmth and goodness in its nature, it does not do anything other than to harm
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	 You should be aware that the sentences have become disordered due to the passage of time and are no longer grammatically correct.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	 You are suggesting that cauterization is convenient in all situations, except when time runs out or when the need for treatment becomes urgent, and especially if it's for necessary pain like those caused by injury, burns, or other types of pain that can't be treated with delay as fear of causing harm may outweigh the potential benefits.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	 This means that in your cases or if medical professionals believe otherwise, when treating a condition that can only be cured with cauterization it is not convenient all the time and should be done during times of urgency to avoid any potential consequences.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	 The cause is that the treatment for this ailment occurs instead of medicine which changes the complexion and dries up the fluids causing the pain.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	 The first sentence of the text translates to "I am about to explain the importance of using a pointed cautery for relieving pain in gout".
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	 The second sentence translates to "It is also possible that the gout will return at some point in time, after completing the treatment and placement of the device, as well as its completion within one's body, and due to the causes mentioned above; unless the ailment is treated with a pointed cautery, which could alleviate or prevent pain from occurring again. In other words, if precautions are not taken.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	 The final sentence translates to "Therefore, the most common remedy is pointed cautery, and it is straightforward; unless one understands in what way these are applied by the physician, who thinks that they do not cure or prevent pain.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	 The cause of this is contrary to the above; and the reason that pointed cautery is the most common remedy for medicine is only when administering the methods of healing in certain ailments, those medicines don't confer it, and at the end of the cause, a physician administers a pointed cautery and applies it.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	 The conclusion of the text translates to "The pains here refer to the common use of pointed cautery in medicine that is different from what doctors used earlier.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	 When the first course of cautery is done more than necessary, it should not be done by itself but for the equality and sublimity of its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	 When cautery is done on the body but not on the eyes, it should be made in every other part of the body except for the eyes; and cautery to that area is better and more effective than doing so with fire alone, as there will be fewer burns; also if you adjust the intensity setting when cauterizing over the eye, then the heat may cause the cautery implement to stick to it.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	 In order for cautery to be done properly and completely, you must gently and carefully regulate the operation procedure.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	 You have already ordered this chapter on cautery after the previous chapters, and you have arranged it in the order that the patient wants it.
De cauteri de dolor de cap per frigiditat e humiditat.	 For gout caused by coldness or dampness
Le capitol primier.	 The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	 This cauterization covers all the accidents caused by coldness and dampness, from head to toe of the limbs including ears and eyelids, causing excessive sleep disturbances, toothaches and jaw pain, as well as universal body pain generally caused by coldness or dampness with paralysis and apoplexy like in those ailments.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	 "The form of this cauterization is as follows: First command the patient to empty their bowels with a laxative, either three or four times, then examine the rectum and age of them, and their usual habit.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	 "Then command him to raise his head with a sharp pain and place something soft between your thighs in order to prevent the stool from coming out.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	 "Then gently remove the bandage on her hand, place a soft towel over her nose between her lips.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	 "But if the location mentioned above has been found, signal that location and proceed with the olive oil cautery which is as follows:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	 "Then gently remove that over the location you mentioned, and move it slightly towards where your hand is, at which point your hand will be tight gradually, and then rotate that.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	 "Then gently lift your hand and look at the location, if you see any amount of the head uncovered, then count how many grains of sand there are, the doctors will raise their hands, and if not return your hand to that place, otherwise do that.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	 "Then take a little salt and dissolve it over the location and let it stay there for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	 And then place a cushion beneath their buttocks, and put one over the opening of their body to prevent injury from the firelight.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	 Then apply cold water to the affected area to help cool it down
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	 It is customary that when a man gains weight, he will get fat arms, so as not to be ashamed and look young.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	 And it is customary that if the cautery is done to the nose, no more bleeding will occur from any other part of the body.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	 Then return to where you came from and start again.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	 And it is customary that the cautery should be done on the right side of the body first. Then put your hand over the opening to prevent the nose from falling out, and this is how the little animals do
E estiman de aquel loc expiran la vapors del cap.	 It is customary for them to get rid of the cold humors in their head.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	 And then hold onto the excess fat for a long time, and apply it when it's solid.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	 It is customary that when they ask about cauteries of all kinds, and you are afraid to answer them directly; but rather, tell them the reason for it in a roundabout way, and if necessary make excuses for your silence by saying, "As I was explaining to my previous questioners...
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	 When joint pain arises from cold humors that infiltrate each part of the body, it is customarily called gout by doctors
Capitol segon.	 And if it is necessary to make points on the surface of the foot, then do so with a pointed cautery.
Del cauteri del cap.	 The head cautery.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	 When chronic and prolonged pain occurs in the head of a patient who has been previously cauterized with a certain type of cautery due to those causes, doctors consider whether the nature of the patient's head is very dry or extremely moist (or "grast"), believing that this could be related to the dryness of the head.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	 And if the cautery above the patient's forehead is removed, then the pain will cease.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	 Remove the bandage and discover how much of it was removed and cauterize that part with a cautery as if it were called "the space" (i.e., the location where pain has been experienced).
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	 And wash your hands so that you do not see the wound where the patient has suffered extreme pain from other cauteries on their head.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	 You will apply this cautery to that location, which is a subtle type of cautery used when the other cauteries on the head have been removed, and it is how they are applied in practice.
Capitol ters.	 The patient is being prepared for an operation that involves making incisions in the thighs, placing cushions under them, serving on their legs, chest, holding their hands, to prevent the intestine from coming out when there's pain in the feet.
De cauterisacio de emigranea no-antiqua.	 The cautery must not be too hot or cold.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	 When the pain in a part of the head is so severe that it cannot be relieved by other means and must be treated with a hot cautery, or when the pain occurs within an ulcer, the cautery should be used to treat it; otherwise, use another cure for pains only if necessary.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	 If the cautery is used to treat a severe headache and the ulcers are treated at the same time with other remedies for pain in the extremities of the patient's body.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	 Place a bandage over the area where the pain is in the temple to prevent it from coming out through the forehead, or place a covering so that you do not see it.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	 And then apply a tight bandage for one hour to prevent swelling of the chest area and place it under three hours; and apply lotion on both or three days, and rest over the chest area so that the location does not come out by force.
E aprop cura aquel am enguent entro que sia sanat.	 And then cure him with a remedy when he is healthy.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	 If you use remedies that are in the same book of medicines used above.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	 The second cautery procedure should be performed in this way:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	 It is recommended that the head of the cautery should be in a form similar to an anvil so as to prevent any bending or twist when applied to the patient's body part.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	 Then place your hand over that area of pain, keeping it steady so as not to cause injury and gradually reduce its size at a slow pace.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	 If the amount of blood flowing through that vein is such that it might be causing pain during palpation, then place your hand gently to prevent injury and take extra caution to ensure there's no bleeding from any veins or arteries nearby.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	 Then apply a poultice of salt and water to the affected area, covering it with cloth for three days; also, apply ointment on the wound, ensuring cleanliness.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	 If any arterial incision is made during the cautery procedure on the arm, it should be carefully inspected to ensure that it was not an antique one.
Capitol quart.	 The fourth cap.
De cauterizacio d’emigranea antiqua.	 The cautery for the antique artery.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	 When you perform cautery on the artery mentioned earlier in previous care or in divisions of wounds and miss out on taking it, causing pain to the area around that location as well; pause your hand gently and hold tightly to prevent any injury during incision while also covering its mouth with a gauze pad.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	 However, it is necessary for you to guard against the continuation of the jaw, which may make swallowing difficult, and that no nerve should be injured, nor any spasms occur.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	 If you are to be cautious and careful in the flow of blood from an artery that is blocked, for fear of a blockage occurring elsewhere as well, let us proceed with caution and care at the outset.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	 And remember to apply a poultice of warm damp cloth on the affected area for 20 minutes every hour as needed.
E si veses de aquesta malautia que no abaste aquest cauteri e veses le cors del malaute tollerable, cauteriza aquel en le mieg loc del cap ayssi cum havem recontat, e cura la plagua entro que sia sanada.	 If you find that the patient's discomfort is intolerable due to this caution and excessive care of their body parts, burn it with a pointed cautery in the affected area as described previously, and treat the wound as soon as possible to ensure it heals well.
E si voys, aministra le cauteri le qual havem dit en le capitol de streccio de arceria am cauteri havent dos cotels, e es milhor cauterizacio aquesta e mays conferent.	 If you find that the cautery we described earlier in the chapter on arterial cauteries is not sufficient or more intense, this is the preferred method and may be superior.
Capitol .v.	 Capitulation.
De cauterisacio de las dolors de aurelhas.	 Cauterization of joints pain.
Quan en la aurelha ve dolor per freg e es curat am causas lacsativas e am l’autra curacio la qual he dita en la divisio, e no es remauguda la dolor, lahoras igneys le cauteri, e es aquest le qual ha nom puncta, del qual aquesta es la forma:	 When the joint pains occur due to cold humors and are treated as described above in section B of this chapter with the exception that we do not burn away the pain but rather cauterize it. The point of this procedure is called a puncture and is used for:
E aprop puncta aprop la ignicio, e sia menat al enviro de tota la aurelha ayssi cum roda es revolguda, o en le circuit de quascuna essemps si la dolor es en quascuna.	 The first sentence translates to "now open and make ready the opening", suggesting that a patient is being prepared for an operation of some sort in their groin area, where pain has been experienced by the patient.
Alonga te am le cauteri de la razit de la aurelha pauc a pauc pus que aias senhat le loc am tenta.	 "Then take the cautery from your hand and place it gently on the small of her back, holding tight to prevent slipping.
