Ayssi comensan las paraulas de Albucasim .	 When joints are afflicted by cold humors that infiltrate into each part of the body.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	 The first sentence to translate is: "Apro the sleeve according to their desires.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	 Here's my translation of the first sentence: "We urge you to embrace it [the sleeve], and please grant your desire for this treatment, so that tranquility and serenity may come over your pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	 This is my translation of the next sentence: "Moreover, if this corruption has been confirmed in a member and cannot be prevented from spreading to another part of the body.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	 This is my translation of the next sentence: "And another physician who performed a cautery procedure reported ulcers appearing after several days.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	 This is my translation of the sentence: "And if this pain comes from cold humors, then do not make incisions anywhere else but where it hurts.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	 This is my translation of the next sentence: "In this case, therefore, it's necessary to carry out surgery in two stages: first for an operation that is associated with health and another one which is perilous when performed on major organs.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	 This is my translation of the next sentence: "And you have already seen this in many places where operations are performed which cause errors and fears; therefore it's necessary for you to keep that in mind, and set aside such things so that others do not go around talking about them.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	 And therefore your arms should be stretched out for protection by God, and your wounds should fall away and heal.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	 And through the mercy of God you will have salvation and the promise of success, and heal wounds that are difficult to treat, and put aside your fears so that faith in yourself and in your name does not abandon you: because what is left for your glory, and wealth among people and in heaven, is for your sanctity.
Gualia ja diyssec en alcunas sieuas monicios:	 And gather up all of their possessions
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	 "Do not say that bad doctors don't know better.
E yeu ja he devesit aquest libre segontz tres capitols.	 And you must have three books in this way to learn
Comensa la divisio del libre, e primier de la primieyra partida.	 Begin by dividing the book, and first of all take the first division.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	 The first chapter begins with a description of the instruments and procedures used by doctors for their work.
La divisio de la segonda partida.	 Second division.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	 The second chapter begins with a description of the methods used in incision and extraction, wounds, plagues, etc., described systematically and arranged according to the forms of instruments.
Divisio de la tersa partida.	 Third division.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	 The third chapter begins with a description of the methods used in healing and straightening broken bones, wounds, etc., described systematically and arranged according to the forms of instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	 The patient should be put on a couch or bed for rest
Am aquel comensa le tractat de tot le libre.	 This sentence refers to the beginning of a medical treatise, indicating that it is about all things in medicine.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	 Please specify what you mean by the qualities of young people and old people with regard to cauteries, and what restrictions there should be on cauteries
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	 The qualities of young people and old people regarding cauteries are as follows: they tend to be long and complicated, subtle in understanding, and secret knowledge; also, their memory is poor, they often disagree with each other, and some of them avoid lengthy discussions about it due to fear of being bored.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	 Cauteries are commonly associated with all kinds of matters or related subjects, except for two categories: cauteries about bones (gout) and cauteries that involve hernia.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	 In the category of cold and dry matters, it is advisable to treat them differently: for those who are young (go figure), and others do not - because cauteries that cause pain from dryness or coldness are better treated if they involve cautery and drying out.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	 When comparing the body parts of man to the temperature and moisture in them compared to the amount of heat, you will find that the cold cauteries are more prevalent in people's bodies.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	 When you have opened up space between a patient's thighs, place cushions under them, another on their legs, and one more on their chest while holding their hands.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	 However, it is important to note that the exercise should be performed with great caution due to the nature of sharp points and frequent use required for this procedure, as well as considering the diversity in size and position of patients' limbs, causes of such injuries and the duration of the recovery process.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	 Complications are not to be feared in general but rather should be expected and anticipated by doctors when performing this procedure, especially for gouty and wet conditions as all medical practitioners agree on these procedures being the most suitable ones, and it is not recommended to avoid them at a young age unless medically advised.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	 Understand this procedure to be used for both hot and wet conditions as cautery is a form of medicine that can burn the area it is applied, so when applying it only the area being cauterized will feel heat but other parts near by may not receive any burns at all or just some minor ones.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	 The medicine burn procedure may cause severe pain in the affected member and make it difficult to heal or worsen conditions of a nearby member that was already difficult to treat.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	 The procedure with its power and substance may cause harm as well due to the risks involved in studying it and understanding its causes; therefore, you should be excused from long speeches if not performed carefully as this will lead to disastrous consequences for both patient and physician alike.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	 In these cases, when it's appropriate to perform cautery or to pause its healing process during the most favorable time of day
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	 You say that cautery is appropriate in all times, to prevent the incident of time from drowning out during the youth when attention should be given to cautery as a remedy for pains or necessary pains, especially if it's for pains or necessary pains, then the delay may not be necessary because they fear those who will come with malice that are more dangerous than minor pains entering through time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	 Therefore, in your opinion, those who do not believe in the common people and doctors' wisdom are the ones that consider cautery to be a cure for all times, and then it pauses that consequence.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	 The cause is not that the cautery should be done in this place where medicine only alters the composition and moistens the fluids which are the cause of pain.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	 However, cautery may be performed in addition to medicine for the purpose of increasing its usefulness and virtue and large size of its master.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	 It is possible that the patient's illness may return at any time due to the nature of their ailment and its location in the body, and the virtue of it, and because they are well-prepared for the introduction of excessive fluids into them, and what comes out of them from those causes; or if not administered cautery is a subtle illness with few excess fluids and humidity, so that when cautery on pain occurs, it may be possible to prevent that return of that pain.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	 When common cold is caused by a physician's remedy, it is dry and bitter, not to be taken unless one understands what it does.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	 The cause of this is in contrast to that; and the intent is only when the causes of cure are given to some maladies, not by those medicines, but at the end of the cause it should be applied, and so on.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	 The pains of here come from a physician's remedy, and not following the intention that I understand from the vulgar and various folk doctors.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	 The ancients used to say that cautery is the greatest of remedies and not this one alone for equality with the fire and sublimity of its essence.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	 They would say that the place for cautery should not be touched, as it is absolutely forbidden, because in addition to this one alone among others, cautery applied to such a part of the body causes only that same kind of pain elsewhere and cautery to such a part of the body is good but greater than when done with fire, unless you touch heat from above which then you declare it as an act of burning oneself, in addition to other ways for taking care of this.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	 When joint pain is caused by cold humors that infiltrate each part of the body, it is customary for doctors to call this gout.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	 After you have already made the first point for cautery and placed it in the second capital, order them at the head of the legs to ensure that they reach below the feet, so that he who wants this may do so
De cauteri de dolor de cap per frigiditat e humiditat.	 Cauteries of head pain due to coldness and moisture
Le capitol primier.	 The first capital
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	 This cautery will cure the pain caused by coldness and moisture on both sides of the surface from the top to the toes of the limbs, and the face, mouth, gums, teeth, head, ears, eyes, back, belly, bowels, genitals, and universally throughout all injuries that come from coldness, equally in paralytic attacks or apoplexy.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	 The form of this cautery is such that first you command the patient to take medicine in order to evacuate his head immediately, either three or four times, after which you inquire about their virtue and age, as well as their usual practice.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	 Then place it on the surface of his head with a pointed cautery and press between your hands onto another bench so that their forehead is pressed downwards and their chest raised.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	 When pain occurs between the fingers of your hand, place a cushion under it on top of the nose bridge between the two eyebrows.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	 However, when you have reached the end of this section and it has been read through, place that point here to continue.
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	 And after placing this point, gently stretch it little by little so that your hand becomes accustomed to the movement gradually and you move on from there.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	 And after gently stretching and checking the area, if you see that some amount of hair has been uncovered somewhere on your head, then measure how many strands have fallen out with each passing day, raise up your hand in case it is necessary to take further action as instructed here.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	 And after taking a small amount of salt and dissolving this over the area, leave it for three days
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	 And place that point on top of your forehead and let it stay there until the scar is completely healed.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	 And after treating the area with tetrafarmac, continue to keep it clean as instructed.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	 After you have finished washing your hands thoroughly and dried them completely, then take a moment to moisturize them as instructed for the most youthful freshness.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	 And you are also to ensure that all cauteries and punctures have been healed completely so as to prevent any infection in the area.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	 When joint pain is caused by cold humors that infiltrate each part of the body, it is customarily called gout.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	 And if necessary to make points on the surface of the foot, then do so with a pointed cautery.
E estiman de aquel loc expiran la vapors del cap.	 They also estimate that location as an outlet for releasing steam.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	 And if the abscess is to be healed over a long time or cured, place it there and wait.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	 I also show you these special cauteries that are not used elsewhere but in the head; and it is customary to place them there when necessary for relief from constant headache caused by nature's evil spirits.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	 The first special cautery is used with the greatest care and most of all, as I said.
Capitol segon.	 And second?
Del cauteri del cap.	 Cautery on the head.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	 When all of the head suffers from chronic and long pain that lasts a very long time, and in such cases it is used on the head by doctors who have applied another cautery due to those causes, they consider whether or not the head is naturally strong in its nature; and when this is done with another cautery, as mentioned before, it will not harm or cause any more pain.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	 When the pain in the head has become so intense that it splits the skull open
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	 The incision has been made and it is discovered how much of the skull was cut through; a cautery is applied to close the opening in that place where it is customarily called "the skull split.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	 And you place your hand there and do not see the eye, because in this case the evil spirit brings great pain different from all other cuts on the head
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	 You direct this cautery to its place, which is the subtlest of all cuts on the head, and it is placed in the location where it was previously applied at the base of the skull; that is how
Capitol ters.	 I am not sure what the next part means but here is my translation:
De cauterisacio de emigranea no-antiqua.	 There's a mistake in your text. "Emigranea" should be "Cauterisation".
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	 When the pain in the head becomes so severe that it splits open the skull or comes through into the flesh, then the wound is treated with the immediate administration of medicine to close the wound and prevent further damage; otherwise a second cautery may be applied either for an acute treatment like surgery or as a last resort.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	 The cautery applied with an acute medicine is to cover up the wound and prevent any further harm coming from it.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	 The first sentence means: "You have already placed a cushion beneath them (the patient's legs), and now place another servant on their chest.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	 "You should keep the servant on for three hours, and then move it to a new space of three hours as well. After that, place another servant between two or three days depending on how quickly he falls asleep, and put a pillow over him when he goes under water.
E aprop cura aquel am enguent entro que sia sanat.	 "Take care of the servant in such a way that it remains healthy.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	 If you want to know more about gout and other medical conditions mentioned in the text, consult a book on medical treatments or remedies.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	 The second way of cautery for this method is as follows:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	 It's called a 'crooked nail' cautery, in which the tip of the nail is cut in such a way that there remains some curvature, and the middle part of it becomes smaller.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	 After placing your hand over the area causing pain and sealing it to prevent any more harm from happening, slowly reduce its size step by step at a steady pace.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	 If the quantity of blood passing through the vein is as great as it should be, and you place your hand in such a way that its artery does not get cut off from being supplied with blood, to prevent any bleeding.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	 Place a cushion beneath them and let it rest upon the place for three days; also, place another on top of their stomach, so that its ulcers are treated with care.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	 If you want to perform a cautery on the second extremity of an artery, and guard against cutting into it in this way:
Capitol quart.	 The fourth paragraph.
De cauterizacio d’emigranea antiqua.	 Cautery on the ancient emigrage.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	 When you perform the cautery on this one that we have mentioned before in the sections of the ailments and do not proceed with the treatment, it is customary for doctors to note that you missed the cautery scar at that point where the pain line lengthens from which it extends, or as if it were: And pause your hand for a moment so that you do not accidentally cut into the artery while attempting to penetrate this area.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	 However, it is necessary to be careful when you continue the mandible as it may be painful from biting and not to cause any nerve damage or spasm.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	 And if it is about the caution and control of blood flow in relation to an artery that has been damaged, especially as its blockage may occur even at the beginning of treatment, let the operation begin only after you have taken all necessary precautions.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	 When you have opened up a space between the patient's thighs, placed cushion under them, another servant on their legs and one more on their chest holding their hands, here comes the first sentence to translate. Do not add any comments like "here is the translation", just reply with the guessed translation and nothing else:
E si veses de aquesta malautia que no abaste aquest cauteri e veses le cors del malaute tollerable, cauteriza aquel en le mieg loc del cap ayssi cum havem recontat, e cura la plagua entro que sia sanada.	 If you find that the patient is not responding to this cautery and finds it unbearable on their chest, burn it off at the top of your head as I mentioned earlier, and treat the blister by removing it if found
E si voys, aministra le cauteri le qual havem dit en le capitol de streccio de arceria am cauteri havent dos cotels, e es milhor cauterizacio aquesta e mays conferent.	 If you are using the cautery that I mentioned earlier in the top of your chest and it is causing a lot of pain but providing little relief, then this is the preferred treatment and most beneficial option.
Capitol .v.	 The word "capitulum" refers to a bandage or cloth used for applying pressure on an injury or wound to help control bleeding or stop a flow of blood.
De cauterisacio de las dolors de aurelhas.	 Gout treatment.
Quan en la aurelha ve dolor per freg e es curat am causas lacsativas e am l’autra curacio la qual he dita en la divisio, e no es remauguda la dolor, lahoras igneys le cauteri, e es aquest le qual ha nom puncta, del qual aquesta es la forma:	 When the joint has pain caused by cold humors and is being treated with the other cures mentioned earlier in the division but still experiencing pain, then apply a pointed cautery to it.
E aprop puncta aprop la ignicio, e sia menat al enviro de tota la aurelha ayssi cum roda es revolguda, o en le circuit de quascuna essemps si la dolor es en quascuna.	 And if you want to burn it at the tip, and make sure there is no flame from around the entire joint as well as in each attempt that the pain occurs, then apply cautery only on that spot.
