Ayssi comensan las paraulas de Albucasim .	 When the joints are affected by cold humors
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	 "Take then the most direct way by grace of God to find salvation and victory over death, and lay aside the terrible sins that are difficult to cure, and your weapons for this purpose may cause you fear, so that righteousness in your faith and name will not fail: wherefore may it remain with your glory, or with the world and with those who hold your sanctities.
Gualia ja diyssec en alcunas sieuas monicios:	 In these veins run certain matters
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	 There are no bad doctors that I know of.
E yeu ja he devesit aquest libre segontz tres capitols.	 This liberty is given in three parts.
Comensa la divisio del libre, e primier de la primieyra partida.	 The division of the freedom begins with the first part.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	 The first capital ordered from above the feet in the forms of instruments and the procedures of cauteries, and that which is necessary for action.
La divisio de la segonda partida.	 The division of the second part.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	 The second capital deals with excision and perforation, and the use of leeches, and the extraction of abscesses and symptoms accompanying them, all in order and arranged according to the forms of instruments.
Divisio de la tersa partida.	 The division of the third part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	 The third capital deals with restoration and dislocation, and the care of tortures and symptoms accompanying them; all in order and arranged according to the forms of instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	 From the cauteries come acute medicine and remembrance of action.
Am aquel comensa le tractat de tot le libre.	 The treatise begins with the division of the freedom.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	 That you may examine the quality of youth and of the old in this cautery, and which composition is prohibited.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	 The speech of the quality of youth in cautery and the old is long and complex, subtle to understand, secret; and many secrets are contained within it, and there is discord among them, so that few sermons from this one are desired for their length.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	 "The treatment should be applied to every part of the body universally, which is the matter or its matters, except for two kinds of complications that are called the foot and leg ailments.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	 "In the complication of cold and dampness, treatment is administered; whereas in those who are afflicted by it, and others are harmed by that, which treatment is not beneficial for dry or wet ailments, because nature's fire is dryness and dampness, and it is convenient to treat cold and damp with a cautery to be cured.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	 "Then those who say the opposite of that, for whom cautery is beneficial in all dry and wet ailments that occur on men's bodies, when you compare the body parts of man to their humidity with the complication of fire, you see the body parts of man inflamed.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	 "You say through the example of that, may experiments be done to discover it.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	 "Moreover, it is not advisable to insist on that which has been tested and exercised in the chapter of cautery for everyday practice, and know the variety of complications among men and the disposition of their ailments from them, as well as their causes and accidents, and also the passage of time involved.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	 In complex cases without fear, and especially in the warm dampness of fevers or moist ailments that all doctors agree upon this, do not be hasty with a premature cautery there
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	 Sapientia, physicians, of the secret of curing by fire and the goodness of its heat is about cauteries that are in medicine, as long as the flame is simple, so only penetrates to the member on which it is cauterized, but not to another member near or far
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	 In the members that are nearby it comes from medicine burns to heal in a member's difficult healing and it is very painful
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	 The fire for its sublimity and the goodness of its substance does not do this except to superfluity E already is known through experiment and length of service to study art on the truth of causes; And therefore you are excused from the length of speech, if it was not at mine free in that pause room A you secret about the fire, and the quality of operation in the bodies and its expulsion for which you expel illnesses, as a philosophical demonstration, which would be found in your troubles.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	 Wisdom, physicians, that the discord from time when it is most convenient to do a cautery and pause at the best of times before
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	 When the cautery is convenient at all times to prevent the discomfort from occurring in a time of need for cauterization and greater if it is necessary due to pain or necessary pains, then quickly apply them without delay so that you are afraid of those who will come with malice, which is more than small inconvenience coming through time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	 And for those who do not believe in popular opinion and the opinions of doctors, that is because curing gout with cautery is not recommended all times, and they wait for that consequence to happen.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	 The cause is that they seek cautery as a substitute for medicine which alters the composition and moistures causing the pains to occur.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	 However, cautery should not be used instead of medicine for fear of loss of function and virtue of his operation and great damage to himself.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	 It is possible that his gout may return at any time due to the composition of the gout and its location in his body, as well as the virtue of it, which has been prepared for in his body through the accumulation of superfluities in him, and this is what he was subjected to in his youth and similar to these causes; but if cautery were used on that, then there would be no return of such pain, may that not happen.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	 When the pain occurs due to cold humors that infiltrate into each part of the body, and the feet feel it, it is customary for physicians to call it gout. And if it's necessary to make marks on its surface, do so with a pointed cautery. Then return the intestine or hernia back to its cavity, place your hand over the area to prevent it from coming out.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	 The cause of this is contrary to that; and I understand that cautery is the remedy for medicine when administering cures in certain diseases, but not all medicines provide it, and at the end of the treatment administer cautery, and take advantage of that.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	 The pain from here is due to the remedy for medicine called cautery, which I do not agree with the opinion of many physicians.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	 The old cautery was considered to be more beneficial than the new one, and not in equality with air or sublimity of its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	 You should not perform cautery with fire over the body if you do it for a long time and without pain relief, as it is painful to endure, and if you adjust it too high then it burns out of control, causing discomfort; additionally, there are flames that ignite from the cautery itself.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	 When joints are affected by cold humors, the doctor performs surgery to remove them from each part of the body.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	 The second sentence has a typo in it: it should be "ordered". I assume that this means the doctor orders the following two things to perform the cautery surgery procedure; first order is on the head and the other one is below the waist, so the person asking for the operation will specify which part they want.
De cauteri de dolor de cap per frigiditat e humiditat.	 The doctor performs a cauterization due to cold and dampness in joints of the head.
Le capitol primier.	 The first capital refers to the procedure itself, which is a cauterization surgery.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	 This cauterization procedure is applied to the cold and dampness causing ailments such as inflammation of the eyes and ears, sleep disorders, tooth pain, and various other types of injuries caused by cold, both directly and indirectly.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	 The form of this procedure is that it first commands the patient to be treated with a poultice on their head for three or four nights, while also inquiring into the patient's health and age as well as their usual practice.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	 You then command them to shave off the growth on top of their head and to apply a poultice between your thighs as well as over their chest area.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	 Place a cushion under their thighs, another on their legs, and one more on their chest while holding their hands
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	 However, once the location is identified as where it occurred, then examine that area and apply olive oil in the form of a poultice.
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	 Once you've identified that as where it occurred, then examine that area carefully and apply olive oil in the form of a poultice gradually while wrapping it with cloth.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	 Once you've examined the area carefully and determined that it is not covered by any sort of covering, then spread your hand over it and apply the olive oil gradually while wrapping it in cloth. If nothing comes out, if you wish to remove your hand from there, then do so, but otherwise place it back on that spot as instructed.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	 Take a small amount of salt and dissolve this in the area and leave it for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	 Once you've identified where it occurred, apply a poultice of olive oil to that area while leaving it untouched for three days and ensuring the fire is extinguished nearby.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	 Examine the area carefully until it becomes healthy.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	 If a plague occurs while being rubbed with olive oil, then apply more of it as quickly as possible because it is the most effective and youthful.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	 When the codpiece is cautorized inside the anus, it should be held by a cautery that is not to be inserted into any part of the anus.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	 And when you're done with that, go ahead and apply the ointment.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	 After cautorizing it in that area and after ensuring the anus is properly closed with a finger to prevent leakage into the bowel, this is how you should apply the ointment.
E estiman de aquel loc expiran la vapors del cap.	 And then exhale through your nose.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	 Hold the plaster on for a while and then apply it after being sure it is solid.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	 You should not use cautery in all cases but rather leave it as a last resort when it is necessary to prevent the loss of life or limb.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	 The first method of cautery should be used as a last resort and it is most effective.
Capitol segon.	 The second method.
Del cauteri del cap.	 Cautorize the head
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	 When the pain on the head is chronic and prolonged and that it is in a prolonged illness of the patient, use needles, hooks, scalpels, plasters, gauzes, bandages, sutures, and glue, and if necessary cauterize with another cautery to remove those causes; otherwise consider whether the head of the patient has natural characteristics which require a different treatment.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	 When someone's head is held down by a cautery, the skin on their forehead will peel off in layers as it is cut open
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	 Cut the forehead and it is revealed that there is a certain amount of skin which we have counted; cut off this part with an incision at the back of the head in the place called the nape
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	 And if you feel pain differently from other cuts on the head, it is because this injury causes much more pain than all the others.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	 You apply this cautery to the place where you have applied the other cauteries, that is a very subtle one which covers the back of the head and the nape of the neck; it's called 'the form'.
Capitol ters.	 Capitals.
De cauterisacio de emigranea no-antiqua.	 Cautery does not cause permanent damage.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	 When pain occurs at the back of the head or through it, they apply a remedy to remove the pain from the head, and if nothing else helps, there are two ways in which cautery can be used; either for an acute cautery (which quickly relieves the pain) or as a last resort.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	 If you apply an acute cautery, the pain is quickly relieved and your hands are numb from holding them close to each other's heads.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	 The first sentence translates to "Here comes the location of pain in the temple as a sharp arrow into which place is hidden.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	 "Here the arrow comes to stop that contraction, and place it in three hours; and take away its feathers, and lay the bandage over two or three days, and pause on the body part submerged into which place does it touch?
E aprop cura aquel am enguent entro que sia sanat.	 "Here cure that which is injured.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	 If you go to the other medical treatise, then it will be found here.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	 The cautery can be done in this manner: insert a pointed object into the part to be treated as indicated by the cautery, which is its form.
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	 It is called "clubbed" when the top of it has a form like that of a claw in which there is some curve, and its part to be treated is very small.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	 "Pause on the location of pain, and take your hand - to prevent it from being injured by the sharp object you hold- and roll it little by little at speed.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	 If the amount of it that is desired by the size of the incision is such that the vessel is not injured which is there, for fear that there will be a flow of blood.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	 When you have opened the space between a patient's thighs with a cushion under them and another on their legs as well as one on their chest holding their hands, it is customary for three days to be taken care of him while he recovers from his ailment
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	 If you are going to perform cautery on the second artery of the arm, it is customary to guard against incision into an artery in this region specifically.
Capitol quart.	 The fourth quarter
De cauterizacio d’emigranea antiqua.	 Cautery on the third artery.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	 When you have finished the cautery on that which has been described for the preceding cautery and those of the diseases, and if it is not sufficient to cure him or her, then make sure to cut off the skin where the pain runs along its length until it reaches a certain point, at which time; and place your hand over his abdomen and press down on it gently to prevent any bleeding from occurring.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	 However, it is necessary that you keep your mouth closed so as not to continue the chewing and make sure they do not have any pain in their nerves and do not get spasms.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	 And if it is about the care and caution when administering blood to a patient whose artery is blocked in such a way that they fear bleeding, and mostly avoid doing this as much as you can, and let's perform the operation on him or her at the beginning.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	 When joint pain is caused by cold humors that infiltrate each part of the body, and pain occurs in the feet
E si veses de aquesta malautia que no abaste aquest cauteri e veses le cors del malaute tollerable, cauteriza aquel en le mieg loc del cap ayssi cum havem recontat, e cura la plagua entro que sia sanada.	 If you wish to relieve the pain of this gout by that cautery and heat the patient's chest gently with a towel, cauterize it in its place at the head so as to cure the swelling into which it has infiltrated
E si voys, aministra le cauteri le qual havem dit en le capitol de streccio de arceria am cauteri havent dos cotels, e es milhor cauterizacio aquesta e mays conferent.	 If you wish to administer the cautery that we mentioned at the top of the chest with two cauteries, and prefer this one more than others.
Capitol .v.	 The head
De cauterisacio de las dolors de aurelhas.	 Gout treatment.
Quan en la aurelha ve dolor per freg e es curat am causas lacsativas e am l’autra curacio la qual he dita en la divisio, e no es remauguda la dolor, lahoras igneys le cauteri, e es aquest le qual ha nom puncta, del qual aquesta es la forma:	 When there is pain in the foot and it is cured by finding its cause and another cure that was mentioned at division point, and if this does not relieve the pain, the doctor applies a pointed cautery.
E aprop puncta aprop la ignicio, e sia menat al enviro de tota la aurelha ayssi cum roda es revolguda, o en le circuit de quascuna essemps si la dolor es en quascuna.	 Then apply it to the entire foot as soon as possible so that it becomes inflamed or in each attempt if the pain is in one of them
Alonga te am le cauteri de la razit de la aurelha pauc a pauc pus que aias senhat le loc am tenta.	 Then apply it to the root of the foot little by little, trying to reach where you feel the pain.
E si le cauteri de detz puntz en tota aurelha, e quays aquela, e aprop cura les locz entro que sian sanatz.	 If the pointed cautery is applied all over the foot and is effective everywhere, then cure the affected areas as soon as possible.
Capitol .vi.	 When joint pain is caused by cold humors that infiltrate each part of the body, and pain occurs in the feet, it is customarily called gout by doctors.
De cauterizacio de turtura.	 Cautery
Turtura la qual es curada e am cauterizacio no es sino de las specias las quals veno per flecma, segon que havem dit en las divisios de las malautias.	 Torture cure and cautery is nothing more than the specific treatments that come out by flame, as we mentioned in the sections of wounds.
Esquiva cauterizacio de la specia que endeve per siccacio o per spasme del nervi.	 Cautery for the specific treatment that relieves dryness or spasms from nerves.
