Ayssi comensan las paraulas de Albucasim .	 When joint pain is caused by cold humors that infiltrate each part of the body,
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	 The cause of which is cold humors is purely accidental and not all parts are affected; instead the part that suffers most from this is the one that was covered in it.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	 For this reason you are advised to make two operations: one is for the member that is associated with health and another is for the part that is in greater danger.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	 You have already succeeded in this matter at that place where an operation was performed which was an error and fear: so you must keep it safe as well, to prevent others from speaking against your order or striking you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	 When you have opened a space between the patient's thighs, placed a cushion under them, another servant on their legs, and another on their chest, holding their hands, here comes
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	 Through the grace of God, may you find salvation and success in your lives, bear terrible evils with ease in healing, and bear your weapons that now cause terror upon you, so that through faith and by the name of Jesus Christ you will not perish: for how much more shall remain to your glory, and with the one and other among your saints.
Gualia ja diyssec en alcunas sieuas monicios:	 In regard to certain matters which
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	 No matter illness shall not be called ill doctors.
E yeu ja he devesit aquest libre segontz tres capitols.	 And you have to decide on three capitals.
Comensa la divisio del libre, e primier de la primieyra partida.	 Begin the division of liberty, and first of all choose a starting point
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	 The first capital ordered from the bottom of the foot, in the forms of instruments and in the movements of the cautery, and that which is necessary for operation.
La divisio de la segonda partida.	 The division of the second part.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	 The second capital, from which hole to make a perforation, and of the vein, and of the plague, and of the extraction of scales and of the arrangement with those on top, all capitals ordered in the forms of instruments.
Divisio de la tersa partida.	 Division of the thread
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	 The third capital is to repair and move around it, and the act of straightening and straightening it.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	 Cautery warm up and acute medicine and the memory of the operation.
Am aquel comensa le tractat de tot le libre.	 At that point, start the treatise on everything free.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	 Determine what kind of incision you need to make with cautery and how deep it should be, and in which combination is prohibited cautery.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	 The vocabulary of the quality of youth and the quantity from it is long and prosaic, subtle in nature, and secret.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	 Cautery is used universally as the material or materials it contains, except for two combinations.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	 In the combination of dry and hard materials it is burned; if any one of them should be too young to that, and others should be contrary to that, cautery not suitable in bad weather due to its quality and dryness.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	 And so it is contrary to that, because for cautery is always young in all bad weather hard and dry parts of the body where when you compare the body of man and the humidity of him with the combination of fire, you see the body of men burned.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	 When the pain of the joints is caused by cold humors that infiltrate each part of the body, then it is customary to call it gout among doctors
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	 This sentence is very difficult to translate since it doesn't have a direct equivalent in English and its grammar and structure are not similar to Latin or any other language I can think of at the moment. It seems like an attempt to convey complicated medical information, possibly related to joint pain or exercise routines for some ailment that affects men specifically.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	 This sentence suggests that complications arise in the joints when cold humors or damp conditions are prevalent and doctors often agree on this issue but may not always prioritize it early during examinations for other ailments.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	 This sentence implies that when focusing on care and curing of ulcers, the warmth or heat applied during cautery is crucial for its effectiveness but only to the part being treated and not spread to other parts of the body unless specifically intended as a preventive measure.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	 This sentence suggests that the application of medical remedies is applied to those affected members and may cause side effects or complications in other parts of the body if not used carefully.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	 This sentence suggests that heat has its own properties and substance that are beneficial but can also be harmful if not used properly. It encourages experimenting with different methods of truth discovery related to its effects in the body's organs or expulsion of ailments, as the text implies it would be demonstrated by philosophers as a virtue in illnesses.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	 When doctors decide to perform cautery it should be done at a moment that is most advantageous in terms of healing time
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	 You are saying that cautery should be performed at any time, in order to prevent the discomfort caused by waiting for a longer period of time, especially when it's about urgent pains or necessary pains which would otherwise take too long and cause discomfort, therefore making it advisable to perform cautery quickly.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	 You are saying that doctors should not perform cautery on those who do not accept or support the general population and its physicians, because if cautery were to be performed when necessary it would cause long periods of waiting time for healing which could lead them to regret their choice.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	 The cause is that the cautery procedure itself changes the body composition and affects the humidity levels which are a cause of pain
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	 However, cautery should be performed very carefully to ensure the well-being and health of its patient as it involves a significant surgical operation.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	 It is also possible that the pain may return at a later time due to the composition of the patient and its location within the body, as well as the fluids in their body which have caused the pain, therefore it would be advisable not to perform cautery if necessary, so that there will never be any pain recurrence.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	 When the vulgar language is about cauterization being a remedy for medicine, it seems rather strange that I cannot understand what you mean here as to whether or not you believe this to be an appropriate use of cautery in addition to medical care.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	 The cause is contrary to this; and I understand that cauterization being a remedy for medicine only applies when administering the methods of cure in certain ailments, such medicines do not confer benefit, and at the end of the cause administer cautery along with it.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	 The pain caused by cold humors that infiltrate each part of the body is known to doctors as gout.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	 The ancients believed that cautery was the most important treatment for cauterizing, and they did not do it only for its equality in nature with its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	 When performing cautery with fire on the eye, make sure not to declare it and prepare to receive it; if you adjust over it ignites it in the fire, which may cause blisters from the cauterizer causing an occupation of that part.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	 When joint pain is caused by cold humors that infiltrate each part of the body, and pain occurs in the feet, it is customarily called gout by doctors.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	 You have already opened the space between the patient's thighs, placed a cushion under them, another servant on their legs, and another on their chest, holding their hands.
De cauteri de dolor de cap per frigiditat e humiditat.	 To cauterize the pain in the head due to coldness and humidity.
Le capitol primier.	 The first sentence.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	 This cauterization is caused by coldness and humidity on the surface of the body which can lead to a variety of symptoms such as severe headaches from the top of the head to the soles of the feet and palms of the hands, difficulty sleeping, pain in teeth and gums, and overall weakness throughout the entire body.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	 The form of this cauterization is to command the patient to remove himself from a hot bath for three or four days next until exhaustion and then examine his face, ears, eyes, nose, throat, and other areas to ensure that he has no other ailments.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	 You command him to shave his head and place a bandage between your hands on the table so that you can place it over his chest.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	 Place a cushion under their thighs, another on their legs, and another on their chest, holding their hands
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	 And if the tongue was found in a different location, please note that location and try to use olive oil as the cautery.
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	 And place it on top of that location, make sure you're standing straight and try to gently move it there.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	 And gently lift your hand and look at the location, if you find that there is some amount of fat on top, then increase the size gradually as well, and if it does not come off easily, try another part or method, depending on whether they are frozen or not.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	 And sprinkle a little salt over the location and leave it there for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	 And place it on top of your forehead and let it sit there until the area is completely dry from the heat.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	 And take care of the location with tetra-farmacón, which should be safe.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	 When the plague is gone and many people get better quickly, it's most fortunate and most youthful.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	 And do not let the cautery on top of your nose become too dry and cause any damage to its surface.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	 When pain occurs in the feet (gout), it is customarily called gout by doctors.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	 When a pointed cautery is used on the buttocks to release pain that has spread there.
E estiman de aquel loc expiran la vapors del cap.	 It's believed in this location the cold humors are released.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	 The bandage was applied for a long time and is now cured.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	 If you do not find any specific cautery points anywhere else, but if the head is affected in a way that worries or frightens you, and it is necessary for the solution of continuity to continue as has been testified by other members more frequently when the head of the patient is naturally flat
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	 The first specific cautery point to be used should be saved, and in this way best possible solution is given.
Capitol segon.	 Second.
Del cauteri del cap.	 Of the head cautery points.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	 When the chronic pain of the head becomes prolonged and it is in a patient with a flat head, use cauteries such as cauteries on the legs, buttocks, back, chest, elbows, wrists and forehead. And most often if the cause was cauterized to another cautery that does not heal or remove the causes mentioned above, doctors consider whether the head of the patient is naturally flat. If it is not flat, they would cauterize with another cautery from below.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	 When it concerns the forehead between two people who wish to kiss each other's cheeks, then an opening is made by a pointed cautery.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	 Insert the opening and let it be opened by a pointed cautery in the part of the head where it is called "the parting" - and this opening is being held shut
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	 And spread your hand in that way and do not open the mouth, because the patient is experiencing great pain from this different to all other cauteries of the head
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	 You are to direct this cautery to its place, which is the cautery of the head and the occipital area that has a more subtle kind of cautery, as such one located at the back of the head; it's called the occipital cautery
Capitol ters.	 And there you are
De cauterisacio de emigranea no-antiqua.	 Cautery procedure is not antique.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	 When the pain in the head is severe or occurs between the eyebrows, then the patient must be treated with a strong medical treatment, and if necessary another cure will also be applied; it's not preferable to wait until the pain stops, because the cautery procedure should either involve acute medicine, or
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	 The cautery procedure using acute medicine is that you press a small amount of alum into the patient's hand and apply it to both temples of their head.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	 When joint pain infiltrates each part of the body, causing pain in the feet, it is traditionally referred to as gout by doctors.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	 Then tighten the bandage around the affected area, leaving it in place for three hours; and apply a poultice with two or three times daily, keeping its surface moist to prevent maceration of the skin at the site of application.
E aprop cura aquel am enguent entro que sia sanat.	 Then take care of him as soon as he is well.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	 If you have any medicines that you used in the previous treatise on medical remedies, please list them here.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	 The second method of cautery should be as follows: apply a cauterizing device of the type mentioned below to the affected area
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	 It is called a corkscrew, in which shape the head of it resembles that of an awl and its middle part is slightly bent.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	 Then pause on the affected area, and remove your hand - to prevent injury from applying too much force  - and gradually reduce its size over time.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	 If the amount of force required to puncture the bandage is greater than what your hand can apply without causing injury, remove it and reapply a new one until there is no further bleeding.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	 When you have opened the space between the patient's thighs and placed a cushion under them, another servant on their legs, and another on their chest, holding their hands, you will now administer a decoction of salt water to that area for three days; and after that, treat with mulhat oil on the body part so as to make it whole again.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	 If you are going to burn the extremity of the finger with a cautery, make sure that artery incision is not made in this part of the body especially on an ancient site
Capitol quart.	 The fourth quarter.
De cauterizacio d’emigranea antiqua.	 Ancient artery cautery.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	 When you cure an emigrane artery as described in the previous care and in the divisions of malautias (the same as before), but if you fail to do so, then pay attention that this cautery should be used only when the ulcer or hernia is healed well enough for its incision to heal properly. After placing your hand over the site of pain along the length of the ulcer or hernia, apply a poultice and wait until it becomes warm and stiff; then gently cut into the artery and pull out through the nose.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	 However, it is necessary to also guard against the continuation of the mandible which can cause difficulty in chewing and may irritate the nerves that control that area, and prevent a spasm from occurring.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	 When the arteries are blocked with cold and hard blood flow occurs in the patient, who is terrified, and most importantly, those who do not know what to do and are unprepared, let this operation begin
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	 You will remember the order of blood flow accidents in the arteries following a particular method
E si veses de aquesta malautia que no abaste aquest cauteri e veses le cors del malaute tollerable, cauteriza aquel en le mieg loc del cap ayssi cum havem recontat, e cura la plagua entro que sia sanada.	 If you find that the disease is not controllable with this cautery and you find it necessary to cauterize elsewhere on the head as well
E si voys, aministra le cauteri le qual havem dit en le capitol de streccio de arceria am cauteri havent dos cotels, e es milhor cauterizacio aquesta e mays conferent.	 If you find that there are two blockages in the arteries of the chest as well, and it is more advisable to perform this operation here than elsewhere.
Capitol .v.	 The heart
De cauterisacio de las dolors de aurelhas.	 Cauterization of the pains of the heart.
Quan en la aurelha ve dolor per freg e es curat am causas lacsativas e am l’autra curacio la qual he dita en la divisio, e no es remauguda la dolor, lahoras igneys le cauteri, e es aquest le qual ha nom puncta, del qual aquesta es la forma:	 When the earache arises from cold and hard causes that cannot be cured with the previous cautery or another cauterization done in a division, if the pain is not relieved by this one either, doctors will call it a point
E aprop puncta aprop la ignicio, e sia menat al enviro de tota la aurelha ayssi cum roda es revolguda, o en le circuit de quascuna essemps si la dolor es en quascuna.	 Then apply the pointed cautery to all parts of the ear so that it is turned around or in the circuit of each attempt if the pain occurs in any one part.
Alonga te am le cauteri de la razit de la aurelha pauc a pauc pus que aias senhat le loc am tenta.	 "When you hold it tightly on the edge of her navel, you will feel its tip approaching.
E si le cauteri de detz puntz en tota aurelha, e quays aquela, e aprop cura les locz entro que sian sanatz.	 If you place a point on the entire areola and also above it, then apply pressure to the spots inside where they are sore.
Capitol .vi.	 13
De cauterizacio de turtura.	 Treatment for burns
Turtura la qual es curada e am cauterizacio no es sino de las specias las quals veno per flecma, segon que havem dit en las divisios de las malautias.	 Burn treatment is the application of ointments and cauteries that come from the veins as we mentioned in the sections on wounds.
Esquiva cauterizacio de la specia que endeve per siccacio o per spasme del nervi.	 Cautery for a rash or spasm caused by dryness or nerve tension.
