Ayssi comensan las paraulas de Albucasim .	 In English this means: Here come the words from Albucasis
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	 The first chapter shall deal with instruments and surgeons' practices in surgery, as well as the importance of this practice.
La divisio de la segonda partida.	 Division of the second part.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	 The second chapter shall deal with cutting and drilling, ventilation, plaguing, extraction of bones and sawing into pieces, all arranged and ordered according to the forms of instruments.
Divisio de la tersa partida.	 Division of the third part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	 When restoring or displacing joints, or when caring for the head to feet and vice versa, it is customary to do so with care and precision of instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	 With caution and acute medicine, and remembrance of the operation's purpose.
Am aquel comensa le tractat de tot le libre.	 The treatise begins by explaining its own nature.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	 To know the quality of young and old cauteries, and in what circumstances it is prohibited.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	 The nature of the quality of young cauteries and those old is long and complex, subtle to understand, and secret. It offers many insights but also contains contradictions, and one part of its teachings may take too much time to consider fully.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	 It is customary for cauteries to completely understand the universal content of what it represents or its materials, except two cases. The exceptions are cases where there are contradictions within these materials.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	 In the hard and dry materials there is a contradiction; if one of them is young at that time, while others are contrary to it, that cautery is not advisable in illness where quality and dryness are concerned, because nature of fire is qualities and dryness, and convenient is when dryness and hardness are combined.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	 When you compare the bodies of men to their heat and humidity with that of fire, it causes pain in their chest
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	 You say by way of the said thing, you try these remedies to reveal
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	 Indeed, you should also know that in order to practice cautery on the chest, it is necessary to do exercises aimed at discovering differences between men and making adjustments according to their symptoms, causes of their ailments, accidents, and time intervals.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	 Indeed, in complex matters that are not related to gout or humidity, doctors often agree on these matters and do not resort to cautery at a young age for those ailments.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	 Indeed, sir/madam, the secret of curing pain caused by fire and its benefits are about cautery in combination with medicine, as the flame is simple when you only touch the member that has been cauterized; however, it does not spread to another part of the body unless there is a small amount of it applied to that part.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	 Indeed the medicine combined with cautery can bring in difficulty of treatment and pain to a part that is difficult to heal; however, it also brings relief.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	 "Let the fire be applied to his sublimity and substance goodness, as this does not do any harm; and I shall know how to judge through experiment and length of servitude for learning about the art on truth from causes; and in this way, you should excuse the length of the discourse, and if it is necessary that no one else enters into this secret place, and quality of operation with him in his heart's expulsion by means of which he expels the diseases, as a philosophical demonstration will show to be correct.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	 "And furthermore, sons, that the time is from which it is convenient to make cautery and pause at the most opportune moment of prime necessity.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	 "You say that cautery is convenient at all times, in order for the discomfort caused by time to be submerged at this moment when cautery is necessary and essential, except if cautery is used only for minor pains or necessary pains, which do not suffer from tardiness so as to fear those who will bring malice, which is greater than a small pain entering through time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	 "And therefore in your words, or sons, this does not consider the common people and the foolish doctors, as it is that the illness cured by cautery is not curable at all times, but pauses such consequence.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	 The cause is not in the same place where the disease occurs, but rather on the medicine that alters the complexion and corrects the humidity which are the causes of the pain
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	 The cautery should be applied in excess on top of the medicine to achieve its effect, which is to tighten up and rejuvenate the skin through surgery
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	 It is possible that the disease may come back at any time due to the complexity of gout and its location in the body, as well as the condition of the patient's skin after treatment with cautery, causing minor imbalances or increased humidity which could lead to a recurrence of pain, unless you perform certain actions.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	 It is common knowledge that cautery is the best remedy of medicine and is usually used in conjunction with other causes such as medication or other therapies.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	 The cause is the opposite of this; and the intention that cautery is the best remedy for medicine only applies when administering cures through certain treatments, such as medication, do not confer them, and at the end of the treatment, apply cautery to it.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	 When joint pain is caused by cold humors that infiltrate each part of the body and pain occurs in the feet, it is customary for doctors to call this gout.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	 And if you desire that the pointed cautery be used more often than others and not because of equality in ability or virtue of its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	 And if you wish that cautery not be used on the face but only in other parts of the body, and if cautery is applied to the face then do so with caution as it may cause burns; also, prepare bandages for receiving burns; and if applying a bandage causes an injury itself, prevent further injury.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	 In order to perform cautery, be gentle and very cautious in the execution of the operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	 You have ordered this chapter on cautery as a second chapter and put the ones about the head before them to make sure that those who ask for it will understand what they want of it.
De cauteri de dolor de cap per frigiditat e humiditat.	 Cautery for joint pain caused by coldness and dampness
Le capitol primier.	 The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	 The cautery causes the dampness and cold to damage any part of the body from the head down to the feet and hands, causing a multitude of pains such as those experienced by gout, rheumatism, toothache, ulcer, dizziness, paralysis, apoplexy, and others like them.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	 The method of this cautery is as follows: first you command the patient to evacuate through a long and narrow opening using a strong and bitter medicine for three or four times; second you examine the intestine and its age, size, and custom from within.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	 Then you tell him to raise his head towards the ceiling and place a cushion between your thighs so that he does not come out through there.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	 And then hold your hand over the nose cavity between his lips, ready to catch him if he tries to escape.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	 In case the method described above has failed and you have managed to catch him, this is how to treat an escaped gout:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	 Then hold him tight against the location where he tried to escape and repeatedly squeeze it until you succeed in returning him inside.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	 Then gently remove your hand and look at the location, if you see that some amount of his head has been uncovered, add another layer to your hand, otherwise remove it from there, or hold onto it in case he tries to escape again; either way, make sure you cover the entrance where you found him.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	 Then take a small amount of salt and dissolve that on it and let it stay for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	 And you place a cushion under them while another servant stands on their legs, holding their hands to prevent it from escaping the body and being destroyed by fire.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	 The servant withholds their hand inside, preventing the intestine or hernia from coming out and causing damage.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	 If you find a Roman-style pouch that is more comfortable for use with both hands simultaneously, then it's even better and younger than this one.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	 It is customary to make a hole at the end of the artery that goes into the arm and put it in such a way that no part of the cautery should come out.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	 Then you place it there so that only one part comes down at once, and carefully.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	 Then you put the cautery there so that it comes down from the elbow to go into the arm, and after it is in place, take hold of the wrist, making sure it doesn't slip.
E estiman de aquel loc expiran la vapors del cap.	 You spread out this location so as to let the vapor escape.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	 Hold it in place for a long time and make sure it is fixed securely.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	 You should not use those cauteries in every case, but rather you follow the other path out of fear; and leave it as I said before, if it is necessary for your health's sake, when; because the head may be affected by a continuous stream from nature.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	 When you have first opened the space between the patient's thighs, place a cushion underneath them, another servant on their legs, and one more on their chest holding their hands, then comes the specialty of the first cautery which is the most pleasant to touch; from this spot and from that spot it works the best.
Capitol segon.	 The second sentence.
Del cauteri del cap.	 Of the head cautery
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	 When the pain in the head becomes chronic and prolonged, it is often due to a cold humors that remain and do not go away even after being treated with cupping cups or scalp purges; when this happens, doctors consider whether there may be another cause for the persistent pain of the patient's skull.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	 After cautering on top of the head has been performed, ensure that all wounds have been completely closed and healed properly.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	 After closing the incision and opening it up again to count how many wounds there are that have been treated with a cautery in the location where it is called the exit, - and this place was previously blocked.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	 And when your hand is there and you do not find the cause of the pain in this way that differs from other pains caused by head cauteries
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	 You should perform this cautery in that place, where the cautery of the forehead and the occipital region is a subtle cautery that has been performed at that location on the head; and this is how it is done.
Capitol ters.	 When joint pain is caused by cold humors that infiltrate each part of the body, it is customary called gout among doctors.
De cauterisacio de emigranea no-antiqua.	 And if it is necessary to make points on the surface of the foot?
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	 If there is pain in the head when gout occurs in the joints or extremities?
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	 If you encounter a sore throat while using this treatment, wash your hands with cold water and apply it to the affected area of the head?
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	 Do you mean that if a cold sore appears on the forehead or temple while using this treatment?
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	 Do you mean that if the cold sore reappears or persists for three hours?
E aprop cura aquel am enguent entro que sia sanat.	 And do you mean that it is customary to treat this with a pointed cautery or cauterization?
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	 Yes, among the remedies listed in that medical treatise are ones to be written on this text.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	 And if the second method is used for treatment?
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	 Are you asking about a specific shape or form of the cautery for treatment?
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	 The doctor will now place his hands on the patient's chest in order to examine their heart and lungs.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	 The doctor will measure the speed of the pulse and examine the aorta to ensure that there is not blockage in the arteries which could lead to blood flow being affected.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	 The doctor will give the patient a mixture of salt and water to drink for three days while monitoring their condition closely, and will provide treatment when they become sick or show signs of infection.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	 If the patient's arm becomes inflamed and there are signs of artery blockage in that particular limb, then a more careful examination is needed to ensure safety precautions are taken.
Capitol quart.	 The fourth sentence does not appear to have meaning or relevance within this context.
De cauterizacio d’emigranea antiqua.	 Artery cautery is used when there's a concern about the safety of the patient, often during examination and treatment procedures in medical contexts such as heart surgery or other serious operations.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	 When you have finished examining the patient and their previous condition is not improving or worsening in any of these areas (the wrists, ankles, knees, hands, feet), unless there are indications of a cardiac issue which requires immediate attention with a pointed cautery, do pause your hand to prevent any potential damage.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	 Although it is necessary to keep the continuation of the mandible in place, which is crucial for chewing and that the tongue should not be stimulated or relaxed excessively, in order to prevent excessive spasms.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	 If it is necessary to exercise caution and care in the flow of blood from the artery that abuts on her, which can be dangerous if interrupted, and above all avoid doing so because you do not know what this entails or does not study enough, then proceed with the operation at its outset.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	 In order to remember the rhythm of blood flow in relation to her abdomen and her location in that regard, free yourself from this concern.
E si veses de aquesta malautia que no abaste aquest cauteri e veses le cors del malaute tollerable, cauteriza aquel en le mieg loc del cap ayssi cum havem recontat, e cura la plagua entro que sia sanada.	 If you suspect a gout that has not been properly treated and the patient's condition is tolerable, burn it in the area of the top of your head as quickly as possible, and then apply a compress to where it was burned so that it can be healed.
E si voys, aministra le cauteri le qual havem dit en le capitol de streccio de arceria am cauteri havent dos cotels, e es milhor cauterizacio aquesta e mays conferent.	 If you suspect the use of a caustic that was recommended in the area of the head as cautery on both temples and it is most beneficial to perform this procedure.
Capitol .v.	 The capital (as opposed to the base).
De cauterisacio de las dolors de aurelhas.	 The cure for gout pains.
Quan en la aurelha ve dolor per freg e es curat am causas lacsativas e am l’autra curacio la qual he dita en la divisio, e no es remauguda la dolor, lahoras igneys le cauteri, e es aquest le qual ha nom puncta, del qual aquesta es la forma:	 If the ear pain is caused by cold humors and is cured with the same measures as those for other cures in this division, but the pain persists after the cautery was applied, doctors call it a point attack.
E aprop puncta aprop la ignicio, e sia menat al enviro de tota la aurelha ayssi cum roda es revolguda, o en le circuit de quascuna essemps si la dolor es en quascuna.	 "The servant begins the treatment by applying a pointed cautery to the affected area.
Alonga te am le cauteri de la razit de la aurelha pauc a pauc pus que aias senhat le loc am tenta.	 The servant applies the cautery in small, short bursts on the afflicted region until they feel the location being stimulated.
E si le cauteri de detz puntz en tota aurelha, e quays aquela, e aprop cura les locz entro que sian sanatz.	 If all points are applied to the affected area and where appropriate, then apply care to the locations between which sensation is felt.
Capitol .vi.	 "And now we come to the final step.
De cauterizacio de turtura.	 The servant performs a tourniquet on the afflicted region to prevent any further pain or damage from occurring.
