Ayssi comensan las paraulas de Albucasim .	The patient's doctor begins to speak.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	Now he orders the patient to be lifted according to his wishes, and he orders him to be bound, and thus as long as the chest and foot cavity are not sewn up, and he loses his breath.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	But I was called to him, and I took off the bandage, and I succeeded in restoring his tranquility and alleviating his pains.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	But meanwhile, corruption had already been confirmed in the limb, so that I could not stop it, and it did not cease to wander through the limb until the disease became very perilous.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	I saw another doctor who perforated an abscess because of cancer, and it became ulcerated after about six days, until the disease worsened further in him.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The cause of the pain is that the sharp needle is pure of melancholic humors, and therefore it cannot penetrate to any part of the body, but rather only affects a member which has suffered from being exposed to all.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And therefore, sons, it is necessary for you that the operation be divided into two parts: one in the operation on him to whom it is associated with health, and the other work which is hazardous in certain dispositions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And I have already existed in this entire book where I discuss operations in which it is error and fear; therefore it is necessary for you to keep watch over this and hold back that, so that the people do not come to know about speaking and deceiving you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And therefore take up your arms in solicitude and protection of God, and your maladies in facility and firmness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the better way through the grace of God to lose suffering and successful succession, and lay off the terrible maladies of difficult healing, and put back your arms from here so that you do not flee in your faith and in your name: for more remains to be done to your glory, and afterwards in the world and in the later times of your sanctity.
Gualia ja diyssec en alcunas sieuas monicios:	The patient will have already eaten a certain quantity of food in some cases:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	Do not treat the illness with medicine, lest you be mistaken.
E yeu ja he devesit aquest libre segontz tres capitols.	And I have to divide this book into three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	Begin the division of the book and first part of the first chapter.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter ordered in the treatment of feet, in the forms of instruments and in the bones of cauteries, and from there what is necessary in the operation.
La divisio de la segonda partida.	The division of the second part.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, on drying and perforation, and about venous boils, wounds, and extraction of arrows and similar matters, all covered and ordered according to the forms of instruments.
Divisio de la tersa partida.	The division of the third part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter, on restoration and dislocation, and on curing of twisted limbs and similar matters; a chapter ordered in the treatment of feet and in the forms of instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	De cauteri have fire and sharp medicine and memory of the operation.
Am aquel comensa le tractat de tot le libre.	Is that the beginning of the treatise about everything free?
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	Explain the quality of the juice and the utensils of that cautery, and in which compartment it is prohibited to use cautery.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Then say that the discourse on the quality of the juice and utensils of the cautery is a long and prolix one, subtle for knowledge, and hidden in secret; and already many wise men have spoken of it, and there are disagreements among them, and I have been able to hear only a small part of their discourses, which they fear will lead to protracted discussion.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And so say that cautery benefits all of the body universally, where it is material or its matter, except for two places, which are tail areas; their matter.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the tail and dry area where there is desiccation; because some say that cautery is beneficial for it, and others say the opposite, that cautery is not suitable for such a condition, because its nature is quality and dryness, whereas in such a condition as cauda e secca am aquo (tail and dry with moisture) where there is moistness, it is convenient to heal the dry and moist parts.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And take care that the one who says the opposite of what you say is done justly in all types of illnesses that occur on the human body, which happen when you compare the human body to the complexity of a fire, and because of this you are left with a cold and dry constitution in men, just as you observe the human body and the humidity of it.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	I speak by the word of that one, who has already experimented with this at some times in my life.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	But I do not know that a remedy will come over this one who has already been proved and exercised in the capital of cautery for many exercises, and having known the diversity of human complexity and the disposition of illnesses in their own territories, and the causes of those, and the accidents to them, and the space of time for those.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	But in other complexities, it is not about your fear, and more so in dry and humid illnesses, where all the doctors agree on those, and you do not err in applying the cautery for them.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	You should know, sons, that the secret of healing through cautery has to do with fire and the goodness of it, which is superior to the medicine that burns. Because fire is simple, its action does not penetrate beyond the member to which it is applied, and only causes a small harm.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	The action of medicine comes before its arrival in the affected limb, and it is stronger than the person who tries to come into the ill limb with a difficult solution and is soon out.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	But the fire, due to its greatness and noble substance, does not cause harm but rather overflows And we have come to know it through experience and the long duration of our studies on the art; and for this I excuse the length of speech And if it were not that it is not proper in the mouth free from error, I will remain hidden with you about the fire, and the quality of its operation in the body, and how to expel them through such an expulsion, which removes diseases, a philosophical demonstration proven, sharpened for your hands.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And wise sons, know that the times differ in which it is suitable to perform cautery and place at the best time of spring.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	And I say that cautery is suitable in all times, so that the damage caused by time's accident is submerged in the juice of that which is applied at the time of cautery, and more especially if the cautery is for pains or necessary pains strong and firm, which do not tolerate delay, so that it is feared by those who come with malice, which is greater than small damage entering through time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	Joint pain caused by cold humors infiltrating each part of the body and causing pain in the feet is commonly called gout among doctors.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	The cause is not simply that the liver has become swollen because of it, since cautery is in place of medicine which alters the complexity and dries out the humidity, which are the causes of pain.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	However, cautery is sometimes superfluous over medicine due to the patient's expectation of improvement from its operation and the size of their lord.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	It is possible that their illness may return in a few hours of the time, depending on the complexity of the disease and the location of its affliction, as well as its effectiveness, for it is prepared within the body by adding unnecessary superfluities to it, which are conveyed to it through food and similar causes; whereas, if cauterization is administered to an illness that is not subtle in a few small parts with some superfluities and humidity, then possibly that pain will not return, but rather this is done in small points.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	It seems to be a description of the treatment for gout. 
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	When joint pain is caused by cold humors that infiltrate each part of the body, and pain occurs in the feet, it is customarily called gout by doctors.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And then, from this point on, cauterization is considered the last resort of medicine, not according to my understanding of the understanding which I comprehend the popular and crude opinions of the foolish doctors.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	They said that cauterization with gold is better than cauterization with iron, and they did not say this because of the inferiority of iron, but rather because of the equality of gold and the nobility of its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	They said that the location of cauterization does not matter, because even if gold is not absolutely true, as you know well and have tried it out, and you've found that it's better than iron in some cases, but other cases, so they said; however, when you make cauterization with fire of gold, it is not for your declaration, because it is agreed according to the quantity you want to apply, through the roughness of the gold, and how you prepare yourself to receive the burn; and if you place it on the ignition, then the gold is consumed by the fire, and some thin slices are placed in the fire so that the artisan can hold onto it.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And for this reason, the iron cauterization is made more lightly and more heavily at the right time of the operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And I have already ordered this chapter on cautery according to the capitals, and I have ordered those of the chest within the feet, in order that the one asking for it may see what he wants.
De cauteri de dolor de cap per frigiditat e humiditat.	Of cautery for headache pain due to coldness and humidity.
Le capitol primier.	The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cautery cures the coldness and humidity of an accident where there are two causes: one is caused by soda and many types of traumatic flux, called corissa, from the head to the parts of the feet and ears that flow, and many kinds of sleep, pain of teeth, and tonsillitis, and universally of all sickness that comes from coldness, just like paralysis, colic, or apoplexy, which resemble those diseases.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this cautery is this: first, you command the sick person to evacuate their bowels with laxative medicine on the head, three or four nights, as much as the value of the patient and his age and habit require.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And you command him to shave his head with a razor, and next make that shaver between your thumbs over a wooden board, and place your hands on the patient's feet.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	Place your hand on the surface of your palm beside the nail of your nose between the joints.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	But since you told me the location is affected, signal that area with the olive wood cautery, which is this shape:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	Place that on the affected area, in such a way that you press down gently, with which your hand is constricted little by little, and you rotate it.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	Lift your hand slightly and examine the location, and if you see already that some bone is exposed, in such quantity as the amount of grain of sand, then raise your hand, and if not turn your hand to another metal, other one, until it freezes, so that it shows what you said to me.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	Take a small amount of salt and dissolve it on the location, then let it lie for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	Place yourself on the spot just begun to boil, and let it lie until the scale of the fire is destroyed.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	And now treat the affected place with four-armed treatment until it is healed.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	Now they say that when the plague begins to rise, it is better for a man to eat meat than for women.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	They say that the tongue should be cauterized into the bone, and the cautery kept inside until it dries up any part of the bone.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And then let it dry out so that it adheres to the bone, and then it should be healed.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	They say that the cautery should penetrate to the back, until it presses into the bone with great force until the bone cracks.
E estiman de aquel loc expiran la vapors del cap.	They believe that from that place come out the vapors of the head.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And it should be kept under for a long time, and then it should be healed until it is consolidated.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	But for me it is not seen in these two types of cauteries, but according to word of mouth; and the less severe one, I think, is better, because when the head is deviated by solution of continuity from that way as they have testified in other members, and especially when the patient's head has a freul (perhaps "friol" or "fryol", an old term for palsy) nature.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	The first line can be translated to: "And as for the first type of cautery, it is more saved and better suited for me; and I do not have that and I don't like that work.
Capitol segon.	It means "According to what has been said.
Del cauteri del cap.	Of the cautery of the head.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When chronic pain occurs in the entire head and it is prolonged in the mouth, using gargles, coughs, capillaries, emplasters, guaze, cadels, gualinas, and similar remedies, and more so if it has already been cauterized with a cautery that does not counteract or relieve any of those causes, then one considers whether the head of the illness is of great growth in its nature; and there is no great fear or disturbing pain, otherwise, that cautery has another cautery to do with it just a little.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And so, one should cauterize the person over the hair of their head with a cautery inside where the cord is split.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	The cord is incised and its covering exposed to the bone to the quantity which we have recounted, and then it should be cauterized with a cautery at the posterior part of the head in the location called "vas", — which is that place where the windpipe is located.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And relieve your hand in this way, and do not discover the bone, because the malady for this occurs with a great pain different from that of all other cauterizations on the head.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	I advise this cauterization in its place, because it is less painful than the cauterizations on the corns of the head and the occiput, which are more subtle than those applied to the middle part of the head; and this is the form of it.
Capitol ters.	Good job (on the translation).
De cauterisacio de emigranea no-antiqua.	On the cauterization of ingrown toenails.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When one gets sick from the head pain or it is stretched into the eye, some evacuation of medicine is done on the head, and the other cure, which I have mentioned in the descriptions of diseases, is administered; and even if this does not prove effective, then the cauterization is done in two ways: either with an acute medicinal burning, or with a tool.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	But the cauterization with burning medicine is that you take a dough of honey, and scrape off that and abscind the extremities of him from both of his heads.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	The location of pain must be struck in the temple with an arrow-tipped lance into which it is created a wound so that the cord is hidden inside.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	Apply strong pressure on the wound that is stopped by constriction, and let it soften for the space of three hours; and then cut it open and treat it with alchemy, and lay the plague for two or three days; and then apply pressure to the affected area submerged in boiling water until the pain subsides.
E aprop cura aquel am enguent entro que sia sanat.	Cure that one with grease until it is healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	If you wish, do this with some medicines that I have written about in the treatise on combustible remedies.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	May the cautery be made of iron, in this manner: fire which is used for the cautery from which it has this form:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	and it is called a claw of the hammers, because its head is like a cross in the form of a nail with some curvature, and in the middle of it there is small eminence.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	Apply pressure on the location of pain, and hold your hand - so that it does not be heated the arrow which is left - and rotate the iron small by small with speed.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	If the quantity of what is needed for the speciality of the cord (possibly 'code' or 'cord', referring to a medical tool) exceeds what you had in mind and lifts your hand up so that the artery is not exposed which is left, in order not to come a flood of salt.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	Put the poultice on water and salt in that location, and pause it for three days; put the poultice mullet on the border, and apply the ointment inside until healing occurs.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	If you see, cauterize the tip of the cutlery according to cautery, and guard yourself from the incision of the artery in this new passage, which is not ancient.
Capitol quart.	End of the text.
De cauterizacio d’emigranea antiqua.	About ancient vein cautery.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you cure veins with water as previously stated and as mentioned in the divisions of diseases, and do not apply the treatment, and often because it does not reach that which was said about the first cautery by medicine or by the cautery at the fire, then cover yourself with a cloth so that you know to perform the cutlery cautery until it is whitened, just as mentioned on the location of the pain along the line of length from which is the middle of what was said; or whatever that may be, and deposit your hand for one side and stiffen that into inserting the artery and penetrating into the bone.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	It is necessary for you to keep in mind the continuity of the jawbone, which is nourished by chewing, and that the ligament should not be irritated and the nerves that are affected by that, so that it does not contract a spasm.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	If it is about the care and caution of the flow of blood from an artery that is not known to exist, which is feared at its beginning, and especially for one who ignores this and does not study it, and thus delays the operation at the start.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	And you will remember the regimen of managing blood flow accidents due to an artery according to the same manner, in its own place in this book.
E si veses de aquesta malautia que no abaste aquest cauteri e veses le cors del malaute tollerable, cauteriza aquel en le mieg loc del cap ayssi cum havem recontat, e cura la plagua entro que sia sanada.	If you see this sickness does not supply that cautery and sometimes the patient's body is tolerable, then cautery that one in the middle of the head as we have recounted, and cure the wound until it is healed.
