Ayssi comensan las paraulas de Albucasim .	Assistance begins as Albucasis.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the best way through the grace of God for the salvation and glorious succession, and place the terrible diseases with difficult cure, and arm your weapons from this point on which make you fear, so that visitation in your faith and in your name does not forsake you: for more remains to be in your glory, and afterwards in the world and in those of your sanctity.
Gualia ja diyssec en alcunas sieuas monicios:	Wounds in certain joints are caused by cold humors that infiltrate each part of the body, and pain occurs in the feet, it is customarily called gout by doctors.
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	Do not apply bad medicine to the sick, for it is only known by skilled doctors.
E yeu ja he devesit aquest libre segontz tres capitols.	And now I am about to divide this book into three sections.
Comensa la divisio del libre, e primier de la primieyra partida.	Begin the division of the book and first of the first part.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter in order, concerning the feet, instruments and parts of cauteries, as to what is necessary for the operation.
La divisio de la segonda partida.	The division of the second part.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, concerning drying and perforation, and of vesicles, boils, wounds, extraction of splinters, and similar things to those, all chapters ordered by the forms of instruments.
Divisio de la tersa partida.	The division of the third part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter, concerning restoration and dislocation, and of twisting and similar things to those; chapters ordered by the feet and parts of instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	The translated line is: The cautery is set on fire and sharp medicine and memory of the operation.
Am aquel comensa le tractat de tot le libre.	It begins to treat all that is free.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	Explain the quality of the cautery and the instruments used, and in which complex it is prohibited to perform the cautery.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Then say that the sermon on the quality of the cautery and its instruments is long and prolix, subtle in knowledge, and secret hidden; and already many wise men have spoken about it, and they disagree, and among them I will share a little of their sermons, for which they fear long delays.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And therefore I say that cautery is suitable for all areas of the body universally, except for two areas which are not to be cauterized, namely those of the tail, its material.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the caudal and dry area with a material that desiccates; for some say that cautery is suitable for it, and others disagree, saying that cautery is not convenient in such illness, which is due to quality and dryness, because the nature of fire is quality and dryness, and therefore is inconvenient that the caudal and dry area be so that the cautery and dry should heal the disease.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	Easily understood affliction is caused by the opposite of what it should be, which is justly done with cauterization in all sorts of sickness and dryness that one sees in men's bodies, when you compare the human body to the complexity of fire, you see how the human body is scorched.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	You say this according to the words of that one, who has already experimented with this at some previous times in his youth.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	But still I do not know whether it will come to that which has already been experienced by him in some previous times in his capital, where he exercised the art of cauterization even more thoroughly, and had become acquainted with the diversity of human complexity and the disposition of diseases within their own members, the causes of those, the accidents they bring, and the space of time for those.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	But in other complexities, it is not a matter of your fear, and more especially in the dry and humid afflictions, where all doctors agree on those, and do not hesitate to recommend justly the application of cauterization in those.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	You are wise, children, that the secret of healing by cauterization with fire and its goodness, is due to cauterization in medicine, which burns, because the fire is simple, the action of which does not travel beyond the member being cauterized, and only causes a small injury.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	May the operation of medicine be able to penetrate into that part of the body where it is most affected, and may it bring ease to come to the afflicted limb in difficult healing and may it assist.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	May the fire, by its sublimity and substance of goodness, not do this but rather overflow. And it is known to us through experience and long period of study on the art over the truth of causes; and for this reason I excuse you from the length of speech. If it were not because it is not suitable to speak freely in this pause, I will remain with my secret hidden among the fire, and the quality of the operation of it on the body and its expulsion by which you expel diseases, are demonstrated philosophically proved, which is sharpened in your hands.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And wise sons, know that the times differ from one another in which it is convenient to do cauterization and pause at the best time of spring.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	I say that cauterization is convenient in all times, because the damage caused by time's accident is absorbed in the youth of this that is carried away with the cauterization, and more so if the cauterization is for painful or necessary pains, strong and persistent ones, which do not tolerate delay, so that they are feared by those who bring evil, which is greater than small damage entering through time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	It is not contained in your body, or children, this is only believed by the common people and foolish doctors, so it is that there is a disease cured with cautery is not always true, and they pause that consequence.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	The cause is not that it comes from the blood which flows through this place, because cautery is only in place of medicine which alters the composition and dries out the humidity that are the cause for the pain to come.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	But cautery is unnecessary over medicine by chance of its virtue and value from the operation and the size of their lord.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	It is possible that its disease may return in some hour of the time, according to the composition of the disease and the location of its malady, and the virtue of it, and thus because it is prepared in the body of him through the addition of unnecessary things to him, and thus it is conveyed to him in his acquisition of foods and similitudes of those causes; unless that the disease in which cautery is administered is a subtle disease in a member with few unnecessary things and humors, as for example cauteri of tooth for pain and resemblance to it, possibly it does not return that pain, but rather this is done in small points.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	It is the last resort of medicine, and it is considered the most effective, not because I do not understand it in you, for those who believe that there is no cure that improves with medicine or another cause.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	The cause is in opposition to that; and I understand that the last resort of medicine is not but when administering various methods of cure for certain illnesses, those medicines not being effective, and thus at the end of the cause, administering cauterization, and improving it.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And from here on out, I will say that cauterization is the last resort of medicine, not according to my understanding which understands the vulgar and barbarous practices of foolish doctors.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	They said that cauterization is better than cauterization of iron, and not so because the gold has its equal value and the greatness of its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	They said that the place of cauterization does not cause harm, as it is not absolutely true, because I already know how to do it and have tried it, and I claim that it is better than iron, as they said; however, when you make cauterization with gold fire, it is not at all your declared method, for it depends on the quantity you want to apply by the hardness of the gold, and how you prepare to receive burns; and if you apply pressure on the burning gold, then the gold fuses into the fire, and cases some thin plates in order for the artisan to catch upon its occupation.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And from that on, a cautery is made on the femur because it must be done lightly and more strongly to correct the operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	I have already treated this chapter of cautery according to the chapters, and those concerning the feet, in order that the patient demanding relief may know it.
De cauteri de dolor de cap per frigiditat e humiditat.	Of cautery for head pain caused by coldness and humidity.
Le capitol primier.	The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cautery is applied to the cold and humid condition on the surface of the accident from which there are two causes, namely, because of acidity and many a traumatic flux, called corissa, that flows from the head down to the feet and ears, and many sleepings, and toothaches and gouty pains, and universally all disease that comes by coldness, just as if it were paralysis, acidity, and apoplexy, and similar in those diseases.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this cautery is as follows: first of all, it commands the patient to evacuate his body with laxative medicine, and to apply to the head, three or four nights a day, according to the virtue of the disease, the age of the patient, and their custom.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	To command the person to shave their head with a razor, and place his hands on top of you over a sharpened bench, and have him put his hands on your feet.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	Place the edge of your palm opposite to his nose, over the bridge of his nose between his eyes.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	But since the spot you mentioned is already inflamed, mark that spot and apply hot olive oil cautery of which this is the form:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	Place that on the sensitive spot, in such a way that it descends, so that your hand is constricted little by little, and you turn that.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	Lift your hand slightly and look at the spot, and if you see already some bone being uncovered by an amount, just as much as the amount of hair loss, then lift your hand again, and if not, return to that iron, another one, until it gets warm enough so that what you said earlier is visible through the bone.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	Take a little salt and dissolve it on the spot, and let it lie there for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	 Place your hand on the spot just before the border, and press hard enough so that the scar of the fire is destroyed.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	Apply the remedy for the location with antimony until healing occurs.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	They say that when the plague leaves its mark, it is better to apply geta (a type of poultice or ointment) on the arm, because it is more nourishing and healing.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	They say that the armpit should be cauterized into the bone, and the cautery kept in until any part of the bone is hardened.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And let it be reduced to the state where the bone is hardened, and then cure.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	They say that the cautery should penetrate to the tendon, until it presses against the bone with great force into the bone, and this is the form of aplastic petion:
E estiman de aquel loc expiran la vapors del cap.	They consider that from that place expire the vapors of the head.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And let the plague's mark be kept open for a long time, and apply to cure it until it becomes consolidated.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	I can try to help you with that. Here's my guess for the translation:
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	The first sentence translates to: "And the first kind of cautery is more safe and better for me, and from that I know this work will be healthy.
Capitol segon.	It translates to: "Capitol second
Del cauteri del cap.	It translates to: "Of the cautery of the head.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	It translates to: "When in the whole head chronic pain and long-lasting occurs, and in the malady it is prolonged, using gera (perhaps meaning 'herbs' or 'medicinal plants'), cochias, capipurges, emplaustres, guatz, cadels, gualinas, and semblantz, and majorly if he has already been cauterized with a cautery that recounts and does not affect any of those causes, then he considers whether the head of the malady is strong in its nature; and it is not very bad or painful, so that other cauteries are applied to him a little.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	It translates to: "And apply cautery to that on the corner of his head with a cautery inside where the cord is divided.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	It translates to: "Cut the cord and let it be exposed of the bone to the amount which we recounted and cautery him with a cautery at the back of the head in the place called vasa, - that is, the place where a vein is applied.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And ease your hand in that position, and do not feel the bone, because the malady through this comes to a great pain different from the pains of all other cauterizations of the head.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	You must perform this cauterization in its place, because the cauterized part becomes even more sensitive than that which has cauterized the corns of the head and the occiput is more subtle cauterization than the one which is being cauterized at the middle of the head; and this is how it is done.
Capitol ters.	Well said.
De cauterisacio de emigranea no-antiqua.	On the ancient method of cauterization for emigranea ( likely a misspelling of "emigranée", meaning hemorrhoids).
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When going down to the head, if there is pain in the whole head or it is stretched into the skull, both are evacuated with medicines for the head, and another cure is administered, which I have said in the previous chapters about diseases; and since it doesn't help much, then cauterization is done in two ways: either with an acute medicinal treatment that burns, or with a tool.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	However, the cauterization with medicinal treatment is that you take a dough of ashes and then scorch those extremities of it from both of its heads.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	And appropriate incisions are made at the location of the pain in the temple with a lance-tipped needle inserted so that it is made into a place for laying down the cord, hidden so that it is not visible.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	And appropriate strength is applied to the area that has been stopped by constriction, and ease is laid on for three hours; and it's cut apart with tweezers, and the wound is covered up for two or three days; and an ointment is placed on the spot submerged in water so that the place fasses brac.
E aprop cura aquel am enguent entro que sia sanat.	And the cure is applied to it until there is healing.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you wish, do this with some medicines that I have written about in the book of medicinal remedies.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	Means the cauterization with fire, of which this is the form:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	And it is called clavicula, because its head is like a nail with the form of an anchor in which there is some curvature, and in its middle location there is a small prominence.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	And pause on the location of the pain, and hold your hand there - so that the archery arrow which is left behind does not get injured - and turn the small iron with little speed.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	If the quantity of him that is accustomed to the medicine of the cordial has reached this point, and you lift your hand so that the artery does not become inflamed which leaves, in order that there may not come a flow of san.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	And appropriate apply to that place in water of salt, and pause it on the area, and lather it for three days; and place put wool on the wound, and apply ointment inside so that it may heal.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	If you see, cauterize the extremity of the knife according to cautery, and beware of the incision of the artery in this particular, non-ancient migration.
Capitol quart.	Chapter fourth.
De cauterizacio d’emigranea antiqua.	On the cautery of an ancient migration.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you cure the migration with water as stated in previous treatment, and as stated in divisions of diseases, and do not improve the treatment, and sometimes more than that which has been said about the first cautery by medicine or by knife-cautery, always cover that with cauteri cutellar until it is yellowed, so that you signify on the place of pain along the line of length where is the largest of what is stated, or whichever; and put your hand on one side and support it firmly as you penetrate the artery and go into the bone.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	It is necessary to protect the continuation of the jawbone, which is subject to mastication, so that the ligament does not become twisted and the nerve is not damaged, and it should not develop spasms.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	If it is about the custody and caution of the flow of blood from the artery that comes to an end, where fear exists at its beginning, and especially for him who ignores this and does not know what he does and is not knowledgeable; and ease the operation in him initially.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	You will find in the memory of the regimen of blood flow from an accident with the artery according to his manner, in the place where this book is.
