Ayssi comensan las paraulas de Albucasim .	Assessors begin to speak of Albucasis.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	Here is the translation:
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the cause is not that of wearing pointed instruments for this purpose, because cautery is merely in place of medicine which alters the complexity and dries out the humidity, the causes of pain.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	But cautery is often unnecessary over medicine by the will of its virtue and the value of its operation and the greatness of its lord.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	And it is possible that his illness may return at any hour of the day according to the complexity of the disease and the location of the illness, its virtue, and as much is prepared in the body of him from the addition of unnecessary things, as much is conveyed to him through food and semblance of those causes; but if an illness is administered cauterization that is a subtle illness with few unnecessary things and humidity, just as cauterization for tooth pain for toothache, it is possible that such pain does not return in him, but rather this is done in small points.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	And the common saying is that cautery is the last resort of medicine, and it's a matter of great difficulty, not because it understands him, for those who think that it's not curing but only exploiting medicine or another cause, by applying cautery.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	The translation is:
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And now that the cold humors have infiltrated each part of the body, and pain occurs in the feet, it is customarily called gout by doctors.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	They said that cauterizing with gold is better than cauterizing with iron, and they did not say this because of the equal weight of the two, but rather for the nobility of its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	They said that the location of cauterizing does not hurt, since it is not absolutely true, because you have experienced this and you are mistaken, for it does not harm on those other bodies besides the skin, and cauterizing with iron is better than with gold as they say; however, when you make cauterizing with gold heated by fire, it's not known to you, because it depends on the quantity you want according to the roughness of the gold, and how you prepare to receive burns; and if you place yourself in contact with the ignited gold, it is the gold that gets burned through the heat, and some thin sheets are placed in the fire so that the artisan can take up its occupation.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And for this reason, the iron cauterizing is done slightly and then more strongly at the end of the operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	I have opened this chapter according to the cautery chapters, and I have ordered those of the foot chapter, so that the patient will be relieved from what he is asking for.
De cauteri de dolor de cap per frigiditat e humiditat.	On the cautery of headache due to coldness and humidity.
Le capitol primier.	The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cautery applies to the coldness and humidity as a treatment for the common accident of which there are two causes: one is caused by soda and multiple traumas, called "corissa", from the head down to the feet and ears, and also multiple sleepings, toothaches, and gum inflammation, and universally all kinds of illness that occurs due to coldness, including paralysis, sodoma, apoplexy, and similar conditions.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this cautery is as follows: first, the sick person is ordered to be evacuated with laxative medicine from the head and mind, for three or four nights, according to the virtue of the illness, the age of the patient, and their custom.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And he commands him to shave his head with a razor, and then have that shaved between your fingers on a corded board, and place your hands over his feet.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	Pause your hand over the mark of your palm on the marks of the nose between the two nostrils.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	But as you said earlier regarding that spot is inflamed, apply olive wood cautery, which is the form:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	Place that on the spot that is inflamed, in a manner so that it descends, with which your hand is constricted little by little, and you turn it.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	Lift your hand lightly and inspect the location, if you see again that bone is uncovered some quantity of flesh, just like the amount of fat in errors, then raise your hand, and if it doesn't turn back to the same metal, use another one, as long as it cools down so that we can see through the bone what I have told you.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	Take some salt and dissolve it on the location, and let it remain there for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	Apply pressure on that spot at the beginning in border, and let it remain there until the scale of fire is destroyed.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	Propose treatment for the location of the tetraplegic person inside until they recover.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	They say that as soon as the plague starts to decline, it is better to cut out an arm, because it is more beneficial and youthful.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	They say that the neck should be cauterized into the bone, and the cautery kept inside until it is completely dried out any part of the bone.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And let the area be cauterized so that it is tightly contracted to the bone, and then it should be healed.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	They say that the cautery should penetrate to the inside of the vein, until it presses into the bone with great force, in order to cauterize the petechiae (small spots).
E estiman de aquel loc expiran la vapors del cap.	They believe that from that location, the vapors of the head will expire.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	Let it be kept open for a long time, and cure it until it is consolidated.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	But in my opinion, these two types of cautery are not seen by many men according to the way of fear; and let the other one be done for me, it is better for me when it is, because the head has been deviated due to the solution of continuity as they have testified in the other members, and especially when the head of the sick person is of a free nature.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	The first sentence translates to: "And the type of cautery that is first used is more saved and better for me; and from that I have gotten and done this healing.
Capitol segon.	And according to.
Del cauteri del cap.	Of the cautery on the head.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When there is chronic and long-lasting pain in the head, and it is prolonged in the malady, and they use of gerrations, cochias, capipurges, emplaustres, guatz, cadels, gualinas, and semblantz, and especially if one has already been cauterized with a cautery that does not counteract any of those causes, then it is considered whether the head of the malady is of great growth in its nature; and there is little fear or cause for great pain, therefore, they apply another cautery to that one a little.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And therefore, they cauterize it on the crown of his head with a cautery inside where the tendon is split.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Cut the tendon and expose the bone to the amount which we have counted and cauterize it with a cautery at the posterior end of the head in the place called vas, - that is the place where the ventosa is applied.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And relieve your hand in that way, and do not uncover the bone, because the disease by this means encounters great pain different from the pain of all other cauterizations on the head.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	I advise to perform this cauterization in its place, because it is known that the cauterization I mentioned earlier has the corns of the head and the occiput more subtle cauterizations than those on the middle part of the head; and this is how it is done.
Capitol ters.	Well said.
De cauterisacio de emigranea no-antiqua.	On the cauterization of emigrated pain, old.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When the end of the head causes pain from inside or above the skull, or if it is spread out in one place, the pain is evacuated with medicines of the head and made better, and other treatment, which I have said in my previous writings on diseases; unless this cures does not work, then the cauterization is done in two ways: either a cauterization with acute medicine that burns, or with iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	The cauterization with burning medicine is that you take a sweet made of alum, and scrape off the skin from both extremities of it of both heads.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	Appoint a person to puncture the site of pain in the temple with a lance pointed into it so that it is made a fixed location for you to place the chain.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	Appoint someone to bind and immobilize the limb that is stopped due to constriction, and gently remove it for three hours; then cut and treat it with alhen, and place the wound open so that the site may swell with blood.
E aprop cura aquel am enguent entro que sia sanat.	Cure that limb with ointment until it is healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	If you wish, do so with some medicinal remedies that I have written about in this treatise on medicinal concoctions.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	Perhaps cauterization with iron according to this manner: burning with fire from which this is the form:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	it is called cauli claw, where its head is of the form like a harp in which there is some curvature, and at its small middle part, there is a slight prominence.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	Place your hand over the site of pain, and restrain it - lest the bow be loosened which is left behind - and turn the iron pin small by small with rapid movement.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	If the quantity of what is suitable for this particular kind of cord (cordon) has arrived as expected, and raises your hand so that the artery is not constricted, which is left behind, so that it does not come forth, flowing with purgation.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	And put the bandage on water of salt and pause it over the area, and lessen it for three days; and put a moist cloth over it to cover the wound, until it is healed.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	If you see, cauterize the tip of the cut (cut) according to cautery, and guard yourself from the incision of an artery in this new migration, properly not ancient.
Capitol quart.	Chapter fourth.
De cauterizacio d’emigranea antiqua.	Of the cauterization of ancient migration.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you cure the migration with water as has been said of its cure previously, and what has been said in the divisions of the diseases, and do not apply the cure, and often during the disease that does not reach that point which has been said of the first cautery by medicine or by the cut of the knife, how much you know that the cut of the knife should be made inside so that it is whitened, in order to signify on the place of pain about the line of length from which the middle of that word is, or rather that; and then put your hand over one side and stretch that into the artery and let flow through the bone.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	It is necessary to you that guard the continuation of the jaw, which is ruined by the chewing, and that the skin not be irritated and the nerves that are affected, so that it does not appear spasm.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	If it is about the custody and caution of the flow of blood from the artery that is blocked, which in its beginning is feared, and more so for one who ignores this fact and does not study it, and does not warn him; then let the operation be done slowly at first.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	And I will remember the regimen of the flow of blood after an injury to the artery according to its own manner, in its place where this book is.
E si veses de aquesta malautia que no abaste aquest cauteri e veses le cors del malaute tollerable, cauteriza aquel en le mieg loc del cap ayssi cum havem recontat, e cura la plagua entro que sia sanada.	If you see this disease not responding to that cautery and seeing the body of the sick person tolerable, then apply that cautery in the middle of the head as we have previously recounted, and cure the wound until it is healed.
E si voys, aministra le cauteri le qual havem dit en le capitol de streccio de arceria am cauteri havent dos cotels, e es milhor cauterizacio aquesta e mays conferent.	If you see, administer the cautery which we have said in the chapter of stricture of the artery with two caulders, and it is better than cautery for this condition.
