Ayssi comensan las paraulas de Albucasim .	A doctor starts speaking about Albucasis.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the spinal condition and dry matter, it dries out; because some say that applying cautery is beneficial to that one, and others disagree with it, that applying cautery is not suitable in diseases of quality and dryness, because the nature of the fire is quality and dryness, and so the disease of the spine and dry matter should be cured by drying out and cooling.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	But those who say the opposite, for applying cautery is done only in all spinal and dry diseases that occur in men's bodies, because when you compare the man's body to the fire's humidity, it surpasses the man's body with cold.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I say this according to the word of that one, because it has already been experimented on me in some cases for discovery.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	But however I do not think that will come true what has already been exploited and exercised in the capital of cautery for further practice, and because one is aware of the diversity of the human body and the disposition of diseases in their inner parts, and the causes of those, and the accidents they occur in, and the space of time those take.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	In other cases, it's not about fear, and more often in painful and humid illnesses, where all the doctors agree on them, and do not err with the cautery on the young patient.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	It is wise, children, that the secret of healing through cautery with fire and the goodness of it are more in cautery on medicine that burns, because the fire is simple, the action of which does not reach but to the limb which is cauterized, and does not bother the other limbs adjacent to it by a little damage.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	But the action of medicine that burns reaches to the limb where it has not yet, and therefore makes it come to the ill member with a difficult healing and a strong hindrance.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	But the fire, by its sublimity and substance of goodness, does not do this but rather overflows; for it is already known to us through experiment and long years of study on the art above the truth of the causes; and therefore I excuse myself from the length of speech, and if it were not that it is not proper to speak freely in this pause, I would reveal to you my secret hidden in the fire, and the quality of its operation in the body, with the demonstration shown philosophically, which would be sharpened for your sufferings.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	You should know, sons, that these differ from each other in time as to when it is convenient to perform cautery and pause at the best time for spring.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	I say that cautery is convenient at all times, so that the damage caused by accidents may be submerged in the early stage of this procedure, and more so if it is for painful or necessary pains, strong and urgent, which do not suffer delay, because they are feared by those who come with malicious intent, which is greater than minor injury entering through time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	So this is not for your health, or sons, because this only measures the common people and foolish doctors, therefore, after a sickness that is cured by cautery is not always correct and pause those consequences.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the cause is not just because they can feel it, for cautery is only in place of medicine that alters the complexity and dries out the humidity, which are causes of pain.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	But nevertheless, cautery is unnecessary over medicine by the whim of its value and virtue of its operation and size of its master.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	It is possible that her illness may return in some hour of the day, depending on the complexity of the illness and the location of her illness, as well as its nature, and this that is prepared in her body with the addition of superfluous things to it, and which has been introduced to her in its acquisition through food and similarities to those causes; but if the illness where cauterization is applied is a subtle illness in some few parts of the superfluousness and humidity, then it may not return that pain, but rather this is done in small points.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	And it is more common to say that cauterization is the last resort of medicine, and it's a very serious matter, not because of what I understand in this case, but because they believe that it's not cure that benefits with medicine or another cause, but rather cauterization.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	And the cause is actually in opposition to what I understand; and I think that what is considered the last resort of medicine is only when administering various remedies for certain illnesses, and those medicines don't confer success, and therefore at the end of the case, one administers cauterization, and benefits from it.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And from now on, it is customary to use cauterization as the last resort of medicine, not according to my understanding of the way in which common and foolish doctors understand.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	They said that cauterization from the sun is better than cauterization from fire, and it was not said so because of the equality of gold and its subtlety of substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	They said that the location of cauterization does not matter, because it is not entirely true, since you have already proven and proved that it does not work on the upper body, but only on other parts of the body, and cauterizing those areas is better than using fire; however, when you do cauterization with fire from gold, it is not for your declaration, because it depends on the amount you want to apply according to the roar of the gold, and in preparing to receive heat; and if you place yourself on the ignition, the gold burns by the fire, and in case some strips are placed in the fire so that the artisan can touch them with his occupation.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And from this, it is done cauterization with fire because it should be made gently and more urgently in the right direction of operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	I have no idea what it means. 
De cauteri de dolor de cap per frigiditat e humiditat.	Aches in the head due to coldness and moisture.
Le capitol primier.	The first principle.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cautery confers to the coldness and moisture an additional cause of the accident from which it results, which has two causes, one being the soda and many other types of traumatic flux, called corissa, running from the head to the parts of the feet and ears, and many sleepings, and toothaches, and foot pain, and a general malady that comes through coldness, in such a way as paralytic fever, soda, and apoplexy, resembling those diseases.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this cautery is as follows: first and foremost, it commands the sick person to evacuate themselves with laxative medicine, cleaning their head, for three or four nights, according to the virtue of the sickness and the age and condition of the patient and his custom.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And it commands him to shave his head with a razor, and to cut that serpentine shape between your fingers on a charred board, and place your hands over the earth of his feet.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	Place your hand over the root of your palm near the bones under the nose between your two humps.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	But since the place you mentioned is already infected, mark that place with the olive wood cautery, which is this form:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	Place it on that spot which is infected, in such a way that you press down, slowly, so that your hand may be constricted little by little, and you turn it around.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	Lift your hand slightly and look at the spot, and if you see already that some bone has been uncovered a certain quantity of it, as much as the quantity of grains of sand, then elevate your hand, and if not, turn your hand with another one, until the bone is visible like I have told you.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	Take some salt and dissolve it on the spot, and let it sit there for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	Place over it the spot where it is beginning to form, on the border and let it sit there until the scar of the fire is destroyed.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	Cure the area by applying a four-part remedy within it until healing occurs.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And they said that just as the plague brings up an eruption, so too do gout and fever bring on the arm, making it better and more effective.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	They said that the tendon should be cauterized into the bone, and the cautery kept in place until it is dried without causing any crack or split in the particular part of the bone.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And let it dry so that it is strengthened by the bone, and let it be cured.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	They said that the cautery should penetrate to the deeper part, into what is pressed against the bone so strongly in the bone's weight until the bone hardens, and this is the form of applying plasters.
E estiman de aquel loc expiran la vapors del cap.	They estimate that from that location will expire the vapors of the head.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And it is kept to allow the eruption of the plague for long periods, and then it is cured before consolidation.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	But as for these two kinds of cauteries, I do not see them in practice among men but rather through fear; and the thin one, it is necessary to me, because it is better for him than salt, when his head is deviated due to solution of continuity from that place as we have testified in other members, especially when the head of the sick person has a free nature.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	The special type of cautery I first use is more safe and better for you; and from that, I have made and done this work, and it has saved your life.
Capitol segon.	In second place.
Del cauteri del cap.	From the cautery of the head.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When chronic pain occurs in the entire head and it is prolonged in the ulcer, using a combination of herbs, poultices, capillaries, emplasters, guaiazulens, caldels, gualinas and semblantz, and mainly if it has already been cauterized with one that does not relieve any of those causes, then he considers whether the head of the ulcer is of strong formation in its nature; and if it's not a big fuss, then he uses another cautery on it just a little.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And he cauterizes him over the corn of his head with a cautery inside where the tendon is split.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	The tendon is cut open and the bone is exposed to the quantity that we have counted, and he cauterizes him with a cautery at the back of the head in the place called "vas", - which is that place where the windy pipe is placed.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And alleviate your hand in that way, and do not search for the bones, because the malady through this is met with a great pain different from all other cauterizations of the head.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	I will perform this cauterization in its place, because it is known that the cauterization with which they are treating the corns of the head and the occiput is more subtle than that to which the middle part of the head is subjected; and this is how it is done.
Capitol ters.	And all was well.
De cauterisacio de emigranea no-antiqua.	Of the cauterization of emigrated new bone.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When the pain of the head begins, or is spread out inside the skull, either evacuation with medicine that soothes the head is done, and the other cure is administered, which I have said in the sections on diseases; and if it does not profit, then there are two ways of cauterization: either cauterization with sharp medicine that burns, or with iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	But the cauterization with burning medicine is that you take a sweet made of alum, and scrape off those areas from both sides of it.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	And appropriate points are made on the location of the pain in the temple with a sharp lance inserted through it so that there is a marked point hidden from view, covered by the code.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	And apply strong medicine on it stopped up by constriction, and ease it over the space of three hours; and release and treat the limb, and place the wound in bed, submerged in water so that the area becomes soft.
E aprop cura aquel am enguent entro que sia sanat.	And cure it by applying an ointment until it is healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	If you wish, do this with some medicines that I have written down in the book of medicinal properties.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	May the cautery be done with this method: fires for the purpose of cauterization from which this is the form:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	And it is called a claw, because its head is like the shape of a cross in the form of a curve, and at the midpoint of it there is a small prominence.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	And place your hand on the location of the pain, and hold tight to it -- so that the bow is not injured which is left there -- and turn the small iron piece by little by little with speed.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	If the quantity of the person that is required for the specialty of the cord ( likely referring to a medical instrument or tool) exceeds the size of the body, and you raise your hand so that the artery is not exposed, which is left open, so that no flow of the sanct occurs.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	And apply a poultice in water and salt on the area, and place that there for three days; and apply a poultice mullet to the border, and cure with ointment until it is healed.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	If you see, cauterize the extremity of the cutlery according to the cautery, and guard yourself from the wound of the artery in this manner, not ancient.
Capitol quart.	Chapter Four.
De cauterizacio d’emigranea antiqua.	On the cauterization of ancient arteries.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you cure an artery with water that is as said of the previous healing, and as said in the divisions of diseases, and do not exploit the healing, and sometimes when the disease does not reach to it what has been said of the first cauterization by medicine or by the cauterizing fire, then observe closely so that you insert the cutlery cauter into until it is whitened, so that you signify over the place of pain on the line of length from which is the greatest part of the said, or what; and put your hand for one side and stretch that in order to strike the artery and proceed into the bone.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	It seems that the patient has a swollen jaw. The tongue is enlarged due to excessive chewing, and there may be inflammation of the skin and nerves around the jaw. A spasm cannot be ruled out, which can cause discomfort or pain.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	If it is about the custody and caution of the flow of sanguis from an artery that is obscure, which causes fear at its beginning, and more so to one who ignores this and does not take note of what he does, and neglects study; then let the operation be performed in him at the start.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	And I found in my memory the regimen of managing flows of sanguis that occur due to an arrow wound according to its own method, in the same place as this book.
