Ayssi comensan las paraulas de Albucasim .	The patient begins to speak about Albucasim.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And he took away the patient according to his desires, and took him off the pillow, and took out the lancet after some days and commanded that we should take away the bandage; and thus until the cavity and the foot were closed up, and death was approached.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And I was called to him, and I dressed his bandage, and achieved peace and cured the pain.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	May corruption was already confirmed in the member, so that it could not be restrained, and the corruption did not cease to wander through the member until the illness reached its peak.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And we saw another doctor who perforated an abscess with cancer, and it became ulcerated after several days, until the cancerous power of him consumed the lord of his body.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	Which cause is that the cancerous wound is pure of melancholic humors, and thus it does not penetrate to him with iron from head to toe, but rather is in a member which has suffered so that the whole was infected.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And therefore, sons, it is necessary for you that the operation be divided into two parts: one is in the operation where there is associated health, and in the work where there is danger in the major dispositions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And I have already existed in this entire location of this book where there has been a victory over operation in which is error and fear; therefore it is necessary for you to guard this and lay down, so that the leaves do not get into speaking about it and deceiving you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	We take up our arms in supplication and protection of God, and our sick ones with faith and firmness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And we use the better way through God's grace to achieve salvation and glorious succession, and let us lay away the terrible illnesses of difficult healing, and our arms from this that makes you fear, so that your sight is fixed on your faith and in our name will not evade you: for what remains is to be added to your glory, and more so in the world and in the next life than in the sanctity.
Gualia ja diyssec en alcunas sieuas monicios:	He also said something worthy of note:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	Do not treat a bad illness as if it were good, lest you be called by those who do not know.
E yeu ja he devesit aquest libre segontz tres capitols.	And I have divided this book into three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	 Begins the division of the book, and first from the first chapter.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter ordered in the treatment of foot ailments, in the forms of instruments and in the fractures of the cautery, and from this what is necessary in the operation.
La divisio de la segonda partida.	The division of the second part.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, concerning dryness and perforation, wounds, and vesicles, as well as the extraction of arrows and similar tools, all chapters and ordered according to the forms of the instruments.
Divisio de la tersa partida.	Division of the third part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter, concerning restoration and dislocation, treatment of twisted limbs and similar conditions; a chapter ordered from head to foot, according to the forms of instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	On cauterization with fire and sharp medicine, and a recall of the operation.
Am aquel comensa le tractat de tot le libre.	From that point on, the treatment for all free patients begins.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	Specify the quality of the cautery instruments and their points, and in which complication it is prohibited to perform cautery.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Therefore, the discourse on the quality of cautery instruments and their points is long, prolix, subtle in knowledge, and hidden in secrecy; for there I have spoken much of the wise men, and they also disagree among themselves, and as for me, I will only mention a little of their discourses, which are long.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	I think it means: Therefore, the cautery will be applied to all parts of the complex body, which are made of matter or its matter, excluding two complex bodies, which are the tail's material.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	It means: In the complex tail and dry material body, dehydration will occur; because some people say that cautery is suitable for this one, and others say the opposite, that cautery is not convenient in illness of quality and dryness, because the nature of the fire is quality and dryness, and it is inconvenient to heal an illness of a tail and dry material if it is cauteric and dry.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	It means: And that one who said the opposite is also correct, because cautery is only performed on all tail and dry illness that occurs in human bodies, because when you compare the human body to the focus of humidity, the human body becomes dry.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	It means: I also say according to the word of that one, that I have experimented this already at some times for discovery.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	It means: However, I do not believe that it will come upon this which has already been discussed and exercised in the capital of cautery for later exercise, and because I know the diversity of human complexity and the arrangement of illnesses in their inner parts, and the causes of those, and the accidents of them, and the space of time of those.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	In other complications, it's not about your fear, and more in dry and humid diseases, where all the doctors have agreed on those, and you should not get distracted by the treatment of a cauterization in these.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	You should know, children, that the secret of healing by cauterization is through fire and its goodness, whereas treatment with medicine is burning something, because the fire is simple, the action of which affects only the member that is cauterized, and not the other members at all, except for a small damage.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	But the action of medicine burning affects that part in the members where it is absent, and thus it makes the diseased member come forth with a difficult healing and a great pain.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	But the fire, by its sublimity and goodness of substance, does not do that but rather surpasses it; for we have already come to know through experimentation and long years of study of this art about the truth of causes; and therefore I excuse you from the length of speech. If it were not that I did not want to be legible in the middle, I would remain silent about my secret fire, and the quality of the operation on the body, and how it expels diseases, demonstrated philosophically, which is sharpened for your cases.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	It seems to be saying: "Be aware, sons, that the timing of when to do cauterization and pause for the best time for spring.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	It means: "I say that cauterization is suitable in any time, because the harm caused by an accident is submerged in the early stage of this when the treatment is applied, and especially if the cauterization is for painful or necessary pains, strong and sharp ones, which do not suffer delay to be feared by those who come with malice, which is greater than minor damage entering through the time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	It means: "And do not consider this in your own cases, or sons, for this is only the popular opinion and foolish doctors, so that because of that disease which is healed by cauterization, it is not always reliable, and pause on that consequence.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	It means: "The cause is not the same as what they think causes it, because cauterization is only in place of medicine which alters the complexity and dries out the humidity, which are the causes of pain.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	It means: "But perhaps cauterization is superfluous over medicine due to the unpredictability of its virtue and value from its operation and the greatness of his lord.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	It is possible that his illness will return at some hour of the day, according to the complexity of the illness and the location of its affliction, and also the virtue of it, and thus that is prepared in the body of him by the addition of superfluities in him, and thus pervaded to him from the acquisition of food and resemblance to those causes; but if the illness with cauterization applied is a subtle illness in some few superfluous parts and humidities, like cauteri of teeth for pain and resemblance to it, then it is possible that in him will not return that pain, but instead this is done in points.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	And more commonly it is said that cauterization is the last resort of medicine, and it's said to be most suitable, not for what I understand in it, because those who create it do not cure with it, but rather profit from it and by another cause.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	The cause is in the opposite; and I understand that cauterization is the last resort of medicine only when they administer various treatments for certain illnesses, and those medicines do not work, and thus at the end of the cause they apply cauterization to profit from it.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	When cold humors are infiltrated into each part of the body, and pain occurs in the feet, it is customarily called gout by doctors.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	They said that cautery of gold is better than cautery of iron, and they did not say this because of the superiority of gold and the nobility of its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	They said that the location of cautery does not matter, because it is not absolutely true, since you know that I have done it and have not lied, whereas in other cases it was done so only on the flesh, and cautery with iron is better than with gold as they claimed; but however, when you do cautery with a gold rod, it is not for your declaration, because it is known according to the quantity you wish, by the roughness of gold, and how you prepare yourself to receive friction; and if you set fire to the gold, some plates will fall into the fire, so that the artisan can cut through the occupation of those.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And therefore cautery with iron is done more lightly and more towards the end of the operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	I have translated the line into English:
De cauteri de dolor de cap per frigiditat e humiditat.	Pain caused by inflammation of the head due to cold and dampness.
Le capitol primier.	The first principle.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cautery confers on the cold and dampness a most unfortunate accident from which arise two causes, one being the excess of sour humors and many violent fluxes called corissa, running from the head to the parts of the heels and ears, and many sleeplessness, and pain of teeth, and gingivitis, and universally all diseases that come by coldness, so as if paralyzed, poisoned, or apopleptic, and resemble those diseases.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this cautery is as follows: firstly, it commands the illness to be evacuated with laxative medicine on the head for three or four nights, according to what the sickness demands and the age and custom of the person.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And it commands him to shave his head with a razor, and then he should cut that braid between your fingers on a cypress board, and place your hands over the spot on the ground.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And then you should pause your finger on the pressure of the tip of the nose between the heels of his feet.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	Despite your doctor's words about the middle area being correct, this spot has been tried, and place olive oil cauterization on it.
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And place him on the spot where it has been tried, in such a way that the weight is distributed evenly, so that your hand is tightly compressed little by little, and you rotate him.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	And raise your hand lightly and look at the spot, and if you see again that bone is exposed some quantity of it, like the amount of sand in an hourglass, then elevate your hand, and if not turn your hand back to that iron, use another one, if it is chilled, until you have seen the bone as I told you.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And take a small amount of salt and dissolve it on the spot, and let it lie there for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And place yourself on the spot, in the beginning, on the border, and let it lie there until the scar of the fire is destroyed.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	And cure the spot with antimony tetraformula until it cures.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	They said that when the plague persists in its opening, it is better to treat the arm, for it is more advantageous and helpful.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	They said that the ligature should be cauterized within the bone, and that the cautery should be held in place until some part of the bone is fully united.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And let it be dried so that the bone is tightly closed, and let it be cured.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	They said that the cautery should penetrate deep into the flesh, until it presses strongly upon the bone and causes the bone to swell in proportion, this is the way of applying an incision.
E estiman de aquel loc expiran la vapors del cap.	They consider that from that location, the vapors of the head will expire.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	Let the plague be kept open for a long time, and let it be cured until it is consolidated.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	But I see these two kinds of cauteries in some men according to their custom; and the less severe one, my friend, is better, for it is when; whereas, if the head is devitalized by the solution of continuity of this kind, as they have testified in other members, and especially when the head of the sick person has a foul nature.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	It means:
Capitol segon.	Capital secondly.
Del cauteri del cap.	Of the cautery on the head.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When chronic pain occurs in the whole head and it is prolonged in the malady, and using germs, cochlias, capipurges, emplaustres, guatz, cadels, gualinas, and semblantz, and most of all if it has already been cauterized with a cautery that does not explain or relieve any of those causes, then one considers whether the head of the malady is of strong creation in its nature; and since it is not free from great pain and discomfort, then those who have undergone such cautery will have another cautery left for those a little later.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And then apply cautery to the horn of his head with a cautery inside where the cord is split.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Cut the cord and expose the bone to the quantity that we have counted, and cautery it with a cautery at the posterior end of the head in the place called "vas", — which is the place where air is placed.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And apply your hand in such a way that you do not expose the bone, since the malady for this is accompanied by great pain different from the pain of all other head cauteries.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	The translation is:
Capitol ters.	Capitol chapter.
De cauterisacio de emigranea no-antiqua.	On the treatment of non-traditional hemorrhages.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When the pain begins to move from head to head, or is stretched into the temple, it is evacuated with medicinal medicines of the head and mouth, and another cure is administered, which I have stated in previous sections regarding diseases; and whenever this does not prove effective, then cauterization is done in two ways: either with sharp medication that burns, or with a fiery object.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	But cauterization with burning medicine is that you take a dough of alum, and cut out the extremities of it from both heads.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	And approach the wound of pain in the temple with a sharp lance inserted into it, so that the cord or chain may lie hidden within it.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	And approach it strongly on top of it with a stoppage made by constriction, and lighten it through the space for three hours; and after that, remove the alum and treat the wound for two or three days, and then place over it a balm immersed in water so that the spot makes a bruise.
E aprop cura aquel am enguent entro que sia sanat.	Appropriate care for that painful injury until it is healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	If you see, do apply some medicinal remedies that I have written in this treatise on medicinal remedies.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	But cautery by fire, which is done in this way:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	and it is called a nail claw, for its head is like the shape of a nail with some curvature, and in that middle part there is a small protrusion.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	And place your hand over the area of the pain, and retract your hand - so that the bowstring (the cauterization tool) is not heated too much - and turn the iron small by small with speed.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the quantity of it (the cauterization) is heated enough by the specificity of the cord, so that it reaches the size of the nail, then raise your hand so that the artery is not overheated which is left - so that there is no flow of blood.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	And apply some ointment on the site in salt water and place that on the area, and soothe it for three days; and then apply some paste made from mallow on the wound, and appropriate care until it is healed.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	If you see, apply the cautery on the extremity of the knife according to the cautery, and be careful not to cut into the artery in this region, where it is new and original.
Capitol quart.	Section fourth.
De cauterizacio d’emigranea antiqua.	Of the cauterization of an old artery.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you are treating an artery with water, as has been said of the previous cure and what has been said in the divisions of illnesses, and you do not make use of it, and the illness does not overcome that which they have said of the first cautery by medicine or by the cautery at the fire, because otherwise the treatment would be useless, cover yourself that you know the point of the knife, where its whiteness is, so that you signify on the location of pain along the line of length from which it is the main part, or rather, do the opposite; and place your hand in the way for once and firmly press into the artery until you reach the bone.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	However, it is necessary for you to keep in mind the continuity of the jawbone, which is malleable due to chewing, and that the ligament does not become tight and the nerve that causes that pain do not be irritated, lest there be a spasm.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	If it is on the care and caution of blood flow from the artery that is known as an abscess, where there is fear at its beginning, and even more so for him who does not know this, who makes and does nothing but exploits; then let the operation be done in him at the beginning.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	I recall from the memory of the order for blood flow through an artery in case of an arrow injury, according to its method, in the same place as this book.
