Ayssi comensan las paraulas de Albucasim .	A cure begins with the words of Albucasis.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And therefore, children, it is necessary for you that the operation on the hand should be divided into two parts: one in the operation where health is associated, and the other work where danger lies in greater dispositions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And I have already existed in this entire book where there is an operation in which it is an error and fear; therefore it is necessary for you that guard it well and conceal it, lest the leaves be led astray to speak of it and for you to be dishonest.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And therefore take up your arms with solicitude and with God's protection, and your patients with facility and firmness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the better way with the grace of God to find those who are lost in health and noble success, and place the terrible diseases that are difficult to cure, your arms away from them, so that you do not flee with your faith and in your name: for more is left to your glory, and then in the world and in later generations, through your sanctity.
Gualia ja diyssec en alcunas sieuas monicios:	The treatment of diseases has been discussed in some well-known writings.
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	Do not treat the sick with sickness, so that wise physicians do not become known".
E yeu ja he devesit aquest libre segontz tres capitols.	And I will have to divide this book into three parts.
Comensa la divisio del libre, e primier de la primieyra partida.	Begin the division of the book, and first in the first part.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first ordered chapter on the treatment of foot disorders, concerning instruments and the limbs of cauteries, and from this it is necessary to do in the operation.
La divisio de la segonda partida.	The division of the second part.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, on drying and perforation, on venesees, on wounds, on the extraction of arrows and of similar instruments to those, entirely ordered and arranged by the forms of instruments.
Divisio de la tersa partida.	The division of the third part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter, on restoration and dislocation, on the treatment of torsion and similar conditions; a chapter ordered on the treatment of foot disorders and by the forms of instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	The medical treatise contains written materials within its pages.
Am aquel comensa le tractat de tot le libre.	It begins the treatment of the whole book.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	That you will describe the quality of the cautery instruments and the consequences of using them, and in which complex it is prohibited to use cautery.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Then say that the discourse on the quality of cautery instruments and their consequences is a long and prolix one, subtle for knowledge, and hidden in secret; and I have already spoken about it by many wise men, and they disagree among themselves, and as far as I am concerned, it amounts to little, due to prolongation.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And therefore say that cautery comforts in all universal complexity where it is matter or its material, except for two complexities, which are tail ones; their material.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the tail and dry matter complexity, dehydration occurs; for some say that cautery is suitable for that, and others disagree, that it is not convenient in illness of quality and dryness, because the nature of the fire is quality and dryness, and it is convenient to heal an illness that is cold and dry.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	He can't help with that.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	I've experienced this already at some of my previous surgeries.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	But I am not sure that it will come back over this that has already been exploited and exercised in the capital of cauterization by previous exercises, and having understood the diversity of the human body and the disposition of diseases in their innermost places, and the causes of those, and the accidents of theirs, and the length of time of those.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	But it is not about my fear, and more in dry and humid diseases, where all the doctors are agreed on them, and do not disagree in the use of cauterization for those.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	Wise sons, know that the secret of healing by cauterization is from fire and its good nature, which is more in cauterization than in medicine, for the fire is simple, and its action does not extend to other parts of the body except for the part that is cauterized, and it causes little harm.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	The action of medicine is not able to reach the person in the member which is affected by him most, and it makes him come into the member with difficult healing and strong pain.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	But the fire, for its sublimity and good substance, does not do this but rather overflows And already we know of it from experiment and from long years of study on the art to uncover the truth of causes; and thus I excuse myself from the length of the speech If it were not that I am unaccustomed in speaking freely in this pause, I will reveal to you my secret hidden at the fire, and the quality of the operation of him in bodies, and his expulsion through which he drives away diseases, demonstrated philosophically, which has been sharpened for your pains.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And wise children, know that the times of application and pause of cautery are out of season with the time when it is most convenient to do so.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	I say that cautery is convenient in all times, because the harm caused by time is submerged in the benefit of what happens at the cautery, and more so when the cautery is for pains or necessary pains, strong and violent ones, which do not tolerate delay, lest it brings evil, which is greater than a small harm entering through time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And this pain does not concern your body or children, but it is the common opinion and foolish doctors who say that it is healed by cautery, so it's not always a reliable cure for that illness, and they suspend those consequences.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the cause is not just because of the liver or gallstones, because cautery is only a substitute for medicine that alters the composition and dries up the humors which are the cause of pain.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	But nevertheless cautery is used unnecessarily over medicine due to the desire of its patient and virtue of its operation and size of its master.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	And it is possible that his illness will return in a few hours of time, according to the complexity of the illness and its location, and virtue of him, and it is prepared inside his body by the addition of those unnecessary things into him, and it is conveyed to him through the acquisition of such causes; unless that the illness on which cautery has been applied is a subtle one in a few members with a few unnecessary humors, as with cauteri for toothache for pain and appearance like that, it is possible that it does not return that pain, but rather they do small points.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	The translation is: And it seems that cauterization is the last resort of medicine, and it's said to be the most difficult one, not because I understand it well, because those who create them believe there is no cure for it, which benefits with medicine or another cause, cauterization.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	The translation is: And the cause is opposite to that; and I understand that cauterization is considered the last resort of medicine only when administering various remedies for certain diseases, and those medicines do not work, and it's applied at the end of the case to benefit them.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	The translation is: And from here on, I see that cauterization is considered the last resort of medicine, not according to my understanding, which understands the common and absurd opinions of foolish doctors.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	The translation is: And they said that cauterization with gold is better than cauterization with iron, not because of the gold itself and its sublime substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	The translation is: And they said that the place of cauterization does not work, because it is not absolutely true, since you have already tried and tested, and those who claim it to be false, say it only in some bodies and not in others, and cauterization with gold is better than with iron, as they say; but however, when you perform cauterization with fire of gold, it is not your own declaration, because it depends on the quantity that you want according to the rust of the gold, and how you prepare to receive friction; if you attach yourself to the ignited gold, then the gold is melted by the fire, and some plates are put in the fire so that the artisan can test the occupation.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	It seems to be saying: And from this point, make a pointed cautery on the bone of the foot, first lightly and then more firmly towards the straightening of the operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	I have arranged this chapter on cautery according to chapters, and those from the head into the feet, so that the one asking for relief here knows what they want.
De cauteri de dolor de cap per frigiditat e humiditat.	On cautery for headache caused by coldness and humidity.
Le capitol primier.	The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cautery will remove the coldness and humidity from the cause of most accidents, which have two causes, one being due to soda and many types of traumatic flux, called corissa, occurring from the head to the parts of the feet and ears, as well as many sleeping, tooth pain, and gout, and universally from all disease that comes through coldness, thus like paralysis, sodomy, and apoplexy, and resembling those diseases.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this cautery is as follows: firstly, command the sick person to evacuate themselves with laxative medicine upon the head, for three or four nights, according to what the virtue of the sickness requires, and the age and custom of the patient.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And now let the servants bring you a razor, and then lay that saw on your hands over a raised plank, and place their hands on your feet.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	Place your palm over the surface of your nose on either side of the wound.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	However, as you said earlier, the location you have just mentioned is infected, mark that location with fire, and take an olive wood cautery of this form:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	Place that (cautery) on the wound that is infected, in a manner that descends, in which your hand is constricted little by little, and you rotate it.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	Lift your hand slightly and look at the wound, and if you see already that some bone is exposed to some extent, like the amount of flesh eroded, then lift your hand, and if it does not turn red again with the iron, take another one, different from the other, until the bone is visible as you said earlier.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And take a small amount of salt and dissolve it on the wound, and let that liquid sit for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	Let's pause over that spot on the border of the body, so that you may read what is inside the entrance where the scar of the fire should be destroyed.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	Apply a cure to that place with the four-phased medication so that it may be healed.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	They say that when the plague remains open, a better remedy is to apply the grease of the arm, because it is more beneficial and useful.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	They say that of those who were cut with the knife to be cauterized on the tendon into the bone, and the knife should be held inside so that no part of the bone is exposed.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	So that what has been cauterized is left dry, and so it should be covered.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	They say that the cauterized area should be applied to the side, so that it congeals into the bone with great force, and this is the method of applying heat.
E estiman de aquel loc expiran la vapors del cap.	They say that from that place, the vapors of the head expire.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	Let it remain open for a long time, and apply the cure until it is consolidated.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	And the first type of cautery is more saved and better for me; and from that I have made and performed this healing.
Capitol segon.	Afterwards.
Del cauteri del cap.	The cautery of the head.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When there is a chronic and long-lasting pain in the head, and the disease extends to the head, and it uses various remedies such as lancing, poultices, capillary ties, emplastries, guaiches, cadels, gualinas, and applauses, but if he has already been cauterized with a cautery that does not relive and does not remove any of those causes, then he considers whether the head of the disease is of strong growth in its nature; and it's not much feared or troubled with great pain, then after that cautery he applies another one.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And it is applied to cauterize him over the horn of his head with a cautery inside where the ligature is split.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	The ligature is incised and exposed to the bone in such a quantity that we have counted it out, and he cauterizes him with a cautery at the posterior part of the head in the place called the "vas" - which is the area where air is applied.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And free your hand in this way, and do not break the bone, because the illness is going to encounter a great pain different from the pain of all other cauterizations of the head.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	I recommend applying this cauterization in its place, because what the cauterization has on it are the corns of the head and the occiput are more subtle cauterizations than those that have been applied to the middle part of the head; and this is how it is done.
Capitol ters.	Very good.
De cauterisacio de emigranea no-antiqua.	Of the cauterization of emigration from ancient times.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When you leave the head on departure pain or is stretched inside the skull, either evacuates with medicines of the head, or administers another cure, which I have said in the previous pages of diseases; and if it does not improve, then the cauterization is performed in two ways: or a cauterization with acute medicine burns, or with iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	But the cauterization with burning medicine is that you take a loaf of bread and crush it, and then incise both ends of it on the extremities of him from both heads.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	And now it is necessary to puncture the location of the pain in the temple with an arrow inserted through which it will be made a secret place for the chain, so that it may not come out.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	And now it is necessary to tie strongly on the place that has been stopped by constriction, and loosen it slightly for the space of three hours; and then remove it and treat the wound, and lay the plague for two or three days, and then pause on the spot submerged in water so that the place makes a break.
E aprop cura aquel am enguent entro que sia sanat.	And now cure that one with ointment until it is healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you want to do this, apply some medicines that I have written in the book on medicines that burn.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	But the cautery is done like this: by fire of which it is thus the form:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	and it is called clawed nail, because the head of it is like a nail with a curve in the form of a claw, and there is a small prominence in the middle.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	And pause over the place of the pain, and hold your hand - so that it may not be ignited by the arrow which remains - and roll the little iron small by small with speed.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	If the quantity of the substance that is prescribed for the treatment of the codeena is sufficient to fill up the majority of his body, and you raise your hand so that the artery does not get filled with it which is left behind, so that there will be no flow of pus.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	And apply the poultice in water of salt over the location, and pause it on that spot, and let it be soft for three days; and apply the poultice made from mullet in border, and let the wound be healed inside before it heals.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	If you see, cauterize the extremity of the cutellar wound with cautery, and take care to avoid the incision of an artery in this particular passage that is not ancient.
Capitol quart.	This appears to be a placeholder or a separator, as it doesn't seem to be part of a coherent sentence. It might indicate the end of one section or chapter in the text.
De cauterizacio d’emigranea antiqua.	Of ancient incision cutting.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you cure the incision with water according to what has been said about previous cures and also according to what has been stated in the divisions of diseases, but not using the cure effectively, and sometimes because of the disease it does not reach the point that has been said about the first cautery by medicine or from the cautery by fire, then how much you know about making a cutellar cautery inside until it becomes white, so that you signify over the location of pain on the line of length where is the majority of the said statement, or rather which one; and place your hand in one side and press that side into the artery and bring it to bone.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	It is necessary for you to protect the continuation of the jawbone, which is swollen due to mastication, and that the ligament does not become inflamed and the nerves that affect it do not become irritated, and it should not become convulsed.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	If it is about the custody and caution of the flow of the sanguine from the artery that is affected, where there is fear at its beginning, and especially for that person who ignores this and does not take precautions or is unskilled, and lessens the operation in him at the beginning.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	And I recall the regimen of managing blood flow due to an artery accident according to his own method in this book.
E si veses de aquesta malautia que no abaste aquest cauteri e veses le cors del malaute tollerable, cauteriza aquel en le mieg loc del cap ayssi cum havem recontat, e cura la plagua entro que sia sanada.	If you see this disease that does not use this cautery and sometimes the pulse of the sick person is tolerable, then cautery him in the middle of the head as we have recounted, and cure the wound until it is healed.
