Ayssi comensan las paraulas de Albucasim .	Assistance begins for Albuçates.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, about drying and perforation, and of venesees, of wounds, and of the extraction of needles and of similar methods to those, all explained and ordered according to the forms of instruments.
Divisio de la tersa partida.	The division of the third part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter, about restoration and dislocation, and of the treatment of fractures and similar methods to those; a chapter ordered in the beginning of the foot, and of the forms of instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	The text means: With the cautery I have fire and sharp medicine and memory of the operation.
Am aquel comensa le tractat de tot le libre.	It begins with a general treatment for all diseases.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	Specify that which quality the cautery has and the needles of it, and in what complexity it is prohibited to use cautery.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	The matter of the quality of the cautery and its needles is a long and prolix sermon, subtle for knowledge, and secret hidden; and many wise men have spoken about it, and there are also disagreements among them, and to me I can recall just a little of their sermons, which they fear may be lengthy.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	Therefore I say that cautery cures all general condition, universally, whatever its material or its matter, except for two conditions, which are tail and molar matters.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the tail and dry matter condition, desiccation occurs; for some say that cautery is suitable for it, and others say the opposite, that cautery is not suitable in that illness, because of its quality and dryness, whereas nature of fire is quality and dryness, and therefore convenient is to heal a cauda and secca matter when it's cauterized and dried.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	The original text means: And describe the opposite of that which occurs in it, for by cautery it is done justly on all kinds of wet and dry disease seen in men's bodies, when you compare a man's body with its humidity to the complexity of the fire, you will see a man's body frozen.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	I have experienced this already at some of my previous visits to discover.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	But I do not know how it will come about that which has already been exploited and exercised in the capital of cautery for subsequent exercises, when one knows the diversity of the human body's complexity and the disposition of diseases in their innermost parts, and the causes of those, and the accidents that occur to them, and the space of time for those.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	But in other complexities, it is not about your fear, and more so in the cold and wet diseases, where all the doctors are agreed upon those things, but do not err on the justness of cautery in those.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	Wise sons, know that the secret of healing by cautery is in the focus and its goodness, which is over cautery being combined with medicine, for the fire is simple, the action of which does not penetrate to any other member besides the one which is cauterized, and it feels only a little damage.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	The action of medicine can move to the part of the body where the pain is located, and it is hard for the sick person to come to the painful member due to a difficult cure and hard to sit.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	But let us not think that the cause is this, rather because of its subtlety and substance, it overflows. And it has been known to us for a long time through experiments and the length of our study on the art; and for this reason I excuse myself from the length of speech. If only it were true that it's not suitable for the free mind in this pause, I would reveal my secret hidden at the focus, and the quality of the operation on the body, and how its expulsion removes diseases, which is a philosophical demonstration proven, sharpened in your cases.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And wise sons, know that they do not agree with time in the period when it is convenient to make cautery and pause at the best time of spring.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	I say that cautery is convenient at all times, because the damage caused by time's accident is submerged in the benefit of applying cautery, and even more so if the cautery is for painful or necessary pains, hard and violent ones, which do not tolerate delay, so that they are feared by those who come with malice, which is greater than slight injury entering through time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And if this is not in your feet or children, then this is only the common people and foolish doctors, so it is that illness which is healed by cautery is not always correct and they pause those consequences.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the cause is not simply because of the gall that exists in you, for cautery is only a substitute for medicine which alters the complexity and dries out the humidity which are the causes of pain.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	But however, cautery is used unnecessarily over medicine by virtue of its value and good reputation of its operation and the size of their lord.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	And it is possible that his illness will return in some hour of time, according to the complexity of the illness and the location of its ailment, and its virtue, so that what is prepared in the body of him through the addition of unnecessary things in him, and what is conveyed to him in his acquisition in viands and similar causes; unless the illness in which cautery is applied is a subtle illness in a few superfluous parts and humidities, as for example, a cautery of tooth for pain and similarity to that, it may not return that pain in him, but this is done in small points.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	It is commonly believed that cautery is the last remedy of medicine, and it is said to be more effective than other causes because I do not understand why. They believe that it does not cure but rather affords some benefit through medicine or another cause regarding cautery.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	The cause is the opposite; and I understand that cautery is considered the last remedy of medicine only when administering various methods of cure for certain illnesses, and those medicines do not work, and therefore, in the end, it administers cauterization, which affords some benefit to that.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And here it is clear that cautery is considered the last remedy of medicine not according to my understanding but rather the understanding of common people and foolish doctors.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	It was said that cautery of silver is better than cautery of iron, and not so because the silver is equal to it and superior in its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	They said that the location of cautery does not matter, as it is not absolutely true, because I have already shown and experimented with it and found that it does not work for all cases, but works better for certain bodies, and that cautery of iron is good and better than silver as they claimed; however, when you perform cautery with fire from gold, it's not for your declaration, because it depends on the quantity you want to achieve by the weight of the gold, and how you prepare yourself to receive the burn; and if you place yourself over the flame until the gold is burned, some thin sheets are added to the heat so that the artisan can take hold of them.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	It appears to be describing medical procedures for gout. The sentence translates to: "And therefore, make cauteries with iron on the skin of the foot, first lightly and then more firmly in order to proceed with the operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	The translation is: "I have already ordered these chapters on cauteries according to the principles, and those that are inside the feet, in order that the patient who asks for this relief will feel it.
De cauteri de dolor de cap per frigiditat e humiditat.	The translation is: "On cauteries for pain of the head due to cold and humidity.
Le capitol primier.	The translation is: "Chapter one.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	The translation is: "This cautery cures the cold and humidity which are caused by an accident of the serving (likely meaning a blood vessel or nerve) from which there are two causes, namely from soda ( possibly meaning "scurvy") and many other forms of traumatic flux, called corissa, from the head to the parts of the feet and ears, and many sleeping, and pain in the teeth and gum, and universally all illness that comes from cold, just like paralysis, scurvy, and apoplexy, and similar to those diseases.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The translation is: "The form of this cautery is as follows, which first commands the sick person to evacuate their bowels with laxative medicine, mentioning their mind, for three or four nights, according to what the virtue of the sickness requires and the age and condition of the patient and his habit.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	Appropriate command the servant to shave his head with a razor, and appropriate make that snare between your hands over a sharp board, and place your hands on his feet.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	Place the patient's hand on your palm, opposite the pain on his nose between his eyebrows.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	However, since the location you pointed out is already inflamed, mark that spot and apply olive wood cautery.
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	Place it on the location that is inflamed, in a manner where it descends, so that your hand is constricted little by little, and you turn it.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	Lift your hand slightly and examine the location, and if you see already that the bone is uncovered to some extent, like the amount of swelling from error, then elevate your hand, and if not return your hand with that iron, with another one, until it becomes visible through the bone what I told you.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	Appropriate take a small amount of salt and dissolve it over the location, and let it lie there for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And then place your hand on that spot, in the border and on top of it, so that the scar from the fire is destroyed.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	And heal the spot with an antient medication into which it should be sanitized.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And also they said that as long as the plague lingers, it is better to use gelt on the arm, for it is more and younger.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	They said that it should be cauterized the tendon into the bone, and kept the cautery inside so that no part of the special tendon is injured.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And make it so that it becomes tight on the bone, and be healed.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	And they said that the cautery should penetrate into the tendon, until it presses on the bone strongly in order to make it harden into the bone, and this is the way of alleviating a small pain.
E estiman de aquel loc expiran la vapors del cap.	They consider that from that spot there are expelled the vapors of the head.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And it is held that the plague lingers for long times, and be healed within so that it becomes consolidated.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	Joint pain is caused by cold humors that infiltrate each part of the body, and pain occurs in the feet, it is customarily called gout by doctors.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	The first line translates to:
Capitol segon.	The head of the book.
Del cauteri del cap.	Of the cauterization of the head.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When a chronic and prolonged pain occurs in the head and it is prolonged in the sickness, and using of gall, cochineal, caper, emplaster, guaz, cadels, gualinas, and semblanz, but when someone has been cauterized with a cautery that relieves none of those causes, then consider whether the head of the sickness is of great formation in its nature; and not being foul and hateful, much damage is done, so that afterwards it gets another cautery.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And place the cautery on the horn of his head with a cautery inside where the tendon is torn.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Cut the tendon and show it through to the bone to the quantity that we have relented and cautery it with a cautery at the posterior end of the head in the place called the "vas", where a poultice is placed.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And lift up your hand in such a way, and do not show the bone, because the sickness for this has caused a great pain unlike that of all other cauteries on the head.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	I have cold humors that infiltrate each part of the body, and pain occurs in the feet, it is customarily called gout by doctors.
Capitol ters.	General symptoms of a disease.
De cauterisacio de emigranea no-antiqua.	On the cautery treatment for unexplained migration of blood (or possibly, "emigration of humors" or "blood outside its place").
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When the pain begins in the head and then spreads to the skull, or is sent to the eyeball, evacuate the medicine from the mouth and administer the other remedy, which I have mentioned in previous writings, unless it proves ineffective; then perform cauterization in two ways: either with sharp medicines that burn, or with fire.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	But the cauterization with burning medicine is that you take a ball of honey, and scrape away the skin from the extremities of both feet and hands.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	And to the place of the pain in the temple, insert a lance-pointed needle into it so that it is lodged deep within it and surrounded by the cord (or possibly "the sinew") hidden from view.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	And place a strong bandage around it, closed by a tight constriction, and loosen it slightly for the space of three hours; then remove the honey and lay flat on the affected area for two or three days; and after that, pause over the wound submerged in water until the pain ceases.
E aprop cura aquel am enguent entro que sia sanat.	Appropriate care for the afflicted person until they are cured.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	If you wish, do this with some medicines that I have written down in the previous treatise on medicinal concoctions.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	But cautery is done in this manner: with sparks from an ignition point.
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	it is called a claw-hammer, because its head is shaped like an inverted nail with some curvature, and in the middle of it is a small prominence.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	Place your hand over the location of the pain, and restrain it - so that the arrow is not hurted by what remains - and turn the small iron slowly with velocity.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	If the quantity of him that is hurt by the sharpness of the arrow has reached its size, and you lift your hand so that the artery is not hurted which remains, in order to prevent a flow of blood.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	And apply a poultice in water and salt to the place, and keep it there, and soothe it for three days; and also apply a poultice of mullet on the border, and do care for him until he is cured.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	If you see, cauterize the extremity of the scimitar according to cautery, and beware of the incision of the artery in this migration precisely not ancient.
Capitol quart.	But fourth.
De cauterizacio d’emigranea antiqua.	Of the cautery for the ancient migration.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you treat the migration with water, as has been said of previous cure, and what has been said in the divisions of diseases, and yet do not profit from the cure, and often because of the disease that does not reach to him what they have said of the first cautery with medicine or the cautery with fire, the wise one knows to perform the scimitar cautery until it is white, so that you signify on the location of the pain along the line of length from which is the largest part of the said, or where; and then place your hand over one side and firmly press that into the artery and penetrate into the bone.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	However, it is necessary for you to guard the continuity of the jawbone, which is sharp due to mastication, and that the ligament not be too tight and the nerve that affects this area, lest there occur spasm.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	If it is about the custody and caution of the flow of the sanc of the artery that is open, which at its beginning is feared, and more so to whom ignorance of this does happen, who makes and does not study, then let him have less operation at the beginning.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	I will remember the rule of the flow of the sanc due to an accident in the artery, as it is written in this book.
E si veses de aquesta malautia que no abaste aquest cauteri e veses le cors del malaute tollerable, cauteriza aquel en le mieg loc del cap ayssi cum havem recontat, e cura la plagua entro que sia sanada.	If you see this sickness does not heal with this cautery and you observe the patient's condition is tolerable, then cautery that place in the middle of the head as we have recounted, and cure the wound until it heals.
