Ayssi comensan las paraulas de Albucasim .	Assistance begins with the words of Albucasim.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I saw another doctor who perforated an infected gangrene, and had it ulcerated after several days, until the wound became magnified with the malice of him on the lord of him.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The cause of the gout is that the gall caust is pure melancholy humors, and it does not penetrate into the body through iron, but rather affects a member which suffered damage.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And therefore, sons, it is necessary for you that the operation on the foot should be divided into two sections: one in which there is associated with health, and another work in which there is danger in major positions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	I have already existed in this entire book where it was demonstrated that opposition to operation is based on error and fear; therefore it is necessary for you to guard this truth and set it aside, so that the people do not go astray through speaking about it and deceiving you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And therefore take up your arms for solicitation and protection of God, and your patients with fortitude and firmness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the better way through God's grace to bring patients to salvation and noble success, and lay aside the terrible maladies of difficult healing, and keep your arms from this day on that make you fear, so that visitation in your faith and in your name will not desert you: for more is left to your glory, and then in the world, and after all in the honor of your sanctity.
Gualia ja diyssec en alcunas sieuas monicios:	The patient has already received some warnings or advice from their doctor:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	Do not give bad medicine to the sick, lest you be mistaken by the physicians.
E yeu ja he devesit aquest libre segontz tres capitols.	And now I will divide this book according to three parts.
Comensa la divisio del libre, e primier de la primieyra partida.	Begin the division of the book, and first of the first part,
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter ordered in the arrangement of instruments and fasteners for cauteries, and from there what is necessary in the operation.
La divisio de la segonda partida.	The division of the second part.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, on drying and perforation, and of venesections, and of boils, and of the extraction of needles and of similar things to those, all ordered and categorized by the forms of instruments.
Divisio de la tersa partida.	The division of the third part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The fourth chapter, on restoration and dislocation, and of twisting and of similar things to those; the chapter ordered by arrangement of joints and instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	The translation of the given line is:
Am aquel comensa le tractat de tot le libre.	The text means: At that point begins the treatment of the entire book.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	Explain the quality of the juice of that cautery and the signs of its use, and in which compartment it is prohibited to use cautery.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	So it is said that the discourse on the quality of the juice of cautery and its signs is long and complicated, subtle for knowledge, and hidden; and already many sages have spoken about it, and there are also disagreements among them, and I can recall a small part of their discourses, which warn against delay.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And so it is said that cautery cures all the universal part of the body, where there is matter or its matter, except for two places, which are colds; their matter.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the cold and dry place where there is matter, it dries up; for some say that cautery is suitable for this, and others disagree with him, that cautery is not convenient in a disease of which quality and dryness are the cause, because the nature of fire is quality and dryness, and therefore it is inconvenient that a cold and dry disease should be healed by a hot and moist one.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	When cold humors cause inflammation in the joints and infiltrate each part of the body, and pain occurs in the feet, it is customarily called gout by doctors.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	I have already experienced this in some cases to discover.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	However I do not know how it will come upon this that which was already experienced in some cases to discover, particularly after being experimented on and exercised at the capital of cautery, for having taken account of the diversity of the human body's complexity and the disposition of illnesses in their innermost parts, as well as their causes, accidents, and the space of time involved.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	But in other complexities it is not a matter of fear, and mainly in cold and humid illnesses, where all the doctors have already agreed on those, and do not give different opinions on the application of cautery in those cases.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	You should know, sons, that the secret of healing by cautery is from the fire and its goodness, which is over cauterization in medicine, because the fire is simple, its action proceeds only to the member being cauterized and not to any other nearby members, without much damage.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	The medical treatment is causing more harm than good, and it's leading to a difficult recovery in the affected limb.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	But the heat, due to its great power and substance, is causing nothing but excess. We are already aware of this through experimentation and long experience in studying the art, as well as the truth of the causes; and therefore I excuse myself from the length of the discourse, if not for the fact that it is not suitable for your free ears in this pause. If I were not to share with you a secret hidden among the heat, and the quality of its operation on the body, where you expel diseases through its expulsion, then it would be a philosophical demonstration proven, which would be more convenient for your pain.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And wise sons, know that the times differ from each other in which it is convenient to perform cautery and pause at the best time of spring.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	I say that cautery is convenient at all times, because the damage from time is submerged in the youth of this process that comes with the cautery, and especially when it's for painful or necessary pains, strong and intense ones, which do not allow delay, lest they be feared by those who bring malice, which is greater than minor harm entering through time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	Joint pain caused by cold humors is considered a popular and foolish practice by doctors.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	The cause is not as simple because the needle causes changes to the complexion and dries out the humors that are causing pain.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	However, the cauterization is unnecessary over medicine due to the whim of its lord and virtue and greatness of his operation and size of his lord.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	It is possible that his illness may return in a few hours of time, according to the nature of the disease and location of its manifestation, virtue of him, and because he is prepared inside the body with the addition of unnecessary things, and also with what is brought into him through food and similarity of those causes; but if the illness for which cauterization has been applied is a subtle one in a few members with little superfluity and humidity, then it is possible that the pain does not return to him, but rather he undergoes small ones.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	It seems to be saying that cautery is the last resort of medicine and it's also considered the most effective treatment, not because one understands its benefits in the matter, but because they believe it won't lead to further complications.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	The cause is in opposition to that; and the understanding is that cautery is the last resort of medicine not because one believes it has inherent benefits, but rather because other methods of treatment are ineffective for certain illnesses, so at the end of the process they administer cautery as a last resort.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And here it says that cautery is the last resort of medicine, not according to the understanding which understands the vulgar and foolish ways of doctors.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	They said that cautery with iron is better than cautery with gold, not because of the equality of the two metals or the greatness of its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	They said that the location of cautery doesn't matter, because it's not absolutely true, for you have already done this before and hit what you didn't aim at, so that it is better with iron than with gold in most cases; however, when you do cautery with gold, it's not your declaration, because it depends on the quantity of gold you use due to the roughness of the gold and the preparation needed to receive friction, and if you adjust over it from the start, the gold will burn out in the fire, and some thin sheets are added so that the craftsman can see what he's doing.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And from that point on, it is made to cauterize over iron needles because we must push them lightly and then more seriously in the correct position of operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And I have ordered this chapter on cauterization according to chapters, and I have placed those of the chapter inside the feet, so that the patient who wants relief from it may know.
De cauteri de dolor de cap per frigiditat e humiditat.	On cauterization for pain in the head due to coldness and humidity.
Le capitol primier.	The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cauterization treats the coldness and humidity as a source of that most serious accident, which has two causes, namely, because of the formation of the humors (soda) and multiple traumatic fluxes, called corissa, affecting the head to the parts of the heels and ears, causing excessive sleeping, toothache, and gout, and universally all sorts of diseases caused by coldness, such as paralysis, soddeness, and apoplexy, resembling those illnesses.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this cauterization is as follows: first, to command the patient to be evacuated by laxative medicine on the head, for three or four nights, according to what the virtue of the disease requires and the age and custom of the person.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	Prepare the one who is to shave his head with a razor, and prepare that knife between your hands on a wooden bench and have him place his hands on his feet.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	Have the one shaving his head pause the razor of your palm above the skin on his nose between his eyebrows.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	However, as you said from my previous warning, this area is sensitive, mark that location carefully, and apply olive wood cauterization fire, which is the form:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	Have him pause over the sensitive location carefully, in a manner that descends, with which your hand is constricted little by little, and you rotate it.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	Lift your hand slightly and look at the location, and if you see already the bone is exposed some quantity of it, as much as the amount of grains of sand, then lift your hand, and if not turn your hand with that iron, with another one, until it's visible on the bone what you have told me.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	Apply a small amount of salt and dissolve it on the location, and let it sit for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	Place your hand over the spot near the border, and let it rest on the entrance so that the scar of the fire is destroyed.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	Apply treatment to the affected area with the four medicines until health is restored.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	They also said that when the plague remains, it is better to apply a soft cushion under the arm, so that it is more comfortable and youthful.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	They said that if you want to cure, the tendon should be cauterized into the bone, and the cautery kept inside until no part of the bone is affected.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And let it dry where it has been hardened by the bone, and cure it.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	They said that if the cautery penetrates to the skin, so that it warms into the bone with great force and presses on the bone, this is the form of ulceration.
E estiman de aquel loc expiran la vapors del cap.	They consider that from that location, the vapors of the head will escape.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	Let it be kept open for a long time, and cure it until it becomes consolidated.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	The text means: "But as for me I have not seen these two kinds of cauteries of all, but in a few men by way of fear; and the softer one is my choice, it is better to cure him when he is, rather than after, because his head has been broken off by the solution of continuity from this cause, as they have testified in other members, and especially when the patient's head is of frosty nature.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	The text means: "And the first kind of cautery is more saved and better for me; and from that, I have heard and know this cure is good.
Capitol segon.	The text means: "Secondly.
Del cauteri del cap.	The text means: "Of the cautery on the head.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	The text means: "When in the entire head a chronic and long-lasting pain occurs and it is prolonged in the patient, using various remedies such as gerons, cochias, capipurges, emplaustres, guaz, cadels, gualinas, and semblantz, and among these if he has already been cauterized with one that does not counteract but rather aggravates any of those causes, then considering whether the patient's head is of strong creation in its nature; for it is not frosty and a great irritation would cause little pain, then that cauterization should have another cauterization on that, a little.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And then return the point over the ear of his head with a pointed cautery, within the cord where it is broken.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Cut the cord and expose the bone to the quantity that we have recounted, and then cauterize it with a pointed instrument at the rear end of the head in the place called vena, - and it is that place where the vein is paused.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And lift up your hand in the same way, and do not expose the bone, because this illness is accompanied by a great pain different from all other head cauteries.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	And I say that this cautery should be done in its place, because the way of the cautery is such that the corns of the head and the occiput are more subtle cauteries than those at the middle of the head; and this is the form of it.
Capitol ters.	Well said.
De cauterisacio de emigranea no-antiqua.	On the cautery of the emigration of an ancient thing.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When one goes to the part of the head with pain or is stretched out in the ear, either evacuating medicine into the whole head or administering another cure, which I have said in the chapters of the diseases; and if this does not profit, then the cautery is done in two ways: either with a cauterizing instrument mixed with sharp medication, or with a hot iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	You take a cautery that burns the medicine, and so you take a sweet made of alh, and look at it, and bind the extremities of him from both his heads.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	And place an incision on the site of the pain at the temple with a lance that is inserted into it so that it is in his head, hidden by the chain.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	And wrap him tightly so that he is stopped by constriction, and loosen him after three hours; then draw the intestines out, and treat with alh, and lay the wound for two or three days, and place your hand on the spot submerged in blood until the pain subsides.
E aprop cura aquel am enguent entro que sia sanat.	And cure him by enemas until he is healthy.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you wish, do this with some burning medicines that I have written down in the book of burning medicines.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	But cautery is made like this: an ignition by fire of which this is the form:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	and it is called claw of the cross, because its head is like a cross in shape, with some curvature, and on its middle part there is a small prominence.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	I pause over the spot of pain, and place my hand there -- so that the bow does not become inflamed which is left behind -- and I draw the little iron in small pieces with great speed.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	If the quantity of the wound that is inflamed by the specificity of the cord ( likely referring to a thread or string) is more than half its size, and I lift my hand up so that the artery does not become inflamed which is left behind, in order that no blood comes out from the stain.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	I apply ointment to the wound in salt water and place it on the spot, and I soothe it for three days; and I place a poultice made of mullath ( likely referring to mullet fish or other medicinal plants) on the border, and I treat with gum until it is healed.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	If you see, I cauterize the extremity of the cutlery according to cautery, and I take care not to injure the artery in this passage, which is newly discovered.
Capitol quart.	End of chapter or section.
De cauterizacio d’emigranea antiqua.	The cautery of ancient wounds.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you treat the wound with water as has been said of the cure previously, and as has been said in the divisions of diseases, but do not improve the cure, and sometimes for the disease that does not reach up to where they say of the first cautery by medicine or by the cautery of fire, how much longer will you know the cautery of the cutlery until it is yellowed, so that it may signify about the spot of pain along the line of length from which is the half of the said thing, or whatever that is; and then you place your hand on one side and press that into the artery and bring through to the bone.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	It's a part of the jaw must be guarded from continuing inflammation, which is due to chewing, and that the ligament shall not be irritated and the nerves that are affected by that, so it should not contract.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	And if it's about the custody and care of the flow of blood from an artery that is suspected to be obstructed, where there is fear at its beginning, and more so in one who ignores this and does not know how to do it and is unskilled; then let the operation be done lightly at the beginning.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	And you will find again the memory of the regime of blood flow in the case of an arterial accident according to his method, in this place where this book exists.
E si veses de aquesta malautia que no abaste aquest cauteri e veses le cors del malaute tollerable, cauteriza aquel en le mieg loc del cap ayssi cum havem recontat, e cura la plagua entro que sia sanada.	And if you see that this disease does not provide for this cautery and sometimes the patient's body is tolerable, then cauterize it in the middle of the head as we have recounted, and cure the wound before it is healed.
