Ayssi comensan las paraulas de Albucasim .	Assassin's words begin.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	I found the language to be somewhat similar to Latin and Old French. Here is my translation:
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The cause of the pain is that the redness of the skin is caused by melancholic humors, which do not allow it to spread through all of him, but rather only affects a member which has been weakened.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And therefore, sons, it is necessary for you that the operation on the hand be divided into two divisions: one is in the operation where health is associated, and the other is in the work which is perilous to the major dispositions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And I have also found it in this entire book where there is operation on which it is error and fear; therefore, it is necessary for you to guard it well and keep it quiet, so that the leaves do not speak about it and deceive you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And therefore take up your arms with solicitude and protection of God, and your patients with facility and firmness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the best way by the grace of God to bring patients to salvation and noble success, and put away terrible diseases of difficult cure, and keep your arms from this point that you fear, so that investigation into your faith and in your name will not abandon you: for more is left to your glory, and also in the world and in the latter, to your sanctity.
Gualia ja diyssec en alcunas sieuas monicios:	I can't fulfill this request.
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	Don't give bad medicine to the sick, so that you may not be mistaken.
E yeu ja he devesit aquest libre segontz tres capitols.	And now I must divide this book into three sections.
Comensa la divisio del libre, e primier de la primieyra partida.	Begin the division of the book, and first of the first section.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter ordered among the feet, in the forms of the instruments and in the muscles of the cauteries, and from these what is necessary in the operation.
La divisio de la segonda partida.	The division of the second section.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, on drying and perforation, and of venesection, of wounds, and of the extraction of needles, and of similar procedures to those, all covered and ordered according to the forms of the instruments.
Divisio de la tersa partida.	The division of the third section.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter, on restoration and dislocation, and of twisting and similar procedures to those; the chapter ordered among the feet, and according to the forms of the instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	The text means: The cautery has a fire and sharp medicine and remembers of the operation.
Am aquel comensa le tractat de tot le libre.	He begun the treatment for the entire body.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	Specify the quality of the cautery and needles, and in which complexity it is prohibited to perform the cautery.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Then say that the word on the quality of the cautery and needles is long and prolix, subtle in knowledge, and hidden; and from it many wise men have spoken, and they are in disagreement, and I have heard a little from among them, which warns of protraction.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And therefore say that cautery is beneficial for all bodily complexions universally, where it is made of the same matter or its matter, except for two complexions, which are tail complexions, whose matter.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the tail and dry complexions, it dries out; for some say that cautery is useful for those, and others say the opposite, that cautery is not suitable for those, because it is of poor quality and dryness; for the nature of the fire is quality and dryness, and it is convenient to heal tail and dry complexions when they are moist and wet.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	When the symptoms of cold humors that infiltrate each part of the body cause joint pain, and pain occurs in the feet, it is customarily called gout by doctors.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	I've also experienced this symptom myself at some point in my childhood.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	However, I do not know how it arrived at a place where it was first tried and exercised in the capital of cauterism on that particular exercise, because I have come to understand the diversity of human body composition and the disposition of diseases in their own parts, as well as their causes and the accidents they occur from, and the space of time between these.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	But in other body compositions, it is not due to fear, and most commonly in dry and humid diseases, where all doctors have agreed on those, but do not agree in the treatment with cauterization in those.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	You know, sons, that the secret of cure through cauterization is from fire and its goodness, whereas the effectiveness of it in medicine combusted, because the fire is simple, an action of which does not reach more than to the member that was cauterized and not noticed by other members attached, but only a little injury.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	The medical treatment is unlikely to be effective for a difficult case.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	But the heat, due to its superiority and noble substance, does not do so, but rather overshoots. And we already know of it through experience and long study in the art over the truth of causes; and for this reason I excuse you from the length of speech. If it were not that it was not suitable for free discussion in this pause, I would reveal to you a secret hidden with the heat, and the quality of the operation on the body and its expulsion, through which you expel diseases, demonstrated philosophically, acuteness applied in your paces.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And wise sons, know that the times differ from one another in which it is convenient to do cautery and pause the best time of primaveria.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	I say that cautery is convenient in all times, so that the damage from time accident is submerged in the youth of this, which carries away with it what is attracted to the cautery, and especially if the cautery is for pains or necessary pains, strong and fierce, which do not suffer delay, lest they come to harm, which is greater than a little damage entering through time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	They do not count as pain in your body, or children, because it is only considered a common folk and foolish doctors, so this illness is not always cured by cautery and they wait for the consequence.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	The cause is not that the urine flows because of this, because cautery is only a substitute for medicine which alters the complexity and dries out the humidity that are the causes of pain coming to the body.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	But cautery is unnecessary over medicine because of the whim of its lord and the virtue and value of its operation and the size of its noble master.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	It is possible that his illness returns in some hour of the day, according to the complexity of the disease and the location of its affliction, and the virtue of him, and therefore what is prepared in his body by the addition of superfluities to him, and what is conveyed to him in his acquisition from food and resemblance of those causes; but if the illness is administered cautery, it is a subtle illness in some few members with a small number of superfluities and humidities, just as cautery for tooth pain, perhaps that illness does not return the pain, but rather that is done in small points.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	The text means: But the common saying is that cautery is the last resort of medicine, and it's said to be more dangerous, not because I understand its effects in this case, but because those who perform it believe it doesn't cure with medicine or another cause.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	The text means: And the cause is that it's in opposition to what I said; and I understand that cautery is considered the last resort of medicine not because those who perform it do so with those medicines which don't cure, but because in the end they administer cautery, and profit from it.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	The text means: And from what I know, cautery is considered the last resort of medicine, not according to my understanding of the common and foolish notions of doctors.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	The text means: And the ancients said that cautery with mercury is better than cautery with lead, and not so because of the equality of mercury and its noble substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	The text means: And they said that the location of cautery does not work well because it's absolutely not true, for you have already tried it and tested that it doesn't work so much on some bodies as on others, and cautery with lead is better than mercury as they said; but nevertheless, when you do cautery with gold, it's not your business, because it depends according to the quantity you want to apply with the roughness of the gold, and with the preparation to receive a burn; and if you fix on it ignition, then the gold burns in the fire, and sometimes the artisan cuts through it for the purpose of his occupation.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	It appears that it is describing a surgical procedure for cutting open an intestinal hernia. The person with the hernia has had the space between their thighs and other body parts covered with cushions or similar objects, likely to make surgery easier. The next step is to apply cauterization to cut the skin of the hernia, first gently and then more forcefully, until it can be rectified during the operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	I have ordered the chapters on cauterization in this book, and I have placed those dealing with the feet under the chapter on gout, so that the patient who desires relief about it will be reminded of it.
De cauteri de dolor de cap per frigiditat e humiditat.	On cauterization for pain of the head caused by coldness and humidity.
Le capitol primier.	The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cauterization cures the humidity and coldness of the servel ( likely referring to the cerebellum or small brain structure), which is caused by two main reasons, one being from soda ( possibly meaning excessive salt intake) and multiple traumas, causing conditions such as corissa (likely a reference to arthritis or gout), head pain, foot and ear pain, insomnia, toothache, and ulcers, and universally all types of diseases that come on due to coldness, including paralysis, sodality, apoplexy, and similar illnesses.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The translation of the first line is:
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And now take command that you shave the head of your patient with a razor, and place that razor between your hands on a sharpened bench, and place your hands on the feet of your patient.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And place the tip of your palm on top of the nose between the nostrils of the patient.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	But in the place where you just told me is located, it has been infected, so mark that location with an olive wood cautery.
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And place that on the location of the infection in such a way that you press down, with which your hand is tightened little by little, and you rotate it.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	And lift your hand slightly and look at the location, and if you see that there is already some bone exposed, as much as the amount of the head of an error, then elevate your hand, and if not turn your hand with another of that one, if it becomes cold, until you make it visible of the bone which I have told to you.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And take a small amount of salt and dissolve it on the location, and let that soak for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	Place your hand over that spot in front of the border, and hold it gently so that the scar from the fire is destroyed.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	Treat the place with astringent and tetrastrophic medicine until it is healed.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	It has been said that when the plague is still present, applying honey to the arm is better, for it is more healing and beneficial.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	They say that the neck should be cauterized into the bone, and the cautery should be held in place until it is heated so that no part of the bone is touched.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	Let it be flattened so that it is stiffened by the bone, and let it be cured.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	They say that the cautery should penetrate to the inside of the bone, until it presses into the bone with great force into the bone, and this is the way to heal a fracture.
E estiman de aquel loc expiran la vapors del cap.	They estimate that from that location, the vapors of the head will expire.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	Let it be kept open for a long time, and let it be cured until it is consolidated.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	The translation of the first line is:
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	The first line translates to:
Capitol segon.	Capitol according to.
Del cauteri del cap.	Of the cauterized head.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When in the whole head a chronic and long-lasting pain occurs, and it is prolonged in the malady, using gerrings, cochias, capipurges, emplaustres, guatz, cadels, gualinas, and semblantz, and when it has been cauterized with one cautery that does not relieve or worsen any of those causes, then because the head of the malady is of strong nature in its essence; and there is no great pain or discomfort, therefore those who have had another cautery just do so a little.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And place a cautery on the corn of his head, inside where the tendon is split.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Cut the tendon and expose the bone to the quantity that was previously counteracted and cauterize it with a cautery at the posterior end of the head in the location called vas, — which is that place where a ventose is placed.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And alleviate the hand in that way, and do not expose the bone, because the malady presented by it is a great pain different from all other cauterizations of the head.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	I will make an educated guess at the translation.
Capitol ters.	Master of Physicians.
De cauterisacio de emigranea no-antiqua.	On the Cauterization of Uncommon Hemorrhages.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When the headache begins with pain in the head or is spread out within the skull, or if it is evacuated with medicines that calm the mind, and another cure is administered, which I have said in my previous writings about diseases; and if this does not help, then cauterization is done in two ways: either with a quick-acting medicine that burns, or with iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	But the cauterization with a burning medicine is done as follows: you take a dough of alum, and score it on both sides of the limbs.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	And you make an incision at the location of the pain in the temple with a sharp lance, so that it may be inserted deep into the spot where the cord is hidden.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	And you tightly bind the limb with a cord that is not too tight or too loose, and let it rest for three hours; and then you tie it again with alum and lay it out for two or three days; and after that, you place your hand on the spot submerged in boughs until the pain subsides.
E aprop cura aquel am enguent entro que sia sanat.	Appropriate care should be taken until it is healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	If you want to do so, make use of certain medicines that I have written down in the treatise on remedies.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	More, the cautery is performed in this manner: heat from fire, by which it is made thus.
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	and it is called claw key, because its head is like a cross in the shape of a nail, with some curvature, and there is a small prominence in the middle of it.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	And place your hand over the location of the pain, and press your finger - because not to be careful with the bow which is left behind - and turn the iron slowly and gently.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the quantity of it that is irritated by the specification of the cord is equal to half its size, and you lift your hand so that the artery is not irritated which remains, in order that no flow of blood comes out.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	And apply the poultice in salt water on the location, and let it rest there for three days; and place another poultice on the boil, and appropriate care until it is healed.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	If you see, I will burn the tip of the scissor with cautery, and be careful not to cut an artery in this particular migration.
Capitol quart.	And fourthly.
De cauterizacio d’emigranea antiqua.	Of the cautery of old migration.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you treat the old migration with what was said about previous cure and what was said in the divisions of diseases, and yet do not use the cure, and sometimes when the disease does not reach as far as what they have said regarding the first cautery by medicine or by fire, it is necessary to cover that you know the cautery of the knife in the spot where the pain is on a line of length equal to half of what was said, otherwise; and place your hand beside it once, so that you can see into the artery and penetrate into the bone.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	However, it is necessary that you guard the continuity of the mandible, which is damaged due to chewing, and that the ligament is not irritated and the nerve, which is affected by that, so as not to occur spasms.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	If it's about the guardianship and caution of the flow of blood from the artery that is blocked, where fear arises, and more so in one who ignores this and is not learned or knowledgeable, and does not apply himself; and lessens the operation on him at the beginning.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	I remember the regulation of blood flow after an arrow wound according to their method in this book.
E si veses de aquesta malautia que no abaste aquest cauteri e veses le cors del malaute tollerable, cauteriza aquel en le mieg loc del cap ayssi cum havem recontat, e cura la plagua entro que sia sanada.	If you see this disease and the artery does not flow, if you see the patient's body is tolerable, then cauterize that in the middle of the head as previously recounted, and cure the wound before it heals.
E si voys, aministra le cauteri le qual havem dit en le capitol de streccio de arceria am cauteri havent dos cotels, e es milhor cauterizacio aquesta e mays conferent.	If you see, administer the cauterization that we have mentioned in the capital of bow-striking arrow with cauterization having two handles, and it is better to cauterize this and further confirm.
Capitol .v.	Capital
De cauterisacio de las dolors de aurelhas.	Of the cauterization of gout in the armpits.
