Ayssi comensan las paraulas de Albucasim .	The doctor begins to speak about Al-Bukhatir.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And we saw another doctor who perforated an abscess with cancer, and it became ulcerated after six days, until the disease spread to its lord - the body.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	Which cause is that the cancerous wound is pure from melancholic humors, whereas it does not spread to him because of iron and all of that, but rather only to the member which suffers.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And therefore, sons, it is necessary for you that the operation on the body should be divided into two parts: one is in an operation on him who is associated with health, and in another work there is peril to major dispositions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And I have already existed in this entire book where there is victory over opposition, error, and fear; therefore it is necessary for you to guard and set aside what has been written here, so that the people do not come back to speak and to deceive you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And therefore take up your arms for solicitation and protection of God, and take care of your maladies with facility and strength.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the best way through God's grace, in search of salvation and glorious success, and put off the terrible maladies of difficult cure, and arm yourself from this so that you do not flee with your visitation in your faith and in your name: for much more will remain to your glory, and then in the world and at the end of your sanctity.
Gualia ja diyssec en alcunas sieuas monicios:	Generally said by some of their most wise men:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	Do not treat a bad illness with another bad one, lest the bad doctors do not recognize you".
E yeu ja he devesit aquest libre segontz tres capitols.	And so I will divide this book into three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	Start the division of the book, and first from the first part.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter ordered on the treatment of the feet, in the forms of instruments and in the structures of cauteries, and from this it is clear what is necessary for the operation.
La divisio de la segonda partida.	Division of the second part.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, concerning dryness and perforation, and of boils, and wounds, and of plasters and the extraction of arrows and similar objects for those, all chapters and ordered according to the forms of the instruments.
Divisio de la tersa partida.	Division of the third part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter, concerning restoration and dislocation, and of twisted limbs and similar objects to those; a chapter ordered from the head to the feet, and according to the forms of the instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	On cautery with fire and sharp medicine, and a reminder of the operation.
Am aquel comensa le tractat de tot le libre.	Concerning that begins the treatment of all the body.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	Which you should explain the quality of the cautery and the instruments used in it, and in which cases cautery is prohibited.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	And thus say that the discourse on the quality of the cautery and its instrument is a long and prolix one, subtle for knowledge, and secret hidden; and already many wise men have spoken about it, and there are disagreements among them, and to me it seems there is little from their discourses that has been said in detail, and because of this length.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And therefore I say that cautery will comfort the entire universal complex which is made of matter or its matter, except for two complexes, those are tail complexes, their matter.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the tail and dry complex matter, it will wither; for some say that cautery is beneficial to that one, and others say the opposite of that, that cautery is not suitable in illness which is due to quality and dryness, because nature of fire is quality and dryness, and therefore convenient is that illness of the tail and dry complex when it is cauterized and dried to be cured.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And that one who says the opposite, that by cautery is done justly in all tail and dry illnesses that occur in the bodies of men, because when you compare the body of man and his humidity to the complex of fire, you become disgusted with the body of man.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I speak by the word of that one, that you have already experimented with this at some few times to discover.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	But still I do not believe that it will come true what has already been exploited and exercised in the capital of cautery through a final exercise, and having known the diversity of the human complex and the disposition of illnesses in their inner parts, and the causes of those, and the accidents of them, and the space of time for those.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	When other complications occur, it is not a matter of your fear, and much more in dry and humid illnesses, which all doctors agree upon, but do not get too confident with the use of cautery in these.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	Know well, sons, that the secret of cure by cautery is from fire and heat, and on the good side of it, because cautery by medicine burns, for the fire is simple, and its action goes only to the member which is cauterized, and not at all to the other members that are joined to it, but only to a little harm.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	But the action of medicine burning comes to that person in the members which are not yet affected, and it causes heavy pain to come into the member with the difficult cure and heavy danger.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	But the fire, by its sublimity and goodness of substance, does not do this but rather surpasses it. We already know this from experience and from the length of time we have studied the art in search of the truth of the causes; and thus I excuse you from the length of the discourse. And if it were not so, that it is not suitable to the free mind in this pause, I shall conceal my secret about the fire, and the quality of its operation on the body, and how it expels the diseases, which has been demonstrated philosophically, and will be sharpened in your cases.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	They know, sons, that they do not agree with time in which it is convenient to perform cauterization and pause the best time of spring.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	I say that cauterization is convenient in all times, because the damage caused by time is absorbed in the youth of this thing which is brought by cauterization, and especially if it's for painful or necessary pains, strong and intense, which do not tolerate delay so that they are feared by those who bring maliciousness, which is more than small damage entering through time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And this is not for your health, or sons, because this does not estimate only the popular crowd and foolish doctors, therefore it's that with that illness which is cured by cauterization, not always returns, and they pause the consequence.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	The cause is not so that they would take away their health by this, because cauterization is only in the place of medicine which alters the complexity and dries out the humidity, which are the causes for bringing pains.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	But still, cauterization is unnecessary over medicine by the will of its value and virtue of its operation and greatness of its lord.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	It is possible that the illness may return in some hour of time, depending on the complexity of the sickness and the location of the illness, and its virtue, and so that it is prepared in the body of him with the addition of those superfluities in him, and so that it is conveyed to him in his acquisition of foods and appearances of such causes; but if the illness in which cauterization is applied is a subtle illness in a few superfluous parts and humidities, like cauterization for tooth pain and its similarity to it, then perhaps in him will not return that pain, but so this is done in points.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	And may the common saying be that cauterization is the last resort of medicine, and it is said that not through this does one understand in him, because those who grow believe that it is no cure that profits from medicine or from another cause, but rather cauterization.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	And the cause is contrary to this; and I understand that cauterization is the last resort of medicine only when one administers the various methods of cure for certain illnesses, and those medicines do not benefit, and so at the end of the cause one administers cauterization, and profits by it as well.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	It is commonly known that cautery is the last resort of medicine, according to my understanding of the popular and conventional knowledge of foolish doctors.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	They said that cautery from the sea is better than cautery from iron, and they did not say so because of the superiority of its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	They said that the location of cautery does not matter, because it is not absolutely true, for they have applied it to other places besides the ear and found it effective in those cases, except when they apply it to the foot, where it is better with iron. Nevertheless, when you make cautery by heat from gold, it's not your intention, because it depends on the quantity you want to achieve according to the rust of the gold, and preparing to receive pressure; and if you touch it to the ignition, the gold melts into the fire, and some thin slices are placed in the fire so that the artisan can take hold of it.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And for this reason, cautery from iron is made by applying it more lightly and then more heavily in the direction of operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	I have opened this chapter on cautery according to the chapters, and I have ordered those of the foot chapter in order that they may relieve the person who is suffering from it.
De cauteri de dolor de cap per frigiditat e humiditat.	On the cautery for headache due to cold and humidity.
Le capitol primier.	The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cautery will alleviate the cold and humidity which are the root cause of an accident injury from which there are two causes, namely, soda ( possibly referring to a type of water or a medicinal substance) and multiple types of traumatic flow, known as "corissa", that flow from the head to the extremities of the feet and ears, and also multiple sleeplessness, toothache, ear pain, and gout, and universally all sorts of illness that comes from coldness, just like paralysis, sodomia, and apoplexy, and similar to those illnesses.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this cautery is as follows: first, it commands the patient with illness to evacuate themselves from their room, taking only laxative medicine to the head, for three or four nights, according to what the virtue of the illness and the age and custom of the person demand.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	Appoint someone to shave their head with a razor, and place your hand on top of the shaved area over a broken board and have them put their hands down on their feet.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	Place your palm over the area where you have placed your fingers on the nose between their cheeks.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	But as I mentioned earlier about that middle location it has been affected, mark that location carefully, and apply the olive wood cauterization of which this is the form:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	Place it on the affected location carefully, in a manner that descends, so that your hand is constricted little by little, and you rotate it.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	Lift your hand slightly and examine the location, and if you see already some amount of bone exposed, just as much as the thickness of the error grain, then elevate your hand, and if not, return to that instrument, with another one, until it cools down so that what I told you about this becomes visible.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	Appoint to take a small amount of salt and dissolve it on the location, and let it lie for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	Place your hand over the wound in the beginning of the border, and press it so that the scar of the fire may be destroyed.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	Apply the wound with a gentle tetrapharmaceutical medicine until it heals.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	It is said that when the plague remains for a while, it is better to apply a warm balm on the arm, because it is more beneficial and rejuvenating.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	They say that the tendon should be cauterized within the bone, and held with a cautery until the bone is fully hardened.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And then let it be that the bone becomes hardened with this, and let it be cured.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	They say that the cautery should penetrate to the deeper part, until it presses against the bone strongly in the direction of the bone, and this is the method of alleviating pain.
E estiman de aquel loc expiran la vapors del cap.	They believe that from that place the vapors of the head expire.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	Let it be kept open for a long time, and apply treatment until the wound is consolidated.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	Joint pain is caused by cold humors that infiltrate each part of the body, and when pain occurs in the feet, it is customarily called gout by doctors.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	The first line means: And the kind of cauterizing that is primarily safe and better for me, and I have heard about it from that person, and I know that work is good for my health.
Capitol segon.	According to the custom of doctors,
Del cauteri del cap.	of the scalp cauterizing.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When chronic and prolonged pain occurs in the head, and this condition is prolonged in the patient's illness, using various remedies such as gerrants, cochias, capipurges, emplaustres, guatz, cadels, guailans, and semblantz, and mainly when it has been cauterized once but does not produce any relief from those causes, then it is considered whether the head of the illness is one of strong creation in its nature; and if not a great pain and disturbance is felt, then another cautery is done on that which is used a little less.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And it is appropriate to cauterize that one over the eyebrow of his head with a cautery inside where the tendon is split.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	The tendon is cut open and its surface exposed to bone, up to the quantity that we have recounted, and it is cauterized with a cautery in the back part of the head, at the place called vas, — which is that place where the windpipe is placed.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And alleviate your hand in this way, and do not discover the bone, because the disease is met with great pain different from all other pains of the head.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	I direct this cautery in its place, because it is more subtle for the corns of the head and the occiput are less painful than those that have a cautery made at the middle of the head.
Capitol ters.	Excellent.
De cauterisacio de emigranea no-antiqua.	On the cautery for non- ancient emigration.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When the head begins to feel pain or is swollen, or some medicine is applied to the head that calms it down, and another cure is administered, which I have described in previous writings on illnesses; and if not all of this proves helpful, then the cautery is applied in two ways: either with sharp medication that burns, or with iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	But cautery with burning medicine is that you take a dough of ash, and scrape off the edges of his extremities from both heads.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	And place an incision at the site of pain in the temple with a sharp lance inserted so that it may be made a fixed point there under the cord, so that it is hidden.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	And cover it strongly with a stoppage to prevent downward constriction, and soften it by the space of three hours; then cut off and treat the limb, and place the wound into two or three days, and cover it with a cloth soaked in water to make the site firm.
E aprop cura aquel am enguent entro que sia sanat.	And cure that one by applying an ointment while healing.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you wish, do this with some medicines that I have written down in the treatise on combustible medicines.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	But cauterization is done by iron according to this manner: fire for cauterizing of which this is the form:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	It is called calix calibis, where the head of it is in the shape of a cross, with some curvature, and in the middle part there is a small eminence.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	And place your hand over that site of pain, and hold back your hand — for so that the arrow may not be burnt which is left — and slowly turn the small iron at a slow pace.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	If the quantity of him that is suitable for the preparation of the cord (or ligature) does not exceed half the size of him, and you lift your hand to prevent the artery from being cut which lies there, in order not to come a flow of blood.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	And apply a poultice on the wound in water of salt and pause that thereon for three days, and place a poultice muleta in border, and apply an ointment in the groin until it is cured.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	If you see, cauterize the extremity of the nail according to cautery, and guard yourself from the incision of the artery in this particular place not ancient.
Capitol quart.	Chapter Fourth.
De cauterizacio d’emigranea antiqua.	On the cauterization of an ancient wound.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you cure an old wound with water as has been said about the remedy preceding it, and as has been said in the divisions of diseases, and do not apply the remedy, except when the illness does not reach that which they have said of the first cautery by medicine or by the cautery on fire, then cover yourself so that you know to perform the nail cautery until it is whitened, because thus you signify about the place of pain along the line of length from which half of the said thing is, or what; and lay your hand over one side and stretch that over until you prick the artery and pass into the bone.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	The text means: However it is necessary for you to guard the continuity of the jawbone, which is delicate from chewing, and that the skin does not become inflamed and the nerves which are affected by this, and that there should be no spasm.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	If it is about the custody and caution of bleeding from a constricted artery, which is near the head, where fear is present, especially in that person who ignores this and does not know what he does and is not skilled, then let the operation be done slowly at first.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	And I have found again in this book the treatment for bleeding from an arrow, according to my manner.
