Ayssi comensan las paraulas de Albucasim .	 This appears to be a statement that begins with "Thus begin the words of Al-Bukhari.
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	 "Then place that [cautery] on the marked spot with a tentacle, in such a way that it descends, and with which you compress little by little with your hand, and then turn it.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	 "Then slightly lift your hand and look at the spot, and if you see any amount of bone exposed, even as small as a grain of sand, then raise your hand. If not, return your hand with that iron, or another one, until the bone is seen.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	 "Then take a little salt and dissolve it in water over the spot, and leave it there for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	 "Then place a cloth soaked in vinegar over the burned spot and leave it there until the scar of the fire is destroyed.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	 "Then treat the spot with Tetrapharmacon ointment until it is healed.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	 "And they say that while the wound remains open, the better for the arm, because it is better and more beneficial.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	 And some of them say that the vein should be cauterized inside the bone, and the cautery should be held until a part of the bone's appearance changes.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	 And then scrape away what is attached to the bone, and then let it be healed.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	 And others say that with the cautery one should reach to the rear, until it presses strongly on the bone, and breaks it, and this is the method of small incision.
E estiman de aquel loc expiran la vapors del cap.	 And they believe that from that place, the vapors of the head are expelled.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	 And the wound should be kept open for a long time, and then it should be healed until it is solidified.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	 But I have not seen these two species of cautery for all things, only in some men according to the way of fear; and let that be, in my opinion, better is with health than without it, because the head is relieved by dissolution of its continuity thus as we have shown in the other members, especially when the patient's head is of a frail nature.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	 And the first species of cautery is safer and better in my opinion; and with it and with that work, with health.
Capitol segon.	 Chapter two.
Del cauteri del cap.	 "About the use of cautery on the head.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	 "When there is a chronic and prolonged pain in the entire head of the patient, and they have used cupping glasses, leeches, head purges, plasters, bandages, helmets, compresses, and similar treatments, especially if they have already been cauterized with a cautery that causes blisters but does not benefit them, then consider whether the patient's head is of strong constitution by nature; if it is not fragile and there is a large amount of heat, then cauterize again with another cautery slightly below the first one.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	 "Then cauterize that area on the crown of their head with a cautery until the membrane is broken.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	 "Incise the membrane and expose the bone to the extent that we have mentioned, and then cauterize with a cautery in the back part of the head in the place called 'vas'—and that is the location where a cupping glass is applied.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	 "And be careful with this, and do not expose the bone, because the patient finds great pain from this, different from the pain of all other head cauteries.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	 "And I say this because the cautery used for the crown of the head and the occiput should be finer than the one used for the middle part of the head; and this is its form.
Capitol ters.	 "Ters" is likely derived from the Latin "tersus," meaning clean or pure. So, "Capitol ters" would translate to "Clean capitol" or "Pure capitol." However, without more context, it's difficult to determine the exact meaning in this specific text.
De cauterisacio de emigranea no-antiqua.	 This sentence appears to be discussing an old treatment for headaches or migraines using a process called "cauterization." A literal translation could be:
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	 When pain occurs in the area of the head or if there is persistent pain within the eye, it should be evacuated with purgative medicines for the head, and another treatment should be administered that I have mentioned in the sections on illnesses; and if this does not help, then cauterization is done in two ways: either by cauterizing with a sharp instrument or with iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	 Cauterization with a burning medicine is performed by taking a piece of wool, cleaning it and tying off both ends.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	 Then you should make an incision in the painful area of the temple with a sharp needle until it is deeply placed under the skin, so that it is hidden.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	 Then press on it with a compress to increase the pressure, and leave it for the space of three hours; then remove it and extract the wool, and let the wound bleed for two or three days, and then place a moist cloth over it until the area becomes soft.
E aprop cura aquel am enguent entro que sia sanat.	 And then treat it with an ointment until it is healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	 Or, if you prefer, do this with some burning medicines that I have written about in the tenth treatise on burning medicines.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	 Certainly! Let's break down and translate this sentence into English step-by-step.
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	 Here's a line-by-line translation of the provided sentence:
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	 The text appears to describe a process involving caution and care when dealing with pain or a wound. Here's the line-by-line translation:
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	 And if the quantity of him that is tied by the rope is such that it reaches up to half of his body, then raise your hand to ensure that the artery below is not tied, so that blood flow is not stopped.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	 And then apply a clean cloth in salt water and place it on the wound, and let it sit for three days; then replace the cloth with a fresh one and continue treating with ointment until it is healed.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	 And if you need to, cauterize with the tip of the scalpel as you would with a cautery, and be careful not to cut an artery in this specific area, especially an old one.
Capitol quart.	 Chapter Four.
De cauterizacio d’emigranea antiqua.	 On the Cauterization of Ancient Migraine.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	 When you treat migraine with the methods mentioned in the previous treatment and in the classification of diseases, and if the treatment does not work, and sometimes due to the severity of the disease, what we said about the first cautery with medicine or the cautery with fire is not enough, then you should heat the scalpel until it is red-hot. Mark the area of pain with a line as long as the middle finger, or whichever finger fits best; and place your hand once and press firmly to ensure that you do not cut an artery and that you reach the bone.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	 Certainly! Let's translate the sentence:
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	 And if it concerns the care and caution regarding bleeding from an artery that has been cut, because there is fear in cutting it, especially for those who do not know what to do and are not knowledgeable or experienced; and leave the operation to someone skilled at the beginning.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	 And I come with a reminder of the treatment for bleeding from an arrow wound according to its manner, in its section of this book.
