Ayssi comensan las paraulas de Albucasim .	 "Thus begin the words of Avicenna.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	 And use the best way through the grace of God to obtain health and praiseworthy success, and leave behind terrible diseases that are difficult to heal, and keep your weapons away from what makes you fearful, so that confidence in your faith and in your name does not fail you; for it is more fitting to your glory, both now in this world and later to your sanctity.
Gualia ja diyssec en alcunas sieuas monicios:	 Galen has already discussed this in some of his lectures:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	 "Do not treat evil patients, lest you be called evil doctors.
E yeu ja he devesit aquest libre segontz tres capitols.	 And I have already divided this book into three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	  Here begins the division of the book, and first of the first part.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	 The first chapter is ordered about the head and the forms of instruments and the iron points of the cauteries, and what is necessary for the operation.
La divisio de la segonda partida.	 The division of the second part.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	 The second chapter is about incisions and perforations, and cups (ventouses), and wounds, and the extraction of arrows and similar things; all are arranged and ordered according to the forms of the instruments.
Divisio de la tersa partida.	 Division of the third part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	 The third chapter is about restoration and dislocation, and the treatment of twists and similar things; this chapter is ordered concerning the head from top to bottom, and the forms of the instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	 About cauterization with fire and sharp medicine and a reminder of the operation.
Am aquel comensa le tractat de tot le libre.	 With this begins the treatise of the entire book.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	 I wish to speak about the qualities of the assistants for this cauterization and their drawbacks, and in which circumstances cautery should be avoided.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	 Therefore, I say that the discourse on the quality of the assistant for cauterization and their drawbacks is a long and complex discourse, subtle in its knowledge and hidden in secrecy; and many wise men have spoken about it, and they have disagreed among themselves, and for me it suffices to touch upon some of their discourses, lest this become too lengthy. ︎
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	 And so I say that you should apply cautery universally to any and all ailments, whether they have material substance or not, except for two ailments which are immaterial conditions.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	 For the dry and material condition, it is best to refrain from using cautery; because some say that cautery is beneficial for such a condition, while others argue against it, claiming that cautery is not suitable for an illness caused by heat and dryness, as the nature of fire is hot and dry. Therefore, it is appropriate to treat a hot and dry illness with cold and moist treatment.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	 And I disagree with those who say the opposite, that cautery is beneficial for all hot and dry illnesses found in human bodies. For when you compare the human body and its humidity to the condition of fire, you will find the human body cold.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	 And I say by the reasoning above that experience has already revealed this to me several times.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	 However, it is not necessary to go over what has already been thoroughly examined and practiced in the chapter on cautery by previous experience. One who knows the diversity of human conditions, the nature of illnesses within them, their causes, symptoms, and duration can understand this.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	 In the other conditions, do not be afraid, especially in cases of moist and cold diseases, for all doctors have agreed on this matter, and there is no disagreement about using cautery in these cases.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	 And know, children, that the secret of treatment by fire cautery and its goodness have been proven by using medicinal cautery, for fire is simple and its action only affects the member on which it is applied and does not harm the other members connected to it except slightly.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	 But the action of medicinal cautery reaches those members from which it is distant, and it quickly brings healing to the difficult-to-cure diseased member and quickly heals it.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	 But the fire, due to its superiority and the goodness of its substance, does only this: it causes superfluous [things] to leave. And we know this by experience and by the long service of studying the art about the truth of the causes; and for this reason I am excused from the length of the speech. And if it were not that it is not read in my book, here I would have hidden a secret with fire, and the quality of its operation in the bodies and its expulsion by which it expels diseases, demonstrated philosophically, which would be sharpened in your minds.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	 And know, children, that they disagree about the time in which it is suitable to perform cautery, and they consider springtime to be the best time for this.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	 And I say that cautery is suitable at all times, because the damage caused by accidental timing is overcome by the benefit of what can be achieved with cautery, and especially if the cautery is for painful or necessary pains, strong inflammations, and fistulas, which do not tolerate delay, lest something worse happens.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	 This does not matter in your opinion, or, children, only the common people and foolish doctors think this way, since with that illness which is healed by cautery there is always a recurrence, and they consider that consequence.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	 And the cause is not at all as they think because of this, since cautery is only used in places where medicine cannot reach and it dries up the humors which are the cause of the pain.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	 But nevertheless, cautery surpasses medicine in terms of swiftness and effectiveness of its operation and the great skill of its practitioner.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	 And it is possible that the illness may return at some point in time, depending on the patient's constitution, the location of the illness, and the practitioner's skill, as well as what has been prepared in the patient's body regarding an accumulation of superfluidities, and what has been received by the patient through his diet and similar causes. However, if the illness for which cautery is administered is a subtle illness with few superfluities and humors, such as cautery for toothache and similar cases, it is possible that the pain may not return in that area. But this is done only in small areas.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	 And it is commonly said that cautery is the last resort of medicine, and this statement is true, for I do not consider anything else to be effective with medicine or any other cause before cautery.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	 And the reason is contrary to that; and the intention that cautery is the last resort of medicine is only when the methods of treatment in certain diseases are administered, and those medicines do not succeed, and then at the end of the cause one administers cautery, and it proves effective for that.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	 Therefore, from this we understand that cautery is the last resort of medicine, not according to the intention which I believe the common people and many foolish doctors hold.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	 And the ancients said that cautery with gold is better than cautery with iron, and they did not say this except for the similarity of gold and the sublimity of its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	 They said that the site of cautery does not produce a scar, although this is not absolutely true, because I have seen and found that it does so only in certain bodies without others, and cautery with gold is good and better than with iron as they said; however, when you make cautery with fire and with gold, it is not declared to you, for it ignites according to the quantity that you want by the friction of the gold, and because it prepares to receive a blow; and if you place the fire on it, the gold melts from the heat, and some leaves fall into the fire due to the artifice of that.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	 And for this, cautery with an iron must be done very gently and precisely in order to perform the operation correctly.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	 And I have already arranged this chapter on cautery according to the chapters, and I have arranged those from the head to the feet, so that I may clearly show the questioner what he wants.
De cauteri de dolor de cap per frigiditat e humiditat.	 Of the cautery for headache caused by cold and dampness.
Le capitol primier.	 The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	 This cauterization is used for cold and dampness, which are the causes of many diseases, such as headaches, excessive sweating, known as profuse sweating from the head to the temples and behind the ears, dizziness, toothache, sore throat, and generally all illnesses caused by cold, including paralysis, swelling, stroke, and similar conditions in those diseases.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	 The method of this cauterization is as follows: first, instruct the patient to use a purgative medicine to cleanse the head for three or four nights, according to the strength of the patient, their age, and their habit.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	 And then instruct them to shave their head with a razor, and then make that person sit between your hands on a low bench, and let them place their hands on their feet.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	 And now, place the palm of your hand near the bridge of his nose between his eyebrows.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	 But once your hand has reached the middle of his forehead, mark that spot with a stylus, and then ignite the cautery olive, which looks like this:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	 And then place it on the marked spot, in such a way that it descends, with your hand holding it tightly and turning it slowly.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	 And then slightly lift your hand and look at the spot, and if you see any part of the bone exposed, even as small as a grain of wheat, then lift your hand. If not, place your hand back with that iron, or another one, if it has become cold, until you see what I have told you.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	 And then take a little salt and dissolve it on the spot and let it sit for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	 And then place a soaked cloth on him, and leave it there until the scar of the burn is destroyed.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	 And then treat the spot with Tetrapharmakon ointment until it is healed.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	 And they also say that as long as the wound remains open, the better it is for the arm, because it is better and more beneficial.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	 And some of them said that the cord should be cauterized to the bone, and the cautery should be held until a part of the bone's appearance changes.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	 And then it should be scraped away what is attached to the bone, and then it should be treated.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	 And others said that with the cautery it should reach to the depth, until it presses strongly on the bone, until the bone gives way, and this is the method of making a small incision.
E estiman de aquel loc expiran la vapors del cap.	 And they believed that from that place the vapors of the head are expelled.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	 And the wound should be kept open for a long time, and then it should be treated until it is healed.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	 But in my experience, I have not seen these two types of cautery done at all, except in some men out of fear; and if that is the case, it is better with health as it is, because the head is weakened by the loss of continuity, just as we have testified in other members, and especially when the patient's head is of a weak nature.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	 And the first type of cautery is safer and better in my opinion; and with that, one avoids and works for health.
Capitol segon.	 Chapter Two
Del cauteri del cap.	 "About the cautery of the head.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	 "When the whole head suffers from chronic and prolonged pain in the patient, and uses of garlands, combs, head-purges, plasters, bandages, hairnets, girdles, and similar remedies have been attempted, especially if it has already been cauterized with a cautery that is not suitable or does not benefit the patient, then consider whether the patient's head is of strong constitution by nature; and if it is not fragile and finds great coldness, then cauterize that part with another cautery, leaving that one aside for a while.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	 "Then cauterize that [part of the head] with a cautery until the sinew is divided.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	 "After cutting the sinew and exposing the bone to the extent we have described, cauterize that [part] with a cautery at the back of the head in the place called 'vas' – and this is the location where cupping is done.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	 "And be careful in this, and do not expose the bone, for the patient will find a very different pain from the pain of all other head cauteries.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	 "And I say this because the cautery that is used for the horns of the head and the occiput should be finer than the one used for the middle part of the head; and this is its form.
Capitol ters.	 Capítulo tercero. (Chapter three)
De cauterisacio de emigranea no-antiqua.	 About the cauterization of new migraines.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	 When pain occurs at the top of the head or when the pain extends to the eyes, evacuate with cleansing medications and administer other treatments as I have mentioned in the discussions on illnesses; if that does not help, then cauterization is performed in two ways: either by cauterizing with a sharp burning medicine or with iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	 However, cauterizing with a burning medicine is done by taking a piece of wool, scraping it and tying off the ends from both sides.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	 Then immediately cut the painful area on the temple with a sharp needle until it is deeply buried under the skin, so that it remains hidden.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	 Then press on it with a bandage to stop the bleeding and leave it for three hours; then remove it and pull out the wool, and let the wound remain open for two or three days, and then place a cloth soaked in wine vinegar over it until the area heals.
E aprop cura aquel am enguent entro que sia sanat.	 Then continue treating it with ointment until it is healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	 And if you wish, do this with some burning medicines which I have written about in the twelfth treatise on burning medicines.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	 And for the cauterization with iron according to this method, use fire for the cautery of which this is the form:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	 and it is called a nailhead, because its tip is shaped like the head of a nail, which has some curvature, and in the middle of it there is a small prominence.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	 Then place it over the area of pain and hold your hand steady so that the iron is not shaken and rotate the iron little by little with speed.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	 And if the quantity that is shaken by the speed of the cord is such that most of it is shaken, lift your hand to ensure that the iron below is not shaken so that there is no flow of blood.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	 Then soak a cloth in salt water and place it over the area, leaving it there for three days; then place a clean cloth with an edge, and then treat with ointment until it is healed.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	 And if you want to, cauterize with the tip of the knife according to this method, and be careful not to cut an artery in this particular newness.
Capitol quart.	 Chapter Four.
De cauterizacio d’emigranea antiqua.	 On the cauterization of old migraine.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	 When you are treating migraines with the water we mentioned in the previous treatment, and as stated in the divisions of illnesses, if the treatment is not effective and sometimes due to the severity of the illness, the first cautery with medicine or fire does not suffice, then it is necessary for you to heat the surgical knife until it is white-hot. This signifies on the painful area with a line as long as your little finger; and pause your hand for one moment and press it until you reach the vein and penetrate into the bone.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	 However, it is necessary for you to be cautious about the continuation of the jawbone, which is greatly affected by chewing, and that the muscle connected to it is not damaged and the nerve connected to it does not cause pain, and that a spasm does not occur.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	 And if it concerns the caution and care of blood flow from the artery that is cut, for in its cutting there is danger, and especially to those who do not know what they are doing and are not skilled or experienced; leave the operation at this point.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	 And I come to remind you of the regulation of blood flow from the vein according to its method, in its place within this book.
