Ayssi comensan las paraulas de Albucasim .	 Here begins the words of Al-Bukhari.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	 And it is commonly said that the cautery is the last resort in medicine, and this is a correct statement, for I do not understand why they apply it, since I believe it is not a cure that benefits either with medicine or with any other means except cautery.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	 And the reason is contrary to that; and the belief that cautery is the last resort in medicine only applies when one administers various methods of treatment for certain illnesses, and those medicines do not confer benefits, and therefore at the end of the process one administers cautery, and it is beneficial for that.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	 And from this one can see that cautery is the last resort in medicine, not according to the opinion that I understand the common people and too many foolish doctors hold.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	 And the ancients said that cautery with gold is better than cautery with iron, and they did not say this except for the equality of gold and the superiority of its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	 And they said that the place of cautery does not burn, although this is not absolutely true, for I have already proven and found that it does so only in some bodies without the others, and cautery with that is good and better than with iron as well; however when you make a cautery with fire with gold, it is not declared to you, for it ignites according to the quantity that you want by the roughness of the gold, and because it prepares to receive friction. And if you place on it a flame, the gold melts from the fire, and some flakes fall into the fire due to the occupation of that.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	 And for that reason, you should make the cautery with iron in a way that is as gentle and precise as possible for the operation to proceed correctly.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	 And I have already arranged this chapter on cautery according to chapters, and I have ordered those from the head to the feet, so that I can provide what is needed for him.
De cauteri de dolor de cap per frigiditat e humiditat.	 On the cautery of head pain caused by cold and moisture.
Le capitol primier.	 The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	 This cauterization is effective against moisture and cold, which are two causes of the said accident, being the cause of soda and many rheumatic fluxes called rhinitis, which flows from the head to the area around the eyes and ears, much sleepiness, toothache and sore throat, and universally for all diseases that come from cold, such as paralysis, soda and apoplexy, and similar conditions in those diseases.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	 The way to perform this cauterization is as follows: first, instruct the patient to be evacuated with a purgative that cleanses the head for three or four nights, depending on the strength of the patient and their age and habit.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	 And then instruct him to shave his head with a razor, and then make that seated patient sit between your hands on a bench and place his feet on it.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	 And then place the palm of your hand gently on his nose between his eyes.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	 But once your finger reaches the middle of the nose, mark that spot with ink, and then use a cautery tool shaped like an olive leaf.
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	 Then place that [cautery tool] on the marked spot and press down gently, gradually increasing pressure with your other hand, and rotate it.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	 Then gently lift your hand and look at the spot. If you see any bone exposed, even as small as a grain of sand, then stop and lift your hand. If not, continue with that iron, or another one if it has become cold, until you see the bone as I have told you.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	 Then take a little salt and dissolve it in water, then apply it to the spot for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	 Then place a cloth soaked in vinegar on it and leave it there until the scar of the burn is destroyed.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	 Then treat the spot with Tetrapharmacum ointment until it is healed.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	 And they also say that the longer the wound remains open, the better the arm will be healed, because it is more beneficial and helpful.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	 And some of them say that the tendon should be cauterized within the bone, and the cautery should be held in place until a portion of the bone's substance is burnt off.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	 And then it should be scraped and cleaned of anything attached to the bone, and then it should be treated.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	 And others say that with the cautery one should reach the very back, until it presses strongly into the bone, causing it to break, and this is the method of small apoplexy:
E estiman de aquel loc expiran la vapors del cap.	 And they believe that from that place, the vapors of the head are expelled.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	 And the wound should be kept open for a long time, and then it should be treated until it is healed.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	 But I have not seen these two types of cautery in all cases, only in some men according to the way of fear; and let him be, in my opinion, better with health than without it, for the head is weakened by the breaking of its continuity, just as we have testified in other members, and especially when the patient's head is of a cold nature.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	 And the first type of cautery, in my opinion, is safer and better; and with this I end and with this I work for health.
Capitol segon.	 "Second Chapter.
Del cauteri del cap.	 "About Cautery of the Head
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	 "When the entire head experiences chronic and prolonged pain, and the patient is using helmets, compresses, head purges, plasters, cups, bandages, and similar remedies, especially if he has already been cauterized with a cautery that causes scarring and does not benefit him at all from any of these causes, then consider whether the patient's head is naturally strong in its constitution; and it is not delicate but finds much cold, then that one should be cauterized with another cautery beside that one a little.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	 "Then cauterize him on the crown of his head with a cautery until the membrane is opened.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	 "Incise the membrane and expose as much bone as we mentioned earlier, then cauterize him with a cautery on the back of the head in the place called 'vas' — and this is the location where a cupping glass is placed.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	 "And be careful with this, and do not expose the bone, for the patient will find great pain from this, different from the pain of all other head cauteries.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	 "And I say this about the location of this cautery, because the cautery used for the crown of the head and the occiput should be more delicate than the one used for the middle of the head; and this is how it should be done.
Capitol ters.	 Based on the context provided and similarities with Romance languages, "Capitol ters" likely translates to:
De cauterisacio de emigranea no-antiqua.	 Of the recent cautery for migraines.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	 When the pain in the head is severe, or it extends to the eyes, evacuate the head with cleansing medicines and administer the other treatment that I have mentioned in the discussions of illnesses; if this does not help, then cautery on him is done in two ways: either cauterization with a sharp burning medicine, or with iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	 But cauterization with a burning medicine is done by taking a woolen cloth and cleaning it well and tying off its ends on both sides.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	 Then you must cut the painful area in the temple with a sharp lancet, until it reaches the bone, so that it is hidden underneath.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	 Then press strongly on it with a stopper to increase the pressure, and leave it for the space of three hours; then remove it and take out the wool, and leave the wound open for two or three days, and then place over it a cloth soaked in wine vinegar until the area becomes warm.
E aprop cura aquel am enguent entro que sia sanat.	 Then treat it with ointment until it is healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	 And if you wish, do this with some burning medicines which I have written in the treatise of twelve burning medicines.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	 But in cauterization with iron according to this manner: here is how it's done with the cautery, and this is its form.
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	 and it is called a nail-like hook, because the head of it is like a small flower in which there is some curvature, and in the middle part of it there is a small projection.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	 Then place [the cautery] over the area of pain, and hold your hand—so that the bow does not get burned, which is below—and rotate the iron little by little with speed.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	 And if the quantity [of skin] burned by the tip of the cautery is as much as half of it, lift your hand so that the blood vessel below is not burned, to prevent bleeding from occurring.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	 And then soak a cloth in salt water and place it on the area, and leave it for three days; and then place a cloth with padding, and then treat with ointment until it is healed.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	 And if you wish, cauterize with the blade of the scalpel according to this manner, and be careful not to cut the artery in this area especially.
Capitol quart.	 Chapter Four.
De cauterizacio d’emigranea antiqua.	 On the Cauterization of an Old Wound.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	 When you treat migraine with the water we have mentioned in the previous treatment, and as we have mentioned in the divisions of illnesses, and if the treatment does not work, sometimes due to the illness not responding to what we have said about the first cautery with medicine or the cautery with fire, then you must heat the scalpel cautery until it is red-hot. This indicates the place of pain along a line equal to the length of the majority finger, or whichever one; and place your hand once and press firmly until you reach the artery and it penetrates into the bone.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	 However, it is necessary for you to be careful of the continuation of the jawbone, which becomes thicker due to chewing, and that the ligament is not attached there and the nerves that cause pain in that area do not become spastic.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	 And if it is concerning the safety and caution of blood flow from the artery that is cut, because in its cutting there is fear, especially for those who do not know what they are doing and are not trained or experienced; leave the operation to one who has experience at the beginning.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	 And I come with the reminder of the management of bleeding from the artery according to its own manner in its place in this book.
