Ayssi comensan las paraulas de Albucasim .	 Here begins the words of Al-Bukhari.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	 Sure, I'd be happy to help translate this medieval medical text into English. Here it is line by line:
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	 And know, sons, that they disagree about the time when it is appropriate to make cautery and consider the best time to be in spring.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	 And I say that cautery is appropriate at all times because the harm caused by accidental circumstances is diminished by the benefit obtained from cautery, and especially if the cautery is for necessary pains or serious and persistent diseases which do not tolerate delay due to fear of worse outcomes, which is greater than a slight harm caused by the timing.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	 And do not let this concern you, my sons, for only the common people and foolish doctors think this way, as it is understood that the ailment which is healed by cautery does not recur at all times, and they consider this consequence.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	 And the reason is not as they think, because cautery is used only in cases where medicine fails to change the complexion and dry out the humors that cause pain.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	 However, cautery exceeds medicine in its quickness of action and the power of its operation, as well as the skill of its practitioner.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	 And it is possible that the patient's illness may return at some point in time, depending on the patient's complexion and the location of their illness, as well as their strength, and what has been prepared in their body from an excess of fluids and what they have acquired in their diet and similar causes. However, if the illness for which cautery is administered is a subtle illness with few superfluities and humors, such as cautery for tooth pain and similar cases, it is possible that the pain will not return to them. But this is usually only done for minor ailments.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	 Here's the translation for your sentence:
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	 Based on the given text, here's my attempt at translating and interpreting the new sentence:
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	 And now from here, I understand that cautery is the last resort of medicine, not according to my own understanding, but according to the common belief and foolish practices of many doctors.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	 And the ancients said that cautery with gold is better than cautery with iron, and they said this only because of the properties and high quality of gold's substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	 And they said that the place of cautery does not become stiff, which is not entirely true, because I have proven and found that this happens in some bodies but not others. Cauterizing with gold is good and better than with iron, as they said; however, when you perform cautery with fire and gold, it is not clearly stated to you, because it depends on the amount of gold you want according to the roughness of the gold, and because it prepares to receive heat. And if you place a fire over it, the gold melts from the heat, and some sheets fall into the fire for the craftsman to catch due to his occupation with it.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	 And because of this, when performing cautery with iron, you should do so more lightly and precisely to ensure proper execution.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	 And I have already arranged this chapter on cautery in several chapters and ordered those from the head to the feet, so that the seeker may find what they want from it.
De cauteri de dolor de cap per frigiditat e humiditat.	 "About cauterizing head pain due to cold and dampness.
Le capitol primier.	 "The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	 "This cauterization treats the cold and dampness which are the two causes of these accidents, being a cause of sores and many flows, called rheum, from the head to the parts of the ears and the cheeks, and much sleepiness, and toothache and throat pain, and generally all illnesses that come from coldness, such as paralysis, sores, apoplexy, and similar in those illnesses.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	 "The way to perform this cauterization is as follows: first, instruct the patient to take a purgative medicine that cleanses the head, for three or four nights, depending on the strength of the patient, their age, and their usual habits.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	 "And then instruct them to shave their head with a razor, and then have that person sit between your hands on a low bench and place their feet on the ground.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	 "And then place the tip of your palm near the bridge of the nose, between their eyebrows.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	 "However, once your finger has reached the midpoint, mark that spot with an inkwell, and then ignite the cautery olive, which is of this form:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	 And then place that over the indicated area with a sheet in such a way that it descends, and with which the left hand is tightly squeezed little by little, and you turn that.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	 And then lightly lift your hand and look at the place, and if you see some part of the bone exposed, as much as a grain of barley, then raise your hand. If not, return your hand with that iron, or another similar one, until what I have told you is seen from the bone.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	 And then take a little salt and dissolve it in that place and let it sit for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	 And then place on the wound a cloth soaked in water and leave it there until the crust of the fire is destroyed.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	 And then treat the area with tetrapharmacon ointment until it is healed.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	 And they say that the longer the wound remains open, the better the arm heals, because it is better and more beneficial.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	 And some of them say that the tendon should be cauterized to the bone, and the cautery should be held until a piece of the shape of the bone is charred.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	 "And then it should be scraped off whatever is adjacent to the bone, and then it should be cauterized.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	 "And others say that with the cautery one should reach the bone's interior, pressing hard until it pierces the bone, and this is the method of small incision.
E estiman de aquel loc expiran la vapors del cap.	 "And it is believed that from that place, the vapors of the head are expelled.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	 "And the wound should be kept open for a long time, and then it should be treated until it is healed.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	 "But I have not seen these two types of cautery used on everyone, only on some people out of fear; and if you ask me, it is better to be alive with health than not, because the head is opened due to the discontinuity of it, just as we have shown in other members, especially when the patient's head is of a weak nature.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	 "And the first type of cautery is safer and better in my opinion; and from it one exits healthy and with this work done.
Capitol segon.	 Chapter two.
Del cauteri del cap.	 On cauterizing the head.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	 When there is chronic and prolonged pain throughout the head of the patient, and they have used cupping glasses, leeches, capillary purges, plasters, baths, cataplasms, poultices, and similar treatments, especially if they have already been cauterized with a cautery that does not benefit them at all from any of those causes, then consider whether the patient's head is of strong creation in its nature; and it is not weak and finds great cold, then that one should be cauterized again with another cautery below that one.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	 And then burn that part on the horn of his head with a pointed cautery until the skin breaks.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	 Incise the skin and expose the bone to the extent we have calculated, and cauterize that area with a pointed cautery at the back of the head in the place called 'vas', which is where bloodletting cups are placed.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	 And be careful with this, and do not expose the bone, because the patient experiences great pain from this that is different from the pain of all other cauteries on the head.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	 And I say that this cautery should be done in its place, because the cautery used for burning the horns of the head and the occiput should be finer than the one used for burning the middle of the head; and this is how it should be done.
Capitol ters.	 Chapter three.
De cauterisacio de emigranea no-antiqua.	 On the cautery for newly onset migraine.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	 When there is sudden pain in the head or when the pain spreads to the eye, it should be treated with purifying medications and the other treatments that I have mentioned for diseases; if this does not help, then cautery on the head can be done in two ways: either by burning with a sharp instrument or with a heated iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	 "However, cauterization with medicine is such that you should take a piece of wool and clean it thoroughly, then bind the ends of it on both sides.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	 "Then cut the painful area in the temple with a sharp lance until it reaches the bone, ensuring it is well concealed.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	 "Then strengthen it with a bandage to reduce the swelling, and leave it for three hours; then remove the bandage and apply wool, and let the wound be for two or three days, then place on it a cloth soaked in warm water until the area is soft.
E aprop cura aquel am enguent entro que sia sanat.	 "Then treat it with ointment until it is healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	 "And if you wish, do this with some of the medicines that I have written about in the twelve treatises on burning medicines.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	 "But cauterization with iron should be done in this manner: heat the iron for cautery, and this is its form:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	 "and it is called a 'nail head,' because its tip is shaped like a nail, with some curvature, and in the middle of it there is a small protrusion.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	 "Then place it on the painful area, and hold your hand — so that the archer's arm is not burnt — and rotate the iron slowly.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	 And if the amount of him that is tied by the end of the rope equals half of him, raise your hand to prevent the artery from being tied, so that there is no flow of blood.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	 And then immediately drench a cloth in salt water and place it on the wound, leaving it for three days; and then place a clean cloth with a border, and then treat with ointment until it is healed.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	 And if you see, cauterize with the tip of the scalpel as a cautery, and be careful not to cut an artery in this eminence, which is quite old.
Capitol quart.	 Chapter four.
De cauterizacio d’emigranea antiqua.	 On Cauterization of Old Eminences
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	 When you treat eminences with the water cure we have mentioned in the previous treatment, and according to what we have said in the divisions of diseases, and if the treatment is not effective, sometimes due to the disease that is not enough for him with what we have said about the first cautery with medicine or cautery with fire, then you should heat up the scalpel until it becomes white hot. This indicates the location of the pain with a line the length of which is half the width of the finger; whether that or not. Place your hand on it once and press firmly until you incise the artery and reach the bone.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	 Sure, here is the line-by-line translation of the provided text:
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	 And if it concerns the care and caution regarding blood flow from an artery that is about to burst, because in its bursting there is danger, especially for those who do not know what they are doing and are not skilled or experienced; leave the operation to someone more knowledgeable at first.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	 And I will recall the treatment of accidental blood flow from an artery according to its method, in its section of this book.
E si veses de aquesta malautia que no abaste aquest cauteri e veses le cors del malaute tollerable, cauteriza aquel en le mieg loc del cap ayssi cum havem recontat, e cura la plagua entro que sia sanada.	 And if the remedy of this disease is not sufficient with this cautery and the patient's body is tolerant, then cauterize him in the middle of the head as we have described, and care for the wound until it heals.
E si voys, aministra le cauteri le qual havem dit en le capitol de streccio de arceria am cauteri havent dos cotels, e es milhor cauterizacio aquesta e mays conferent.	 And if you want, administer the cautery that we mentioned in the chapter on constriction of an artery with two needles, and this is a better and more effective cauterization.
Capitol .v.	 Chapter 5
De cauterisacio de las dolors de aurelhas.	 On the Cauterization of Earaches
Quan en la aurelha ve dolor per freg e es curat am causas lacsativas e am l’autra curacio la qual he dita en la divisio, e no es remauguda la dolor, lahoras igneys le cauteri, e es aquest le qual ha nom puncta, del qual aquesta es la forma:	 When an earache occurs due to cold and is not cured by laxative treatments or other remedies mentioned in the division, then apply the cautery, specifically one called "puncture." Its form is as follows:
