Ayssi comensan las paraulas de Albucasim .	 "Thus begin the words of Avicenna.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	 And for that, my children, it is necessary for you to understand that the operation with the hand must be divided into two directions: one is an operation associated with health, and the other is a work with which there is danger in the greatest dispositions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	 And I have already explained this throughout this book in places where there is operation accompanied by error and fear; therefore it is necessary for you to guard against this and leave that, so that the leaves do not find a path to speak and dishonor you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	 Therefore, take up your weapons with diligence and under the protection of God, and treat your patients with happiness and firmness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	 And use the best way so that by the grace of God they may gain health and praiseworthy success, and leave behind terrible illnesses with difficult healing, and keep your weapons away from what makes you fearful, so that failure in your faith and in your name does not overcome you: for it is more lasting to your glory, both now in this world and forever after.
Gualia ja diyssec en alcunas sieuas monicios:	 And Gwalia has already discussed some of these issues:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	 "Do not treat evil illnesses, so that you may not be called evil doctors.
E yeu ja he devesit aquest libre segontz tres capitols.	 And I have already divided this book into three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	 The division of the book begins, and first is the primary section.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	 The first chapter is about the head and feet, including the forms of the instruments and the irons for cautery, and what is necessary for the operation.
La divisio de la segonda partida.	 The division of the second section.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	 The second chapter is about incision and puncture, and about cupping glasses, and about blisters, and about the extraction of arrows and similar things, all organized and arranged according to the forms of the instruments.
Divisio de la tersa partida.	 Division of the third section.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	 The third chapter is about restoration and dislocation, and about the treatment of fractures and similar conditions; it is organized by headings including the feet, and the forms of the instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	 About cautery with fire and sharp medicine, and a reminder about the operation.
Am aquel comensa le tractat de tot le libre.	 With this begins the treatise of the entire book.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	 It is necessary for me to say what the advantages and disadvantages of that cautery are, and in which conditions it should not be used.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	 Therefore, I say that the discourse on the advantages and disadvantages of cautery is a long and extensive discourse, subtle in its knowledge and secretly hidden; many wise men have spoken about it, and they disagreed with each other. As for me, a little of their discourses is sufficient for me, fearing prolixity. ?>
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	 "And therefore I say that you should make a cautery universally on the entire complexion, whether it has matter or not, with the exception of two complexions that are cold complexions without matter.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	 "In the cold and dry complexion with matter, it will be dried out; because some say that cautery is beneficial for that, while others say the opposite, that cautery is not suitable for an illness caused by quality and dryness, since the nature of fire is hot and dry, and it is unsuitable to treat a cold and dry illness with hot and dry [cautery], as the illness should be treated with its opposite.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	 "And I disagree with those who say the opposite, that cautery is beneficial in all cold and dry illnesses found in the bodies of men; for when you compare the body of a man and its humidity to the complexion of fire, you find the body of a man cold.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	 "And I say based on this reasoning that experience has shown me many times.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	 "However, it is not necessary to dwell on this matter, as it has already been proven and practiced in the chapter on cautery through previous exercises. One who is knowledgeable will understand the diversity of human complexions and the dispositions of their illnesses within them, as well as the causes and accidents of these illnesses and the duration of their effects.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	 In other ailments, do not be afraid, especially in cold and moist diseases, for all doctors agree on these matters and there is no disagreement regarding the use of cautery in treating them.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	 And know, children, that the secret of healing with fire and the goodness of it is also applied in medicinal burns through cautery, for fire is simple and its effect only reaches the member being cauterized and does not harm other members connected to it except minimally.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	 However, the effect of a medicinal burn spreads to neighboring members and quickly reaches the diseased member that is difficult to heal and easily cured.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	 But fire, due to its sublimity and the goodness of its substance, does not do this except in excess. And it is known to us by experiment and long study in this art concerning the truth of the causes; and for this reason I am excused from the length of this speech. And if it were not that it is not read in my book, here I would stop and reveal to you a secret with fire, and the quality of its operation in the body and its expulsion by which it expels diseases, demonstrated with philosophical reasoning, which would satisfy your desires.  />
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	 And know, children, that they disagree about the time in which it is appropriate to perform cautery and consider the best time to be spring.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	 And I say that cautery is appropriate at any time, because the harm caused by incidental factors is mitigated by the benefit of this treatment, and especially if the cautery is for necessary pains or strong fistulas, which cannot tolerate delay due to fear that more serious conditions may develop.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	 And do not let this weigh on your minds, my children, for only the common people and foolish doctors believe this. Thus, in the illness that is cured by cautery, there will always be a relapse, and they claim that as a consequence.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	 And the reason is not as they think, for cautery is only used in places where medicine alters the complexion and dries up the humidities that cause the pains.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	 However, cautery is preferred over medicine due to the intensity of its effectiveness and the power of its operation, as well as the greatness of its practitioner.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	 And it is possible that the illness may return at some point in time, depending on the constitution of the patient, the location of the illness, and the strength of the practitioner, as well as what has been prepared in the body of the patient from an accumulation of superfluities, and what has been acquired by him through his diet and similar causes; unless the illness in which cautery is administered is a subtle illness with few superfluities and humors, such as cautery on a tooth for pain and the like. In this case, it is possible that the pain will not return, but rather, it may occur in lesser degrees.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	 And the common saying is that cautery is the last resort in medicine, and this is a correct statement, because I believe it is not a cure that benefits with medicine or for any other reason except cautery.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	 And the cause is contrary to that; and the intention that cautery is the last resort in medicine applies only when the methods of treatment in certain illnesses fail, and those medicines do not help, and then at the end of the treatment one administers cautery, and it benefits for that.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	 And therefore it is concluded that cautery is the last resort in medicine, not according to the intention which I understand from the common people and too many foolish doctors.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	 And the ancients said that to cauterize with gold is better than to cauterize with iron, and they did not say this except for the quality of gold and the nobility of its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	 And they said that the place of cauterization does not break out in blisters, although this is not entirely true, for I have already proved and found that it happens only in some bodies but not others, and cauterizing with gold is good and better than with iron as they said; however, when you make a cautery with fire on gold, it is not clear to you, because the gold melts according to the amount you want due to the thinness of the gold, and because it prepares to receive blisters. And if you light a fire under it, the gold will melt from the heat, and some sheets may fall into the fire as the artisan can see from that occupation.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	 And for that, a cautery with an iron should be used as lightly and carefully as possible during the operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	 And I have already arranged this chapter on the cautery according to chapters, and I have arranged those from the head down to the feet, in order to make it easier for the inquirer to find what they want.
De cauteri de dolor de cap per frigiditat e humiditat.	 About cautery for headache caused by cold and moisture.
Le capitol primier.	 The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	 This cauterization counteracts the moisture and cold that cause the accident of which there are two causes: salt and an abundance of rheumatic flux, known as head cold, which flows from the head to the corners of the eyes and ears, causing much sleepiness, toothache and sore throat, and generally all illnesses that come from coldness, such as paralysis, salt and apoplexy, and similar conditions in those illnesses.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	 The manner of this cauterization is as follows: first, command the patient to be evacuated with a purgative medicine that purifies the head, for three or four nights, according to the strength of the patient and their age and habit.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	 And then order them to shave their head with a razor, and then make that person sit between your hands on a low bench, and have them place their feet on the ground.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	 "And then place the root of your palm near the bridge of his nose, between his eyebrows.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	 "But when you reach the midpoint of his body, mark that spot with a needle, and then heat up the olive-shaped cautery, whose shape is as follows:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	 "And then place that (cautery) on the marked spot, in such a way that it descends, while you gently squeeze your hand around it, and rotate it.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	 "And then lift your hand slightly and look at the spot, and if you see any portion of the bone revealed, even as small as a grain of barley, then lift your hand; but if not, return your hand with that iron, or with another one, if it has cooled down, until you see what I have told you.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	 "And then take a little salt and dissolve it in some water, then apply it to the spot for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	 "And then place upon him a linen cloth soaked in vinegar, and leave it on him until the crust of the fire is destroyed.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	 "And then treat the spot with tetrapharmacum ointment until it is healed.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	 And they say that while the wound remains open, it is better for the arm, because it is more beneficial and healing.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	 And some say that the tendon should be cauterized within the bone, and the cautery should be held in place until a part of the bone's appearance changes.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	 Then it should be shaved as close as possible to the bone, and then it should be treated.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	 And others say that with the cautery one should reach the end, pressing hard on the bone until it breaks, and this is the method of small alphabetization.
E estiman de aquel loc expiran la vapors del cap.	 And they believe that from that place the fumes of the head are expelled.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	 And the wound should be kept open for a long time, and then it should be treated until it is healed.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	 But I have not seen these two types of cauterization applied to everyone, only to some men due to fear; and if you ask me, it is better for the health when it exists, because the head is freed by a solution of continuity in the same way as we have shown in other members, especially when the patient's head is of a cold nature.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	 And the first type of cauterization is safer and better in my opinion, and it is from that one that health comes.
Capitol segon.	 Chapter two.
Del cauteri del cap.	 Of the cautery of the head.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	 When all the head experiences chronic and prolonged pain in the patient, and he is accustomed to using purgatives, clysters, and capipurges, as well as poultices, hot baths, helmets, and similar remedies, and especially if he has already been cauterized with a cautery that does not benefit him in any of these causes, then consider whether the patient's head is of strong constitution by nature; and it is not weak, and one finds a great deal of coldness, then he should cauterize with another cautery near that one a little.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	 Then cauterize that area on the crown of his head with a cautery until the scab is removed.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	 After the scab has been cut and removed, revealing an adequate amount of bone, cauterize that area with a cautery in the back part of the head, specifically in the location known as the "vas" — this is the place where a cupping glass is applied.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	 And be careful with this, and do not expose the bone, because the patient may find great pain from this, different from the pain of all other head cauteries.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	 And I say this cautery in its place, because the cautery with which you have cauterized the horns of the head and the occiput should be a finer cautery than that with which the middle part of the head has been cauterized; and this is its form.
Capitol ters.	 And I say this cautery in its place, because the cautery with which you have cauterized the horns of the head and the occiput should be a finer cautery than that with which the middle part of the head has been cauterized; and this is its form.
De cauterisacio de emigranea no-antiqua.	 On the cauterization of non-chronic migraine.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	 When there is a severe pain in the head or when the pain spreads to the eye, evacuate with purgative medicines and administer the other treatment that I have mentioned in the treatment of illnesses; if it does not improve, then cauterization can be done in two ways: either by cauterizing with a sharp burning instrument or with iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	 But cauterization with a burning instrument is done by taking an aloe leaf, cleaning it and tying off both ends of it.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	 And then incise the painful area on the temple with a blunt lance until it is in place and hidden under the hair.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	 And then press strongly on it with a bandage for constant compression, and leave it there for the space of three hours; and then remove it and take away the aloe, and let the wound be for two or three days, and then place a cotton swab soaked in vinegar on it until the area turns red.
E aprop cura aquel am enguent entro que sia sanat.	 And then care for him with ointment until he is healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	 And if you go, do so with some burning medications that I have written about in the twelfth treatise on burning medications.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	 But cauterize with iron according to this method: take for cautery that of which this is the form:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	 and it is called a nail-like claw, because its tip is shaped like a clove of garlic with some curvature, and in the middle of it there is a small protuberance.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	 Then place it on the painful spot, and hold your hand — so that the bow is not burnt away beneath — and turn the iron slowly with speed.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	 And if the amount that is burnt by the point of the coal is such that it is most of it, lift your hand so that the artery beneath is not burnt, lest blood flow come.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	 Then soak cotton in salt water and place it on the spot, and leave it there for three days; then place clean cotton with a border, and then care for him with ointment until he is healed.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	 And if you go, cauterize with the tip of the scalpel according to this method, and be careful not to cut an artery in this particularly ancient migraine.
Capitol quart.	 Chapter Four.
De cauterizacio d’emigranea antiqua.	 On the Cautery of Old Headaches.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	 When you cure a headache with the water that we have mentioned in the previous treatment, and as we have said in the divisions of diseases, and the treatment does not work, and sometimes because the disease is not helped by what we have said about the first cautery with medicine or the cautery with fire, then it is necessary for you to heat the cautery knife until it is red-hot, because you indicate on the site of the pain with a line of length equal to the majority of the said [finger], either this one or that one; and place your hand for one moment and press it firmly until you reach the vein and enter into the bone.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	 However, it is necessary for you to be careful not to continue with the jawbone, which is moved by chewing, and that the tendon is not damaged and the nerve that moves it, so that a spasm does not occur.
