Ayssi comensan las paraulas de Albucasim .	 Here begins the treatise of Al-Bucasis.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	 And use the best method by the grace of God to achieve healing and praiseworthy success, and leave behind terrible diseases that are difficult to cure. Set aside your arms from what makes you fearful, so that doubt in your faith and in your name does not escape you: for it is more glorious for you, and all the more so in this world and forever after for your sanctity.
Gualia ja diyssec en alcunas sieuas monicios:	 Galen has already discussed this in certain of his treatises:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	 "Do not practice bad medicine, lest you be called bad doctors.
E yeu ja he devesit aquest libre segontz tres capitols.	 And I have already divided this book into three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	 Begin the division of the book, and first of all the first part.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	 The first chapter is ordered about the head and feet, in the forms of the instruments and in the irons of the cauteries, and on what is necessary for the operation.
La divisio de la segonda partida.	 The division of the second part.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	 The second chapter, on incision and puncture, and on cupping glasses, and on ulcers, and on the extraction of arrows and similar things, all of which is arranged according to the forms of the instruments.
Divisio de la tersa partida.	 Division of the third part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	 The third chapter, on reduction and dislocation, and on the treatment of fractures and similar things; a chapter arranged from head to toe, and according to the forms of the instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	 On cautery with fire and sharp medicine, and on the memory of the operation.
Am aquel comensa le tractat de tot le libre.	 With this begins the treatise of the entire book.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	 I will tell you about the qualities of the instruments for that cautery and their disadvantages, and in what circumstances it is forbidden to use cautery.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	 Therefore, I say that the discourse on the quality of the cautery instrument and its disadvantages is long and complex, subtle in knowledge, and secretly hidden; many wise men have spoken about it, and they disagree among themselves, and for me, only a small part of their discussions is enough, lest my speech become too long.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	 And so I say that you can perform cautery on any condition, whether it has matter or not, except for two conditions, which are cold conditions without matter. ething
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	 Here's a line-by-line translation of the given text:
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	 And one who says the contrary of this, that through cauterization, improvement is immediately made in every dry and cold disease that appears in men's bodies; for when you compare a man's body and its humidity to the nature of fire, you find the man's body cold.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	 And I say by the word of that one, that I have already experienced this many times myself.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	 However, it is not fitting that this should be done by someone who has already been proven and practiced in the chapter of cautery through recent exercise, and who has known the diversity of man's constitution and the disposition of illnesses within them, as well as the causes of those illnesses and their accidents, and the duration of time for each.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	 But in other constitutions, there is no need to fear this, and especially in cold and moist illnesses; for all doctors have agreed upon these, and they are not disagreed upon in the improvement with cautery in them.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	 And know, sons, that of the secret of healing by cautery with fire and its goodness, it is said that there is cautery with medicine that burns; this is because fire is simple, and its action only reaches the member that is cauterized, and does not harm the other members associated with it except for a small injury.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	 "However, the action of medicine reaches that part of the body which is distant from the affected member, and it quickly brings about difficult healing in the afflicted member and causes a swift remedy.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	 "However, fire, due to its sublimity and the goodness of its substance, does nothing but flow out. It is already known to us through experience and long study in this art about the truth of causes; and for that reason I am excused from the length of the discourse. And if it were not that it is not read in my book, I would here reveal to you a secret hidden with fire, and the quality of its operation in the body and its expulsion by which it expels diseases, demonstrated with philosophical speech, which would sharpen your intellects.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	 "And know, my sons, that they differ in opinion about the time when it is best to perform cautery and consider the best time to be spring.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	 "And I say that cautery is appropriate at all times, because the harm caused by the accidental time is submerged in the benefit obtained from cautery, and especially if the cautery is for pain or necessary pains, strong and persistent, which do not tolerate delay because it is feared that greater evil will come, which is more than a small harm due to the time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	 And this is not what you should think in your minds, o children, for only the common people and foolish doctors think so. This is because for that illness which can be cured by cautery, there is always a chance of relapse, and they stop at that consequence.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	 And the cause is not as they think because of this: cautery is used only in places where medicine alters the complexion and dries up the humidities which are the cause of the pains.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	 But nevertheless, cautery is superior to medicine in terms of its strength and the power of its action and the greatness of its lordship.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	 And it is possible that his illness may return at some point in time, depending on the complexion of the patient and the location of his illness, and his strength, and what has been prepared in his body from the accumulation of excesses within him, and what he has acquired in his diet and similar causes; unless the illness for which cautery is administered is a subtle illness with few excesses and humidities, such as cautery of a tooth for pain and the like, it is possible that the pain will not return to him. But this is done in small amounts.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	 And it is commonly said that cautery is the last resort in medicine, and this is a true statement because I understand in it that they believe it is not a cure that benefits with medicine or any other cause except for cautery.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	 And the reason is contrary to this; and the intention that cautery is the last resort in medicine is only when administering methods of cure in certain illnesses, and those medicines do not work, and then at the end of the cause one administers cautery, and it benefits for that purpose.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	 And from here it is clear that cautery is the last resort in medicine, not according to the intention which I understand from the common people and too many foolish doctors.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	 And the ancients said that cautery with gold is better than cautery with iron, and they said this only because of the equality of gold and the sublimity of its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	 And they said that the place of cautery does not cause scarring, as if this were absolutely true, for I have already proved and found that this is not so except in some bodies without others, and cauterizing with gold is good and better than with iron as they said; but nevertheless when you make a cautery with fire and gold, it is not specified to you, for it is ignited according to the quantity you want by the rust of the gold, and because it prepares to receive cold; and if you place a fire on top of it, the gold melts from the heat, and some thin sheets fall into the fire due to the occupation of that.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	 And for this, a cautery with iron should be made less heavily and more delicately in accordance with the operation's requirements.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	 And I have already arranged this chapter on cautery according to the chapters, and I have arranged those from head to toe, so that the inquirer may choose what he wants.
De cauteri de dolor de cap per frigiditat e humiditat.	 Of cautery for head pain due to cold and dampness.
Le capitol primier.	 The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	 This cauterization removes cold and dampness from the body, which are two causes of many accidents; it is the cause of sweat and excessive flow of rheumatic humors, known as "corissa," flowing from the head to the parts around the eyes and ears, sleepiness, toothache and sore throat, and generally all illnesses caused by coldness, such as paralysis, sweating, apoplexy, and similar conditions in those illnesses.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	 The manner of this cauterization is as follows: firstly, instruct the patient to be purged with a purgative medicine for three or four nights, according to the strength of the patient, their age, and their habits.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	 And then instruct them to shave their head with a razor, and then make that person sit between your hands on a low bench, and have them place their hands on their feet.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	 And then place the edge of your palm near the foot on the edge of the nose between its nostrils.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	 But when your hand reaches the middle of the foot, mark that spot with a stylus, and then heat the olive-shaped cautery of which this is the form:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	 And then place that [cautery] on the marked spot, in such a way that it descends, with which you should slowly tighten your hand, and you rotate it.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	 And then lightly lift your hand and look at the spot, and if you see any part of the bone's head revealed, even as small as a grain of barley, then lift your hand. But if not, return your hand with that iron, or with another one like it, until you see what I have told you.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	 And then take a little salt and dissolve it in water over the spot and leave it for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	 And then place on him a cloth soaked in vinegar and let it stay on him until the scab of the fire is destroyed.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	 And then treat the spot with a four-ingredient ointment until it is healed.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	 And they have said that as long as the wound remains open, it is better for the arm, because it is more beneficial and healing.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	 And they said that the tendon should be cauterized inside the bone, and that the cautery should be kept there until some part of the bone’s appearance is altered.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	 And then it should be scraped off whatever is attached to the bone, and then it should be treated.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	 And others said that with the cautery one should reach to the end, until it strongly presses into the bone, until the bone breaks, and this is the form of small incision.
E estiman de aquel loc expiran la vapors del cap.	 And they believe that from that place, the vapors of the head escape.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	 And the wound should be kept open for a long time, and then it should be treated until it is healed.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	 But I have not seen these two types of cautery in all cases, only in some men according to the way of fear; and leave that aside, tell me, is it better with health, when it exists; because the head is opened by a break in its continuity as we have shown in the other members, especially when the patient's head is of frail nature.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	 And the first type of cautery is safer and better in my opinion; and with that kind and with that work, one heals.
Capitol segon.	 Chapter two.
Del cauteri del cap.	 Of cautery of the head.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	 When the entire head experiences chronic and prolonged pain in the patient, and various remedies such as hellebore, cupping, bloodletting, plasters, baths, cups, poultices, and similar treatments have been used, especially if cautery has already been performed with a cauterizing tool that fails to provide any benefit from these causes, then consider whether the patient's head is of strong constitution by nature; if it is not weak but rather very cold, then cauterize again with another cautery a little below that one.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	 Then cauterize that area on the crown of the head with a cautery until the scalp is divided.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	 After the scalp is cut and the bone is exposed to the extent we have mentioned, cauterize that area with a cautery in the back part of the head in the place called "vas,"—and this is the place where a cupping glass is placed.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	 And be careful in this matter, and do not expose the bone, for the patient finds very great pain from this, different from the pain of all other head cauteries.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	 I say this about the cautery in its place, for the cautery with which the crowns of the head and the occiput are cauterized should be finer than that with which the middle of the head is cauterized; and this is how it should be done.
Capitol ters.	 "Chapter three.
De cauterisacio de emigranea no-antiqua.	 "About the recent cautery for migraines.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	 "When the pain in the head is severe or spreads to the eye, it should be evacuated with purgative medicines, and the other treatment that I have mentioned in the diseases of the head should be administered; if this does not help, then cauterization can be done in two ways: either with a sharp-burning medicine or with iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	 "But cauterization with a burning medicine is that you take an aloe leaf, clean it and bind the ends of it from both sides.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	 "Then you should make an incision in the place of pain in the temple with a loaded lancet, so that it is well-placed under the skin, until it is hidden.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	 "Then apply pressure on it with a bandage for constant compression, and leave it for the duration of three hours; then remove the bandage and take away the aloe, and leave the wound open for two or three days, and then place on it a cotton swab soaked in vinegar until the spot turns red.
E aprop cura aquel am enguent entro que sia sanat.	 "Then treat it with ointment until it is healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	 "And if you go, do this with some burning medicines that I have written about in the twelve treatises on burning medicines.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	 "But the cauterization should be done with iron, following this manner: it is formed as follows:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	 "It is called a 'nail' because its tip is shaped like the head of a nail, which has some curvature, and in the middle part there is a small protuberance.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	 "Then place it on the site of the pain, and hold your hand — so that the instrument is not shaken excessively — and turn the iron slowly and steadily.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	 "And if the part that is shaken by the movement of the chain reaches about half of it, then raise your hand to prevent the instrument from being shaken excessively, so that there will not be a flow of blood.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	 "Then soak a cloth in salt water and place it on the site, and leave it there for three days; then place a cloth with padding, and then treat with ointment until it is healed.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	 "And if you go, cauterize with the tip of the scalpel according to this manner, and be careful not to cut an artery in this particular region that is not ancient.
Capitol quart.	 Capitol quart. Chapter four (or fourth chapter).
De cauterizacio d’emigranea antiqua.	 Of the cautery for an old migraine.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	 When you cure migraine with the previous method of treatment that we have mentioned, and it is not effective, and sometimes due to the illness that what we said about the first cautery with medicine or cautery with fire is not enough for him, then you should heat the sharpened cautery until it turns white. This indicates on the painful spot a line lengthwise, which is the greater part of the finger, either this one or that one; and place your hand on it once and strongly, until you pierce the skin and reach the bone.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	 However, it is necessary for you to be careful not to continue to the jawbone, which is thick due to chewing, and that the tendon is not cut and the nerves that cause pain there, lest spasm occur.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	 And if it concerns the caution and precaution of bleeding from an artery that is cut, for there is fear in cutting it, especially for those who do not know what they are doing and are not skilled or experienced; therefore, leave the operation to someone more knowledgeable at first.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	 And I come with the reminder of the treatment for bleeding accidents due to archery according to its own manner, in its place in this book.
