Ayssi comensan las paraulas de Albucasim .	Here is the translation of the provided line:
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And you saw another doctor who punctured a cancerous abscess, and it became ulcerated around those days, until the malignancy of it was greatly increased by its lord.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	Here is the translation of the provided sentence:
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And by this, sons, it is necessary for you that the operation with hand be divided into two divisions: one is an operation which is associated with health, and in work with which there is danger in the greatest dispositions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And I have already expressed this throughout this book in which I found an operation that has error and fear; therefore, it is necessary for you to keep this in mind and let go of that, so that the pages do not lead you to speak out of turn and dishonor you.
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And therefore take up your weapons with diligence and protection of God, and treat your patients with happiness and firmness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the best way by the grace of God to lead to health and favorable outcomes, and leave behind terrible diseases that are difficult to heal, and arm yourselves against what makes you fear, so that hesitation in your faith and in your name does not escape you: for more remains for your glory, and further yet in this world and afterward for your sanctities.
Gualia ja diyssec en alcunas sieuas monicios:	Here is the translation of the provided line:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	Do not treat bad illness poorly, so that you are not named a bad doctor.
E yeu ja he devesit aquest libre segontz tres capitols.	And I have already divided this book into three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	Begin the division of the book, and first of the first part.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter is ordered concerning the head down to the feet, in the forms of instruments and in the tools of cauteries, and of what is necessary in the operation.
La divisio de la segonda partida.	The division of the second part.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter is about drying and piercing, and about cupping, and plasters, and the extraction of arrows and similar objects, all chapters and orders concerning the forms of the instruments.
Divisio de la tersa partida.	The division of the third part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter is about restoration and dislocation, and the treatment of fractures and similar conditions; this chapter is ordered from head to foot and includes the forms of the instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	About cauteries with fire and sharp medicines and a recollection of the operation.
Am aquel comensa le tractat de tot le libre.	With that, the treatise on the entire book begins.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	It is necessary that I speak of the quality of the benefits and harms of that cautery and in what conditions the use of a cautery is prohibited.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Therefore, I say that the discourse on the quality of the benefit and harm of cautery is long and verbose, subtle by science, and secretively hidden; many wise people have spoken about it, and they disagree among themselves; to me, a little of their discourses suffices, for fear of prolongation.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And therefore, I say that cautery is generally beneficial to all complexions, whether they are with matter or without matter, except for two complexions, which are dry and without matter.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In a dry and cold complexion with matter, there is disagreement; for some say that cautery is beneficial for it, while others say the opposite, that cautery is not suitable for a disease that is by nature hot and dry, because the nature of fire is heat and dryness, and it is inconvenient that a hot and dry disease be treated with something that is burned and dry.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And those who say the opposite argue that cautery is beneficial in all hot and dry diseases that occur in human bodies, for when you compare the body of a person and its humidity to the nature of fire, you find that the human body is moist.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I say by the speech of that person, who has experienced this to me several times openly.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	However, this does not apply to those who are already experienced and trained in the chapter of cauterization by previous practice, and have understood the diversity of human composition and the disposition of diseases within themselves, and their causes, and the accidents thereof, and the duration of time for them. 
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	And in other complex conditions, there is no need for fear, especially in cold and wet diseases, because all doctors agree on these, and they do not disagree about treating them with cautery.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And know, sons, that of the secret of healing by cauterization with fire and of its goodness, especially concerning cauterization combined with burning medicine, is that fire is simple, the action of which only reaches the member being cauterized and does not affect another adjacent member except with slight harm.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	And here is the translation of the given sentence:
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	Here is the translation line by line:
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And know, sons, that they forget the time in which it is appropriate to perform cautery and consider the best time of spring.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	And I say that cautery is appropriate at all times, so that the harm caused by accidental time is submerged in the healing brought about by the cautery, and especially if the cautery is for necessary pains or severe pains, strong and urgent, which do not tolerate delay because it is feared that malice may arise from them, which is greater than a small harm entering through time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And this does not fall into your feet, or, sons, this is only esteemed by the common people and foolish doctors; thus it is that to that disease which is cured by cautery it is not always effective, and they pause at that consequence.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the cause is not as they think for this, for a cautery is nothing more than a medical practice that alters the composition and dries out the moistures which are the cause of the pains.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	But nevertheless, cauteries are abundant in medicine due to the desire for its value and the virtue of its operation and the greatness of its master.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	And it is possible that his illness may return at some time in the future, according to the complexity of the patient and the location of their disease, as well as their strength, and what has been prepared within their body due to the accumulation of excesses within them, and what they have acquired through their diet and similar causes; however, if the illness for which a cautery is administered is a subtle condition in members with few excesses and humidity, such as tooth cauterization for pain and similar treatments, it is possible that such pain may not return to him, but this applies only in small cases.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	And the common saying is that cautery is the last resort of medicine, and this saying is correct, not in the way some people understand it, for I believe that there is no cure that truly succeeds without medicine or any other cause before resorting to cautery.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	And the cause is contrary to that; the intention that cautery is the last resort of medicine is only when we administer methods of cure in certain diseases, and those medicines do not yield results, then at the end of the treatment, one administers cautery, and it proves effective for that.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And now here it is clear that cautery is the last resort of medicine, not according to the understanding which the common people and many foolish doctors hold. 
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	And the ancients said that cautery with gold is better than cautery with iron, and they did not say this except for the equality of gold and the excellence of its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And they said that the site of cautery does not make a scar, which is not absolutely true, for I have already tested this and found that it only happens in some bodies and not others, and cautery with gold is good and better than with iron as they said; however, when you do cautery with fire using gold, it is not clear to you because it burns according to the amount you want due to the hardness of the gold, and because it prepares to receive moisture; and if you place it over a flame, the gold melts from the heat, and some flakes fall into the fire causing the craftsman to be preoccupied with this.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And because of this, cautery with iron should be performed more lightly and more cautiously to correct the procedure.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And I have already organized this chapter on cautery into sections, and I have arranged those of the foot within the feet, so that I enlighten the inquirer about what they want to know from it.
De cauteri de dolor de cap per frigiditat e humiditat.	Of cautery for headache due to coldness and humidity.
Le capitol primier.	The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cautery confers dryness and heat on the accidental humors of which there are two causes: it is the cause of sweat and a multitude of rheumatic fluxes, called running from the head to the passages of the nose and ears, and much sleepiness, and toothache and earache, and universally all diseases that come from cold, such as paralysis, apoplexy, and similar illnesses.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this cautery is as follows: first, command the patient to be evacuated with purgative medicine for three or four nights, according to the strength of the patient, their age, and their habits.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	Then command him to shave his head with a razor. Then have that person lie down between your hands on a lowered bench and place his hands on his feet.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	Then place the tip of your palm near the nose between his eyes, at the tip of his nose.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	However, when your middle finger has reached that spot, mark the area with a probe, and then heat the olive cautery, which has the following form:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And then place that over the marked area with tension, in such a way that it descends gradually, with which your hand is slowly tightened, and you turn that.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	And then lift your hand lightly and look at the area, and if you see any part of the bone exposed, about the size of a grain of barley, then raise your hand, and if it does not return by itself when you remove your hand with that instrument, or another one if it is cooled down, until the bone is seen as I have told you.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And then take a little salt and dissolve it over the area and leave it for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And then place over it a cloth soaked in vinegar and leave it on until the heat of the burn is diminished.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	And then treat the area with a four-part medicinal ointment until it is healed.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And it has also been said that when the wound remains open, it is better to bathe it with wine, because it is better and more beneficial.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	And some of them say that the area around the bone should be cauterized, and the cautery should be applied until some part of the substance of the bone adheres.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And then remove what is adhered to the bone, and then heal it.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	And others said that with the cautery reach the posterior area, pressing strongly on the bone until it smokes, and this is the method of small alphectomy. 
E estiman de aquel loc expiran la vapors del cap.	And they believe that from that place, vapors emanate from the head.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And if the wound is kept open for a long time, then it should be treated before it becomes solidified.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	But I have not seen these two types of cautery used on everyone, but only in some people out of fear; and leave that aside, you must tell me, it is better for health when it happens; for the head is affected by a discontinuity just as we have testified in other members, and especially so when the patient's head is of a delicate nature.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	And the first type of cautery is safer and better, you must tell me; and with that method and using that technique, it is more beneficial for health.
Capitol segon.	Second chapter.
Del cauteri del cap.	About the cautery of the head.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When chronic and prolonged pain occurs throughout the head and persists in the patient, and you have used scrapings, cochlias, capipurgations, plasters, washes, cadels, guailines, and similar treatments, and especially if it has already been cauterized with a cautery that only contaminates and does not benefit from those causes, then consider whether the patient's head is of strong constitution in its nature; and if it is not delicate and finds great cold, then cauterize it with another type of cautery leaving aside that one.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And then cauterize that area above the horn of his head with a cautery until the vein is severed. 
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Cut the tendon and expose the bone by the amount we have recounted, and cauterize that area with a cautery at the back of the head in the spot which is called the sinus — and this is the location where the suction cup is placed.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And move your hand in this manner, and do not expose the bone, for the patient will find much greater pain from this than from the pain of all other cauteries on the head.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	And I will describe this cautery in its place, for the cautery with which you cauterize the crown of the head and the occiput is a finer cautery than that with which the middle part of the head is cauterized; and this is its form.
Capitol ters.	Chapter three.
De cauterisacio de emigranea no-antiqua.	On the cautery of non-traditional migraine.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When pain settles in the part of the head or extends within the eye, the head should be cleansed with medicines, and other treatments, which I have described in the sections on diseases, should be administered; and if all this is not effective, then cautery can be applied in two ways: either by cauterization with an acute burning medicine, or with iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	More cautery with medicine that burns is when you take a dose of alcohol, and you purify it and light the ends of it from both sides.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	And then you cut into the painful area on the temple with a slanted lancet until it reaches the spot where the pain is hidden.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	And then apply force over it with a bandage through continuous pressure, and leave it for the duration of three hours; and then remove it and draw it out elsewhere, and leave the wound open for two or three days, and then place something over it soaked in balsam until the area becomes warm.
E aprop cura aquel am enguent entro que sia sanat.	And then treat it with ointment until it is healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you wish, do this with some combustible medicines, which I have written about in the two treatises on combustible medicines.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	Also perform cauterization with an iron according to this method: ignite using a cautery iron, which has the following form:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	It is called a "claw clamp," because the head of it is shaped like a claw with some curvature, and in the middle part of it, there is a small prominence.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	And then place it on the site of the pain, and hold your hand firmly — so that the artery beneath does not adhere — and rotate the iron little by little with speed.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the quantity of what is adhered by the pressure of the chain is such that it covers half of it, lift your hand so that the artery which is beneath is not compressed, so that blood flow does not stop.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	And then soak a cloth in salt water and place it on the area, and leave it there for three days; and then apply a cloth moistened with balm, and then treat with an ointment until it is healed.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And if you do, cauterize with the tip of the cautery knife as a cautery, and be careful not to cut an artery in this modern non-traditional way. 
Capitol quart.	Capitol quart.
De cauterizacio d’emigranea antiqua.	From the cautery of ancient migraine.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you treat migraines using what we have said about the previous treatment and what we have mentioned in the divisions of diseases, and if the treatment does not improve, and sometimes due to the illness, what we have previously recommended with the first cautery or medicinal cautery is insufficient, then it becomes necessary for you to whiten the knife-shaped cautery until it is whitened [heated], and mark the location of the pain with a line as long as half your finger, or a bit more; and then place your hand once and press strongly before incising the artery and reaching the bone.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	However, it is necessary for you to be careful with the continuity of the jaw, which is damaged by chewing, and that the tendon is not adhered and the nerves that affect it are not spasming.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	And if it concerns the protection and caution of the blood flow from an artery that is being tied off, for there is fear during the tying off, especially for those who do not know what they are doing and are inexperienced and rash; and they leave the operation at its beginning.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	And I will come with a reminder of the regimen for accidental blood flow from an artery according to its method, in its place within this book.
E si veses de aquesta malautia que no abaste aquest cauteri e veses le cors del malaute tollerable, cauteriza aquel en le mieg loc del cap ayssi cum havem recontat, e cura la plagua entro que sia sanada.	And if you see this illness is not helped by this cautery and the body of the patient seems tolerable, apply the cautery to the middle of the head as we have recounted, and treat the plague until it is healed.
E si voys, aministra le cauteri le qual havem dit en le capitol de streccio de arceria am cauteri havent dos cotels, e es milhor cauterizacio aquesta e mays conferent.	And if you want to, administer the cautery which we have mentioned in the chapter on arrow wounds with a cautery having two blades, and this cauterization is better and more appropriate.
Capitol .v.	Capitol .v.
De cauterisacio de las dolors de aurelhas.	Of the cauterization of ear pains.
Quan en la aurelha ve dolor per freg e es curat am causas lacsativas e am l’autra curacio la qual he dita en la divisio, e no es remauguda la dolor, lahoras igneys le cauteri, e es aquest le qual ha nom puncta, del qual aquesta es la forma:	When pain comes to the ear due to cold and is treated with laxative causes and with the other cure which I have mentioned in the division, and if the pain is not alleviated, then apply the cautery, and this one is called puncta, of which this is the form:
