Ayssi comensan las paraulas de Albucasim .	And here is the translation of the given line:
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And therefore, I say that cautery is beneficial to all complexions universally, whether they are with matter or without matter, except for two complexions, which are cold complexions without matter.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In a cold and dry complexion with matter, there is disagreement; for some say that cautery is beneficial for that, and others say the opposite, that cautery is not suitable for a disease that is caused by heat and dryness, because the nature of fire is heat and dryness, and it is inappropriate to treat a cold and dry disease with something that is burnt and dry.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And let it be said by those who say the opposite, that cautery provides benefit in all cold and dry diseases that occur in human bodies, because when you compare the body of a person and its moistures to the constitution of fire, you find the human body to be moist. 
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I say by the speech of that person, who has experienced this to me several times openly.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	But nevertheless, this does not apply to one who is already experienced and trained in the chapter of cautery from previous exercises, and has known the diversity of human constitution and the disposition of diseases within them, and their causes, and the accidents related to them, and the duration of time for those.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	But in other constitutions, there is no need for fear, especially in cold and humid diseases, for all doctors agree on these, and they do not disagree about treating them with cautery.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And know, sons, that the secret of healing through cautery with fire and its goodness is that it is better than cautery with burning medicine, because fire is simple, and its action only reaches the member being cauterized and does not harm the adjacent members except slightly.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	But the action of burning medicine spreads to other members that are nearby, and it can cause a difficult-to-heal disease in the affected member and greatly aggravate it.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	But fire, by its sublimity and the goodness of its substance, does not do this; it only purges. And we have known this through experience and long study of the art to understand the truth of the causes. And for this reason, I am excused from a lengthy discourse. But if it were not for the fact that my book has not been read in this brief pause, where the secret is hidden with fire, and the quality of its operation on bodies and its expulsion through which diseases are expelled, demonstrated with philosophical discourse, which would sharpen your minds.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And know, children, that they forget the time in which it is appropriate to perform cautery and consider the best time of spring.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	And I say that cautery is appropriate at all times, so that the harm caused by accidental timing is overshadowed by the benefit of what is drawn out through cautery, and especially if the cautery is for necessary pains or severe pains, urgent and swift, which do not tolerate delay because it is feared that malevolence may arise from them, which is greater than a small harm entering over time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And this does not fall upon your steps, or, children, it is only valued by the common people and foolish doctors; thus, for that disease which is healed by cautery it is not always recommended, and its consequences are paused. 
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the cause is not as they think it to be for this, because a cautery is only in place of medicine which alters the composition and dries out the humors which are the cause of the pains.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	And yet, cauterizations that are excessive on the medicine due to the desire for its health and the virtue of its operation and the greatness of its master.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	And it is possible that their illness may return at some time in the future, according to the condition of the patient and the location of their illness, and the strength of them, and what is prepared in the body due to the accumulation of excesses within them, and what is acquired by them through food and similar causes; but if the illness for which a cautery is administered is a subtle illness in a member with few excesses and humidities, like a dental cautery for pain and similar treatments, it is possible that such pain will not return to them, although this happens rarely.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	And it is commonly said that cautery is the last resort of medicine, and this saying is true, not in the way many understand it, for I believe it is not a cure that truly benefits either through medicine or any other cause without cautery.
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	And the cause is contrary to that; the intention that cautery is the last resort of medicine is only when we administer methods of cure in certain illnesses, and those medicines do not confer benefit, and then at the end of treatment, one administers cautery, and it proves effective for that.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And here, in this context, cautery is the last resort of medicine, not according to the understanding of the common people and too many foolish doctors.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	And the ancients said that cautery with gold is better than cautery with iron, and they only said this because of the purity of gold and the excellence of its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And they said that the site of cautery does not matter, which is not absolutely true, for I have experienced this and found that it only applies to some bodies more than others, and cautery with gold is good and better than with iron as they claimed; however, when you perform cautery using fire and gold, it is not entirely clear, because it ignites according to the quantity you want due to the hardness of the gold, which prepares to receive heat; and if you place it over a flame, the gold melts from the fire, and some flakes fall into the fire, causing inconvenience for the practitioner.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And because of this, cautery with iron should be performed more lightly and more precisely to ensure the correctness of the operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And I have already organized this chapter concerning the cautery according to chapters, and I have arranged those of the head among the feet, so that I can quickly provide the inquirer with what they seek from it.
De cauteri de dolor de cap per frigiditat e humiditat.	Of cautery for headache caused by cold and moisture.
Le capitol primier.	The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cauterization confers dryness and heat on the affected area, which are the causes of numerous rheumatic fluxes, called running nose, from the head to the ends of the fingers and ears, as well as excessive sleeping, toothache, and sore throat, and universally all diseases that come from cold, such as paralysis, apoplexy, and similar illnesses.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this cauterization is as follows: first, order the patient to be cleansed with a purgative medicine for three or four nights, according to the strength of the patient, their age, and their habits.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And then command that they shave their head with a razor. Then have the patient sit between your hands on a low bench and place their hands on their feet.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And then place the palm of your hand near the nose between their fingers, close to the nostrils.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	However, when your middle finger has reached the spot, mark that place with a probe, and then heat the olive cautery, which is of this form:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And then place that over the marked area with a bandage, in such a way that it descends gradually, with which your hand should gradually tighten it, and you turn that.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	And then lift your hand lightly and look at the area, and if you see any part of the bone uncovered, about the size of a grain of barley, then raise your hand; and if it does not return with that tool, use another one, if it is cooled down, until the bone appears as I have told you.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And then take a little salt and dissolve it over the area and leave it there for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And then place over it a piece dipped in oil and leave it there until the heat of the inflammation is destroyed.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	And then treat the area with a tetrapharmacum ointment until it is healed.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And they say that when the wound remains open, it is better to wash it frequently, because it is healthier and more beneficial.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	And some of them say that the area around the bone should be cauterized, and the cautery should be held until some part of the bone's substance adheres to it.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And then scrape away what is adhered to the bone, and then clean it.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	And others said that with the cautery reach the hip, press strongly into the bone until it smokes, and this is the method of small alphectomy. 
E estiman de aquel loc expiran la vapors del cap.	And they believe that from that place, vapors rise from the head.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And if the wound is kept open for a long time, then it should be treated before it becomes consolidated.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	But I have not seen these two types of cautery used on everyone, but rather only on some people out of fear; and leave that aside, you must tell me, it is better for health when it is so; for the head is damaged by the disruption of its continuity just as we have testified in other parts of the body, and especially when the patient's head is of a fragile nature.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	And the first type of cautery is safer and better, you must tell me; and from that use and perform it for health.
Capitol segon.	Second chapter.
Del cauteri del cap.	About the cautery of the head.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When chronic and prolonged pain occurs throughout the head and persists in the patient, and treatments such as scrapes, poultices, head cleansings, plasters, ointments, salves, and similar remedies have been used without success, especially if it has already been cauterized with a cautery that has not proven effective, then consider whether the patient's head is of strong constitution by nature; and if it is not fragile and you find significant coldness, then cauterize it with another type of cautery for a short time.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And then cauterize that area on top of his head using a cautery until the vein is severed.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Cut the vein and expose the amount that has been recounted from the bone, then cauterize it with a cautery at the back of the head in the spot called the sinus, which is the location where the suction cup is placed.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And lift your hand in this procedure, and do not expose the bone, for the patient will find much greater pain from this than from all other cautery procedures on the head.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	And I want to describe this cautery in its proper place, because the cautery with which you cauterize the forehead and the occiput should be finer than that with which the middle of the head is cauterized; and this is its form.
Capitol ters.	Third chapter.
De cauterisacio de emigranea no-antiqua.	On the cautery of non-traditional migraines.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When severe pain occurs in the part of the head or is felt within the eye, first purify the head with medicines and administer the other treatments that I have mentioned in the sections on diseases; if all this does not help, then cautery can be applied in two ways: either with an acute burning medicine, or with iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	And using a cautery with medicinal burn is that you should take an onion, and clean it and bind its extremities from both ends.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	And then cut into the painful area on the temple with a slanted lancet so that it reaches the affected spot, where the pain is hidden.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	And then apply pressure on it with a bandage using constant compression, and leave it for the space of three hours; and then remove the bandage and place the area in the open air, and let the wound heal for two or three days, and then place something over it soaked in balm until the spot becomes warm.
E aprop cura aquel am enguent entro que sia sanat.	And then treat that area with ointment until it is healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you wish, do this with some cauterizing medicines, which I have written about in the second treatise on cauterizing medicines.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	Also, perform cauterization with an iron according to this method: prepare the cautery iron which has the following form:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	It is called a "clavilh," because the end of it resembles the shape of a clove with some curvature, and in the middle part of it, there is a small protrusion.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	And then place it over the painful area, and hold your hand — so that the artery beneath does not stick — and rotate the iron little by little with speed.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the quantity of it that is adhered by the pressure of the chain is such that half of it, and lift your hand so that the artery is not pressed which is below, so that there does not come a flow of blood.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	And then soak cloth in salt water and place it on the area, and leave it there for three days; and then apply cloth moistened with ointment, and then treat with salve until it is healed.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And if you must, cauterize using the tip of the surgical knife as a cautery, and be careful not to cut the artery in this non-traditional migration area. 
Capitol quart.	Capitol quart.
De cauterizacio d’emigranea antiqua.	From the cauterization of ancient migraines.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you treat migraines with what we have said about the previous treatment and what we have said in the divisions of diseases, and if the treatment is not effective, and sometimes because of the illness, what we have said about the first cautery with medicine or the cautery with fire is not enough for him, then it is necessary that you heat the scalpel cautery until it becomes white-hot, since you mark the location of the pain with a line as long as half a finger, or something similar; and then place your hand over it once and press it so that you cut through the artery and reach the bone.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	However, it is necessary for you to be cautious about the continuation of the jaw, which is damaged by chewing, and that the tendon does not adhere, and the nerve that moves it does not spasm.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	And if it is about the protection and caution of blood flow from an artery that is to be cut, for in cutting it there is fear, especially for one who does not know what he is doing and is inexperienced and rash; and he leaves the operation at its beginning.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	And I come with a reminder of the regimen for blood flow accidents from arteries according to its manner, in its place in this book.
E si veses de aquesta malautia que no abaste aquest cauteri e veses le cors del malaute tollerable, cauteriza aquel en le mieg loc del cap ayssi cum havem recontat, e cura la plagua entro que sia sanada.	And if you see that this disease is not alleviated by this cautery and the body of the patient seems to tolerate it, cauterize that spot in the middle of the head as we have recounted, and treat the plague until it is healed.
E si voys, aministra le cauteri le qual havem dit en le capitol de streccio de arceria am cauteri havent dos cotels, e es milhor cauterizacio aquesta e mays conferent.	And if you wish, administer the cautery which we have mentioned in the chapter on arrow wounds with a cautery having two blades, and this kind of cauterization is better and more appropriate.
Capitol .v.	Capitol .v.
De cauterisacio de las dolors de aurelhas.	Of the cauterization of ear pains.
