Ayssi comensan las paraulas de Albucasim .	Thus begins the words of Albucaсим.
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And then place that over the marked area with cloth, in such a way that it descends, with which your hand is gradually constrained, and you rotate that.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	And then lift your hand gently and look at the area, and if you see any part of the bone exposed, about the size of a grain of barley, then raise your hand; and if it does not return with that instrument, use another one, if it is cooled down, until you can see the bone as I have told you.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And then take a little salt and dissolve it over the area and leave it for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And then place over it a cloth soaked in oil and leave it there until the heat of the burn is destroyed.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	And then treat the area with a tetrapharmacum ointment until it is healed.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And it has also been said that when the wound remains open, applying honey is better, because it is more beneficial and healing.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	And some of them say that the area around the bone should be cauterized, and the cautery should be applied until some part of the substance of the bone adheres.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And then scrape away what is attached to the bone, and then clean it.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	And others said that with the cautery, one should reach the rear area, pressing strongly into the bone until it gives way, and this is the method of performing a small alveolation.
E estiman de aquel loc expiran la vapors del cap.	And they believe that from that place, vapors emanate to the head.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And the wound should be kept open for a long time, and then it should be treated until it is healed and solidified.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	But I have not seen these two types of cautery used universally, but only in some people as a method of caution; and leave that aside, you must tell me, it is better for health when it occurs; for the head can be damaged by a discontinuity in its structure, as we have testified in other members, and especially so when the patient's head has a fragile nature.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	And the first type of cautery is safer and better, you must tell me; and with that method and by working in this way, it is more beneficial to health.
Capitol segon.	Chapter two.
Del cauteri del cap.	About the cautery of the head.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When chronic and prolonged pain affects the entire head of the patient and treatments such as bloodletting, cupping, head cleansing, plasters, washes, ointments, poultices, and similar remedies have been used, especially if cautery with a cautery that has not proven effective or beneficial for those causes has already been applied, then consider whether the patient's head is naturally prone to strong reactions; and it is not cold but rather experiences significant heat, in which case another type of cautery should be used instead of the previous one.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	Then apply cautery on the horn of his head with a cautery in which the chain is divided. 
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Cut the tendon and expose the bone by the amount we have recounted and cauterize that area with a cautery on the rear part of the head in the location which is called the sinus, — and it is that place where the suction cup is placed.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And move your hand in this manner, and do not expose the bone, for the patient will find much greater pain from this different from the pain of all other cauteries on the head.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	And I will describe this cautery in its place, for the cautery with which you cauterize the horns of the head and the occiput is a finer cautery than that with which the middle part of the head is cauterized; and this is its form.
Capitol ters.	Third chapter.
De cauterisacio de emigranea no-antiqua.	On the cautery of non-traditional migraines.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When severe pain occurs in the part of the head, or if the pain spreads within the eye, the head should be cleansed with medicines, and other treatments, which I have described in the sections on diseases, should be administered; and if all this is not effective, then cautery can be applied in two ways: either by cauterization with an acute burning medicine, or with iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	And with a hot cautery combined with medicine, you should take an onion and burn it, sealing the extremities of it from both ends.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	And then cut into the painful area on the temple with a slanted lancet until you reach the affected spot that needs to be drained.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	And then apply pressure to it using compression bandages tightly, and leave it for the duration of three hours; then remove them and bring it out, and let the wound rest for two or three days, and then place a cloth soaked in ointment over it until the area becomes red.
E aprop cura aquel am enguent entro que sia sanat.	And then treat it with ointment until it is healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you wish, do this with some caustic medicines, which I have written about in the two treatises on caustic medicines.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	But the cautery should be done with iron according to this method: make it in the shape of this cautery:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	It is called "claus clavilhs" because the end of it resembles the shape of a clove with some curvature, and in the middle part, there is a small prominence.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	And then place it on the site of the pain, and keep your hand steady — so that the artery below does not adhere to it — and rotate the iron little by little with speed.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the quantity of it that is adhered by the pressure of the chain is such that half of it, and lift your hand so that the artery is not adhered to which is below, so that blood does not flow.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	And then soak a cloth in salt water and place it on the area, and leave it there for three days; and then apply a cloth moistened with ointment, and then treat with an unguent until it is healed.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And if you must, cauterize with the tip of the cautery iron as a cautery tool, and be careful not to cut an artery in this non-traditional migration area. 
Capitol quart.	Capitol quart.
De cauterizacio d’emigranea antiqua.	Of the ancient method of cauterizing migraines.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you treat migraines using the methods we have mentioned for previous treatments and those discussed in the sections on illnesses, and if the treatment does not prove effective, and sometimes due to the illness, what has been said about the first cauterization with medicine or by fire is insufficient, then you must heat the knife-shaped cautery until it becomes white-hot, and mark the site of the pain with a line as long as half a finger-width; then place your hand over it once and press firmly before incising the artery and reaching the bone.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	However, it is necessary for you to be careful with the continuity of the jaw, which is important for chewing, and ensure that the tendon is not adhered and the nerves are not damaged by it, so as to avoid spasms.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	And if it concerns the protection and caution of the blood flow from the artery that is to be cut, for there is fear in the act of cutting, especially for those who do not know what they are doing and are not studious or experienced; and they should not begin the operation.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	And I come with a reminder of the regimen for blood flow accidents from the artery according to its manner, in its place within this book.
E si veses de aquesta malautia que no abaste aquest cauteri e veses le cors del malaute tollerable, cauteriza aquel en le mieg loc del cap ayssi cum havem recontat, e cura la plagua entro que sia sanada.	And if you see that this disease is not cured by this cautery and the body of the patient can endure it, apply the cautery to the middle of the head as we have described, and treat the plague until it is healed.
