Ayssi comensan las paraulas de Albucasim .	Thus begins the words of Albucaçim.
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And then release the bandage according to their wishes, and then dress the wound, and then keep it dry for some days and command that we loosen the binding; and this should be done until the thigh and foot are free from abscesses, and recovery is achieved.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And I was called to him, and prepared to loosen the binding, and thus peace was achieved and his pains were somewhat alleviated.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	But corruption had already set in the limb, so it could not be stopped, and the corruption continued to spread throughout the limb until the patient was in peril.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I saw another doctor who punctured a cancerous abscess, and it became ulcerated over the course of several days, until the malignancy of it grew significantly under the care of the doctor.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The cause is that the cancer is pure of melancholic humors, so it is not necessary to treat it with iron entirely, but rather the limb should be treated so that it suffers and is thus purged.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And therefore, sons, it is necessary for you to divide the operation under my guidance into two parts: one part is an operation associated with health, and the other involves work where there is peril in the most critical dispositions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor;
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And therefore take up your weapons with diligence and under the protection of God, and treat your patients with happiness and firmness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the best method by the grace of God to reach health and favorable outcomes, and leave behind terrible diseases that are difficult to heal, and withstand what makes you fear with your defenses, so that hesitation in your faith and in your name does not escape you: for more remains for your glory, and further out in the world and later for your sanctities.
Gualia ja diyssec en alcunas sieuas monicios:	When translating this line by line from the given medieval-like text into English:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	Do not treat illnesses poorly, so that bad doctors are not named.
E yeu ja he devesit aquest libre segontz tres capitols.	And I have already divided this book into three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	Begin the division of the book, and first of the first part.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter is ordered from head to foot, in the forms of the instruments and in the tools of the cauteries, and of what is necessary in the operation.
La divisio de la segonda partida.	The division of the second part.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, on drying and piercing, and on cupping, and on plasters, and on the extraction of arrows and similar objects, all chaptered and ordered according to the forms of the instruments.
Divisio de la tersa partida.	The division of the third part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter, on restoration and dislocation, and on the treatment of fractures and similar injuries; a chapter ordered from head to foot, and detailing the forms of the instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	On cauteries with fire and sharp medicine and a reminder of the operation.
Am aquel comensa le tractat de tot le libre.	With that, the treatise on the entire book begins.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	It is necessary for me to say the quality of the benefits of that cautery and its harms, and in what conditions the use of cautery is prohibited.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Therefore, I say that the discussion about the quality of the usefulness and harm of cauterization is long and prolix, subtle through science, and secretively hidden; many wise people have already spoken about it, and they are in disagreement about it, and for me, a small part of their discussions suffices, fearing lengthiness.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And therefore, I say that cauterization is beneficial to all complications universally, whether they are with matter or without matter, except for two complications, which are complications of the tail without matter. 
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the condition of dry and hot illness, materials tend to disarrange; for some say that a cautery is helpful in this case, while others say the opposite, that a cautery is not appropriate in an illness which is by nature hot and dry, because the nature of fire is hot and dry, and it is inappropriate for a dry and hot illness to be treated with something that is also hot and dry.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And let those who say the opposite be heard: they claim that a cautery provides relief in all dry and hot illnesses that occur in human bodies, because when you compare the body of a person and its humidity to the composition of fire, you find that the human body is cold. 
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I say by the speech of that person, who has experienced this to me several times openly.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici,
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	And in other conditions, there is no need for fear, especially in cold and humid illnesses, because all doctors agree on these, and they do not disagree about treating them with cautery.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And know, sons, that the secret of healing through cautery with fire and its goodness, especially concerning cautery combined with burning medicine, is that fire is simple, the action of which only reaches the member being cauterized and does not affect the adjacent member except with a slight harm.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	And here is the translation of the given sentence:
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	Here is the translation of the given text line by line into English:
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And know, sons, that they forget the time in which it is appropriate to perform cautery and consider the best time of spring.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	And I say that cautery is convenient at all times, so that the harm caused by accidental time is submerged in the healing brought about by the cautery, and especially if the cautery is for necessary pains or to prevent pain, strong and urgent, which do not tolerate delay because it is feared that those may worsen, which are greater evils entering over time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And this does not fall into your views, or, children, this is only valued by the common people and foolish doctors, for that disease which is healed by cautery is not recommended at all times, and its consequence should be paused. 
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the cause is not as they think by this means, for cautery is nothing more than a method of medicine that alters composition and dries out the humors which are the cause of the pains.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	And yet cauteries are excessive in medicine due to the eagerness for its health benefits and the power of its operation and the greatness of its lord.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	And it is possible that their illness may return at some time, according to the constitution of the patient and the location of their illness, and their strength, and what is prepared in their body due to the accumulation of excesses within them, and what has been acquired by them through food and similar causes; but for an illness where a cautery is administered, it should be an illness subtle in a member with few excesses and moisture, just as a dental cautery for pain and similar issues, it is possible that such pain will not return to them, although this is done to a small extent.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	And the common saying is that cautery is the last resort of medicine, and this saying is true, not in the way that some people understand it, for I believe that there is no cure that benefits as much as medicine or any other cause before resorting to cautery. 
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	And the cause is contrary to that; and the intention that cautery is the last remedy of medicine is only when we administer treatments for certain diseases, and those medicines do not help, and then at the end of the treatment, one administers cautery, which proves effective in that case.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And now from here, it is not true that cautery is the last remedy of medicine, according to the understanding which the common people and many foolish doctors hold.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	And the ancients said that cautery with gold is better than cautery with iron, and they said this only because of the purity of gold and the nobility of its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And they said that the location of the cautery does not matter, but this is not absolutely true, for I have tried this and found that it only works on certain bodies and not others, and cautery with gold is good and better than with iron as they said; however, when you perform cautery with fire using gold, it is not clear to you, for it ignites according to the amount you want due to the hardness of the gold, and because it prepares to receive heat; and if you place fire upon it, the gold melts from the heat, and some flakes fall into the fire, causing issues for the craftsman due to this situation.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And for this reason, cautery is performed with an iron that is both lighter and more precisely applied to the correct procedure.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And I have already arranged this chapter on cautery according to sections, and I have organized those of the head between the feet, so that I can quickly provide the inquirer with what they seek from it.
De cauteri de dolor de cap per frigiditat e humiditat.	From cautery for headache caused by coldness and humidity.
Le capitol primier.	The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cautery is applied to humidity and coldness over the spleen, an accidental part where these are causes, thus it is a cause of rheumatic fluxes called rheumatism, from the head to parts of the eyes and ears that are affected, as well as excessive sleepiness, toothache, and jaw pain, and generally all diseases that come from coldness, such as paralysis, apoplexy, and similar illnesses.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this cautery is as follows: first, command the patient to be purged with laxative medicine for three or four nights, according to the strength of the patient, their age, and their habits.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	Then command that they shave their head with a razor. Then have the patient sit between your hands on a lowered bench and place their hands on their feet.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	Then place the root of your palm near the nostrils at the base of the nose between their eyes.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	However, when you have reached the middle of the area as mentioned, mark that spot with a probe, and then heat the olive-shaped cautery, which has this form:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And then place that over the marked area with tension, in such a way that it descends gradually, with which your hand should be applied little by little, and you turn that.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	And then lift your hand lightly and look at the area, and if you see any part of the bone exposed, about the size of a grain of barley, then raise your hand, and if it does not return by itself, use that instrument again or another one if it is cooled down, until the bone becomes visible as I have told you.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And then take a little salt and dissolve it over the area and leave it for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And then place over it a cloth soaked in butter and leave it there until the heat of the burn is destroyed.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	And then treat the area with a tetrapharmacon ointment until it is healed.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And it has also been said that when the wound remains open, washing it with honey is better, because it is more effective and more beneficial.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	And some of them say that the area around the bone should be cauterized, and the cautery should be applied until some part of the substance of the bone adheres to it.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And then remove what is attached to the bone, and then clean it.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	And others said that with the cautery, reach the buttock area, pressing strongly on the bone until it gives way, and this is the method of performing a small alfahcuti. 
E estiman de aquel loc expiran la vapors del cap.	And they believe that from that place, vapors escape from the head.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And if the wound is kept open for a long time, then it should be treated before it becomes consolidated.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	But I have not seen these two types of cautery used on everyone, but only in some people as a method of fear; and leave that aside, you must tell me, it is better for health when it is so; for the head is damaged by the disruption of its continuity just as we have testified in other members, and especially when the patient's head has a fragile nature.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	And the first type of cautery is safer and better, you must tell me; and from that point on, it should be done in a way that is beneficial to health.
Capitol segon.	Second chapter.
Del cauteri del cap.	About the cautery of the head.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When chronic and prolonged pain affects the entire head of the patient and you have used remedies such as scrapings, leeches, purges for the head, plasters, washes, baths, and poultices, especially if it has already been cauterized with a cautery that has not brought any benefit; then consider whether the patient's head is naturally of strong constitution and not fragile, with considerable heat. In this case, apply another type of cautery slightly different from the previous one.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And then cauterize that area above the horn of his skull with a cautery until the vein is severed. 
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Cut the tendon and expose the bone to the extent we have recounted, and cauterize that area with a cautery at the rear part of the head in the spot which is called the sinus — and it is the location where the suction cup is placed.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And move your hand in this manner, and do not expose the bone, for the patient will find much greater pain from this different from the pain of all other cauteries on the head.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	And I want to describe this cautery in its place, because the cautery with which you cauterize the horns of the head and the occiput is a more delicate cautery than that with which the middle part of the head is cauterized; and this is its form.
Capitol ters.	Chapter three.
De cauterisacio de emigranea no-antiqua.	On the cautery of non-traditional migraine.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When a persistent pain occurs in the head or extends into the eye, the head should be cleansed with medicines and other treatments should be administered as I have described in the sections on diseases; if all this does not help, then cautery is applied in two ways: either by means of an acute burning medicine or with iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	And for cautery with burning medicine, you should take a piece of wool, clean it thoroughly, and attach the ends of it to both sides.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	And then you cut into the painful area on the temple with a slanted lancet, placing it in such a way that the vein is hidden, or rather, concealed.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	And then apply pressure to it with a bandage using continuous compression, and leave it for the span of three hours; and then loosen it and remove it, and let the wound be open for two or three days, and then place over it cloth dipped in balsam until the area becomes red.
E aprop cura aquel am enguent entro que sia sanat.	And then treat it with ointment until it is healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you wish, do this with some medicinal substances which I have written about in the two treatises on burning medicines.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	Perform the cautery with an iron according to this method: heat the cautery iron, which has the following form:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	It is called a "claw cautery" because the head of it resembles the shape of a clove with some curvature, and in the middle part of it, there is a small elevation.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	And then place it on the site of the pain, and move your hand back and forth — so that the artery underneath does not stick — and rotate the iron little by little with speed.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the quantity of it that is adhered by the pressure of the chain is such as half of it, lift your hand so that the artery below is not adhered to, so that there is no flow of blood.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	And then soak a piece in salt water and place it over the area, and leave it there for three days; then place a bandage soaked with ointment, and then treat with an unguent until it is healed.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And if you do, cauterize with the tip of the cautery knife as a cautery, and be careful not to cut an artery in this non-traditional area. 
Capitol quart.	Capitol quart.
De cauterizacio d’emigranea antiqua.	Of the ancient method of cauterizing migraines.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you treat migraines using the methods we have discussed for previous treatments and in the divisions of diseases, and if the treatment does not prove effective, and sometimes due to the disease the first method with medicine or fire cauterization is not sufficient, then you must heat the scalpel-like cautery until it becomes white-hot, and mark the location of the pain with a line as long as half the width of your finger; then place your hand on it for a moment and press it so that the effect reaches the artery and goes deep into the bone.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	However, it is necessary for you to be careful with the continuity of the jaw, which is important for chewing, and that the tendon is not adhered and the nerves which affect it are not spasmed.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	And if it concerns the protection and caution regarding the blood flow from an artery that is to be cut, for there is fear in its cutting, especially for those who are ignorant of what they do and are not studious or experienced; thus, one should leave the operation to someone else at the beginning.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	And I come with a reminder of the regimen for blood flow accidents from arteries according to its manner, in its place within this book.
E si veses de aquesta malautia que no abaste aquest cauteri e veses le cors del malaute tollerable, cauteriza aquel en le mieg loc del cap ayssi cum havem recontat, e cura la plagua entro que sia sanada.	And if you find that this cautery is not enough for this disease and the body of the patient is tolerable, apply a cautery at the middle of the head as we have recounted, and treat the ailment until it is healed.
E si voys, aministra le cauteri le qual havem dit en le capitol de streccio de arceria am cauteri havent dos cotels, e es milhor cauterizacio aquesta e mays conferent.	And if you wish, administer the cautery that we have described in the chapter on artery rupture using a cautery with two blades, and this is a better and more appropriate cautery.
Capitol .v.	Chapter 5.
De cauterisacio de las dolors de aurelhas.	On the cautery of ear pains.
