Ayssi comensan las paraulas de Albucasim .	Here is the translation of the given line:
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And then untie the bandage according to their desires, and then dress the wound, and then keep it dry for several days and command that we loosen the binding; and this should be done until the thigh and foot are free from inflammation and have recovered.
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And I was called to him, and prepared to loosen the binding, and thus relief was obtained and the pain subsided.
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	But corruption had already set in the member, so it could not be restrained, and the corruption continued to spread throughout the limb until the patient was in peril.
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I saw another doctor who lanced a cancerous abscess, and it became ulcerated over the course of several days, until the malignancy of it was greatly increased under the care of the doctor.
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The cause is that cancer occurs due to a buildup of melancholic humors; therefore, it is not necessary for it to be treated with iron entirely, but rather the affected limb should be treated so that it is not completely destroyed.
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And for this reason, sons, it is necessary that the operation with me be divided into two parts: one part is an operation associated with health, and the other involves work where there is danger in the most critical conditions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor;
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	And therefore take up your weapons with diligence and protection of God, and treat your patients with happiness and firmness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the best way by the grace of God to lead to health and favorable outcomes, and leave behind terrible diseases that are hard to cure, and protect yourself from what makes you fear, so that doubt does not escape you in your faith and in your name: for more remains in your glory, and further on in this world and after for your sanctities.
Gualia ja diyssec en alcunas sieuas monicios:	When translating this text that blends elements similar to Latin, Italian, Spanish, and French, we interpret it with a focus on these languages' shared roots and medical terminology:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	Do not treat bad sicknesses poorly, so that you are not named a bad doctor.
E yeu ja he devesit aquest libre segontz tres capitols.	And I have already divided this book into three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	Begin the division of the book, and first of the first part.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter is ordered from head to foot, in the forms of the instruments and in the tools of the cauteries, and of what is necessary in the operation.
La divisio de la segonda partida.	The division of the second part.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, on drying and piercing, and on cupping, and on plasters, and on the extraction of arrows and similar objects, all chapters and ordered according to the forms of the instruments.
Divisio de la tersa partida.	The division of the third part.
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter, on restoration and dislocation, and on the treatment of fractures and similar conditions; a chapter ordered from head to foot, and concerning the forms of the instruments.
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	On cautery with fire and with sharp medicine and a reminder of the operation.
Am aquel comensa le tractat de tot le libre.	With that, the treatise on the entire book begins.
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	It is necessary that I speak of the qualities of the benefits and harms of that cautery, and in what circumstances the use of a cautery is prohibited.
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Therefore, I say that the discourse on the quality of the usefulness and harm of cauterization is long and tedious, subtle through science, and secretively hidden; many wise people have spoken about it, and they disagree among themselves, and for me, a little of their discourses suffices, fearing lengthiness.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	And thus it is said that cautery is beneficial to all complications universally, which are with matter or without matter, except for two complications, which are complications without matter.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the complication of cold and dry matter, they disagree; for some say that cauterization is helpful for this, and others say the opposite, that cauterization is not appropriate in a disease which is due to quality and dryness, because the nature of fire is heat and dryness, and it is inappropriate for a cold and dry disease to be treated with something that is hot and dry.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And let him say that one who states the opposite of this claims that cauterization brings improvement to all dry and hot diseases that come upon human bodies, for when you compare the body of a person and its moisture to the composition of fire, you find the human body lacking in moisture.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I say by the words of that person, who has experienced this several times to my knowledge.
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	However, this does not apply to someone who has already been extensively trained and exercised in the chapter of cauterization by prior practice, and who has known the diversity of human composition and the disposition of diseases within them, and their causes, as well as the accidents related to them, and the timing of those.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	However, in other compositions, there is no need for fear, especially in cold and moist diseases, because all doctors agree on these, and they do not disagree about treating them with cauterization.
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And know, sons, that the secret of healing through cauterization with fire and its effectiveness lies in the fact that it is simpler than cauterization with combustible medicine. The action of fire reaches only the member being cauterized and does not affect the adjacent member except with minimal harm.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	However, the action of combustible medicine affects not only the member being treated but also spreads to other members, often causing difficult-to-cure diseases and significantly increasing their severity.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	Here is the translation of the provided sentence, line by line:
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And know, sons, that they forget the time in which it is appropriate to perform cautery and consider the best time of spring.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	And I say that cautery is appropriate at all times, so that the harm caused by an accidental time is submerged in the benefit of what is drawn through the cautery, and especially if the cautery is for necessary pains or severe and acute pains, which do not tolerate delay because it is feared that malice may come from them, which is greater than a small harm entering over time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And this does not fall into your faults, or, sons, this is only esteemed by the common people and foolish doctors; thus, to that disease which is cured by cautery, it is not always recommended, and its consequences are paused.
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the cause is not as they think it to be because of this, for a cautery is only in place of medicine which alters the composition and dries out the moistures which are the cause of the pains.
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	But nevertheless, cauteries are excessive in medicine due to the haste for its health and the virtue of its operation and the greatness of its lord.
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	And it is possible that the disease may return at some time in the future, according to the patient's constitution and the location of their illness, and the strength of them, and what is prepared within their body due to the accumulation of excesses in them, and what has been acquired by them through food and similar causes; but if the disease for which cauterization is administered is a subtle disease with few excesses and moistures, like tooth cauterization for pain and similar cases, it is possible that such pain will not return to them, although this applies in small cases.
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	And the common saying is that cauterization is the last resort of medicine, and this saying is correct, not in the way some people understand it, because I believe that there is no cure that benefits from medicine or any other cause without resorting to cauterization. 
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	And the cause is contrary to that; and the intention that cautery is the last remedy of medicine is not so when we administer the methods of cure in some diseases, and those medicines do not produce results, and then at the end of the treatment, one administers cautery, and it proves effective for that.
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And here it is said that cautery is the last remedy of medicine, not according to the understanding which the common people and many foolish doctors hold.
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	And the ancients said that cautery with gold is better than cautery with iron, and they only said this because of the purity of gold and the excellence of its substance.
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And they said that the location of the cautery does not matter, but this is not absolutely true, for I have tested this and found that it is only effective in some bodies and not others, and cautery with gold is good and better than with iron as they claimed; however, when you perform cautery with fire using gold, it is not clear to you because the gold melts according to the amount of heat due to its softness, and it prepares to receive cold; and if you place it over the flame, the gold will melt from the fire, causing some flakes to fall into the fire which the craftsman cuts due to the occupation with that.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And for this reason, cautery is performed with an iron that is applied lightly and precisely during the operation.
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And I have already ordered this chapter concerning the cautery according to chapters, and have arranged those of the head among the feet, so that I may quickly provide the inquirer with what they seek from it.
De cauteri de dolor de cap per frigiditat e humiditat.	From cautery for headache caused by cold and humidity.
Le capitol primier.	The first chapter.
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cautery is applied to cold and humidity as the main cause of various ailments, which are caused by an abundance of rheumatic fluids, known as running, from the head to parts of the nose and ears, excessive sleep, toothache, and sore throat, and generally all diseases that come from cold, such as paralysis, dropsy, apoplexy, and similar conditions in those illnesses.
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this cautery is as follows: first, command the patient to be purged with laxative medicine for cleansing the head for three or four nights, according to the strength of the patient, their age, and their habits.
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And then command them to shave their head with a razor. Then have that person sit between your hands on a lowered bench and place their hands on their feet.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And then place the tip of your palm near the nostrils at the top of the nose between their eyes.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	But however, when the middle part of the thread has been reached, mark that place with a probe, and then light the olive-shaped cautery, which is of this form: 
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And then place that over the marked area with a bandage, in such a way that it descends gradually, with your hand slowly tightening little by little, and you rotate it.
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	And then lift your hand lightly and examine the area, and if you see any amount of bone exposed, like the size of a grain of barley, then raise your hand, and if it does not return when you remove your hand with that tool, use another one, if it is cooled, until the bone appears as I have said to you.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And then take a little salt and dissolve it over the area and leave it there for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And then place over it a cloth dipped in butter and leave it there until the heat of the burn is destroyed.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	And then treat the area with a tetrapharmacum ointment until it is healed.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And it has already been said that when the wound remains open, it is better to wash it with honey, because it is better and more beneficial.
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	And some of them said that the area around the bone should be cauterized, and the cautery should be held until some part of the bone's substance adheres to it.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And then remove what is adhered to the bone, and then clean it.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	And others said that with the cautery one should reach the buttocks, pressing strongly into the bone until it cracks, and this is the method of performing a small alfahcati. 
E estiman de aquel loc expiran la vapors del cap.	And they believe that from that place, vapors rise from the head.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And if the wound is kept open for a long time, then it should be treated before it becomes solidified.
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	And although I have not seen these two types of cauteries used on everyone, but only on some people out of fear; leave that aside, you must tell me, it is better for health when it happens; for the head is affected by the disruption of continuity just as we have testified in other members, and especially so when the patient's head is of a frail nature.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	And the first type of cautery is safer and better, you must tell me; and with that method and by working in this way, it is more beneficial to health.
Capitol segon.	Second chapter.
Del cauteri del cap.	About the cautery of the head.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When chronic and long-lasting pain occurs throughout the head and this condition is prolonged in the patient, and remedies such as plasters, poultices, head cleansings, emplasters, washes, ointments, and similar treatments have been used without success, especially if it has already been cauterized with a cautery that has not helped and has not benefited from those causes, then consider whether the patient's head is of strong constitution by nature; and if it is not frail and you find much coldness, then cauterize it with another type of cautery leaving that one aside for a while.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And then cauterize that area above the horn of his head with a cautery until the vein is severed. 
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Cut the cord and uncover the bone by the amount we have recounted, then cauterize that area with a cautery on the back part of the head at the location called the sinus — and it is in that spot where the suction cup is placed.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And move your hand in this manner, and do not uncover the bone, for the patient will find much greater pain from this than from the pain of all other cauteries on the head.
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	And I want to describe this cautery in its place, because the cautery with which you cauterize the horns of the head and the occiput is a finer cautery than that with which the middle part of the head is cauterized; and this is its form.
Capitol ters.	Third chapter.
De cauterisacio de emigranea no-antiqua.	On the cautery of non-traditional migraine.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When persistent pain occurs in the head or spreads within the eye, the head should be cleansed with medicines and other treatments should be administered as I have described in the sections on diseases; if all this is not effective, then cautery can be applied in two ways: either by using an acute burning medicine or with iron.
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	And with a medicinal cautery that burns, you should take a piece of cloth, and clean it, binding the ends of it from both sides.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	And then you incise the painful area on the temple with a slanted lancet such that it is placed in the exact spot where the vein is hidden.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	And then apply pressure on it with a bandage for constant constriction, and leave it in place for the duration of three hours; then remove the bandage and expose the wound, leaving the affected area open for two or three days, and then place a cloth over it that has been soaked in oil until the site becomes warm.
E aprop cura aquel am enguent entro que sia sanat.	And then treat it with ointment until it is healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you wish, do this with some caustic medicines, which I have written about in the two treatises on caustic medicines.
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	Perform the cauterization with an iron according to this method: heat the cautery iron, which has the following shape:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	It is called "claus clavilhs," because the end of it resembles the shape of a clove with some curvature, and in the middle of it there is a small prominence.
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	And then place your hand over the site of the pain, and hold it there — so that the artery underneath does not adhere — and gradually rotate the small iron with speed.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the quantity that is adhered by the pressure of the chain is such that it covers half of it, lift your hand so that the artery underneath does not adhere, so that blood flow does not occur.
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	And then soak a cloth in saltwater and place it over the area, leave it there for three days; then place a cloth soaked with ointment, and continue treating it with an unguent until it is healed.
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And if you must, cauterize using the tip of the cautery instrument as a cautery tool, and be careful not to cut the artery in this modern, non-traditional method.
Capitol quart.	Chapter four.
De cauterizacio d’emigranea antiqua.	On the cautery of traditional migraines.
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you treat migraines using the methods we have mentioned for previous treatments and as discussed in the sections on diseases, and if the treatment does not work, and sometimes due to the severity of the illness, what has been said about the first cautery with medicine or cautery with fire is not enough, then you must heat the cautery knife until it becomes white-hot, and apply it to the site of the pain using a line of length equal to half the width of your finger; then lift your hand once and press that area before cutting into the artery and reaching the bone.
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	However, it is necessary for you to guard against the continuation of the jaw, which is moved by chewing, and that the tendon is not adhered, nor the nerve that moves it, and that it does not result in spasm.
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	And if it is about the protection and caution of blood flow from an artery that is being cut, for in its cutting there is fear, and especially so for one who does not know what they are doing and is inexperienced and untrained; and leaves the operation to chance at the beginning.
E yeu vindre am rememoracio del regiment de flux de sanc accident de la arceria segon la sieua manieyra, en le sieu loc de aquest libre.	And I come with a reminder of the regimen for blood flow accidents from arteries according to its manner, in its place within this book.
E si veses de aquesta malautia que no abaste aquest cauteri e veses le cors del malaute tollerable, cauteriza aquel en le mieg loc del cap ayssi cum havem recontat, e cura la plagua entro que sia sanada.	And if you see that this disease does not respond to this cautery and the patient's body is tolerable, apply the cautery in the middle of the head as we have described, and treat the ailment until it is healed.
E si voys, aministra le cauteri le qual havem dit en le capitol de streccio de arceria am cauteri havent dos cotels, e es milhor cauterizacio aquesta e mays conferent.	And if you wish, administer the cautery which we have described in the chapter on artery rupture, using a cautery with two blades; this is a better and more appropriate cautery.
Capitol .v.	Chapter 5.
De cauterisacio de las dolors de aurelhas.	On the cautery of ear pains.
