Praefatio.	Foreword.
Et uidi medicum alium, qui accipiebat stipem apud quendam Ducum terrae nostrae propter medicinam: et accidit eunucho nigro, qui erat apud ipsum, fractura in crure eius prope calcaneum: et properauit medicus cum ignorantia sua, et strinxit fracturam super uulnus cum puluinaribus, et astellis strictura forti, et non dimisit uulneri expirationem.	And I saw another doctor who received a stipend from a certain Duke of our land because of his medical practice: and it happened to a black eunuch who was with him, that he had a fracture in his leg near the ankle: and the doctor, with his ignorance, treated the fracture with poultices, and bound it tightly with a bandage, and did not allow the wound to breathe.
Deinde absoluit eum secundum desyderia sua.	Then he dismissed him according to his foolish desires.
Postea dimisit eum diebus aliquot, et praecepit ei, ne solueret ligamentum: et stetit sic donec apostematum est crus eius, et ipsius pes, et peruenit ad perditionem.	Afterwards he sent him away for several days and instructed him not to remove the bandage: and it remained thus until his leg became infected and his foot, and it led to destruction.
Vocatus sum ergo ad eum: et properaui ad soluendum ligamentum: et consecuta est tranquillitas, et euasit a doloribus suis.	I was therefore called in for him: and I hastened to remove the bandage: and calmness followed, and he was freed from his pains.
Verumtamen corruptio iam confirmata erat in membro: et non potui refraenare ipsam.	However, the corruption had already become established in the limb: and I was not able to restrain it.
Pon ergo cessauit corruptio perambulare in membro, donec periit.	So then the corruption ceased to spread through the limb, until he died.
Et uidi medicum alium, qui perforauit apostema cancerosum: et ulceratum est post dies, donec magnificata est malicia eius cum domino ipsius.	And I saw another doctor who pierced a cancerous apostem: and it became ulcerated after days, until the evil of his lord was magnified with him.
Quod est, quia quando est cancer purus ex humore melancholico, tunc non oportet ut perueniatur ad eum cum ferro omnino, nisi sit in membro quod toleret, ut abscindatur totum eius.	What is, because when there is a pure cancer from melancholic humor, then it does not seem advisable to approach it with iron at all, unless it be in a member that can tolerate it, so that the whole of it may be cut away.
Et propter illud o Filii, necesse est uobis, ut sciatis, quod operatio cum manu diuiditur in duas diuisiones: scilicet, operationem cui associatur salus: et operationem, cum qua est periculum in pluribus dispositionibus.	And because of that, O sons, it is necessary for you to know that the operation with the hand is divided into two divisions: namely, an operation associated with salvation, and an operation in which there is danger in many dispositions.
Et ego iam excitaui in omni loco huius libri, in quo uenit operatio, in qua est terror et timor.	And I have already pointed out in every place of this book, where an operation comes up, in which there is fear and dread.
Quare necesse est uobis, ut caueatis illud, et dimitatis ipsum: ut non inueniant stolidi uiam ad loquendum, et dehonestandum.	Therefore it is necessary for you to beware of that, and to moderate it: so that the stupid ones may not find a way to speak about it, and to discredit it.
Accipite ergo mensuram cum sollicitudine et protectione, et infirmos uestros cum facilitate et firmitudine, et utimini uia meliore perducente gratia Dei ad salutem et successionem laudabilem: et dimittite aegritudines terribiles difficilis sanationis: et tollite animas uestras ab eo quod facit uos timere, ut ingrediatur super uos haesitatio in fide uestra et commodo uestro.	Receive therefore the measurement with solicitude and protection, and your infirmities with facility and firmness, and may you have a better way of proceeding by the grace of God to salvation and laudable succession: and abandon the terrible difficulties of difficult healing: and remove your souls from what makes you fear, so that hesitation may not creep over you in your faith and your comfort.
Est enim magis remanens ad gloriam uestram, et sublimius in mundo isto, et postremo ad quantitates uestras.	For it is more remaining to your glory, and more sublime in this world, and afterwards to your quantities.
Galenus enim iam dixit in quibusdam suis admonitionibus.	For Galen indeed has already said so in certain of his admonitions.
Non medicetis aegritudinem malam: ne nominemini medici mali.	You do not heal the bad illness: lest you be named a bad doctor.
Iam autem diuisi hunc Tractatum secundum tria Capitula. ¶	Now, however, I have divided this Treatise into three Chapters.
Capitulum primum.	First Chapter.
De Cauterio cum igne, et Cauterio cum medicina acuta, capitulatum, et ordinatum a capite usque ad pedes, et formis instrumentorum, et ferramentis Cauterii: et omni quod necessarium est in operatione. ¶	On Cauterization with fire, and Cauterization with acute medicine, chaptered, and arranged from head to feet, and the forms of instruments, and the furnishings of Cauterization: and all that is necessary for the operation.
Capitulum secundum.	Second Chapter.
De sectione et perforatione, phlebotomia et uentosis, et uulneribus: et extractione sagittarum, et similibus illius: et totum capitulatum, ordinatum formis instrumentorum. ¶	On incision and perforation, phlebotomy and venesection, and wounds: and the extraction of arrowheads, and similar things: and the entire chapter, arranged in the forms of instruments.
Capitulum tertium.	The third chapter.
De restauratione, et dislocatione, et curatione torsionis, et similibus illius: capitulatum, ordinatum a capite usque ad pedes, et formis instrumentorum.	On restoration and dislocation, and the treatment of twisting, and similar things:  chapter, arranged from head to foot, and in the forms of instruments.
Soli Deo Gloria.	To God alone be glory.
Liber Chirurgici Albucasis.	The Surgical Book of Albucasis.
Pars I.	Part I.
¶ De Iuuamento, et Nocumento Cauterii: et quibus complexionibus conueniat, et quo tempore: et si cum ferro, uel auro.	On cauterization and branding with hot irons: and with what complexions it is suitable, and when: and whether with iron or gold.
Caput I.	Chapter I.
Sed Ante Quidem Quam rememorer operationis cum eo, oportet ut dicam qualitatem Iuuamentorum eius, et Nocumentorum ipsius: et in qua complexione exhibeatur.	But before I discuss the operation with it, it is necessary that I describe the quality of its cauterizations and brandings: and in what complexions they are exhibited.
Dico ergo, quod sermo de qualitate iuuamenti Cauterii, et nocumenti eius, est sermo prolixus, et subtilis, scientia, et secretum occultum.	I say therefore that the discourse on the quality of cauterization by hot iron and its branding is a prolix, subtle, scientific, and hidden secret.
Etiam locuta fuit in eo multitudo sapientum, et dissenserunt in eo: et mihi quidem sufficit parum ex sermonibus eorum, timens prolongationem.	Also, many wise men have spoken about it, and they have disagreed about it: and to me, indeed, a little from their discourses is enough, fearing prolixity.
Dico ergo, quod Cauterium confert uniuersaliter omni complexioni, quae est cum materia, et absque materia: excaeptis duabus complexionibus, quae sunt complexio calida absque materia, et complexio sicca absque materia.	I say therefore that cauterization is suitable universally for every complexion, which is with matter and without matter: except for two complexions, which are the hot complexion without matter and the dry complexion without matter.
In complexione autem calida et sicca cum materia dissenserunt.	But in the hot and dry complexions with matter, they disagreed.
Quidam enim dixerunt, quod Cauterium iuuatiuum est in ea.	For some said that cauterization is beneficial in them.
Et dixerunt alii contrarium illius, scilicet quod Cauterium non est conueniens in aegritudine, quae est ex caliditate et siccitate: quoniam natura ignis est caliditas: et inconueniens est, ut sanetur ex agritudine calida et sicca, cum calido et sicco.	And others said the opposite, namely that cauterization is not suitable for a illness which arises from hot and dry qualities: since the nature of fire is heat: and it is unsuitable to be healed from a hot and dry illness with hot and dry things.
Et dixit ille qui dicit contrarium illius: quod per Cauterium fit iuuamentum in omni aegritudine calida et sicca, quae accidit in corporibus hominum: quoniam quando tu comparas corpus hominis, et humiditates eius, ad complexionem ignis, inuenis corpus hominis frigidum.	And he who says the opposite of that said: that through cauterization a remedy is made in every hot and dry affliction that occurs in human bodies; because when you examine the body of a man and its humidity, according to the complexion of fire, you find the body of a man to be cold.
Et ego quidem dico per sermonem eius: quia ex perimentum iam detexit mihi illud aliquotiens.	And I say through his discourse: because from my experiments he has already demonstrated that to me many times.
Verumtamen non oportet, ut ueniat super illud, nisi qui iam probatus est, et exercitatus in capitulo Cauterii exercitio ultimo, et cognouit diuersitatem complexionum hominum, et dispositionem aegritudinum in se ipsis, et caussas earum, et accidentia ipsarum, et spacium temporis earum.	However, it is not proper for him to come forward with that, unless he who has already been tested and exercised in the last chapter of Cauterii's exercise, and has recognized the diversity of human complexions, and the disposition of afflictions within themselves, and their causes, and their accidents, and their time span.
Ex reliquis autem complexionibus non est super uos timor: et praecipue in aegritudinibus frigidis et humidis.	But there is no fear from the remaining complexions over you: and especially in cold and moist afflictions.
Iam enim conuenerunt omnes medici super eas: et non dissenserunt in iuuamento cum Cauterio in eis.	For all physicians have come to an agreement about these: and they do not disagree with Cauterius in their remedies.
Et scitote filii, quod ex secreto curationis per Cauterium cum igne, et bonitate eius super Cauterium cum medicina comburente est: quoniam ignis est simplex, cuius actio non peruenit, nisi ad membrum quod cauterisatur: et non nocet membro alio coniuncto cum eo, nisi nocumento paruo.	And you should know, my sons, that the secret of curing through Cauterium with fire and its goodness is above Cauterium with combusting medicine: because fire is simple, whose action does not reach, unless to the member that is cauterized; and it does not harm another member joined to it, except by a small injury.
Medicinae uero comburentis actio peruenit ad illud quod elongatur ex membris: et fortasse facit accidere in membro aegritudinem difficilis sanationis, et fortasse interficit.	However, the action of combusting medicine reaches to that which is extended from the members; and perhaps it causes an affliction to occur in the member that is difficult to heal, and perhaps it interferes.
Ignis autem propter subtilitatem suam et bonitatem substantiae suae, non facit illud, nisi superfluat.	However, fire, because of its subtlety and the goodness of its substance, does not do that, unless it is excessive.
Iam uero innotuit nobis illud per experimentum, propter longitudinem seruitutis et studii cum arte, et stationem super ueritatem rerum: et propter illud excusor a longitudine sermonis.	For we have learned that through experience, because of the length of service and study with art, and standing upon the truth of things; and because of that I excuse myself from the length of the discourse.
Et si non esset, quia non licet huic libro meo, afferrem uobis secretum occultum in igne, et qualitatem operationis eius in corporibus expulsionis suae, qua expellit aegritudines sermone philosophico demonstratiuo, qui acueretur a mentibus uestris.	And if it were not, because it is not permitted to me in this book of mine, I would reveal to you the hidden secret in fire, and the quality of its operation on bodies through expulsion of their own diseases, which expels diseases by philosophical demonstration, which will be impressed upon your minds.
Et scitote filii, quod ipsi dissentiunt in tempore, in quo conuenit fieri cauterium, et ponunt melius tempus ueris.	And you know, my sons, that they disagree among themselves at the time when it is suitable to perform cauterization, and they set a better time for spring.
Et ego dico, quod cauterium conuenit in omni tempore: propterea, quod nocumentum accidens propter tempus submergitur in iuuamento, quod attrahitur cum cauterio.	And I say that cauterization is suitable at any time; because, when a harmful accident occurs due to the season being submerged in youth, which is attracted with cauterization.
Et praecipue si cauterium est propter dolores ex doloribus necessariis, fortibus, festinis, qui non tolerant tarditatem: propterea quod timetur ex eis, quod accidat malicia quae est maior, quam paruum nocumentum intrans propter tempus.	And especially if cauterization is because of pains from necessary pains, strong, swift, which do not tolerate delay: therefore, because it is feared that a greater evil may occur, which is more than the small harm that occurs at that time.
Et non cadat in mentibus uestris o filii illud, quod non extimant, nisi uulgus et stolidi medici, scilicet quod illi aegritudini quae sanatur per cauterium, non est reditio semper: et ponunt illud consequens, et res non est sicut putant: propterea quod cauterium non est, nisi loco medicinae, quae alterat complexionem, et exiccat humiditates quae sunt caussae, quare accidunt dolores.	And do not let it occur to your minds, my sons, that they do not esteem, except the common and foolish physicians, namely that those diseases which are healed by cauterization, are not always a return: and they set forth that consequence, and the thing is not as they think: therefore, because cauterization is not, unless it changes the complexion, and dries out the humidities which are the causes, whence pains occur.
Verumtamen cauterium superfluit super medicinam per uelocitatem ualetudinis suae, et uirtutem suae operationis, et uehementiam dominii sui: et possibile est, ut redeat aegritudo hora aliqua temporis secundum complexionem infirmi, et locationem aegritudinis suae, et uirtutem eius: et quod praeparatur in corpore eius ex aggregatione superfluitatum in eo: et quod peruenit ad ipsum in acquisitione sua ex cibis, et similibus illis ex caussis, nisi fit aegritudo, in qua administratur cauterium.	However, cauterization is superior to medicine through the swiftness of its healing, and the virtue of its operation, and the vehemence of its dominion: and it is possible that the disease may return at some time according to the complexion of the infirm person, and the location of the disease itself, and its virtue: and what is prepared in his body through an aggregation of superfluous things in it: and what reaches him in his acquisition from foods and similar causes, unless there is a disease for which cauterization is administered.
Aegritudo subtilis in membro paucarum superfluitatum, et humiditatum, sicut cauterium dentis, propter dolorem, et similia illi, possibile est enim, ut non redeat in eo ille dolor.	A subtle numbness in a few limbs that are swollen and moist, such as a burn from a tooth, due to pain, and similar to that, it is possible that the pain does not return to it.
Sed illud fit in paucis.	But that occurs in a few.
At uero sermo uulgi iterum, quod cauterium est postremum medicinae, est sermo rectus: non ad illud quod ipsi intendunt in illo: quoniam ipsi credunt, quod non est curatio quae conferat cum medicina, neque cum alio post occasum cauterii.	But truly the common speech is wrong, since cauterization is a last resort of medicine, and it's a correct speech: not towards that which they intend in it; because they believe that there is no cure that can be accomplished with medicine, nor with anything else after the use of cauterization.
Res autem est econtrario illius, et intentio, quod cauterium est postremum medicinae, non est, nisi quod quando nos administramus modos curationis in aliqua aegritudinum, et non conferunt illae medicinae: deinde administramus in fine rei cauterium, et confert: tunc inde cadit, quod cauterium est postremum mediciuae, non secundum intentionem quam intelligunt uulgus et multistolidorum medicorum.	The reality is contrary to that, and the intention, that cauterization is a last resort of medicine, is not so; unless when we administer methods of cure in some numbness, and they do not confer with those medicines: then we administer cauterization at the end, and it confers; therefore it falls, that cauterization is a last resort of medicine, not according to the intention which the common people and many stupid doctors understand.
Antiqui autem dixerunt, quod cauterium cum auro est melius, quam cauterium cum ferro: et non dixerunt illud, nisi propter aequalitatem auri, et sublimitatem substantiae suae: et dixerunt, quod non facit pus locus cauterii.	The ancients, however, said that cauterization with gold is better than cauterization with iron; and they did not say that, except because of the equality of gold, and the sublimity of its substance: and they said that it does not produce pus at the place of cauterization.
Verum non est illud absolute: quoniam ego iam probaui illud, et inueni, quod ipsum non facit illud in quibusdam corporibus absque aliis.	That is not absolutely true: because I have already tested that, and found that it does not do that in certain bodies without others.
Et cauterium cum ipso est bonum, et melius quam cum ferro, sicut dixerunt.	And cauterization with gold itself is good, and better than with iron, as they said.
Verumtamen quando tu ignis cauterium in igne ex auro, non declaratur tibi, quando ignitur secundum quantitatem quam uis, propter rubedinem auri: et quando properat ad ipsum frigus, et si addis super ipsum ignitionem, liquescit in igne, et uertitur in laminas.	However, when you heat cauterization fire in a gold fire, it is not declared to you, when it is ignited according to the quantity that you want, because of the redness of the gold: and when it approaches the cold, and if you add ignition on top of it, it melts in the fire and turns into plates.
Quare cadit artifex ex illo in occupationem: et propter illud fit Cauterium cum ferro apud nos uelocius et propinquius, ex rectitudine ad operationem.	Therefore the craftsman falls from that into the occupation: and because of that, cauterization with iron is more suitable and closer to us, due to its straightforwardness in operation.
Et ego quidem iam ordinaui hoc Capitulum in Cauterio, secundum capitula: et ordinaui ea a capite usque ad pedes: ut alleuient quaerenti illud quod uult ex eo.	And I have already arranged this chapter on cauterization, following the chapters; and I have arranged it from head to feet, so that they may find quickly what they want from it.
¶ De modo cauterizandi Caput in commissura coronali.	On the method of cauterizing the head at the crown's commissure.
Caput II.	Head 2.
Confert hic cauterizatio ad dominium humiditatis et frigiditatis super cerebrum: quae duae sunt caussae sodae, et multitudinis fluxus humorum ex capite ad partes oculorum et aurium, et multitudinis somni, et doloris dentium, et doloris gutturis: et uniuersaliter omnis aegritudinis, quae accidit ex frigiditate, sicut paralisis, et sodae, epilepsiae, et apoplexiae, et similia illis ex aegritudinibus.	Here cauterization is beneficial for mastering humidity and coldness on the brain, which are two causes of diseases, and many fluxes of humors from the head to the parts of the eyes and ears, and many sleep disorders, and toothaches, and throat pains; and universally all sicknesses that occur from coldness, such as paralysis, and diseases, epilepsy, and apoplexy, and similar ones from those sicknesses.
Modus cauterizationis est, ut praecipias infirmo: ut euacuetur in primis cum medicina solutiua mundificante caput tribus noctibus, aut quatuor, secundum quod exigit uirtus infirmi, et eius aetas, et consuetudo eius.	The method of cauterization is to prepare the patient: so that they may be evacuated in the first place with cleansing medicine, purifying the head for three nights or four, according to what the strength of the patient requires, and their age, and their habit.
Deinde praecipe ei, ut radi faciat caput suum cum nouacula.	Then advise them to shave their head with a razor.
Deinde fac eum sedere inter manus tuas quadratum, ita quod iam posuit manus suas super pectus suum.	Then make him sit between your hands squarely, so that he has already placed his hands on his chest.
Deinde pone radicem palmae tuae super radicem nasi sui inter oculos suos.	Then put the root of your palm over the root of his nose between his eyes.
Vbicumque ergo peruenerit digitus tuus medius, signa locum illum cum incausto.	Wherever your middle finger touches, mark that place with a cauterization.
Deinde igni Cauterium Oliuare: cuius haec est forma.	Then apply the cautery of olive oil: this is its form.
Deinde pone ipsum super locum signatum cum incausto, descensione, qua constringatur manus tua paulatim, et tu reuolues ipsum.	Then place it over the marked spot with the cautery, descending gradually, as your hand contracts slowly, and you turn it around.
Deinde leua manum tuam uelociter, et aspicias locum.	Then lift your hand quickly, and inspect the spot.
Quod si uides iam detegi ex osse quantitatem capitis alkiel, aut quantitatem zeuherbi, tunc eleua manum tuam.	If you see that it has already drawn out a quantity of brain marrow or a quantity of zeolite, then lift your hand.
Et si non, itera manum tuam ferro ipso, aut cum alio ab ipso si infrigidatur: donec uideantur ossa, quae dixi tibi.	And if not, repeat with your hand in the same place, or with another from the same place if it becomes cold: until you see the bones, which I told you.
Deinde sume aliquid ex sale, et solue illud in aqua, et imbibe in ipso cotum, et pone super locum: et dimitte ipsum tribus diebus.	Then apply something from salt, and dissolve it in water, and soak the same cotton, and put it on the location: and leave it there for three days.
Deinde pone super ipsum cotum imbibitum in butyro, et dimitte illum super locum, donec destruatur eschara ignis.	Then put the cotton soaked in butter on it, and leave it on the location until the scab is destroyed by fire.
Deinde cura illud cum unguento tetrapharmacon, usquequo sanetur.	Then treat it with four-drug ointment, until it heals.
Iam dixerunt, quod quanto uulnus plus remanet apertum, emittit pus: quare est melius et magis iuuatiuum.	Some have said that when the wound remains open for a longer time, it discharges pus; therefore it is better and more beneficial.
Et dixerunt quidam eorum, ut cauterizetur cutis usque ad os: et teneatur Cauterium, donec aduratur quiddam spissitudinis ossis.	And some of them have said that the skin should be cauterized up to the bone: and the cautery should be held in place until it reaches a certain degree of hardness of the bone.
Deinde radatur post illud quod adustum est ex osse, deinde curetur.	Then scrape off what has been burned onto the bone, then treat it.
Et dicunt alii, quod oportet ut cum cauterio perueniatur ad ultimum, donec imprimat in os impressionem for tem, ita quod cadat os, quod fit sicut forma kirate: aut instrumentum quod mulieres ponunt infuso alphabeti parui: et extimant, quod exspirantur ex hoc loco uapores capitis, et dimittatur uulnus apertum tempore longo.	And others say that it is necessary to reach the bone with the cautery until the end, so that it makes an impression on the bone, so that it becomes like a shell shape: or an instrument which women use for inserting small letters: and they think that vapors rise from this place to the head, and the wound should be left open for a long time.
Deinde curetur, donec consolidetur.	Then treat it, until it consolidates.
Mihi autem non uidentur hae duae species Cauterii omnino nisi in quibusdam hominibus secundum uiam timoris.	But to me, these two methods of cauterization do not seem useful at all, except in certain men according to the way of fear.
Et dimittere ipsum, apud me est melius cum salute ipsius.	And to leave it alone is better for me, with the safety of his own health.
Debilitatur enim caput ex solutione continuitatis ipsius naturalis: sicut testificati sumus in reliquis membris: et praecipue quando caput infirmi debile est natura: et species quidem Cauterii prima est magis salua et melior apud me, et ea utor: operare ergo cum ea in salute.	For the head is weakened by the dissolution of its natural continuity: as we have testified to in other members: and especially when the head of the infirm person is weak by nature: and indeed the first species of cauterization is safer and better for me, and I approve it: therefore operate with it for health.
¶ De modo cauterizandi capitis in dolore totius capitis.	On the method of cauterizing the head in pain of the whole head.
Caput III.	Head 3.
Quando in toto Capite accidit dolor chronicus: et prolongatur illud in infirmo, et utitur hyeris, et cochiis, et caputpurgiis, et oleis, et empleumatis.	When a chronic pain occurs throughout the whole head, and it is prolonged in the weak, and it uses yawning, and hiccuping, and purging of the head, and anointing with oil, and applying poultices.
Et praecipue si iam cauterizatum est cauterio uno, quod narrauimus, et non confert ei aliquid ex illis: tunc considera.	And especially if it has already been cauterized with one cautery, which we have described, and nothing of those things helps it: then consider.
Nam si caput infirmi est fortis creationis natura, et non est debile, et inuenit frigus uehemens: tunc cauteriza cum cauterio alio sub illo parum.	For if the head of the weak patient is of a strong natural constitution, and it is not feeble, and it finds a violent cold: then cauterize with another cautery beneath that place a little.
Deinde cauteriza ipsum super omne cornu capitis sui cauterio, do nec pertranseat cutis, et discooperiatur ex osse quantitas, quam narrauimus.	Then cauterize him on the entire crown of his head with a cautery, so that it does not penetrate through the skin, and a quantity of bone is disclosed, as we have described.
Et cauteriza ipsum cauterio uno in occipitio capitis sui, in loco qui nominatur uas: et est locus in quo ponitur uentosa: et eleua matum tuam in hoc, et non discooperias os.	And cauterize him with one cautery on the back of his head, in the place that is called "uas": and it is a place where a vein is located: and elevate your material in this, and do not disclose the bone.
Infirmus enim inuenit propter illud dolorem uehementem, et diuersum a dolore reliquorum cauteriorum capitis omnium.	For the weak patient finds relief from that violent pain, and is freed from the pain of the remaining cauteries of his entire head.
Et ego dicam hoc Cauterium in loco suo: et oportet quod sit cauterium, quo cauterizantur cornua capitis, et occiput eius subtilius cauterio, quo cauterizatur medium capitis.	And I say that this Cautery is in its proper place: and it is necessary that there be a cautery, with which the crowns of the head are cauterized, and his back is more subtly cauterized with a cautery, with which the middle of the head is cauterized.
Et haec est forma eius.	And this is its form.
¶ De modo cauterizandi in hemicrania, tam cum medicina adustiua, quam cum ferro.	Concerning the method of cauterizing in hemicania, both with a medicinal burnt treatment and with iron.
Caput IIII.	Head 4.
Quando accidit in parte capitis dolor et soda, aut extenditur dolor usque ad oculum, et euacuatur cum medicinis mundificantibus caput, et administratur reliqua curatio, quam dixi in diuisionibus aegritudinum, et non confert illud totum: tunc cauterizatio in eo est secundum duos modos: aut cauterizatio cum medicina acuta comburente: aut cum ferro.	When pain and soreness occur in part of the head, or the pain extends to the eye, and it is cleansed with purifying medications, and the remaining treatment is administered, as I said in the divisions of diseases, and it does not help entirely: then cauterization there is according to two methods: either cauterization with a sharp burning medicine, or with iron.
Cauterium autem cum medicina acuta comburente, est, ut accipias dentem unum allii, et excortices ipsum, et abscindas extremitates eius ex duobus lateribus.	The cauterization is done with acute medicine, burning as you receive one of the teeth of the other, and you excise it, and you cut off its extremities from both sides.
Deinde scinde locum doloris in tempore cum phlebotomo lato, donec fiat in eo locus sub cute, in quo dens capitur.	Then, you make an incision at the place of pain at the time with a broad scalpel, until it becomes a spot beneath the skin, where the tooth is seized.
Intromitte ergo eum in ipso sub cute, donec occultetur: deinde stringe super ipsum cum puluillo constrictione decenti, et dimitte ipsum quantitate quindecim horarum deinde solue eum, et extrahe allium, et dimitteuulnus duobus diebus, aut tribus: postea pone super ipsum cotum submersum in butyro, donec locus efficiat pus: deinde cura ipsum cum unguento usquequo sanetur.	Introduce it therefore beneath the skin, until it is hidden: then bind above it with a decent constriction of poultice, and leave it for fifteen hours; then loosen it, and extract the tooth, and leave it for two days, or three. Afterwards, put above it a submerged cotym covered in butter, until the place makes pus: then treat it with ointment until it is healed.
Et si uis fac illud cum quibusdam medicinis comburentibus, quas ego scripsi in tractatu duodecimo, de Medieinis adurentibus.	And if you wish to do that with certain burning medicines, which I wrote about in the twelfth treatise, concerning medicines that draw out.
Cauterizatio uero eius cum ferro, est secundum hunc modum.	The cauterization is indeed done with iron, according to this method.
Igni Cauterium, cuius forma haec est.	A fiery cauterization, whose form is this.
Et nominatur Clauilis: quoniam forma capitis eius est sicut forma claui, in quo est quiddam curuitatis, et in medio eius est quaedam eminentia parua.	And it is named Clavulus; because the form of its head is like the form of a little nail, in which there is some curvature, and in its middle there is a small prominence.
Deinde pone ipsum super locum, et retine manum tuam: et tu reuolue ferrum paulatim cum uelocitate: et sit quantitas quae aduritur ex spissitudine cutis, sicut medietas eius.	Then put it on the spot, and hold your hand firm; and you rotate the iron slowly with speed: and let the amount that is burned be from the thickness of the skin, as its middle.
Et eleua manum tuam, ut non aduratur arteria, quae est inferius, et accidat fluxus sanguinis.	And lift your hand, so that the artery which is below is not burned, and a flow of blood occurs.
Deinde imbibe cotum in aqua salis, et pone super locum, et dimitte ipsum tribus diebus: deinde pone cotum cum butyro: postea cura cum unguento usquequo sanetur.	Then soak the cotym in salt water, and put it on the spot, and leave it for three days: then put the cotym with butter: afterwards treat it with ointment until it is healed.
Et si uis, cauteriza hanc hemicraniam cum extremitate cultellari secunda Cauterii.	And if you wish, cauterize this half of the skull with the secondary edge of the scalpel's cauterization.
Et caue ab incisione arteriae in hac hemicrania, non antiqua proprie.	And beware of cutting into an artery in this half-cranium, not in the ancient proper way.
¶ De modo cauteriezandi in hemicrania antiqua.	Concerning the method of cauterizing in the ancient half-cranium.
Caput V.	Head 5.
