Praefatio.	Foreword.
¶ De Iuuamento, et Nocumento Cauterii: et quibus complexionibus conueniat, et quo tempore: et si cum ferro, uel auro.	About cauterization and burning: and with which complexions it is suitable, and at what time: and whether with iron or gold.
Caput I.	Chapter I.
Sed Ante Quidem Quam rememorer operationis cum eo, oportet ut dicam qualitatem Iuuamentorum eius, et Nocumentorum ipsius: et in qua complexione exhibeatur.	But before I recall the operation with it, it is necessary that I describe the quality of its cauterizations and burnings: and in what complexions they are exhibited.
Dico ergo, quod sermo de qualitate iuuamenti Cauterii, et nocumenti eius, est sermo prolixus, et subtilis, scientia, et secretum occultum.	I say therefore, that the discourse on the quality of cauterization and its burning is a profound and subtle science, a hidden and occult secret.
Etiam locuta fuit in eo multitudo sapientum, et dissenserunt in eo: et mihi quidem sufficit parum ex sermonibus eorum, timens prolongationem.	Many wise men have also spoken about it, and they have disagreed about it; and for me, a little of their discourses is enough, fearing prolixity.
Dico ergo, quod Cauterium confert uniuersaliter omni complexioni, quae est cum materia, et absque materia: excaeptis duabus complexionibus, quae sunt complexio calida absque materia, et complexio sicca absque materia.	I say therefore, that cauterization is universally beneficial to every complexion, which is with matter and without matter, except for two complexions, which are the hot complexion without matter and the dry complexion without matter.
In complexione autem calida et sicca cum materia dissenserunt.	But in the hot and dry complexions with matter, they disagreed.
Quidam enim dixerunt, quod Cauterium iuuatiuum est in ea.	For some said that cauterization is beneficial in them.
Et dixerunt alii contrarium illius, scilicet quod Cauterium non est conueniens in aegritudine, quae est ex caliditate et siccitate: quoniam natura ignis est caliditas: et inconueniens est, ut sanetur ex agritudine calida et sicca, cum calido et sicco.	And others said the opposite, namely that cauterization is not suitable for the ailment which arises from heat and dryness: because the nature of fire is heat: and it is unsuitable to be healed from a hot and dry ailment with something hot and dry.
Et dixit ille qui dicit contrarium illius: quod per Cauterium fit iuuamentum in omni aegritudine calida et sicca, quae accidit in corporibus hominum: quoniam quando tu comparas corpus hominis, et humiditates eius, ad complexionem ignis, inuenis corpus hominis frigidum.	And he who spoke against him said: that through cauterization there is a remedy for every hot and dry ailment that occurs in the bodies of men: because when you compare the body of man and its humidity to the complexion of fire, you find the body of man to be cold.
Et ego quidem dico per sermonem eius: quia ex perimentum iam detexit mihi illud aliquotiens.	And I certainly say this through his discourse: because from experimentation he has already revealed to me that same thing many times.
Verumtamen non oportet, ut ueniat super illud, nisi qui iam probatus est, et exercitatus in capitulo Cauterii exercitio ultimo, et cognouit diuersitatem complexionum hominum, et dispositionem aegritudinum in se ipsis, et caussas earum, et accidentia ipsarum, et spacium temporis earum.	However, it is not suitable to proceed with that unless one has already been tested and exercised in the last chapter of Cauterii's exercise, and has recognized the diversity of human complexions, and the disposition of illnesses within themselves, and their causes, and their accidents, and the space of time of those things.
Ex reliquis autem complexionibus non est super uos timor: et praecipue in aegritudinibus frigidis et humidis.	From the remaining complexions, there is no fear concerning you: and especially in cold and moist illnesses.
Iam enim conuenerunt omnes medici super eas: et non dissenserunt in iuuamento cum Cauterio in eis.	For all physicians have agreed on these things: and they did not disagree with Cauterius in their judgment concerning them.
Et scitote filii, quod ex secreto curationis per Cauterium cum igne, et bonitate eius super Cauterium cum medicina comburente est: quoniam ignis est simplex, cuius actio non peruenit, nisi ad membrum quod cauterisatur: et non nocet membro alio coniuncto cum eo, nisi nocumento paruo.	And you should know, son, that the secret of healing through Cauterium with fire and its goodness is superior to Cauterium with medicine combining to burn: because fire is simple, whose action does not reach, unless to the member that is cauterized: and it does not harm another member connected to it, except by a small injury.
Medicinae uero comburentis actio peruenit ad illud quod elongatur ex membris: et fortasse facit accidere in membro aegritudinem difficilis sanationis, et fortasse interficit.	On the other hand, the action of medicine combining to burn reaches to that which is extended from the members: and perhaps it causes difficulty in healing an illness in a member, and perhaps it kills.
Ignis autem propter subtilitatem suam et bonitatem substantiae suae, non facit illud, nisi superfluat.	Fire, however, because of its subtlety and the goodness of its substance, does not do that, unless it is in excess.
Iam uero innotuit nobis illud per experimentum, propter longitudinem seruitutis et studii cum arte, et stationem super ueritatem rerum: et propter illud excusor a longitudine sermonis.	Now that has been known to us through experience, because of the length of service and study with art, and standing upon the truth of things: and because of that I excuse myself from the length of the sermon.
Et si non esset, quia non licet huic libro meo, afferrem uobis secretum occultum in igne, et qualitatem operationis eius in corporibus expulsionis suae, qua expellit aegritudines sermone philosophico demonstratiuo, qui acueretur a mentibus uestris.	And if it were not so, because it is not permitted in this book of mine, I would bring to you the hidden secret in fire, and the quality of its operation in bodies for expelling their own illnesses, which drives out diseases through philosophical demonstration, which would be clear to your minds.
Et scitote filii, quod ipsi dissentiunt in tempore, in quo conuenit fieri cauterium, et ponunt melius tempus ueris.	And you should know, son, that they themselves disagree on the time in which it is convenient to perform cauterization, and they set a better time for spring.
Et ego dico, quod cauterium conuenit in omni tempore: propterea, quod nocumentum accidens propter tempus submergitur in iuuamento, quod attrahitur cum cauterio.	And I say that cauterization is suitable at all times; therefore, because the noxious thing which happens on account of the time is submerged in the inflammation, which is attracted with the cauterization.
Et praecipue si cauterium est propter dolores ex doloribus necessariis, fortibus, festinis, qui non tolerant tarditatem: propterea quod timetur ex eis, quod accidat malicia quae est maior, quam paruum nocumentum intrans propter tempus.	And especially if cauterization is due to pains from necessary painful things, strong, urgent, which do not tolerate delay: therefore because it is feared that a greater evil may occur, which is more than the small harm that enters on account of time.
Et non cadat in mentibus uestris o filii illud, quod non extimant, nisi uulgus et stolidi medici, scilicet quod illi aegritudini quae sanatur per cauterium, non est reditio semper: et ponunt illud consequens, et res non est sicut putant: propterea quod cauterium non est, nisi loco medicinae, quae alterat complexionem, et exiccat humiditates quae sunt caussae, quare accidunt dolores.	And let not that fall into your minds, O sons, that which they do not expect, unless it is the common and foolish doctors, namely that those diseases which are healed by cauterization are not always cured: and they put that consequence, and the thing is not as they think: therefore because cauterization is not, unless in place of medicine, which alters the temperament, and dries out the humidities which are the causes, whence pains occur.
Verumtamen cauterium superfluit super medicinam per uelocitatem ualetudinis suae, et uirtutem suae operationis, et uehementiam dominii sui: et possibile est, ut redeat aegritudo hora aliqua temporis secundum complexionem infirmi, et locationem aegritudinis suae, et uirtutem eius: et quod praeparatur in corpore eius ex aggregatione superfluitatum in eo: et quod peruenit ad ipsum in acquisitione sua ex cibis, et similibus illis ex caussis, nisi fit aegritudo, in qua administratur cauterium.	However, cauterization exceeds medicine by the speed of its healing, and the virtue of its operation, and the vehemence of its mastery: and it is possible that the disease may return at some time according to the temperament of the infirm person, and the location of their disease, and its virtue: and what is prepared in their body from the aggregation of superfluous things in it: and what reaches them in their acquisition from foods and similar things, unless there is a disease, in which cauterization is administered.
Aegritudo subtilis in membro paucarum superfluitatum, et humiditatum, sicut cauterium dentis, propter dolorem, et similia illi, possibile est enim, ut non redeat in eo ille dolor.	A subtle disease in a few members, with superfluity and humidity, such as cauterization of the tooth, on account of pain, and similar things, it is possible indeed, that the pain may not return to it.
Sed illud fit in paucis.	But it happens in a few cases.
At uero sermo uulgi iterum, quod cauterium est postremum medicinae, est sermo rectus: non ad illud quod ipsi intendunt in illo: quoniam ipsi credunt, quod non est curatio quae conferat cum medicina, neque cum alio post occasum cauterii.	But indeed the common speech is wrong, that cauterization is the last resort of medicine, it is a correct speech: not according to what they intend in that: because they believe that there is no cure which can be conferred with medicine, nor with another after the occasion of cauterization.
Res autem est econtrario illius, et intentio, quod cauterium est postremum medicinae, non est, nisi quod quando nos administramus modos curationis in aliqua aegritudinum, et non conferunt illae medicinae: deinde administramus in fine rei cauterium, et confert: tunc inde cadit, quod cauterium est postremum mediciuae, non secundum intentionem quam intelligunt uulgus et multistolidorum medicorum.	The thing is contrary to that intention, and the purpose, which is that cautery is the last resort of medicine, is not so, unless when we have administered modes of curation in some disease and they do not concur with those medicines: then we administer cautery at the end, and it is effective: therefore it falls out that cautery is the last resort of medicine, not according to the intention which the common people and many foolish doctors understand.
Antiqui autem dixerunt, quod cauterium cum auro est melius, quam cauterium cum ferro: et non dixerunt illud, nisi propter aequalitatem auri, et sublimitatem substantiae suae: et dixerunt, quod non facit pus locus cauterii.	The ancients said that cautery with gold is better than cautery with iron: and they did not say this except because of the equality of gold and the subtlety of its substance: and they said that it does not produce pus at the site of the cautery.
Verum non est illud absolute: quoniam ego iam probaui illud, et inueni, quod ipsum non facit illud in quibusdam corporibus absque aliis.	That is not absolutely true: because I have already tested it and found that it does not do so in certain bodies without others.
Et cauterium cum ipso est bonum, et melius quam cum ferro, sicut dixerunt.	And cautery with gold itself is good, and better than with iron, as they said.
Verumtamen quando tu ignis cauterium in igne ex auro, non declaratur tibi, quando ignitur secundum quantitatem quam uis, propter rubedinem auri: et quando properat ad ipsum frigus, et si addis super ipsum ignitionem, liquescit in igne, et uertitur in laminas.	However, when you ignite gold cautery in the fire, it is not declared to you, when it is ignited according to the quantity that you wish, because of the reddishness of the gold: and when it approaches the cold, and if you add ignition on top of it, it liquefies in the fire and turns into layers.
Quare cadit artifex ex illo in occupationem: et propter illud fit Cauterium cum ferro apud nos uelocius et propinquius, ex rectitudine ad operationem.	Therefore the craftsman falls away from that into occupation: and because of that, cautery with iron is more expedient and closer to us in terms of correctness for the operation.
Et ego quidem iam ordinaui hoc Capitulum in Cauterio, secundum capitula: et ordinaui ea a capite usque ad pedes: ut alleuient quaerenti illud quod uult ex eo.	And I have indeed already arranged this Chapter on Cautery according to chapters: and I have arranged those from head to feet, so that they may be of use to anyone seeking what they want from it.
¶ De modo cauterizandi Caput in commissura coronali.	On the method of cauterying the Head in the coronal suture.
Caput II.	Head 2.
Confert hic cauterizatio ad dominium humiditatis et frigiditatis super cerebrum: quae duae sunt caussae sodae, et multitudinis fluxus humorum ex capite ad partes oculorum et aurium, et multitudinis somni, et doloris dentium, et doloris gutturis: et uniuersaliter omnis aegritudinis, quae accidit ex frigiditate, sicut paralisis, et sodae, epilepsiae, et apoplexiae, et similia illis ex aegritudinibus.	Here cautery is beneficial for dominating humidity and coldness on the brain: which are two causes of swelling, and a multitude of fluxes of humors from the head to the parts of the eyes and ears, and a multitude of sleep, and toothache, and throat pain: and universally all diseases that occur from coldness, such as paralysis, and swelling, epilepsy, and apoplexy, and similar ones from diseases.
Modus cauterizationis est, ut praecipias infirmo: ut euacuetur in primis cum medicina solutiua mundificante caput tribus noctibus, aut quatuor, secundum quod exigit uirtus infirmi, et eius aetas, et consuetudo eius.	The method of cauterization is to prescribe for the weak: that he should be evacuated with a cleansing medicine on three or four nights, according to what the virtue of the weak person requires, and their age, and their habit.
Deinde praecipe ei, ut radi faciat caput suum cum nouacula.	Then instruct him to shave his head with a razor.
Deinde fac eum sedere inter manus tuas quadratum, ita quod iam posuit manus suas super pectus suum.	Then have him sit between your hands in a square shape, so that he has already placed his hands on his chest.
Deinde pone radicem palmae tuae super radicem nasi sui inter oculos suos.	Then place the root of your palm on the root of his nose between his eyes.
Vbicumque ergo peruenerit digitus tuus medius, signa locum illum cum incausto.	Wherever your middle finger reaches, mark that place with a cautery.
Deinde igni Cauterium Oliuare: cuius haec est forma.	Then apply the olive oil cautery: this is its form.
Deinde pone ipsum super locum signatum cum incausto, descensione, qua constringatur manus tua paulatim, et tu reuolues ipsum.	Then place it (the cautery) on the marked spot with the incision, by descent, where your hand is slowly constricted, and you turn it around.
Deinde leua manum tuam uelociter, et aspicias locum.	Then quickly lift your hand, and inspect the place.
Quod si uides iam detegi ex osse quantitatem capitis alkiel, aut quantitatem zeuherbi, tunc eleua manum tuam.	If you see that it has already been detached from the bone of the head or the quantity of zeuharbi, then lift your hand.
Et si non, itera manum tuam ferro ipso, aut cum alio ab ipso si infrigidatur: donec uideantur ossa, quae dixi tibi.	And if not, repeat with the iron itself, or with another from the same if it is frozen: until you see the bones, which I have told you.
Deinde sume aliquid ex sale, et solue illud in aqua, et imbibe in ipso cotum, et pone super locum: et dimitte ipsum tribus diebus.	Then take something from salt, and dissolve it in water, and soak the cotton in it, and place it on the spot: and leave it for three days.
Deinde pone super ipsum cotum imbibitum in butyro, et dimitte illum super locum, donec destruatur eschara ignis.	Then place on top of it a cotton soaked in butter, and leave it on the spot until the eschar (scab) is destroyed by fire.
Deinde cura illud cum unguento tetrapharmacon, usquequo sanetur.	Then treat it with the four-drug ointment, until it heals.
Iam dixerunt, quod quanto uulnus plus remanet apertum, emittit pus: quare est melius et magis iuuatiuum.	Now I have said, that as long as the wound remains open, it emits pus: therefore it is better and more useful.
Et dixerunt quidam eorum, ut cauterizetur cutis usque ad os: et teneatur Cauterium, donec aduratur quiddam spissitudinis ossis.	And some of them have said that the skin should be cauterized up to the bone: and the cautery should be held until something of the density of the bone is touched.
Deinde radatur post illud quod adustum est ex osse, deinde curetur.	Then scrape away what is adhering to the bone, then cleanse.
Et dicunt alii, quod oportet ut cum cauterio perueniatur ad ultimum, donec imprimat in os impressionem for tem, ita quod cadat os, quod fit sicut forma kirate: aut instrumentum quod mulieres ponunt infuso alphabeti parui: et extimant, quod exspirantur ex hoc loco uapores capitis, et dimittatur uulnus apertum tempore longo.	And others say that it is necessary to use a cautery to the utmost, until it makes an impression on the bone, so that the bone falls away, just as if it were carved: or with an instrument which women use in embroidering small letters; and they think that vapors are released from this place, and the wound is left open for a long time.
Deinde curetur, donec consolidetur.	Then it should be cleansed, until it becomes consolidated.
Mihi autem non uidentur hae duae species Cauterii omnino nisi in quibusdam hominibus secundum uiam timoris.	But to me, these two types of cautery do not seem useful at all, except in certain men, according to the way of fear.
Et dimittere ipsum, apud me est melius cum salute ipsius.	And to leave it alone is better, in my opinion, with regard to his own health.
Debilitatur enim caput ex solutione continuitatis ipsius naturalis: sicut testificati sumus in reliquis membris: et praecipue quando caput infirmi debile est natura: et species quidem Cauterii prima est magis salua et melior apud me, et ea utor: operare ergo cum ea in salute.	For the head is debilitated by the solution of its natural continuity: as we have testified to in other members: and especially when the head of the weak person is naturally feeble: and indeed the first species of Cautery is safer and better, in my opinion, and I approve of it: therefore operate with it for health.
¶ De modo cauterizandi capitis in dolore totius capitis.	Concerning the method of cauterizing the head in pain of the whole head.
Caput III.	Head 3.
Quando in toto Capite accidit dolor chronicus: et prolongatur illud in infirmo, et utitur hyeris, et cochiis, et caputpurgiis, et oleis, et empleumatis.	When a chronic pain occurs throughout the whole head: and it is prolonged in the weak person, and he uses hieric, and cochials, and head-purging, and oils, and emplasters.
Et praecipue si iam cauterizatum est cauterio uno, quod narrauimus, et non confert ei aliquid ex illis: tunc considera.	And especially if it has already been cauterized with one cautery, which we have described, and nothing among those things is of benefit to him: then consider.
Nam si caput infirmi est fortis creationis natura, et non est debile, et inuenit frigus uehemens: tunc cauteriza cum cauterio alio sub illo parum.	For if the head of the weak person is strong by natural creation, and it is not feeble, and it finds a violent cold: then cauterize with another cautery under that a little.
Deinde cauteriza ipsum super omne cornu capitis sui cauterio, do nec pertranseat cutis, et discooperiatur ex osse quantitas, quam narrauimus.	Then cauterize it above every horn of his head with a cautery, so that the skin does not perforate, and a quantity is disclosed from the bone, as we have described.
Et cauteriza ipsum cauterio uno in occipitio capitis sui, in loco qui nominatur uas: et est locus in quo ponitur uentosa: et eleua matum tuam in hoc, et non discooperias os.	And you should cauterize him with one cautery on the back of his head, in the place called "vas", and it is the place where a vein is located.
Infirmus enim inuenit propter illud dolorem uehementem, et diuersum a dolore reliquorum cauteriorum capitis omnium.	For the weak patient finds relief from that severe pain, and it differs from the pain of other head cauteries.
Et ego dicam hoc Cauterium in loco suo: et oportet quod sit cauterium, quo cauterizantur cornua capitis, et occiput eius subtilius cauterio, quo cauterizatur medium capitis.	And I will say that this cautery is in its place, and it is necessary that it be a cautery with which the horns of the head are cauterized, and his back of the head is more subtly cauterized than the middle of the head.
Et haec est forma eius.	And this is its form.
¶ De modo cauterizandi in hemicrania, tam cum medicina adustiua, quam cum ferro.	On the method of cautery on the half of the head, both with dry remedies and with iron.
Caput IIII.	Head 4.
Quando accidit in parte capitis dolor et soda, aut extenditur dolor usque ad oculum, et euacuatur cum medicinis mundificantibus caput, et administratur reliqua curatio, quam dixi in diuisionibus aegritudinum, et non confert illud totum: tunc cauterizatio in eo est secundum duos modos: aut cauterizatio cum medicina acuta comburente: aut cum ferro.	When pain and swelling occur on the part of the head, or when the pain extends to the eye, and it is evacuated with cleansing remedies for the head, and the remaining treatment is administered, which I mentioned in the divisions of diseases, and that does not help at all: then cautery on it is according to two methods: either cautery with a sharp burning medicine, or with iron.
Cauterium autem cum medicina acuta comburente, est, ut accipias dentem unum allii, et excortices ipsum, et abscindas extremitates eius ex duobus lateribus.	The cautery with a sharp burning medicine is that you take one garlic tooth, and scrape it, and remove the extremities from both sides.
Deinde scinde locum doloris in tempore cum phlebotomo lato, donec fiat in eo locus sub cute, in quo dens capitur.	Then divide the painful area at the time of bleeding with a broad phlebotomy, until a place is made under the skin, where the density is captured.
Intromitte ergo eum in ipso sub cute, donec occultetur: deinde stringe super ipsum cum puluillo constrictione decenti, et dimitte ipsum quantitate quindecim horarum deinde solue eum, et extrahe allium, et dimitteuulnus duobus diebus, aut tribus: postea pone super ipsum cotum submersum in butyro, donec locus efficiat pus: deinde cura ipsum cum unguento usquequo sanetur.	So introduce it then under the skin, until it is hidden; then bind above it with a decent constriction poultice, and leave it for fifteen hours; then remove it, and extract the garlic, and leave it for two days or three. Afterwards, put on top of it a submersed cotum in butter, until the place makes pus; then treat it with ointment until it is healed.
Et si uis fac illud cum quibusdam medicinis comburentibus, quas ego scripsi in tractatu duodecimo, de Medieinis adurentibus.	And if you want to do that with certain burning medicines, which I wrote about in the twelfth treatise, on burning medicines.
Cauterizatio uero eius cum ferro, est secundum hunc modum.	But cauterization of it is with iron, and it is according to this method.
Igni Cauterium, cuius forma haec est.	Fire cauterization, whose form this is.
Et nominatur Clauilis: quoniam forma capitis eius est sicut forma claui, in quo est quiddam curuitatis, et in medio eius est quaedam eminentia parua.	And it is named Clavulus; because the form of its head is like the form of a nail, in which there is a certain curvature, and in its middle there is a small prominence.
Deinde pone ipsum super locum, et retine manum tuam: et tu reuolue ferrum paulatim cum uelocitate: et sit quantitas quae aduritur ex spissitudine cutis, sicut medietas eius.	Then place it on the spot, and hold your hand firm; and you rotate the iron slowly with velocity: and let the quantity that is burned be from the thickness of the skin, as its middle.
Et eleua manum tuam, ut non aduratur arteria, quae est inferius, et accidat fluxus sanguinis.	And lift your hand, so that the artery, which is underneath, is not burned, and a flow of blood occurs.
Deinde imbibe cotum in aqua salis, et pone super locum, et dimitte ipsum tribus diebus: deinde pone cotum cum butyro: postea cura cum unguento usquequo sanetur.	Then soak a cloth in salt water, and place it on the spot, and leave it for three days; then place the cloth with butter: afterwards treat with ointment until it heals.
Et si uis, cauteriza hanc hemicraniam cum extremitate cultellari secunda Cauterii.	And if you wish, cauterize this hemicania with the second cauterization of the razor's edge.
Et caue ab incisione arteriae in hac hemicrania, non antiqua proprie.	And beware of cutting into the artery in this hemicania, not in the usual way.
¶ De modo cauteriezandi in hemicrania antiqua.	On the method of cauterizing in ancient hemicania.
Caput V.	Chapter 5.
