Praefatio.	Foreword.
Et ego quidem iam uocatus fueram ad extrahendum ipsum: et uidi ex magnitudine lapidis, et dispositione infirmi, quod moriretur.	And I was already called in to extract it: and I saw from the size of the stone, and the condition of the sick man, that he would die.
Et uidi medicum alium, qui accipiebat stipem apud quendam Ducum terrae nostrae propter medicinam: et accidit eunucho nigro, qui erat apud ipsum, fractura in crure eius prope calcaneum: et properauit medicus cum ignorantia sua, et strinxit fracturam super uulnus cum puluinaribus, et astellis strictura forti, et non dimisit uulneri expirationem.	And I saw another doctor, who was receiving a stipend from a certain Duke of our land for his medical services: and it happened to a black eunuch who was with him, that he suffered a fracture in his leg near the ankle; and the doctor, with his ignorance, treated the fracture above the wound with poultices, and tight bandages, and did not allow the wound to breathe.
Deinde absoluit eum secundum desyderia sua.	Then he abandoned him according to his despair.
Postea dimisit eum diebus aliquot, et praecepit ei, ne solueret ligamentum: et stetit sic donec apostematum est crus eius, et ipsius pes, et peruenit ad perditionem.	Afterwards he left him for several days, and instructed him not to loosen the bandage: and it remained thus until his leg became abscessed, and his foot as well, and he went to ruin.
Vocatus sum ergo ad eum: et properaui ad soluendum ligamentum: et consecuta est tranquillitas, et euasit a doloribus suis.	I was therefore called in to him: and I approached to loosen the bandage: and calmness followed, and he was freed from his pains.
Verumtamen corruptio iam confirmata erat in membro: et non potui refraenare ipsam.	However, the corruption had already become established in the limb: and I could not restrain it.
Pon ergo cessauit corruptio perambulare in membro, donec periit.	Then the corruption ceased to spread through the limb, until he died.
Et uidi medicum alium, qui perforauit apostema cancerosum: et ulceratum est post dies, donec magnificata est malicia eius cum domino ipsius.	And I saw another doctor, who pierced a cancerous abscess: and it became ulcerated after a few days, until the evil of his disease was magnified with his lord.
Quod est, quia quando est cancer purus ex humore melancholico, tunc non oportet ut perueniatur ad eum cum ferro omnino, nisi sit in membro quod toleret, ut abscindatur totum eius.	What is, because when there is a pure cancer from melancholic humor, then it is not suitable to be cauterized with iron at all, unless it is in a member that can tolerate it, so that the whole of it may be excised.
Et propter illud o Filii, necesse est uobis, ut sciatis, quod operatio cum manu diuiditur in duas diuisiones: scilicet, operationem cui associatur salus: et operationem, cum qua est periculum in pluribus dispositionibus.	And because of that, O sons, it is necessary for you to know that the operation with the hand is divided into two divisions: namely, an operation to which health is associated, and an operation in which there is danger in many dispositions.
Et ego iam excitaui in omni loco huius libri, in quo uenit operatio, in qua est terror et timor.	And I have already warned in every place of this book, where an operation comes, which is accompanied by terror and fear.
Quare necesse est uobis, ut caueatis illud, et dimitatis ipsum: ut non inueniant stolidi uiam ad loquendum, et dehonestandum.	Therefore it is necessary for you to beware of that and dismiss it, so that the stupid ones do not find a way to speak and to deceive.
Accipite ergo mensuram cum sollicitudine et protectione, et infirmos uestros cum facilitate et firmitudine, et utimini uia meliore perducente gratia Dei ad salutem et successionem laudabilem: et dimittite aegritudines terribiles difficilis sanationis: et tollite animas uestras ab eo quod facit uos timere, ut ingrediatur super uos haesitatio in fide uestra et commodo uestro.	Receive therefore the measurement with solicitude and protection, and your patients with facility and firmness, and may you walk in a better way, thanks to the favor of God, for salvation and laudable succession: and dismiss terrible illnesses of difficult healing: and lift up your spirits from that which makes you fear, so that hesitation does not creep into your faith and your comfort.
Est enim magis remanens ad gloriam uestram, et sublimius in mundo isto, et postremo ad quantitates uestras.	For it is more remaining to your glory, and sublime in this world, and finally to your quantities.
Galenus enim iam dixit in quibusdam suis admonitionibus.	For Galen has already said so in certain of his admonitions.
Non medicetis aegritudinem malam: ne nominemini medici mali.	Do not heal the bad illness: lest you be named a bad doctor.
Iam autem diuisi hunc Tractatum secundum tria Capitula. ¶	Now indeed I have divided this Treatise into three Chapters.
Capitulum primum.	Chapter One.
De Cauterio cum igne, et Cauterio cum medicina acuta, capitulatum, et ordinatum a capite usque ad pedes, et formis instrumentorum, et ferramentis Cauterii: et omni quod necessarium est in operatione. ¶	About Cauterization with fire, and Cauterization with sharp medicine, chaptered and arranged from head to foot, and the forms of instruments, and the tools of Cauterization: and all that is necessary in the operation.
Capitulum secundum.	Chapter Two.
De sectione et perforatione, phlebotomia et uentosis, et uulneribus: et extractione sagittarum, et similibus illius: et totum capitulatum, ordinatum formis instrumentorum. ¶	About section and perforation, phlebotomy and venesection, and wounds: and the extraction of arrowheads, and similar things: and all chaptered, arranged in forms of instruments.
Capitulum tertium.	The third chapter.
De restauratione, et dislocatione, et curatione torsionis, et similibus illius: capitulatum, ordinatum a capite usque ad pedes, et formis instrumentorum.	About restoration and dislocation, and the treatment of twisting, and similar things: a chapter arranged from head to foot, and the forms of instruments.
Soli Deo Gloria.	To God alone be glory.
Liber Chirurgici Albucasis.	The Surgical Book of Albucasis.
Pars I.	Part I.
¶ De Iuuamento, et Nocumento Cauterii: et quibus complexionibus conueniat, et quo tempore: et si cum ferro, uel auro.	About cauterization and burning: and with which complexions it is suitable, and at what time: and whether with iron or gold.
Caput I.	Chapter I.
Sed Ante Quidem Quam rememorer operationis cum eo, oportet ut dicam qualitatem Iuuamentorum eius, et Nocumentorum ipsius: et in qua complexione exhibeatur.	But before I discuss the operation with it, it is necessary that I describe the quality of its cauterizations and burnings: and in what complexions they are exhibited.
Dico ergo, quod sermo de qualitate iuuamenti Cauterii, et nocumenti eius, est sermo prolixus, et subtilis, scientia, et secretum occultum.	I say therefore that the discourse on the quality of cauterization by burning and its harm is a profound, subtle, scientific, and hidden secret.
Etiam locuta fuit in eo multitudo sapientum, et dissenserunt in eo: et mihi quidem sufficit parum ex sermonibus eorum, timens prolongationem.	Many wise men have also spoken about it, and they have disagreed about it; and for me, a little of their discourses is enough, fearing prolixity.
Dico ergo, quod Cauterium confert uniuersaliter omni complexioni, quae est cum materia, et absque materia: excaeptis duabus complexionibus, quae sunt complexio calida absque materia, et complexio sicca absque materia.	I say therefore that cauterization is universally beneficial to every complexion, which is with matter and without matter; except for two complexions, which are hot complexions without matter and dry complexions without matter.
In complexione autem calida et sicca cum materia dissenserunt.	In hot and dry complexions with matter, they disagreed.
Quidam enim dixerunt, quod Cauterium iuuatiuum est in ea.	For some said that cauterization is beneficial in them.
Et dixerunt alii contrarium illius, scilicet quod Cauterium non est conueniens in aegritudine, quae est ex caliditate et siccitate: quoniam natura ignis est caliditas: et inconueniens est, ut sanetur ex agritudine calida et sicca, cum calido et sicco.	And others said the opposite, namely that cauterization is not suitable for an illness which arises from heat and dryness; because the nature of fire is heat, and it is unsuitable to be cured by a hot and dry cauterization, with hot and dry.
Et dixit ille qui dicit contrarium illius: quod per Cauterium fit iuuamentum in omni aegritudine calida et sicca, quae accidit in corporibus hominum: quoniam quando tu comparas corpus hominis, et humiditates eius, ad complexionem ignis, inuenis corpus hominis frigidum.	And he who said the opposite of this said that through cauterization a cure is made in every hot and dry illness which occurs in the bodies of men; because when you compare the body of man and its humidities to the complexion of fire, you find the body of man to be cold.
Et ego quidem dico per sermonem eius: quia ex perimentum iam detexit mihi illud aliquotiens.	And I certainly say this through his discourse: because it was already discovered by him through experiment, and he showed me that many times.
Verumtamen non oportet, ut ueniat super illud, nisi qui iam probatus est, et exercitatus in capitulo Cauterii exercitio ultimo, et cognouit diuersitatem complexionum hominum, et dispositionem aegritudinum in se ipsis, et caussas earum, et accidentia ipsarum, et spacium temporis earum.	However, it is not suitable to proceed with that unless one has already been tested and exercised in the chapter on cauterization, and has recognized the diversity of human complexions, and the disposition of illnesses in themselves, and their causes, and the accidents that befall them, and the space of time for each.
Ex reliquis autem complexionibus non est super uos timor: et praecipue in aegritudinibus frigidis et humidis.	But among the remaining complexions, there is no fear over these: and especially in illnesses that are cold and moist.
Iam enim conuenerunt omnes medici super eas: et non dissenserunt in iuuamento cum Cauterio in eis.	For all doctors have agreed on these: and they did not disagree with Cauterius in their judgment about them.
Et scitote filii, quod ex secreto curationis per Cauterium cum igne, et bonitate eius super Cauterium cum medicina comburente est: quoniam ignis est simplex, cuius actio non peruenit, nisi ad membrum quod cauterisatur: et non nocet membro alio coniuncto cum eo, nisi nocumento paruo.	And you should know, my sons, that the secret of curing through Cauterium with fire and its goodness is superior to Cauterium with combustible medicine: because fire is simple, whose action does not penetrate except to the member that is cauterized; and it does not harm another member connected to it, unless with a small injury.
Medicinae uero comburentis actio peruenit ad illud quod elongatur ex membris: et fortasse facit accidere in membro aegritudinem difficilis sanationis, et fortasse interficit.	On the other hand, the action of combustible medicine penetrates to that which is extended from the members; and perhaps it causes difficulty in healing the illness in the member, and perhaps it even worsens it.
Ignis autem propter subtilitatem suam et bonitatem substantiae suae, non facit illud, nisi superfluat.	Fire, however, because of its subtlety and goodness of its substance, does not do that, unless it is in excess.
Iam uero innotuit nobis illud per experimentum, propter longitudinem seruitutis et studii cum arte, et stationem super ueritatem rerum: et propter illud excusor a longitudine sermonis.	However, I have made it known to you through experience, because of the length of service and study with art, and standing on the truth of things: and because of that, I excuse myself from the length of the discourse.
Et si non esset, quia non licet huic libro meo, afferrem uobis secretum occultum in igne, et qualitatem operationis eius in corporibus expulsionis suae, qua expellit aegritudines sermone philosophico demonstratiuo, qui acueretur a mentibus uestris.	And if it were not so, because it is not permitted in this book of mine, I would bring to you the hidden secret in fire, and the quality of its operation in expelling bodily illnesses, which drives out diseases through philosophical demonstration, which would be impressed upon your minds.
Et scitote filii, quod ipsi dissentiunt in tempore, in quo conuenit fieri cauterium, et ponunt melius tempus ueris.	And you should know, my sons, that they disagree on the time in which it is suitable to perform cauterization, and they set a better time for spring.
Et ego dico, quod cauterium conuenit in omni tempore: propterea, quod nocumentum accidens propter tempus submergitur in iuuamento, quod attrahitur cum cauterio.	And I say that cautery is suitable at all times; therefore, because the harm which occurs due to the time being submerged in the injury is attracted along with the cautery.
Et praecipue si cauterium est propter dolores ex doloribus necessariis, fortibus, festinis, qui non tolerant tarditatem: propterea quod timetur ex eis, quod accidat malicia quae est maior, quam paruum nocumentum intrans propter tempus.	And especially if the cautery is due to pains from necessary painful affections, strong, urgent, which do not tolerate delay: therefore because it is feared that a greater evil may occur, than a small harm entering through the time.
Et non cadat in mentibus uestris o filii illud, quod non extimant, nisi uulgus et stolidi medici, scilicet quod illi aegritudini quae sanatur per cauterium, non est reditio semper: et ponunt illud consequens, et res non est sicut putant: propterea quod cauterium non est, nisi loco medicinae, quae alterat complexionem, et exiccat humiditates quae sunt caussae, quare accidunt dolores.	And do not let it enter your minds, O sons, that they do not think, unless they are foolish and stupid doctors, namely that those affections which are healed by cautery are not always cured: and they place this consequence, and the thing is not as they think: therefore because cautery is not, unless in place of medicine, which alters the complexion and dries out the humidities which are the causes, whence pains occur.
Verumtamen cauterium superfluit super medicinam per uelocitatem ualetudinis suae, et uirtutem suae operationis, et uehementiam dominii sui: et possibile est, ut redeat aegritudo hora aliqua temporis secundum complexionem infirmi, et locationem aegritudinis suae, et uirtutem eius: et quod praeparatur in corpore eius ex aggregatione superfluitatum in eo: et quod peruenit ad ipsum in acquisitione sua ex cibis, et similibus illis ex caussis, nisi fit aegritudo, in qua administratur cauterium.	However, cautery is superior to medicine due to the swiftness of its healing, and the virtue of its operation, and the vehemence of its mastery: and it is possible that the disease may return at some time according to the complexion of the infirm person, and the location of their disease, and its virtue: and what is prepared in their body from an aggregation of superfluities in it: and what reaches them in their acquisition from food, and similar things from causes, unless there is a disease in which cautery is administered.
Aegritudo subtilis in membro paucarum superfluitatum, et humiditatum, sicut cauterium dentis, propter dolorem, et similia illi, possibile est enim, ut non redeat in eo ille dolor.	A subtle disease in a few members with superfluity and humidity, such as cautery of the tooth, due to pain, and similar things, it is possible indeed that the pain may not return in it.
Sed illud fit in paucis.	But that happens in a few.
At uero sermo uulgi iterum, quod cauterium est postremum medicinae, est sermo rectus: non ad illud quod ipsi intendunt in illo: quoniam ipsi credunt, quod non est curatio quae conferat cum medicina, neque cum alio post occasum cauterii.	But truly, the common speech is wrong, that cautery is the last resort of medicine, is a correct speech: not to what they themselves intend in it: because they believe that there is no cure which can be conferred with medicine, nor with anything else after the occasion of cautery.
Res autem est econtrario illius, et intentio, quod cauterium est postremum medicinae, non est, nisi quod quando nos administramus modos curationis in aliqua aegritudinum, et non conferunt illae medicinae: deinde administramus in fine rei cauterium, et confert: tunc inde cadit, quod cauterium est postremum mediciuae, non secundum intentionem quam intelligunt uulgus et multistolidorum medicorum.	The truth is the opposite of that, and the intention, which is that cauterization is the last resort in medicine, is not so, unless when we administer methods of treatment in some disease, and they do not contribute to those medicines: then we administer cauterization at the end, and it helps: thus it follows that cauterization is the last resort in medicine, not according to the intention that the common people and many stupid doctors understand.
Antiqui autem dixerunt, quod cauterium cum auro est melius, quam cauterium cum ferro: et non dixerunt illud, nisi propter aequalitatem auri, et sublimitatem substantiae suae: et dixerunt, quod non facit pus locus cauterii.	The ancients said that cauterization with gold is better than cauterization with iron: and they did not say this except because of the equality of gold and the subtlety of its substance: and they said that it does not create pus at the site of the cauterization.
Verum non est illud absolute: quoniam ego iam probaui illud, et inueni, quod ipsum non facit illud in quibusdam corporibus absque aliis.	That is not absolutely true: because I have already tested it and found that it does not do so in certain bodies without others.
Et cauterium cum ipso est bonum, et melius quam cum ferro, sicut dixerunt.	And cauterization with gold itself is good, and better than with iron, as they said.
Verumtamen quando tu ignis cauterium in igne ex auro, non declaratur tibi, quando ignitur secundum quantitatem quam uis, propter rubedinem auri: et quando properat ad ipsum frigus, et si addis super ipsum ignitionem, liquescit in igne, et uertitur in laminas.	However, when you ignite cauterization fire with gold, it is not declared to you, when it is ignited according to the quantity that you wish, because of the redness of the gold: and when it approaches the cold, and if you add ignition on top of it, it melts in the fire and turns into plates.
Quare cadit artifex ex illo in occupationem: et propter illud fit Cauterium cum ferro apud nos uelocius et propinquius, ex rectitudine ad operationem.	Therefore the artisan falls from that into occupation: and because of that, cauterization with iron is more familiar and closer to us, from correctness to operation.
Et ego quidem iam ordinaui hoc Capitulum in Cauterio, secundum capitula: et ordinaui ea a capite usque ad pedes: ut alleuient quaerenti illud quod uult ex eo.	And I have already arranged this Chapter on Cautery, according to chapters: and I have arranged them from head to foot, so that they may alleviate the one seeking what he wants from it.
¶ De modo cauterizandi Caput in commissura coronali.	Concerning the method of cauterizing the Head at the crown of the commissure.
Caput II.	Head 2.
Confert hic cauterizatio ad dominium humiditatis et frigiditatis super cerebrum: quae duae sunt caussae sodae, et multitudinis fluxus humorum ex capite ad partes oculorum et aurium, et multitudinis somni, et doloris dentium, et doloris gutturis: et uniuersaliter omnis aegritudinis, quae accidit ex frigiditate, sicut paralisis, et sodae, epilepsiae, et apoplexiae, et similia illis ex aegritudinibus.	Here cauterization is beneficial for dominating humidity and coldness over the brain: which are two causes of swellings, and multitude of fluxes of humors from the head to the parts of the eyes and ears, and multitude of sleepiness, and pain of the teeth, and pain of the throat: and universally all diseases that occur from coldness, such as paralysis, and swellings, epilepsy, and apoplexy, and similar ones from diseases.
Modus cauterizationis est, ut praecipias infirmo: ut euacuetur in primis cum medicina solutiua mundificante caput tribus noctibus, aut quatuor, secundum quod exigit uirtus infirmi, et eius aetas, et consuetudo eius.	The method of cauterization is to warn the patient beforehand: to evacuate with soothing medicine that cleanses the head for three or four nights, according to what the strength of the patient demands, and their age, and their habit.
Deinde praecipe ei, ut radi faciat caput suum cum nouacula.	Then advise him to shave his head with a razor.
Deinde fac eum sedere inter manus tuas quadratum, ita quod iam posuit manus suas super pectus suum.	Then make him sit between your hands in a square shape, so that he has already placed his hands on his chest.
Deinde pone radicem palmae tuae super radicem nasi sui inter oculos suos.	Then place the root of your palm on the root of his nose between his eyes.
Vbicumque ergo peruenerit digitus tuus medius, signa locum illum cum incausto.	Wherever your middle finger has reached, mark that place with a cautery.
Deinde igni Cauterium Oliuare: cuius haec est forma.	Then apply the olive oil cautery, whose form this is.
Deinde pone ipsum super locum signatum cum incausto, descensione, qua constringatur manus tua paulatim, et tu reuolues ipsum.	Then place it (the cautery) on the marked spot with the incision, descending gradually, and you turn it while your hand is contracting slowly.
Deinde leua manum tuam uelociter, et aspicias locum.	Then lift your hand quickly, and look at the place.
Quod si uides iam detegi ex osse quantitatem capitis alkiel, aut quantitatem zeuherbi, tunc eleua manum tuam.	If you see that a quantity of skull or a quantity of zeal has already been detected from the bone, then lift your hand.
Et si non, itera manum tuam ferro ipso, aut cum alio ab ipso si infrigidatur: donec uideantur ossa, quae dixi tibi.	And if not, repeat with the iron itself, or with another from the same if it is chilled: until you see the bones, which I told you about.
Deinde sume aliquid ex sale, et solue illud in aqua, et imbibe in ipso cotum, et pone super locum: et dimitte ipsum tribus diebus.	Then take something from salt, and dissolve it in water, and soak a dressing in it, and place it on the spot: and leave it for three days.
Deinde pone super ipsum cotum imbibitum in butyro, et dimitte illum super locum, donec destruatur eschara ignis.	Then put a dressing soaked in butter on top of it, and leave it on the spot until the eschar (scab) of fire is destroyed.
Deinde cura illud cum unguento tetrapharmacon, usquequo sanetur.	Then treat it with Tetrapharmacum ointment until it heals.
Iam dixerunt, quod quanto uulnus plus remanet apertum, emittit pus: quare est melius et magis iuuatiuum.	Now I have said, that as long as the wound remains open, it discharges pus: therefore it is better and more helpful.
Et dixerunt quidam eorum, ut cauterizetur cutis usque ad os: et teneatur Cauterium, donec aduratur quiddam spissitudinis ossis.	And some of them have said that the skin should be cauterized up to the bone: and the cautery should be held until something of the density of the bone is felt.
Deinde radatur post illud quod adustum est ex osse, deinde curetur.	Then scrape off what is adhering to the bone, then cleanse.
Et dicunt alii, quod oportet ut cum cauterio perueniatur ad ultimum, donec imprimat in os impressionem for tem, ita quod cadat os, quod fit sicut forma kirate: aut instrumentum quod mulieres ponunt infuso alphabeti parui: et extimant, quod exspirantur ex hoc loco uapores capitis, et dimittatur uulnus apertum tempore longo.	And others say that it is necessary to burn with a cautery until the end, until it makes an impression on the bone, so that the bone becomes like a shell: or an instrument which women use, inserting a small alphabet infusion; and they think that vapors are exhaled from this place, and the open wound is left for a long time.
Deinde curetur, donec consolidetur.	Then it should be cleansed, until it becomes consolidated.
Mihi autem non uidentur hae duae species Cauterii omnino nisi in quibusdam hominibus secundum uiam timoris.	To me, however, these two types of cauterization do not seem to be suitable except for certain men according to the way of fear.
Et dimittere ipsum, apud me est melius cum salute ipsius.	And to leave it alone is better with me, in accordance with his own health.
Debilitatur enim caput ex solutione continuitatis ipsius naturalis: sicut testificati sumus in reliquis membris: et praecipue quando caput infirmi debile est natura: et species quidem Cauterii prima est magis salua et melior apud me, et ea utor: operare ergo cum ea in salute.	For the head is weakened by the dissolution of its natural continuity; as we have testified to in other members; and especially when the head of the infirm is weak by nature. And indeed the first species of Cauterization is more salutary and better with me, and I use it, operating thus for health.
¶ De modo cauterizandi capitis in dolore totius capitis.	Concerning the method of cauterizing the head in pain of the whole head.
Caput III.	Head 3.
Quando in toto Capite accidit dolor chronicus: et prolongatur illud in infirmo, et utitur hyeris, et cochiis, et caputpurgiis, et oleis, et empleumatis.	When chronic pain occurs in the whole head, and it is prolonged in the weak, and they use hiera, and cochia, and purging of the head, and oils, and emplasters.
Et praecipue si iam cauterizatum est cauterio uno, quod narrauimus, et non confert ei aliquid ex illis: tunc considera.	And especially if it has already been cauterized with one cautery, which we have described, and nothing among those things helps it: then consider.
Nam si caput infirmi est fortis creationis natura, et non est debile, et inuenit frigus uehemens: tunc cauteriza cum cauterio alio sub illo parum.	For if the head of the weak person is strong by nature's creation, and it is not weak, and it finds a vehement cold: then cauterize with another cautery under that, a little.
Deinde cauteriza ipsum super omne cornu capitis sui cauterio, do nec pertranseat cutis, et discooperiatur ex osse quantitas, quam narrauimus.	Then cauterize it above every horn of his head with a cautery, so that the skin does not perforate, and a quantity is disclosed from the bone, as we have described.
Et cauteriza ipsum cauterio uno in occipitio capitis sui, in loco qui nominatur uas: et est locus in quo ponitur uentosa: et eleua matum tuam in hoc, et non discooperias os.	And you should cauterize him with a cautery iron on the back of his head, in the place that is called "uas"; and it is the place where a vein is located; and lift your hand from this, and do not uncover the bone.
Infirmus enim inuenit propter illud dolorem uehementem, et diuersum a dolore reliquorum cauteriorum capitis omnium.	For the weak man finds relief from that severe pain, and it is different from the pain of the remaining cauteries on the entire head.
Et ego dicam hoc Cauterium in loco suo: et oportet quod sit cauterium, quo cauterizantur cornua capitis, et occiput eius subtilius cauterio, quo cauterizatur medium capitis.	And I will say that this cautery is in its place; and it is necessary that it should be a cautery, with which the horns of the head are cauterized, and his occiput is more subtly cauterized than the middle of the head.
Et haec est forma eius.	And this is its form.
¶ De modo cauterizandi in hemicrania, tam cum medicina adustiua, quam cum ferro.	On the method of cautery on the half-crown, both with dry medicine and with iron.
Caput IIII.	Head 4.
Quando accidit in parte capitis dolor et soda, aut extenditur dolor usque ad oculum, et euacuatur cum medicinis mundificantibus caput, et administratur reliqua curatio, quam dixi in diuisionibus aegritudinum, et non confert illud totum: tunc cauterizatio in eo est secundum duos modos: aut cauterizatio cum medicina acuta comburente: aut cum ferro.	When pain and swelling occur on the part of the head, or the pain extends to the eye, and it is cleaned with cleansing medicines, and the remaining treatment is administered as I said in the divisions of diseases, and it does not help the entire thing; then cauterization in this case is according to two modes: either cauterization with sharp burning medicine, or with iron.
Cauterium autem cum medicina acuta comburente, est, ut accipias dentem unum allii, et excortices ipsum, et abscindas extremitates eius ex duobus lateribus.	The cautery with sharp burning medicine is, as if you take a single garlic tooth, and burn it, and cut off its extremities from both sides.
Deinde scinde locum doloris in tempore cum phlebotomo lato, donec fiat in eo locus sub cute, in quo dens capitur.	Then open the painful place at the time with a broad phlebotomy, until it becomes a thick spot under the skin, where the density is captured.
Intromitte ergo eum in ipso sub cute, donec occultetur: deinde stringe super ipsum cum puluillo constrictione decenti, et dimitte ipsum quantitate quindecim horarum deinde solue eum, et extrahe allium, et dimitteuulnus duobus diebus, aut tribus: postea pone super ipsum cotum submersum in butyro, donec locus efficiat pus: deinde cura ipsum cum unguento usquequo sanetur.	Insert it therefore under the skin, until it is hidden; then bind above it with a decent constricting poultice, and leave it for fifteen hours; then remove it, and extract the garlic, and apply an ointment for two or three days; afterwards put on a submerged cotton dressing in butter, until the place makes pus; then treat it with an ointment until it is healed.
Et si uis fac illud cum quibusdam medicinis comburentibus, quas ego scripsi in tractatu duodecimo, de Medieinis adurentibus.	And if you want to make that with certain burning medicines, which I wrote about in the twelfth treatise, on medicines that burn inwardly.
Cauterizatio uero eius cum ferro, est secundum hunc modum.	Cauterization indeed is with iron, and it is according to this method.
Igni Cauterium, cuius forma haec est.	The branding iron, whose form is this.
Et nominatur Clauilis: quoniam forma capitis eius est sicut forma claui, in quo est quiddam curuitatis, et in medio eius est quaedam eminentia parua.	And it is named a Claw; because the form of its head is like the form of a nail, in which there is a certain curvature, and in its middle there is a small prominence.
Deinde pone ipsum super locum, et retine manum tuam: et tu reuolue ferrum paulatim cum uelocitate: et sit quantitas quae aduritur ex spissitudine cutis, sicut medietas eius.	Then place it on the spot, and hold your hand firmly; and you turn the iron slowly with speed: and let the amount that is burned be according to the thickness of the skin, as its middle.
Et eleua manum tuam, ut non aduratur arteria, quae est inferius, et accidat fluxus sanguinis.	And raise your hand, so that the artery, which is below, is not burned, and a flow of blood occurs.
Deinde imbibe cotum in aqua salis, et pone super locum, et dimitte ipsum tribus diebus: deinde pone cotum cum butyro: postea cura cum unguento usquequo sanetur.	Then soak a cloth in salt water, and place it on the spot, and leave it for three days; then put the cloth with butter: afterwards treat with ointment until it is healed.
Et si uis, cauteriza hanc hemicraniam cum extremitate cultellari secunda Cauterii.	And if you wish, cauterize this hemicrania with the second point of the scalpel's edge.
Et caue ab incisione arteriae in hac hemicrania, non antiqua proprie.	And beware of cutting into an artery in this hemicrania, not in the proper ancient way.
¶ De modo cauteriezandi in hemicrania antiqua.	On the method of cauterizing in ancient hemicrania.
Caput V.	Chapter 5.
