Ayssi comensan las paraulas de Albucasim .	Indeed, here is the translation:
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And I have already spoken of this in all this book in the part where I speak of the operation in which there is error and fear; for you must know that it is necessary for you to guard against this and to leave that which is harmful, so that the fools do not find fault with you and you do not lose your credit
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	Therefore take courage and ask for the help of God in this work, and the sick with you in their suffering and weakness.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the best way for the grace of God to achieve salvation and praiseworthy success, and leave the terrible diseases of difficult healing, and finally the arms of those who frighten you, so that you rest in your faith and in your name no should you be ashamed: for indeed it remains to your glory, and more so in heaven and after death among the saints
Gualia ja diyssec en alcunas sieuas monicios:	What has already been said in various places is this:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	“No treat any illness in vain, for so that no doctors will be disgraced”.
E yeu ja he devesit aquest libre segontz tres capitols.	And I have already spoken of this book according to three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	Let us begin the division of the book, and first of the first part.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter orders the parts of the foot, the forms of the instruments and the implements of the cautery, and what is necessary for the operation.</start_of_turn>
La divisio de la segonda partida.	The division of the second part.</start_of_turn
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter deals with swelling and perforation, and veins, ulcers, and extraction of arrows, all of which are categorized and ordered in terms of the forms of the instruments.</start_of_turn
Divisio de la tersa partida.	Division of the third part.</start_of_turn
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter deals with restoration and dislocation, and care of fractures and similar cases; the chapter is categorized from the parts of the foot and the forms of the instruments.</start_of_turn
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	From cautery until fire and acute medicine and memory of the operation.</start_of_turn
Am aquel comensa le tractat de tot le libre.	So ends the treatise of all the book.</start_of_turn
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	And I have said what is the quality of the instruments of that cautery and the documents of them, and in what completion it is prohibited to perform cautery.</start_of_turn
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Therefore I say that the speech about the quality of the instruments of the cautery and their documents is a long and profound speech, subtle for science, and a secret hidden; and many learned men have spoken greatly of it, and they have disagreed among themselves, and I believe that little of what they have said is true.
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	Therefore I say that the cautery conforms to all universal completion except for two compliances, which are the compliances of the matter or its matter.</start_of_turn
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the cold and dry compliance of the matter or its matter, disagreement arises; for some say that the cautery is useful in that, while others say the opposite, that the cautery is not suitable for cold and dry ailments because the nature of fire is quality and dryness, and it is inconvenient for ailments that are cold and dry to be treated with fire and dryness.</start_of_turn
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And I say that those who say the opposite are wrong, that the cautery is useful in all cold and dry ailments that exist in the bodies of men, because when you compare the body of a man with the humidity of the air to the compliance of the fire, you find the body of a man cold.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I say concerning this speech that I have already experienced several times that it is discovered to me.</start_of_turn
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	However, I do not say that everything that has been said about cautery in this chapter is new or unexercised; and I know the diversity of the humors of men and the condition of their ailments, and the causes of these, and their accidents, and the passage of time concerning these.</start_of_turn
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	However, in other compliances, it is not about you to be afraid, and especially in cold and wet ailments, for it is already known by all doctors that these are suitable for the use of the cautery, and they do not disagree about the usefulness of the cautery in these.</start_of_turn
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And you know, children, that the secret of healing with fire and the goodness of it is that of cautery with burning medicine, for the fire is simple, and its action reaches only the part that is cauterized and does not affect the other part that is adjusted to it except for a small document.</start_of_turn
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	For the action of burning medicine reaches only that part of the limb from which it is applied, and it makes it come out very difficult in the diseased limb and makes it very useful.</start_of_turn
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	For fire, by its subtlety and its substance, does not do anything other than what is necessary; and we already know it from experience and from the length of our service in the study of the art of truth about the causes; and for this reason I excuse myself for the length of this speech, for it is not appropriate for me to reveal the secrets of fire to you, which are the quality of the operation of the fire in the limbs and the expulsion of the disease by the fire, as is demonstrated in philosophical terms, unless it be for the most learned men.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And you know, children, that they disagree about the time when it is convenient to perform cautery and when it is best to wait.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	And I say that cautery is useful at all times, so that for any sudden pain it is immersed in the juice that is applied to it, which is more so if the cautery is for pains or for necessary pains, strong and violent, which do not suffer from delay so that it is feared of those who come with malice, which is greater than a slight discomfort coming at the right time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And I say that one should not neglect other diseases, or fools, for those who do not esteem anything except the vulgar people and the fools are not the doctors of that disease which is healed by cautery, so it is not ridiculous at all times, and they cease when that consequence has happened.</end_of_turn>
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the cause is not that they say it is because they consider it, for cautery is nothing but a means of medicine that alters the complexion and dries out the humors which are the cause of these pains.</end_of_turn>
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	More importantly, however, cautery surpasses medicine in value and virtue for the excellence of its operation and the greatness of its efficacy.</end_of_turn
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	And it is possible that your disease will return at some time, according to the complexion of the disease and the location of the disease, and the virtue of them, and what is prepared in the body of the patient from the accumulation of superfluities in them, and what is obtained by them in their acquisition from foods and drinks; but that the disease in which cautery is administered is a subtle disease in a few superfluities and humors, just as if it were cautery of a tooth for pain and as much as in that, perhaps that pain will not return in them, even though it is made small.</end_of_turn>
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	And it may be said vulgarly that cautery is the last remedy of medicine, and is a magical remedy, not as those understand it, for they grow up thinking that it is not a cure that makes use of either medicine or any other cause except for cautery.</end_of_turn
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	And the cause is contrary to this; and the understanding that cautery is the last remedy of medicine is true only when they administer the methods of treatment in certain diseases, and those medicines do not heal, and at the end of the cause they administer manes cautery, and they take advantage of that.</end_of_turn
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And I say that it is not true that cautery is the last remedy of medicine, according to the understanding which the vulgar people and the fools of the doctors have.</end_of_turn
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	And I say that the ancients said that cautery with gold is better than cautery with iron, and I do not say anything but for the equality of gold and the fineness of its substance.</end_of_turn
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And I say that the place of cautery does not make it bad, as it is not absolutely true, for I have already seen that it does not do anything but in some cases where other things do not work, and that cautery with gold is better than with iron as they say; however, when you make cautery with fire from gold, it is not your business to declare that, for it is ignited according to the quantity that you want for the roughness of the gold, and you must prepare to receive it cold; and if you mix it with the fire it will melt the gold for the fire, and if there are some plates in the fire that the artificer cuts for the occupation of that.</end_of_turn
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And for this reason cautery with iron must be done more gently and more cautiously in the direction of the operation.</end_of_turn
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	I have already ordered this chapter on cautery according to chapters, and I have ordered those of the head among the feet, so that I may satisfy the one who demands from me what he wants from me.</end_of_turn
De cauteri de dolor de cap per frigiditat e humiditat.	Of cautery for the headache from cold and humidity.</end_of_turn
Le capitol primier.	The first chapter.</end_of_turn>
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cauterization confers to cold and humidity about the accidental cause of which these two causes do, so it is the cause of soda and multiple fluxes of the rheumatic kind, applied to the cortex, from the head to the parts of the limbs and the heels fluent, and multiple sleep, and toothache and headache, and universally of all diseases that come from cold, even as paralysis, sodomia and apoplexy, and it remains in those diseases.</end_of_turn
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this cauterization is as follows: first of all command the patient to be evacuated with laxatives with medical liquor for three or four nights, according to how much you increase the virtue of the disease and the age of it and its custom.</end_of_turn
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And then command him to shave his head with a razor, and do that between his thighs on a fallen bench and that he put his hands on his feet.</end_of_turn
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And then pause the shaving of your palm near the swelling between the knuckles of your hands.</end_of_turn
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	May it be so, whenever the physician testifies concerning the location of the pain, that is to say, when the area which is affected is tensed, then immediately ignite the cautery with olive oil of this kind.
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And immediately suspend that above the area which is affected, in such a way that it descends gradually, with which the hand of the physician is constrained little by little, and you will rotate that.</end_of_turn>
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	And immediately lift your hand slightly and hold the area, and if you see already some part of the bone to be exposed any quantity whatever, thus as much as the quantity of barley grains, then elevate your hand, and if you do not turn your hand towards that bone, towards the other, if it is cold, enter until it is seen from the bone that you have said.</end_of_turn>
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And immediately take a little salt and dissolve it on the area and keep it there for three days.</end_of_turn>
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And immediately suspend over the heel in the border and keep it there until the scar of the fire is destroyed.</end_of_turn>
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	And immediately care for the area with four medicines until it is healed.</end_of_turn>
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And indeed I say that when the plague remains open, better get the brace, because it is better and more healing.</end_of_turn>
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	I say to you all that the bone must be cauterized until it reaches the bone, and must be held there until every part of the substance of the bone is consumed.</end_of_turn
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And immediately let that be scraped away which remains adhering to the bone, and immediately let it be cured.</end_of_turn
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	And I say that it must be cauterized until it reaches the heel, within which the bone is firmly fixed, and that is the way of allaying it little by little.</end_of_turn
E estiman de aquel loc expiran la vapors del cap.	And it is estimated that from that area vapor escapes from the head.</end_of_turn
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And if the plague remains open for a long time, and immediately let it be cured when it is consolidated.</end_of_turn
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	I do not see these two kinds of cautery in all my life, except in reckless people by way of fear; and leave that, you must know, is better for health, when it is; for the head is developed by the solution of the continuity of these very things, as we have testified in other members, and more when the head of the patient is of a cold nature.</end_of_turn
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	And the first kind of cautery is better and more healing, you must know; and from that one and from this work comes health.
Capitol segon.	End of text.
Del cauteri del cap.	Of the cautery of the head.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When in all the head chronic pain occurs lasting a long time and when it is prolonged in the disease, and you use poultices and cushions and pillows and plasters and mustard and vinegar and garlic and ginger and rosemary, and especially if it has already been cauterized with a cautery that they tell of and that does not benefit it from any of those causes, then consider that if the head of the disease is of strong formation in its nature; and it is not cold and finds little heat, then it must be cauterized with another cautery, leaving a little space.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And immediately cauterize that over the heel bone until the bone is split.
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Incise the bone and uncover from the bone the quantity that we have recounted and cauterize that with a cautery on the posterior part of the head in the area where wind is stopped.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And rest your hand in this way, and do not uncover the bone, for the disease by that means finds great pain other than the pain of all the other cauteries of the head.</end_of_turn>
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	I say that this cautery in its place, that covers that which has to be cauterized with the one with which we cauterize the heels and the back of the head is more subtle than that with which we cauterize the middle part of the head; and this is its way.</end_of_turn
Capitol ters.	End of text
De cauterisacio de emigranea no-antiqua.	Of the archaic cautery of the emigrants.</end_of_turn>
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When there is severe pain in the part of the head, or widespread pain throughout the heel, evacuate with medicines the head that is made stiff, and administer the other care that I have mentioned in the preceding diseases; and all this without profit, for the cautery in them is done in two ways: either with acute medical combustion or with a needle.</end_of_turn
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	Better is the cautery with medical combustion than that with a needle, for you take a spoonful of alum, you wash that and expel the extremities from both heads.</end_of_turn
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	And immediately prick the area of pain in the temple with a lancet that remains in the flesh until the pain ceases, until it is hidden.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	And press above it to stop the constriction, leave it for three hours; then remove the ligature and draw out the pus, and leave the wound covered for two or three days, and rest over it covered in broth until the pain subsides
E aprop cura aquel am enguent entro que sia sanat.	And care for that which is affected until it is healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you wish, know that many medicines combat these which I have written in the aforementioned treatise on combat medicines
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	May the cautery be performed according to this manner: fire for cautery of which this is the form:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	and it is called closed nails, in which the head of the nail is like a nail with any curvature, and in the middle of the nail there is a small prominence.</start_turn>
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	And rest over the area of pain, and hold your hand – so that the thread which is left will not adhere – and withdraw the fire little by little at speed.</start_turn
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the amount which is adhered by the species of the bone is such that most of it, elevate your hand so that the artery which is left is not adhered, so that there is no obstruction of blood flow.</start_turn
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	And soak the wound in salt water and rest it over the area, leave it for three days; then rest the wound covered with butter, and care for it until it is healed.</start_turn
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And if you wish, cauterize at the extremity of the cuticle according to the cautery, and keep you away from incision of the artery in this manner especially not antiquated.</start_turn
Capitol quart.	Chapter four.</start_turn>
De cauterizacio d’emigranea antiqua.	Of cautery of antiquated embolism.</start_turn
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you have cured the embolism as we have said of the preceding cure, and as we have said in the divisions of diseases, and do not profit from the cure, and sometimes for the disease that does not reach it as we have said of the first cautery with medicine or of the cautery with fire, when you have kindled the cautery nail until it is white, because it signifies over the area of pain along the line of length of which is the majority of the finger, or what is more; withdraw your hand for a while and press that until you have incised the artery and arrived at the bone.</start_turn
