Ayssi comensan las paraulas de Albucasim .	Certainly. Here is the translation:
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Therefore I say that the word concerning the quality of the instruments of the cautery and of the document is a long and laborious one, and subtle for science, and a secret hidden; and already many savants have spoken of it, and they have disagreed with each other, and I am content with a small part of their sermons, fearing too much extension
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	Therefore I say that the cautery conforms to all the universal completion that is in matter or its matter, except for two completions, which are caudal completions of its matter
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the caudal and dry completion I matter disagree; for some say that the cautery is useful for that, and others say that it is harmful for that, because the nature of the fire is quality and dryness, and it is inconvenient that the disease be both cold and dry with that which is cauterized and dry so that it is healed.
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And I say that whoever says the opposite, that for the cautery is useful in every cold and dry disease that appears in the bodies of men, because when you compare the body of a man with the humidity of the air with the completion of the fire, you find the body of a man cold.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I say concerning this word that I have already experienced it several times in my practice
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	May be, however, I do not say that it should be spoken of that which has already been exposed and exercised in the chapter of the cautery after exercise, and to know the diversity of the humors of men and the situation of diseases in their places, and the causes of these, and the accidents of these, and the space of time of these.
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	May be in the other completions, it is not about you to fear, and more so in the cold and wet diseases, for already all the doctors have agreed on that, and they do not disagree in the usefulness of the cautery in these
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And you know, children, that the secret of the treatment of the cautery with fire and of the goodness of it, is about the cautery with burning medicine, for the fire is simple, the action of which does not reach beyond the member to which it is cauterized and does not notice the other member with it adjusted except for a small document
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	For the action of the burning medicine reaches only to that in the member from which it is exhaled, and it makes very strong that the disease in the member is of difficult healing and makes it very strong that it is useful.
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	For the fire, for its subtlety and its preciousness, does nothing but flow and we already know by experience and by the length of our service in the art concerning the truth of the causes; and for this reason I am excused for the length of this discourse, for it is not legible to me in this place in this time the secret which is hidden with fire, and the quality of the operation of the fire in the bodies and the expulsion of the disease by it, which is demonstrated in philosophical terms, which would be acute in the following days.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	Indeed, children, I have learned that the most opportune time for cautery is when the weather is mildest in the springtime.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	And I say that cautery is convenient at all times, for so that it does not suffer from the suddenness of the weather, being immersed in the benefit of that which helps the cautery not to be scorched, especially if the cautery is for pains or necessary pains, which are strong and fiery, which do not suffer from delay so that it is feared that those which come late will bring malice, which is greater than a slight neglect of the time.</end_of_turn>
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	I do not consent in empty words, or, children, those who do not esteem except the vulgar people and fools, doctors, for that disease which is cured by cautery is not ridiculous at all times, and pause that consequence.</end_of_turn>
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the cause is not that they say it is because they take care of it with water, for cautery is nothing but in place of medicine which alters the complexion and dries the humors which are the cause of these pains.</end_of_turn
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	Moreover, however, cautery surpasses medicine by its desire for its value and the virtue of its operation and the greatness of the Lord's gift.</end_of_turn>
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	And it is possible that your disease will return at any time of the day, according to the complexion of the patient and the location of the disease, and the virtue of the treatment, and what is prepared in the body of the patient from the accumulation of superfluities in it, and what is obtained by him in the acquisition of food and drink, and from those causes; but the disease in which cautery is administered is a subtle disease of a few superfluities and humors, just as if it were cautery of teeth for pain and as it is in this way that it is possible that in it the said pain will not return, even though it is done in small quantities.</end_of_turn
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	And perhaps the vulgar saying is that cautery is the last remedy of medicine, and a saying of the learned, not to those who understand it, for they believe that it is not a cure that makes use of medicine or of any other cause except cautery.</end_of_turn
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	And the cause is the opposite of that; and the understanding that cautery is the last remedy of medicine is true only when they administer the methods of treatment in certain diseases, and those medicines do not benefit, and in the end of the cause they administer manes cautery, and make use of that.</end_of_turn
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And so it is that from here it can be understood that cautery is the last remedy of medicine, not according to the understanding which the vulgar people and fools of the doctors have of it.</end_of_turn
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	And the ancients said that cautery with gold is better than cautery with iron, and I do not say this except for the equality of gold and the sublimity of its substance.</end_of_turn
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And I say that the place of cautery does not make it fierce, as it is not absolutely true, for I myself have seen that it does no harm in any other parts, and that cautery with that is good and better than with iron, even though they say so; however, when you do cautery with fire from gold, it is not for you to declare, for it is ignited according to the quantity you wish for the roughness of the gold, and prepare to receive cold; and if you add too much fire to it the gold will melt for the fire, and if you are unlucky in the fire some plates will be broken because the artificer will take hold of it for the work.</end_of_turn
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And for this reason it is useful to do cautery with iron, you must put it lightly and more cautiously to the right of the operation.</end_of_turn
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And I have already ordered this chapter on cautery according to chapters, and I have ordered those that are among the feet to be omitted, so that I can relieve the seeker of what he demands of me.</end_of_turn
De cauteri de dolor de cap per frigiditat e humiditat.	Of cautery for head pain from cold and humidity.</end_of_turn
Le capitol primier.	Chapter one.</end_of_turn>
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cauterization confers upon cold and humid air the accidental cause of which it is a cause of soda and multiple flows of humors rheumatic, applied to the head and the flanks of the humors and the surrounding areas fluent, and multiple sleep, and toothache and headache, and universally of every disease that comes from cold, even as paralysis, tetanus and apoplexy, and is similar in those diseases.</end_of_turn
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The form of this cauterization is this, that first of all it commands the patient to be evacuated with medical laxatives, the head being moistened with medicine for three or four nights, according to the excess of the virtue of the disease and the age of the patient and his custom.</end_of_turn
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And I command him to shave the head of the patient, and that he make this pass between his legs over a fallen bench and that he place his hand on his feet.
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And keep your thumb close to the base of your nose between your eyebrows.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	Moreover, since the physician has already said of the location of the affected area, sign that place with your finger, and then cauterize with an olive-shaped instrument of this kind:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And keep your hand still over the area to be treated, in such a way that your thumb will gradually descend, to which your hand should be clasped tightly, and you should rotate it
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	Then gently lift your hand and support the area, and if you see any part of the bone already uncovered, as much as a grain of wheat, then elevate your hand again, and if you do not turn your hand away from the instrument, do so from the other side, until the bone is visible as much as I have said
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And take a little salt and dissolve it on the area and leave it on for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And keep your knee bandaged on the border and leave it on until the burn mark of the fire is gone
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	And take care of the area with tetracycline until it is healed
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And indeed when the wound remains open, it is better to take off the bandage, because it is better and more healing
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	I say to you all that the bone must be cauterized until the bone itself, and that you must hold the cautery until all the parts of the bone are healed.</start_of_turn>
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And keep the wound clean of the bone, and finally cure it.</start_of_turn>
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	And I say that the cautery must be applied towards the heel, until the bone feels strong pain in the bone itself, which is the way to make a small incision:
E estiman de aquel loc expiran la vapors del cap.	And they say that from that area vapor rises from the head.
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And keep the wound open for a long time, and finally cure it when it is consolidated.</start_of_turn>
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	I do not see these two kinds of cautery among men of learning, except in madmen; and leave that to them, for I believe that it is better for your health, when it is; because the head of the disease is of a cold nature. As we have testified in other limbs, and even more so when the head of the disease is of a fiery nature.</start_of_turn
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	The first kind of cautery is better and more beneficial for you; and from that one here and from that work I have seen health.</start_of_turn
Capitol segon.	End of text.
Del cauteri del cap.	From the head burn.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When in the head there is chronic pain that lasts a long time and when the disease lasts for a long time, and you use sponges, bowls, caps, plasters, mustard, vinegar, garlic, barley, and alum, and especially if it has already been cauterized with an instrument that they praise and which does not help it in any of those causes, then consider that if the head of the disease is of great heat in its nature; and it is not cold or otherwise finds little heat, then that cauterizes with another burn leaves some space.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And cauterize that over the nail of the thumb up to the bone is separated.</start_of_turn>
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Incise the bone and uncover from the bone the quantity that we have recounted and cauterize that with a cautery on the outer part of the head in the area which is called varicose — and that is the area where the wind is stopped.</start_of_turn
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And rest your hand in this way, and do not uncover the bone, because the disease finds great pain in all other burns of the head.</start_of_turn
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	I say this burn in this place, because it covers the burn that is made with the instrument with which the nails and the occiput are cauterized is more subtle than that which is made in the middle of the head; and this is the way to do it.</start_of_turn
Capitol ters.	End of text.
De cauterisacio de emigranea no-antiqua.	Of the antiquity of the cautery of foreign origin.</start_of_turn>
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When in the part of the head there is persistent pain, or widespread pain throughout the head, evacuate immediately with medicines that soothe the head, and administer the other treatment which I have mentioned in the preceding chapters; and all this without any benefit, for the cauterization in this case is done in two ways: either with acute medicinal combustion or with an instrument.</start_of_turn
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	Better is the cautery with medicinal combustion than that with an instrument, for you take a little alum, pour it out, and cover your head with both hands.</start_of_turn
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	And now prick the area of pain in the temple with a lancet as far as it is feasible without leaving the wound open, since it is hidden.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	And now keep pressure on it for a while to prevent excessive constriction, and leave it for three hours; then remove the ligature and pull the flesh away, and leave the wound covered for two or three days, and place your hand over it until the area heals
E aprop cura aquel am enguent entro que sia sanat.	And take care of it until it is healed.
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you wish, know that there are many medicines that can combat these, which I have written about in the preceding treatise on medicinal treatments.</start_of_turn>
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	May the cautery be performed according to this method: use fire for the cautery of which this is the form:</start_of_turn>
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	and it is called closed clamps, in which the head is like a nail in which there is a small curvature in the middle of the area.</start_of_turn
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	And place your hand over the area of pain, and hold your hand — so that the wound is not torn from the cautery which is left — and withdraw the fire little by little at a speed.</start_of_turn
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the quantity of tissue that is torn by the specularity of the wound is as great as the majority, elevate your hand so that the artery is not torn, which is left, so that there is no flow of blood.</start_of_turn
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	And immerse the area in salt water and place it over the area, and leave it for three days; then remove the dressing and cover the area with a bandage, and take care of it until it is healed.</start_of_turn
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And if you wish, cauterize at the extremity of the cuticle according to the incision, and keep the area from excessive bleeding in this particular emigration that is not ancient.</start_of_turn
Capitol quart.	End of document.
De cauterizacio d’emigranea antiqua.	About the cautery of ancient emigration.</start_of_turn
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you have cured the emigration according to what has been said of the previous treatment and what has been said in the divisions of diseases, and do not take advantage of the treatment, and sometimes for the disease that does not cover it adequately compared to the first cautery of medicine or the cautery of fire, know that you should ignite the cautery of the cuticle until it is bleached, because it signifies over the area of pain along the line of length of which is the majority of the digit, or whatever; and remove your hand for a while and hold that position until you have incised the artery and reached the bone.</start_of_turn
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	However, you must take care that the mandible is not continued, which is praised for chewing, and that the wound is not torn and that the nerves that are bad for that are not damaged, and that there is no spasm.</start_of_turn
