Ayssi comensan las paraulas de Albucasim .	The text means: "Thus Commences the speech of Albucasim."
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	Then I will show you according to your desires, and I will relieve you, and I will tell you to leave for a few days and command you to rest; and thus this matter was settled until the wound came out spontaneously, and the patient perished.</end_of_turn>
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	And I went to him and I showed him that the liament should be removed, and peace and joy appeared on his face, so that he forgot his pains.</end_of_turn
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	And indeed corruption had already been confirmed in the limb, for it was not able to restrain that, and it did not cease to spread corruption in the limb until the patient perished.</end_of_turn>
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I have seen another physician who performed an operation on a cancerous tumor, and made an ulcer nearby for several days, until the tumor grew bigger than it had before.</end_of_turn
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The cause of this is that cancer is pure melancholic humor, and that it does not suffice for it to be overcome by all the forces of the will, but that it should be overcome in every limb in which the patient suffers from it.</end_of_turn
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	And for this reason, sons, it is necessary for you that the art of surgery be divided into two parts: that is, in surgery in which there is associated health, and in surgery in which there is peril in the greatest precautions.</end_of_turn
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And I have already spoken of this in all this book in the place where I mentioned surgery in which there is error and fear; for it is necessary for you to guard against this and to leave that behind, so that the fools do not think that they can speak and despise you.</end_of_turn
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	Therefore take up the sacred arms in the request of God, and the sacred sick in the mercy and protection of God.
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And use the best way through God's grace to preserve health and praiseworthy success, and lay aside the terrible diseases of difficult healing, and rest the sacred arms from those which make you fear, so that you may rejoice in your faith and in your name, for it is remaining for your glory, both here and hereafter with the holy ones.</end_of_turn>
Gualia ja diyssec en alcunas sieuas monicios:	Indeed, I have already spoken in several of your monasteries.</end_of_turn>
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	“No cure any disease badly, for thus no will many doctors be named.”</end_of_turn
E yeu ja he devesit aquest libre segontz tres capitols.	And I have already finished this book according to three chapters.</end_of_turn>
Comensa la divisio del libre, e primier de la primieyra partida.	Begin the division of the book, and first of the first part.</end_of_turn
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter ordered of the head downwards, concerning the forms of instruments and the utensils of cautery, and what is necessary for the operation.</end_of_turn
La divisio de la segonda partida.	The division of the second part.</end_of_turn
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter, concerning swelling and perforation, and windings, and ulcers, and the extraction of arrows and similar things, all classified and ordered concerning the forms of instruments.</end_of_turn
Divisio de la tersa partida.	Division of the third part.</end_of_turn
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter, concerning restoration and dislocation, and care of twists and similar things; classified and ordered from the head downwards, and concerning the forms of instruments.</end_of_turn
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	Of cautery with fire and acute medicine and reminder of the operation.</end_of_turn
Am aquel comensa le tractat de tot le libre.	In that in which the treatise of all the book begins.</end_of_turn
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	Since I have said what is the quality of the instruments of that cautery and their documents, and in what completion it is prohibited to cauterize.</end>
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Therefore I say that the speech concerning the quality of the cautery instruments and their documents is a long and profound speech, subtle for science, and a secret hidden; and that many learned men have spoken of it, and they disagree with each other, and to me it seems that a little of their speeches suffices, fearing a prolongation.</end>
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	Therefore I say that cautery conforms to all universal completion except for two completions, which are caudal completions of its matter.</end
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the caudal and dry completion with its matter, disagreement arises; for some say that cautery is useful for that, while others say the opposite, that cautery is not convenient in diseases of the same kind as its quality and dryness, for the nature of fire is quality and dryness, and it is inconvenient that the disease be cold and dry with what is cauterized and dry to be healed.</end
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And I say that whoever says the opposite, that for cautery is useful in every cold and dry disease that is seen in the bodies of men, for when you compare the body of a man with the humidity of the air to the completion of the fire, you find the body of a man cold.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I say concerning this speech that I have already experienced it several times in my practice.</end
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	However, I do not say that because of this everything concerning that which has already been exposed and exercised in the chapter of cautery after practice, and to know the diversity of the men and the situation of diseases in their bodies, and the causes of these, and their accidents, and the space of time of these.</end
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	However, in other completions, this is not your fear, and especially in cold and wet diseases, for already all doctors agree on these, and they do not disagree concerning the use of cautery in these.</end
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And know, children, that from the secret of healing by cautery with fire and of the goodness of it, is about cautery with acute medicine, for the fire is simple, the action of which reaches only the member that is cauterized and does not notice the other member with it adjusted except for a small document.</end
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	For the action of acute medicine reaches only that in the limb from which it is administered, and it makes it come into the diseased limb of difficult healing and makes it go away.</end<end_turn>
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	For the fire, by its subtlety and substance, does not do anything but what is already known to us by experience and by the length of our service in the study of the truth of causes; and for this reason I am excused from the length of this speech, for it is not written in this book for you the secret of the fire, and the quality of its operation in the bodies and the expulsion of the disease by which it is expelled.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	Indeed, master, the best time for cautery and rest is in the earlier days of spring.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	And I say that cautery is convenient at all times, so that its document for the accidental time is submerged in the benefit of that which makes the cautery hurtful, especially if the cautery is for pains or necessary pains, which do not suffer from delay, for fear of those who come late, which is greater than a small document entering at the time.</end_of_turn>
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And I do not say that we must not cut in other cases, or, master, those who do not esteem but the vulgar people and fools among the doctors, so it is that for that disease which is cured by cautery, it is not ridiculous at all times, and rest that consequence.</end_of_turn>
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the cause is not thus that they say because it is cut, for cautery is nothing but in place of medicine which alters the complexion and dries the humors which are the cause of these pains.</end_of_turn
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	However, excessive cautery surpasses medicine by the will of its value and the virtue of its operation and greatness of the patient.</end_of_turn>
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	And it is possible that the disease will return at any hour of the time, according to the complexion of the disease and the location of the disease, and the virtue of the things which are prepared in the body from the accumulation of humors in it, and that which is obtained by them in their acquisition in food and drinks and the like of those causes; but when the disease in which cautery is administered is a subtle disease in a limb with few superfluities and humors, just as if it were cautery for pain and like that, it is possible that in them the said pain will not return, even if it is made small.</end_of_turn>
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	And it may be said vulgarly that cautery is the last remedy of medicine, and it is a subtle art, not to those who understand it, for they grow that it is not a cure that makes use of medicine or any other cause except cautery.</end_of_turn
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	And the cause is contrary to that; and the understanding that cautery is the last remedy of medicine is true only when they administer the methods of care in certain diseases, and those medicines do not confer, and at the end of the cause they administer manuevers of cautery, and take advantage of that.</end_of_turn
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And the hour has passed sixteen that cautery is the last remedy of medicine, not according to the understanding which the vulgar people and the fools of the doctors have.</end_of_turn
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	And I say to them the old men that cautery with gold is better than cautery with iron, and I do not say anything but for the equality of the gold and the limitation of its substance.</end_of_turn
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And I say that the place of cautery does not make it bad, as it is not absolutely true, for I have already seen that it does not do anything but in cases where the others do not work, and that cautery with that is good and better than with iron, just as they say; however, when you make cautery with fire from gold, it is not your business to declare, for it is ignited according to the quantity you wish for the roughness of the gold, and prepare to receive cold; and if you adjust over it the fire will consume the gold for the fire, and if there are some plates in the fire so that the craftsman cuts for the occupation of that.</end_of_turn
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And for this reason it is useful to make cautery with iron, we must put it more lightly and more cautiously to the rectification of the operation.</end_of_turn
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And I have already ordered this chapter on cautery according to chapters, and I have ordered those who are coming after me to do the same concerning the feet, so that I may relieve those who ask me what they want of me.</end_of_turn
De cauteri de dolor de cap per frigiditat e humiditat.	Of cautery for headache from cold and humidity.</end_of_turn
Le capitol primier.	First chapter.</end_of_turn>
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cauterization confers cold and humidity upon the accidental cause of which it is useful, so it is the cause of soda and multiple flows of rheumatic flux, applied to the cortex, from the head to the limbs and the joints fluent, and multiple of sleep, and toothache and gut pain, and universally of all diseases that come from cold, even as paralysis, sopor and apoplexy, and it is similar in these diseases.</end_of_turn
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The way of this cauterization is as follows: first command the patient to evacuate with laxatives for three or four nights, according as you exceed the virtue of the disease and the age of it and its custom.</end_of_turn
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And then command him to shave his head with a razor, and do that between his thighs on a fallen bench and place his hands on his feet.</end_of_turn
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And keep your wrist close to the thumb, over the bridge of the nose between the eyebrows.
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	Moreover, when the doctor suspects the location of the pain, he should touch it and with a pointed cautery he should burn a little olive oil of the shape of that:
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	Then he should place it over the painful area, holding it firmly so that the hand does not slip away, and you should gradually tighten it
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	Then lift your hand lightly and support the area, and if you see already some quantity of the head of the bone uncovered, thus as much as the quantity of barley of errors, then raise your hand again, and if it has not returned, do the same with the other hand, until it is seen from the bone that you have said.
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And take a little salt and dissolve it on the area and keep it there for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And keep it covered in oil at the border and keep it there until the burn of the fire is healed
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	And take care of the area with four medicines until it is healed.</start_of_turn>
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And I say that when the wound remains open, so much honey should be given to the patient, because it is better and more helpful.</start_of_turn>
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	I say to you that the bone should be cauterized until the bone itself, and that it should be held cauterized until all the parts of the substance of the bone have healed.</start_of_turn>
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And keep it moist that which is adjacent to the bone, and keep it cured.</start_of_turn
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	And I say that it should be cauterized until the marrow appears, until it strengthens the bone within that the bone is softened, and this is the form of small alphbetization.</start_of_turn
E estiman de aquel loc expiran la vapors del cap.	And it is estimated that from that area the vapors of the head expire.</start_of_turn>
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And if the wound remains open for a long time, and it should be cured when it is consolidated.</start_of_turn
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	I do not see these two kinds of cautery in all my life, except in some men according to their fear; and leave it, for you, it is better to be healthy than to be burned, when it is possible; for the head is developed by the solution of continuity of its parts as we have testified in other members, and more when the head of the patient is of fiery nature.</start_of_turn
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	The first kind of cautery is better and more useful for you; and of that one and of this work we have health.
Capitol segon.	Chapter two.</start_of_turn>
Del cauteri del cap.	Of the cautery of the head.</start_of_turn
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When in all the head chronic pain and lasting pain occurs and it lasts in the disease for a long time, and when it is used of herbs and of poultices and of capsulars and of plasters and of butter and of vinegar and of broth and of eggs and of rosemary, and especially if it has already been cauterized with a cautery that they recount and that does not benefit it from any of those causes, then consider that if the head of the disease is of strong creation in its nature; and it is not fiery and does not find great heat, then that which cauterizes with another cautery leaves a little space.</start_of_turn
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And cauterize that on the nail of the heel up to the marrow is separated.</start_of_turn
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Incise the bone and uncover from the bone the quantity that we have recounted and cauterize that with a cautery in the posterior part of the head in the area where the wind is stopped.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And withdraw your hand in help, and do not uncover the bone, for the disease for this finds great pain other than the pain of all the other cauteries of the head.</start_of_turn
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	I say this cautery in its place, for the cautery of which we cauterize the nails of the head and the occiput is more subtle than that which we cauterize the middle part of the head; and this is the way of it.</start_of_turn
Capitol ters.	Chapter three.</start_of_turn
De cauterisacio de emigranea no-antiqua.	Of the cautery of the ancient emigration.</start_of_turn
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When in the part of the head severe pain or widespread pain spreads into the heel, be evacuated with medicines that soften the head, and be administered the other care that I have mentioned in the preceding diseases; and all this without benefit, for the cautery in them is done in two ways: either with acute medical burning or with fire.</start_of_turn
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	May the cautery be applied with medicine, for you shall take a dose of ale, evacuate that and remove the extremities from both hands.
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	And approach the area of pain in the temple with a lancet, so that the wound is visible, leaving the hair covered.
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	And strengthen the area around it with a compress of constriction, and leave it for three hours; then remove the dressing and give the patient ale, and leave the wound covered for two or three days, and put your hand over the area that is below the knee until the pain subsides
E aprop cura aquel am enguent entro que sia sanat.	And care for that which is affected until it is healed
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	And if you wish, know that there are many medicines that combat these which I have written in the treatise of medicinal treatments
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	May the cautery be applied according to this manner: fire for cautery of which this is the form:
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	and it is called closed nails, because its head is like a nail with a curvature in which there is a small prominence in the middle of the area.</start_turn>
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	And place your hand over the area of pain, and hold your hand — because the vessel that is left behind must not be torn — and remove the fire little by little with speed.
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the quantity of the blood that is left behind by the specification of the wound is as great as most of it, elevate your hand so that the artery that is left behind does not suffer injury, so that there is no flow of blood.</start_turn
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	And immerse the area in salt water and leave it there for three days; then remove the dressing and cover the area with a bandage, and care for it until it is healed.</start_turn
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	And if you wish, cauterize at the tip of the toe according to the cautery, and keep the incision of the artery in this area away from the tip of the toe in particular, because it is not an old wound.</start_turn
Capitol quart.	Chapter four.</start_turn>
De cauterizacio d’emigranea antiqua.	Of the cautery of an old wound.</start_turn
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you have cured the wound according to what has been said of the previous care, and what has been said in the division of diseases, and you do not take advantage of the care, and sometimes for the disease does not suffice for it what has been said of the first care or of the cautery with fire, then you must wait until the fire has become white before you cauterize the toe, because it signifies over the area of pain along the length of which is the greater part of the finger, or whatever; and withdraw your hand for a moment and strengthen it before you make the incision and reach the bone.</start_turn
