Ayssi comensan las paraulas de Albucasim .	The sentence translates to: "Thus begins the speech of Albucasim."
E aprop le desliet segons los sieus desiriers, e aprop le relieg, e aprop le leyssec per alcus jorns e comandec que nos deslies le liament; e estec ayssi entro que la coyssa e·l pe foro apostematz, e pervenguet a perdicio.	And thus he left him according to his desires, and he relieved him, and he left him for a few days and commanded that he be unbound; and thus the thigh and the foot festered postoperatively and he came to his death
E yeu fuy apelat a lu, e aparelhegui a desliar le liament, e conseguida es tranquilitat e enayssi amermet de sas dolors.	I went to him and found that he had unbound him, and he was peaceful and calm and relieved of his pains
Mays empero ja corrupcio era confermada en le membre, per que no pogui refrenar aquela, e no cessec perambular la corrupcio en le membre entro que·l malaute peric.	But indeed corruption was already confirmed in the limb, for that I could not restrain it, and I could not stop the corruption of the limb until the patient was in danger of his life
E vi un autre metge le qual perforec un apostema cancros, e fo ulcerat aprop alscus dias, entro que foc magnificada la malicia de lu am lo senhor de lu.	And I have seen another doctor who pierced an abscess of cancer, and he made an ulcer nearby for several days, until the malignancy of the disease increased and overwhelmed him
La qual causa es quar le cranc caut es pur de humor melencolic, lahoras no cove que pervengua a lu am ferr de tot, sino que sia an membre le qual suffertes que de tot fos hostat.	The cause of this is that cancer is pure melancholy humor, and it does not suffice for it to overcome the whole of its effects, but that it should be applied only to the limb which suffers, so that it should be host to all the rest
E per aquo, filhs, necessari es a vos que la operacio am ma sia devisada en dos devesios: so es en operacio a lu qual es associada salut, e en obra am la qual es perilh en las majors disposicios.	Therefore, sons, it is necessary for you that the art of surgery be divided into two parts: that which is associated with health, and that which is dangerous in the greatest precautions.
E yeu ja he exsitat aquo en tot loc de aquest libre en le qual venc opperacio en la qual es error e temor; per que necessari es a vos que guardetz aquo e layssetz aquel, per que les folhs no atrobo via a parlar e a vos desonestar.	And I have already mentioned this throughout this book in which I have discussed the art of surgery in which there is error and fear; for it is necessary for you to preserve this and to leave that which may cause fools to speak and deceive you
E donc prenetz las vostras armas am sollicitut e am proteccio de Dieu , e les vostres malautes am falicitat e am fermetat.	Therefore take up the sacred arms in the request and in the protection of God, and the sick minds in their facility and firmness
E usatz de la milhor via per la gracia de Dieu perdusent a salut e a lausabla successio, e laysatz las malautias terriblas de difficil sanacio, e ostatz las vostras armas de aquo que vos fa temer, per so que ysitatio en vostra fe e en le vostre nom no vos evasisca: quar mays es remanent a la vostra gloria, e pus aut en le mon e en derier a las vostras sanctitatz.	And thus, through the mercy of God, you have overcome adversity and achieved salvation, and praised the blessed succession; you have banished the terrible diseases that were difficult to cure, and finally overcome the weapons of that which you were afraid; so that your faith and your name remain in his sight, for your might rests in his glory.
Gualia ja diyssec en alcunas sieuas monicios:	Indeed, I have already mentioned several times:
“No mediquetz malautia mala, per so que mals metges no siatz nompnatz”.	“There is no cure for a bad disease, so that no doctor will be called a liar”.
E yeu ja he devesit aquest libre segontz tres capitols.	And I have already finished this book according to three chapters.
Comensa la divisio del libre, e primier de la primieyra partida.	Let us begin the division of the book, and first of all from the first part.
Le primier capitol ordenat del cap entro·s pes, en las formas dels instrumentz e en les ferrementz dels cauteris, e de aquo que necessari es en la opperacio.	The first chapter is arranged from the head downwards, concerning the forms of instruments and cautery utensils, and what is necessary for the operation
La divisio de la segonda partida.	The division of the second part.
Le segon capitol, de siccio e perforacio, e de ventosas, e de plaguas, e de extractio de sagetas e de semblantz ad aquelas, tot capitolat e ordenat de las formas dels instrumentz.	The second chapter deals with swelling and perforation, windbag, ulcers, and extraction of arrows, all categorized and arranged in terms of the forms of instruments
Divisio de la tersa partida.	Division of the third part
Le tertz capitol, de restauracio e de dislocacio, e de curacio de torcio e de semblantz ad aquels; capitol ordenat del cap entro·s pes, e de las formas dels instrumentz.	The third chapter deals with restoration and dislocation, treatment of fractures and similar cases; the chapter is arranged from the head downwards, concerning the forms of instruments
De cauteri am foc e am medicina aguda e rememoracio de la opperacio.	From cautery until fire and acute medicine and memory of the operation.
Am aquel comensa le tractat de tot le libre.	Here begins the treatise of the whole book
Cove que yeu digua la qualitat dels juvamentz de aquel cauteri e dels noccumentz de lu, e en qual compleccio sia prohibit cauteri.	Since I have spoken of the qualities of the instruments of that cautery and the documents of them, and in what completion it is prohibited to make incisions
Donc dic que·l sermo de la qualitat del juvament de cauteri e del noccument de lu es sermo lonc e prolixs, e subtil per sciensa, e secret amaguat; e ja de lu a parlat gran multitut de savis, e de lu se son desacordatz, et a mi abasta un petit dels sermons de lor, temen perlonguacio.	Therefore I say that the discourse on the quality of the instruments of that cautery and the document of them is a long and profound one, subtle for science, and a secret hidden; and many great scholars have spoken of it, and they have disagreed with each other, and I believe that a small part of their sermons suffices for me, fearing a lengthening of the discourse
E donc dic que cauteri comfereys a tota compleccio universalment la qual es am materia o ses materia, exceptat dos compleccios, las quals son compleccios caudas ses materia .	Therefore I say that incisions comply with all universal completion except for two completions, which are caudal completions of its matter.
En la compleccio cauda e secca am materia se desecordero; quar alcus dyssero que cauteri es juvatiu ad aquela, e les autres dyssero le contrari de aquel, que cauteri no es convenient en malautia la qual es per qualiditat e per siccitat, quar natura del foc es qualiditat e siccitat, e enconvenient es que malautia cauda e secca am aquo que es caut e sec sia sanada.	In the caudal and dry completion of the matter disagreement arises; for some say that cautery is useful for that, while others say that it is harmful. For indeed, the nature of fire is quality and dryness, and it is inconvenient that a disease which is cold and dry should be treated with something that is also cold and dry
E diysec aquel que ditz le contrari de aquel, que per cauteri es fayt juvament en tota malautia cauda e secca que ve en les cors dels homes, quar quan tu comparas le cors de home e las humiditatz de lu a la compleccio del foc, atrobas le cors de home freg.	And they say that the opposite is true, that cautery is useful in all cold and dry diseases that are seen in the bodies of men, for when you compare the body of a man with the humidity of his body to the completion of fire, you find the body of a man cold.
E yeu dic per le sermo de aquel, que esperiment aquo ja a mi alscunas vetz a descubert.	And I say concerning this discourse that I have already experienced several times in my practice
Mays empero no cove que vengua sobre aquo aquel que ja es exproat e excersitat en le capitol de cauteri per derier exercici, e a conogut la diversitat de la compleccio dels homes e la disposicio de las malautias en lor meteyssas, e las causas de aquelas, e·ls accidentz de lor, e l’espasi del temps de aquelas.	I do not say that I have explained all that has been said about that already exists and is practiced in the chapter on cautery after practice, and knowing the diversity of the humors of men and the disposition of diseases in them, and their causes, their accidents, and the passage of time in them
Mays en las autras compleccios, no es sobre vos temor, e majorment en las malautias fregas e humidas, quar ja totz les metges se son acordatz sobre aquels, e no so desecordatz en le juvament am cauteri en aquelas.	In other completions, it is not a matter of fear for you, and especially in cold and humid diseases, for all doctors have already agreed on that, and they do not disagree concerning the use of cautery in those diseases
E sapiatz, filhs, que del secret de curacio per cauteri am foc e de la bontat de lu, so sobre cauteri am medicina comburent, es quar le foc es simple, la accio del qual no perven sino al membre le qual es cauterizat e no notz al autre membre am lu ajustat sino am petit nocument.	And you know, children, that the secret of treating cautery with fire and the gentleness of it is that fire is simple, and its action reaches only the part that is cauterized and does not affect the other part that is adjacent to it except for a small document.
Mays la accio de medicina comburent perven ad aquel en les membres le qual de lu alunhat, e fort leu fa venir en le membre malautia de dificil sanacio e fort leu ausit.	And the action of treating with fire for inflammation reaches only that part of the limb from which it is cauterized, and it makes the painful part of the disease of difficult healing come out more easily
Mays le foc, per la sua sublimitat e de la sua substancia bontat, no fa aquo sino que superfluisca E ja es a nos conogut per experiment e per longitut de servitut de studi am l’art sobre le veritat de las causas; e per aquo yeu so excusat de la longitut del sermo E si no fos que no es legut al mieu libre en aquest pausero a vos secret amaguat am le foc, e la qualitat de la operacio de lu en les cors e de la sieua expulcio per la qual expellis las malautias, am sermo philosophic demostratiu, le qual siria acuit en las vostras pessas.	Therefore fire, for its sublimity and its gentle nature, does not do anything other than what we already know through experience and through the length of our studies concerning the art of truth about the causes; and for this reason I am excused from the length of this discourse because it is not legible to me in this place in this book the secret which is hidden with fire, and the quality of the operation of it in the bodies and the expulsion of the disease which it expels, as it is demonstrated in philosophical discourse.
E sapiatz, filhs, que els se desacordan del temps en le qual es convenient far cauteri e pausan le milhor temps de primaveyra.	And you know, children, that they disagree about the time when it is convenient to make incisions and when it is best to wait.
E yeu dic que cauteri es convenient en tot temps, per so que le nocument per le temps accident es submergit en le juvament de aquo que am le cauteri es atirat, e majorment si le cauteri es per dolors o de dolors necessaries, fortz e fistinas, las quals no suffertan tarditat per so que es temut de aquelas que vengua malicia, que es major que petit nocument entrant per lo temps.	And I say that the cautery is convenient at all times, so that for the accidental time it is immersed in the nourishment of that which I call the cautery, which is shot, and more so if the cautery is for pains or necessary pains, strong and fiery, which do not suffer delay so that it is feared of those which come with malice, which is greater than a small nourishment entering for the time.
E aysso no catz en vostras pessas, o, filhs, aquo no estiman sino le poble vulguar e les fols metges, so es que ad aquela malautia que es sanada per cauteri no es redicio tot temps, e pausan aquel consequen.	And I say that it is not necessary to burn other parts of the body, or, fools, those vulgar people and foolish doctors, so that to that disease which is cured by the cautery, it is not ridiculous all the time, and they stop that consequence.</end_of_turn>
E la causa no es ges ayssi quo els cuydan per aquo, quar cauteri no es sino en loc de medicina la qual altera la compleccio e esicca las humiditatz las quals son causa per que veno las dolors.	And the cause is not thus that they say, because the cautery is nothing but a remedy in place of medicine which alters the complexion and dries the humors which are the cause of these pains.</end_of_turn>
Mays empero cauteri superflueys sobre la medicina per volicitat de la sua valitut e vertut de la sua operacio e grandesa del sieu senhor.	More however the cautery surpasses medicine by its delight and worth and greatness of its operation.</end_of_turn>
E es possible que la sua malautia retorne en alcuna hora del temps, segon la compleccio del malaute e la locacio de la sua malautia, e la vertut de lu, e aquo que es preparat en le cors de lu de la agreguacio de las superfluitatz en lu, e aquo que es pervengut a lu en la sua acquisicio en viandas e semblantz de aquelas causas; sino que la malautia en la qual sia aministrat cauteri sia malautia subtil en membre de paucas superfluitatz e humiditatz, ayssi cum cauteri de dent per dolor e semblantz ad aquel, possible es que en lu no retorne aquela dolor, mays aquo se fa en petitz.	And it is possible that your disease will return at some time, according to the complexion of the disease and the location of the disease, and the worth of them, and what is prepared in the body of them by the gathering of the superfluities in them, and what is obtained by them in their acquisition in food and the like of those causes; but the disease in which cautery is administered is a subtle disease in a few superfluities and humors, just as if it were cautery of a tooth for pain and the like of that, possible is that in them the said pain does not return, even though it is made small.</end_of_turn
E mays sermo vulgar es que cauteri es le derier remezi de medicina, e es sermo dreyturier, no ad aquo que els entendo en lu, quar els crezo que no es curacio que aprofieyta am medicina ni am autra causa aprop cauteri.	And it may be said vulgarly that the cautery is the last remedy of medicine, and is a miraculous thing, not as those understand it, because they grow that it is not a cure that makes use of either medicine or any other cause except the cautery itself.</end_of_turn
E la causa es en contrari de aquo; e la entencio que cauteri es le derier remezi de medicina no es sino quan administram las manieyras de curacio en alcunas malautias, e aquelas medicinas no conferieysso, e aprop en la fi de la causa aministra hom cauteri, e aprofieyta ad aquela.	And the cause is contrary to that; and the understanding that the cautery is the last remedy of medicine is true only when they administer the methods of healing in certain diseases, and those medicines do not confer, and therefore in the end of the cause they administer man cautery, and make use of that.</end_of_turn
E lahoras de aqui cat16 que cauteri es le derier remezi de medicina, no segon la entencio la qual entendo les vulgars e trops dels fols metges.	And indeed it is said that the cautery is the last remedy of medicine, not according to the understanding which the vulgar people and fools doctors have of it.</end_of_turn
E diyssero les antics que cauteri am aur es milhor que cauteri am ferr, e no diyssero aquo sino per la equalitat del aur e sublimitat de la sua sustancia.	And I say that the ancients said that the cautery with gold is better than the cautery with iron, and I do not say anything but for the equality of the gold and the fineness of its substance.</end_of_turn
E diyssero que le loc de cauteri no fa brac, cum aquo no sia absolutament vertat, quar yeu ja he aquo proat e he atrobat que aquel no fa aquo sino en alcus cors ses les autres, e cauteri am aquel es bo e milhor que am ferr ayssi quo els diyssero; mays empero quan tu fas cauteri am foc am de aur, no es a tu declarat, quar es egnit segon la quantitat que tu vols per la rugor de l’aur, e quar prepara a recebre freg; e si ajustas sobre lu ignicio se fon l’aur per le foc, e caso en le foc alcunas laminas per que le artifex catz per la occupacio de aquel.	And I say that the place of the cautery does not make it weak, as it is not absolutely true, for I have already seen that it does no harm to any other part, and that the cautery with gold is better than that with iron, as they say; however, when you make cautery with gold and fire, it is not your will that is the cause, for it is ignited according to the quantity you wish for the roughness of the gold, and that prepares to receive heat; and if you mix them over the fire the gold will be consumed by the fire, and if you do not mix them well some plates will be left unburned because the artist will take up the space of that.
E per aquo es fayt cauteri am ferr deves nos pus leugerament e pus propdanament a rectitut de operacio.	And for this reason the cautery with iron must be made more lightly and more cautiously of the operation.</end_of_turn
E yeu ja he ordenat aquest capitol en le cauteri segon capitols, et he ordenat aquels del cap entro les pes, per so que aleugo le demandant aquo que vol de lu.	And I have already ordered this chapter on the cautery according to chapters, and I have ordered those from the head downwards, so that I may relieve the seeker of what he demands of me.</end_of_turn>
De cauteri de dolor de cap per frigiditat e humiditat.	Of the cautery of head pain for coldness and humidity.</end_of_turn
Le capitol primier.	The first chapter.</end_of_turn
Aquesta cauterizacio confereys a la humiditat e frigiditat sobre le servel accident de la qual so doas causas, so es causa de soda e multitut de flux raumatic, apelat corissa, del cap a las partidas dels huelhs e de las aurelhas fluent, e multitut de dormir, e de dolor de dentz e del guolayro, e universalment de tota malautia que ve per fregiditat, ayssi cum paraliticament, sodo e apoplexio, e semblantz en aquelas malautias.	This cauterization confers on coldness and humidity about the accidental cause of which it gives rise, so it is the cause of soda and multiple fluxes rheumatic, applied to the head to the flanks of the heels and the swelling fluent, and multiple sleeplessness, and toothache and swelling of the tonsils, and universally of all diseases that come from coldness, even as paralysis, hydrophobia and apoplexy, and it is similar in these diseases.</end_of_turn
La forma de aquesta cauterizacio es aquesta, que primieyrament comandes al malaute que sia evacuat am medicina lacsativa le cap mondificant, per tres o per quatre nueytz, segon que exhigeys la vertut del malaute e la edat de lu e la sua costuma.	The way of this cauterization is as follows: first command the patient to evacuate with laxatives for three or four nights, according to the excess of the virtue of the disease and the age of the patient and his custom.</end_of_turn
E aprop comanda li que raza le sieu cap am razor, e aprop fay aquel sezer entre las tuas mas sobre una banca cayrada e que pause las suas mas sobre le pietz sieu.	And then command him to raise his head on a razor, and do that between his thighs on a fallen bench and that he rest his hands on his feet.</end_of_turn
E aprop pausa la razit de la tua palma aprop le pous sobre la razit del nas entre les huels sieus.	And then stop the shaving of your palm near the bulge under the nose between the knees.</end_of_turn
Mays empero, cum le tieu dit del mieg loc es pervengut, signa aquel loc am tenta, e aprop igneys le cauteri olivar del qual aquesta es la forma:	May it be so, since the physician has said of the said limb that it has arrived, signify that limb at the source of the pain, and immediately apply the cautery with olive oil of the kind mentioned.
E aprop pausa aquel sobre le loc senhat am tenta, a manieyra que descent, am la qual la tieua ma sia constrengida petit a petit, e tu revolveys aquel.	And immediately suspend that over the limb which is causing the pain, in such a way that it descends gradually, with your hand tightly clasped around it, and you rotate that
E aprop leva la tua ma leugerament e reguarda le loc, e si veses ja del os esser descubert alcuna quantitat del cap, ayssi cum la quantitat de gra de errs, lahoras eleva la tua ma, e si no torno la tua ma am aquel ferr, am autre de aquel, si es enfrigidat, entro que sia vist del os aquo que yeu he dit a tu.	And immediately lift your hand slightly and support the limb, and if you see any quantity of bone exposed whatever its quantity, as much as a grain of wheat, elevate your hand, and if you do not turn your hand back at that point, at another, if it is cold, until the bone is seen again as I have said to you
E aprop pren un petit de sal e disolveys aquel sobre le loc e leyssa aquel per tres jorns.	And immediately take a little salt and dissolve it on the limb and keep it there for three days.
E aprop pausa sobre lu coto enbegut en boder e leyssa aquel sobre lu entro que sia destrusida la scara del foc.	And immediately suspend over the wound the edge bound by a border and keep it there until the burn mark of the fire is destroyed.
E aprop cura le loc am anguent tetrafarmacon entro que sia sanat.	And immediately treat the limb with tetracycline until it is healed.
E ja diyssero que quant la plagua roman uberta, tant mielhs geta le brac, per que es milhor e mays juvatiu.	And I say that when the wound remains open, take honey from the brace, because it is better and more helpful
E diyssero alcus de lor que sia cauterizada la codena entro al os, e sia tengut le cauteri entro que sia adhurida alcuna partida de la specitut del os.	I say that the bone must be cauterized until it reaches the bone, and that the cautery must be kept on until all parts of the substance of the bone are solidified.
E aprop sia ras aquo que es adhust del os, e aprop sia curat.	And immediately let there be rest that is appropriate for the bone, and immediately cure it.
E diyssero autres que am lo cauteri pervengua al derier, entro que enprema en le os forta enprecio entro que le os caga, e aquesta es la forma de alphecati petit:	And I say that the cautery must reach the posterior part of the limb, so that in front of the bone it should strengthen the price in front of the bone rather than weakening it. This is the form of small alphbetization:
E estiman de aquel loc expiran la vapors del cap.	And they consider that from that limb the vapor of the head escapes
E sia tenguda la plagua uberta per lonc temps, e aprop sia curada entro que sia consolidada.	And if the wound remains open for a long time, and immediately cure it when it is solidified
Mays a mi no so vistas aquestas doas specias de cauteri de tot, sino en alcus homes segon via de temor; e layssa aquel, deves mi, milhor es am salut, quan es; quar le cap es develitat per solucio de continuitat de lu ayssi cum havem testificat en les autres membres, e majorment quan le cap del malaute es de freul natura.	I do not see these two kinds of cautery in all my life, except for a few fools according to their way of thinking; and leave that, for me, is better for health, when it is; because the head is developed by the solution of continuity of its like in other members, and especially when the head of the patient is of fiery nature.
E la specia de cauteri primieyra es mays salva e milhor deves mi; e de aquela husi e am aquela obra am salut.	The first kind of cautery is better and more helpful for me; and from that one here and from that work I find health.
Capitol segon.	End of document.
Del cauteri del cap.	Of cautery of the head.
Quan en tot le cap accideys dolor cronica e longua e aquo es en le malaute prolonguat, e usa de gerras e de cochias e de capipurges e de emplaustres e de guatz e de cadels e de gualinas e de semblantz, e majorment si ja es cauterizat am un cautere le qual recontam e no aprofieyta a lu deguna de aquelas causas, lahoras considera quar si le cap del malaute es de fort creacio en la sua natura; e no es freul et atroba mot gran freg, lahoras aquel cauterisa am autra cauteri dejos aquel un pauc.	When in the whole head chronic pain occurs for a long time and the disease is prolonged, and it uses herbs, poultices, cataplasms, plasters, butter, millet, garlic, vinegar, and radish, and especially if it has already been cauterized with a cautery which they count on and which does not benefit it from those causes, then consider that if the head of the disease has great fiery nature; and it is not fiery nor does it find great cold, then cauterize with another cautery leaving a little space between them.
E aprop cauterisa aquel sobre le corn del sieu cap am cauteri entro que la codena es partida.	And immediately cauterize that over the joint of the heel with the cautery until the bone is fractured
Incisa la codena e sia descuberta del os la quantitat la qual havem recontat e cauteriza aquel am un cauteri en la partida deriera del cap en le loc le qual es apelat vas, — e es aquel loc en le qual es pausada ventosa.	Cut the bone and uncover from the bone the quantity that we have recounted and cauterize that with a cautery in the posterior part of the head in the area where wind is stopped.
Et alleuja la tua ma en aysso, e no descobras le os, quar le malaute per aquo atroba mot gran dolor diversa de la dolor de totz les autres cauteris del cap.	And move your hand away from there, and do not uncover the bone, because the disease from this will find great pain other than the pain of all the other cauteries of the head
E yeu diyre aquest cauteri en son loc, quar cove que·l cauteri am le qual so cauterisatz les corns del cap e le occiput es pus subtil cauteri que aquel am le qual es cauterisat le mieg loc del cap; e aquesta es la forma de lu.	I say this cautery in its place, because the cautery of the corn of the head and the occiput is more subtle than that of the middle part of the head; and this is its form
Capitol ters.	End of document
De cauterisacio de emigranea no-antiqua.	Of ancient cauteries.
Quan endeve en la partida del cap dolor sodo, o es stenduda dolor entro al uelh, sia evacuat am medicinas le cap mondificantz, e sia aministrada l’autra curacio, la qual yeu he dita en las devesios de las malautias; e tot no aprofieyta, lahoras cauterisacio en lu es en dos manieyras: o cauterisacio am medicina acuta comburent, o am ferr.	When there is pain all over the head, or widespread pain in the heel, evacuate with medicines the head slightly flexible, and administer the other treatment which I have mentioned in the sections on diseases; and all this without benefit, for the cauterization in this case is in two ways: either with acute burning medicine or with a burn
Mays cauteri am medicina comburent es que tu prenguas una dolsa de alh, e escorgas aquela e abcindas las extremitatz de lu de amdos les caps.	The cautery with burning medicine is that you take a spoonful of alum, and sprinkle that on and remove the extremities of it from both heads
E aprop incideys le loc de la dolor en la templa am una lanceta lada entro que sia en lu feyt loc dejos la codena, entro que sia occultada.	And immediately prick the area of the pain in the temple with a lancet so that the bone is left visible
E aprop strenh sobre lu am stopada per descent constreccio, e layssa aquel per le spazi de tres horas; e aprop deslia le e tratz le alh, e laysa la plagua per dos o per tres jorn, e aprop pausa sobre lu coto submergit en boder entro que le loc fassa brac.	And now stretch over them and stop the constriction, and leave it for three hours; then remove it and bring it close, and leave the wound covered for two or three days, and then rest over it until the limb makes a brace.
E aprop cura aquel am enguent entro que sia sanat.	And do the same until it is healed
E si tu voys, fe aquo am alcunas medicinas comburentz las quals yeu he scriutas en le douse tractat de medicinas comburentz.	If you wish, faith that many medicines which I have written in the previous treatise of medicinal remedies will combat these.</start_of_turn>
Mays la cauterisacio am ferr segon aquesta manieyra: igneys per cauteri del qual aquesta es la forma:	May the cautery be performed according to this manner: fire for the cautery of which this is the form:</start_of_turn
e es apelat claus clavilhs, quar le cap de lu es ayssi cum forma de clavel en le qual es alcuna curvitat, e·n le mieg loc de lu es eminensia petita.	and it is called closed nails, because its head is like a nail with a curvature, and in the middle of the limb there is a small protrusion.</start_of_turn>
E aprop pausa sobre loc de la dolor, e rete la tua ma — per que no sia adhurida la arceria la qual es dejos — e revol le ferr petit a petit am velocitat.	And rest upon the place of the pain, and hold your hand — so that the wound which is left does not adhere — and slowly withdraw the needle little by little.</start_of_turn
E si la quantitat de lu que es adhurida per la specitut de la codena ayssi quo la maytat de lu, e elava la tua ma per so que la arteria no sia adhurida la qual es dejos, per so que no vengua flux de sanc.	And if the quantity that is adhered by the property of the ointment is as much as the majority, elevate your hand so that the artery is not adhered which is left, so that there is no obstruction of the flow of blood.</start_of_turn
E aprop enbibeys coto en aygua de sal e pausa aquel sobre le loc, e layssa aquel per tres dias; e aprop pausa coto mulhat am boder, e aprop cura am enguent entro que sia sanat.	And soak the limb in salt water and rest it upon the limb, and leave it for three days; and then rest the limb liberally with a border, and do the treatment until it is healed.</start_of_turn
E si voys, cauterisa am la extremitat del cutellari segon cauteri, e guarda te de incisio de arteria en aquesta emigranea propriament no-antiqua.	If you wish, cauterize at the extremity of the cuticle according to the cautery, and keep the incision of the artery in this place properly not antique.</start_of_turn
Capitol quart.	Chapter four.</start_of_turn>
De cauterizacio d’emigranea antiqua.	Of the cautery of antique embolism.</start_of_turn
Quan tu curas emigranea am aquo que havem dit de la curacio precedent, e aquo que havem dit en las divisios de las malautias, e no aprofieyta la curacio, e vezes per la malautia que no abasta a lu aquo que havem dit del primier cauteri am medicina o del cauteri am foc, lahoras cove que tu igniscas le cauteri cutellar entro que sia albificat, pus que significas sobre le loc de la dolor am linha de longuesa de la qual sia la maytat del dit, o quays aquel; e depausa la tua ma per una veguada e strenh aquela entro incidiscas la arceria e pervengua entro al os.	When you have cured the embolism as we have said of the preceding treatment, and as we have said in the divisions of diseases, and you do not take advantage of the treatment, and sometimes for the disease that does not reach that which we have said of the first cautery with medicine or of the cautery with fire, when you light the cautery of the cuticle until it is whitened, since it signifies over the limb where the pain is in the line of length of which is the majority of the finger, or whatever; keep your hand still for a moment and stretch it until you have incised the artery and reached the bone.</start_of_turn
Empero necessari es a tu que guardes de la continuacio de la mandibula, la qual es mauguda deves la masticacio, e que le lacert no sia adhurit e le nervi le qual mau aquela, e que no s’endevengua espasme.	But it is necessary that you take care of the continuity of the mandible, which is bad for chewing, and that the nerve is not adhered and that the muscle which has that is not affected, and that no spasm occurs.</start_of_turn
E si es sobre la custodia e cautela de flux de sanc de l’arteria que es abciza, quar en la abcizio de lu es temor, e majorment ad aquel le qual ignora aquo que fa e no es studios e esproat; e layssa la operacio en lu al comensament.	And if it is about the custody and caution of the flow of blood of the absected artery, which is feared, and more so to that which ignores what is done and is negligent; leave the operation in them at the beginning.</start_of_turn
