chapter thirty .	capitol . xxx .	1.00385
then each assistant extends the spar with the tie towards himself ; the two spars will not shift from their places in which they are planted , but , as we have said , they are not to be fixed .	e aprop le ministre cascu extenda le liament a la partida del fust , e no sian remaugutz les dos fustz e les liamentz dels sieus locs en les quals son ficatz , mays empero no so fermatz ayssi cum havem dit .	0.776623
meanwhile the doctor is to press hard with both his palms upon the spine until it goes back ; or he may place a board upon it and apply pressure to the board with his feet until it goes back .	e le metge pause las suas palmas sobre le spondil am fortaleza entro que retorne , o que pause sobre aquela una taula , e aprop que ajuste sobre la taula les sieus pes entro que retorne .	0.603719
but if it does not go back under this treatment then let a board be taken , about three cubits long , and let a place be hollowed out in the wall , which , as we said , should be near the patient , into which you put the end of the board ; then place the mid-point of the board upon the hump , and he—the doctor—should place both his feet on the other end and strongly thrust upon the spine until it is forced back into position .	mays si no retorna per aquesta forma , lahoras pren una taula de la qual la latitut o la longitut sia en aviro de tres brassas , e cava en la paret de la qual havem dit que es prop le malaute un loc en le qual intre la extremitat de la taula .	0.555307
if you wish you may operate by means of a winch turned by hand ; thus : you fix in the ground at the head of the patient , at one end of the bench , two wooden spars each one cubit long ; and the same at the lower end , at his feet ; there should be the distance of a span between the spars ( of each pair ) .	e aprop pausa la maytat de la taula sobre le spondilh , e·l metge pause les sieus pes sobre l’autre extremitat , e estrenha be entro que le spondil sia coartat e que retorne al sieu loc .	0.588691
in each spar there should be a hole in which the shaft may run , and each spar should be firmly fixed in the ground so as not to move at all . ~~~ then you introduce a round piece of wood , the shaft on which the rope is wound , into the two openings of the two wooden spars .	e si tu voles , obre am torn le qual es revolvut am la ma ; e es que tu fiques en terra deves le cap del malaute en le derier del pug dos fustz , la longitut dels quals sia d’un bras , e deves le cap de lu en le derier del pug eyssament dos fustz ; e sia la longitut que es entre quascun fust un palm , e ja es fayt en quascun fust trauc en le qual corr torn , e quascun sia mot fermat en terra per so que no sia maugut .	0.321012
at one end of each shaft is a hole into which is firmly fixed a piece of wood a span long by which it is wound .	e sia mes un fust redon en le qual es le torn , e sia revolvut en les dos traucs dels dos fustz .	0.612
likewise with the other two spars .	e en la extremitat de lu es un trauc en le qual es format le fust , la longueza del qual es un palm am aquo que es revolvut ; e en les dos autres fustz es semblant de aquel .	0.75
then bind the wrapper that you have bound round his chest to the shaft at the patient's head , and those bound round his legs to the shaft at his feet .	e aprop strenh les liamentz que has streyt en le pietz del malaute en le trau le qual es deves le cap de lu , e les liamentz que has streyts en las coyssas de lu en le torn le qual es deves les pes de lu .	0.663562
then have an assistant standing at each shaft to turn with his hand the handle by which the shaft is revolved , while the doctor straightens out the curvature in the way we have described .	e aprop deves quascun torn e stia un ministre que torssa le torn am la sua ma , e le metge engualhe le spondil segon que havem dit .	0.757143
this is the figure of the winch , the bench and the patient .	e aquesta es la forma del torn :	0.367949
after the spine has been restored and the place has been straightened it will be necessary for you to apply an absorbent plaster with egg-white , then packing , then over the plaster apply a flat splint about three fingers wide and long enough to cover the site of the curvature and several sound vertebrae on either side .	e aprop pus que le spondil es retornat , e le loc es engualhat , lahoras cove que pauses empastre exciccatiu am album de huou , e aprop estopa ; e aprop pause sobre le empastre astela de taula de la qual la latitut sia de tres ditz o enviro aquels , e la longitut de lu sia quantitat que prengua le loc de la gelbositat , e sobre la partida del spondil sa .	0.779699
then let it be bandaged as is needful and let the patient follow a mild diet until he is cured .	e aprop sia liat am liament le qual havem dit , e uze le malaute de nutriment subtil entro que sia sanat .	0.814286
if after he is healed there still remains some prominence at the site , it will be necessary to employ remedies to relax and soften the parts , together with the use for a long time of the flat splint we described ; in this case a leaden plate may be employed .	e si roman alcuna iminencia en le loc en la fi de la sanacio , lahoras cove que sian aministradas medicinas que moilifico e liniscan am aministracio de la taula per lonc temps , la qual havem recomtada ; e ja es aministrada en aquel loc lamina de plom .	0.645624
sometimes there occurs a prominence at the end of the dorsal vertebrae , from which one may form the opinion that there is a dislocation , whereas it will be a superfluous bone that has become prominent ; do not interfere with it by this treatment , for death may result .	e alcunas veguadas accideys imminencia en le derier dels spondils del dos , e es cujat per aquela dislocacio ; e es aquel os le qual ja imineys per que no cove que sia fayta prosompcio a lu am aquesta medicina , quar fort leu fara a tu accidir mort .	0.730195
		0.3
