on the amputation of limbs and the sawing-off of bones .	de inscizio extremitatz e de la serratura dels osses .	0.838933
now the way to amputate or saw off a limb is to bind a ligature round below the site and another above ; an assistant draws the one downward and another assistant draws the upper ligature upward ; while you dissect away the tissues between the two ligatures with a broad scalpel until it is laid bare of flesh ; then it should be cut or sawn .	e la manieyra de inscidir le membre o de serrar lu es que tu strenhas le liament en la partida pus dejos la qual voles inscidir , e strenh autre liament sobre le loc ; e extenda le ministre un liament a las partidas dejos , e extenda le ministra autra liament en sus ; e tu separa la carn la qual es entre dos liamentz ain spatum lat entro que sia descuberta tota la carn ; e aprop sia inscidit o serrat .	0.728441
you must place linen dressings on every side lest the saw touch a part that is sound and thus cause the patient additional pain and inflammation .	e cove que sia pausat drap de li de totas partidas per so que no toque le loc sa , e que vengua al malaute lesio ajustada e apostema caut .	0.912857
if a haemorrhage occurs while you are operating , cauterize the place as quickly as possible , or apply to it one or other of the styptic powders ; then continue until finished .	mays si accideys flux de sanc quan obras , lahoras tu cauteriza le loc coytadament , o pausa sus lu alcunas polveras restrenhentz le sanc ; e aprop retorna a la tua medicacio entro que sia complida .	0.779354
then bind up the mutilated limb with a suitable bandage and dress until healed .	e aprop lia le membre plaguat am liament al u convenient , e cura aquel entro que sia sanat .	0.826679
now i shall relate to you an example ; what i am going to tell you is exactly what happened to a certain man's foot . ~~~ he had a blackening of the foot , with a burning like that of fire .	e yeu recomti a tu aquo que endevenc a un home en le sieu pe , aquest meteys accident le qual yeu e a tu recomtat , le qual es quar accidic a lu negror en le sieu pe am adustio que era asemblada a combustio de foc .	0.257508
the disease , to begin with , was in one toe , but it went on to involve the whole foot .	e aquela corrupcio accidic primierament en le sieu dit entro que tendec tot le pe .	0.652941
when the man saw the disease spreading in the limb and felt the violent pain and burning , he hastened of his own accord to amputate it at the joint , and he got better .	e adonc aquel home preparec per si meteys pus que vic la curacio anar al membre am la vehemencia de lu que atrobec de dolor e de adustrio de lu , e el inscidic aquel pe entro a la junctura , e foc sanat .	0.812421
after a long time had passed the very same kind of disease arose in the forefinger of his hand .	lonc temps accidic a lu aquela meteyssa corrupcio en le dit de la ma indic .	0.575522
he came to me , and i attempted to suppress the superfluity with remedies that i applied to the hand , after purging his body ; but the superfluity was not to be suppressed and began to spread to the second finger , and eventually the whole hand was involved in the disease .	e adonc venc a mi , e so me perforsat repercutir aquela superfluitat am aquo que pausegui sobre la ma de las medicinas , aprop la mundificacio del cos de lu ; e no es repercussa la superfluitat e comensec anar al autra dit entro que comensec en la ma .	0.847366
he urged me to cut off his hand , but i did not wish to do this , hoping i should be able to overcome the superfluity , and also fearing he would die at the amputation of his hand , for the man's strength was on the decline .	e el apelec me a inscidir la ma de lu , e yeu no volgui far aquo sperant sobre la repercussio de aquela superfluitat , e mays que temegui deves la inscizio de la ma de lu mort , quar la vertut del malaute era sobre cazement .	0.847631
when he despaired of me he went back to his own country , and i then heard that he had gone and cut off his whole hand , and got well .	e pus que el se desperec de mi , es retornat en la sua terra e pervenguec a mi que aquel home preparec e inscidic la sua ma tota , e es sanat .	0.828312
i narrate this story as help against this kind of malady when it occurs ; and as guidance for you to take and act upon .	e no he adhuzida aquesta narracio sino per que sia adjutori sobre aquo que catz de aquesta malautia , e que sia significacio per la qual sia significada e segon la qual sia obrat .	0.585069
		0.3
