chapter ninety-four .	de extraccio de sagetas .	1.02
if the arrow has hit the urinary bladder , and urine comes out and some of the bladder protrudes and the patient has violent pain , then you may know that the wound is mortal .	e si la sageta catz en la vesica , e es yssida defora urina , e procesesca de lu alcuna causa a las partidas defora , e fort leu es dolor sobre le malaute , lahoras sapias que es mortal .	0.935973
but as for the other parts , such as the face , eye , throat , shoulder , arm , dorsal vertebrae , collar-bone , hip , leg , and the like , in most cases they will heal if the arrow does not happen to strike an artery or nerve , and if the arrow is not poisoned .	mays les autres membres ayssi cum es la cara , le col , e·l golayro , e las spallas e le adjutori , e les spondils del dos , e la furcula , e la coysa , e la camba e a lor semblantz dels membres , son salvatz segon las majors disposicios quan la sageta no atroba vena ni arteria e no es sageta venenosa .	0.742047
now i will relate to you certain cases of arrow wounds that i have seen , so that you may be guided thereby to your own methods of treatment .	e yeu recomtare aquo a tu que he vist del esser de aquestas sagetas , per que signifiques per aquo sobre la curacio tieua .	0.719538
for example , once an arrow struck a man at the corner of his eye near the root of the nose , and i extracted it from him on the other side beneath the lobe of his ear , and he got well , and his eye was none the worse .	la qual causa es , quar en un home cazec sageta en le lacrimal del huel de lu en la razitz del nas , e yeu extrayssi aquela a lu del autra partida , dejos le grays de l’aurelha de lu , e es sanat , e no accidic en le huel de lu nocument .	1.12435
also i extracted from a jew another arrow that had pierced the orbit beneath the lower eyelid ; the arrow had sunk out of sight and i could take hold only of the tiny extremity of it which is secured to the shaft ; but it was a big arrow from a compound bow , the iron tip four-sided , very smooth without barbs .	e extrayssi autra sageta a un juzeu la qual cazec en lu en lo grays del sieu huel , dejos la palpebra pus dejos , e la sageta ja era occultada e no so conseguit de aquela sino una petita extremitat am la qual adhereys al sieu fust , e era gran sageta de las sagetas agudas dels turcs , am ferr leon en la qual no havia aurelhas .	0.741345
the jew recovered , nor did any ill befall his eye .	e senat es le juzieu , e no accidic en le sieu huel mal accident .	1.15165
i also extracted another arrow from the throat of a christian .	e extrayssi una autra sageta a un home crestia la qual era cazuta en le golayro , e era sageta arabica , e es aquela a la qual so aurelhas ; e adonc yeu inscidegui sobre aquela entre doas guidegi , e ja era submersa en le golayro de lu ; e adonc yeu so subtiliat am aquela , e aprop extraxi aquela , e es sanat le crestia .	1.00276
it was an arab arrow , one of those with two barbs ; and i cut down upon it between the two jugulars ( for it lay deep in the throat ) , and worked gently at it until i extracted it ; and the christian was saved and recovered .	e extraxi autra sageta a un home la qual era cazuta en le sieu ventre , e cogitegui que moris per aquela ; e donc , pus que foro passatz xxx dias e no es mudat sobre lu alcuna causa de las suas disposicios , inscidegui sobre la sageta e engenagui sobre aquela , e es sanat , e no accidic a lu accident mal .	0.825065
i also extracted another arrow from a man , that had struck him in the abdomen , and our opinion was that he would certainly die from it .	e vi mays un home en le qual cazec una sageta en le dos de lu , e consolidada es la plagua sobre lu , e pus que foc aprop set ans , yssic la sageta en la razitz de la coyssa .	0.937838
but when it had remained in him for the space of thirty days or thereabouts , and his condition was unimpaired , i cut down upon the arrow and manoeuvred it out and extracted it ; and he recovered , nor did any harm befall him .	e vi una femna a la qual cazec sageta en le sieu ventre , e la plagua es consolidada dedintz lu , e no es mudada en las suas disposicios en re , e la femna no atrobec nocument en alcunas de las suas opperacios naturals .	0.911286
i also saw a man who had been struck in the back by an arrow and the wound had closed over it ; and when the space of seven years had elapsed the arrow came out at the root of the hip .	e vi un autre home al qual cazec sageta en la sua cara e consolidada es la plagua e romas la sageta , no atrobant aqui mota dolor , e motz semblantz ad aquestz .	1.0125
and i saw a woman who had been struck in the abdomen by an arrow and the wound healed with the arrow remaining in it , and her condition was unimpaired ; she felt no harm from it and her natural functions were not harmed .	e extrayssi la sageta del home dels princeps del rey que era cazuda en le mieg loc del nas sieu e ja havia declinat a la partida dreyta un petit , e occultada era tota la sageta .	0.765035
and i saw a man who had been struck by an arrow in the face , and it had healed over , and he did not feel much pain from it .	e yeu fu appelat a la curacio de lu aprop le cazement de la sageta entro a tres dias .	1.03361
and many such have i seen . ~~~ i once drew out an arrow from one of the officers of the state , that had struck him in the middle of the nose and was inclining a little to the right , and the whole arrow was buried .	e adonc yeu atrobegui la plagua de la sageta mot streyta ; e adonc yeu inquirigui aquela am tenta subtil , e no sentigui aquela ; mays el la sentia puncio dejos la aurelha dreyta , e adonc speregui que aquela punccio era per la extremitat de la sageta .	0.253762
i was called to treat him three days after he had received the arrow wound ; and i found the arrow wound very narrow .	e amplastregui le loc am emplaustre en le qual es vertut atrectiva e digestiva , confizant de mi que·l loc se apostemes per que appares a mi le loc de la sageta , per que secces sobre aquela .	0.687449
i explored it with a fine probe but did not find it ; but the patient felt a pricking and a pain beneath the right ear , and i hoped that the pricking was due to the arrow .	e no accidic en le loc accident significant que la sageta hagues conseguit aquel loc ; e yeu continuegui am le emplaustre sobre lu per motz dias e no accidic accident ; e consolidada es la plagua entretant , e romas le malaute de la extreccio de lu per spazi de motz dias entro que un jorn sentic la sageta dintz le sieu nas e recontec aquo a mi .	0.659559
so i applied a poultice to the spot , a poultice with power to draw out and cause suppuration , desiring that the place should swell and that a sign to indicate the arrow should appear so that i could cut down upon it .	e adonc yeu pausegui sobre la plagua medicina acuta corrosiva per motz dias entro que foc ubert , e am la tenta yeu assagegui aquel , e atrobegui la extremitat de la sageta subtil , la qual adhereys al fust .	0.573288
but nothing happened at that place to indicate that the arrow had come through to there ; so i persevered with poulticing it for many days ; yet nothing fresh manifested itself and the wound healed up meanwhile , and the patient despaired for a time of its extraction .	e aprop yeu ajustegui en la apersio de la plagua per aquela medicina acuta entro que apparec a mi visiblament la extremitat de la sageta , e passec a mi temps am aquo per le spazi de temps entro quatre meses .	0.765832
then one day he felt the arrow inside his nose , and he told me of this ; so for a number of days i applied a caustic medicine to the wound until it opened .	e aprop pus que la plagua foc amplificada , e foc a mi possible entrometre las forfexs en lu , e remaure aquela , e no obezic ad eyssiment , lahoras yeu no cessegui subtiliar e ingeniar sobre aquela am manieyras de engen , entro que comensegui un dia sobre aquela am manieyras de engens pendre lu am forceps descentment faytas , segon que vindra la forma de aquelas en la fi del capitol , entro que extraxi aquela ; e aprop restauregui aquela plagua .	0.758932
i explored it , and felt the slim end of the arrow which is fastened to the shaft ; then i enlarged the opening of the wound by the use of the caustic until the tip of the arrow was plainly visible to me .	e alcus metges jutgavan que la cartillage del nas no es restaurada , e yeu restauregui aquela e la plagua es consolidada , e sanat es le malaute per sanetat entiera , e no noguec en lu en deguna causa .	0.869577
about four months passed . ~~~ then when the wound was enlarged and i was able to introduce forceps into it i pulled on it and moved it , but it would not come out .	e yeu recomti a tu la qualitat de extraccio de alcunas sagetas per que pauses aquo regla e significacio sobre aquo que no he dit , quar las partidas de aquesta art e las difinicios de aquela no so conprehendudas am narracio ni no comprehen aquelas le libre .	0.190125
and i went on skilfully and gently trying for it with various instruments until one day i caught hold of it with a pair of strong forceps ( their shape will be described at the end of the chapter ) and drew it out ; then dressed the wound .	e le artifexs savi compara am pauc sobre mot ; e am aquo que es present sobre aquo que es absent ; e atroba operacio novela e instrument novel deves le descendement de las causas extranhas del art quan accideysso .	0.699429
the medical men judged that the cartilage of the nose would not be restored , but i restored it and the wound healed up and the patient made a complete recovery nor did he suffer any harm .	e donc yeu dic que sagetas no son fora-gitadas dels membres en les quals son ficadas sino segon dos manieyras : o per atraccio del loc en le qual intrec ; o per le contrari de la autra partida .	0.60181
now i shall tell you the method of extracting certain arrows so that you may take it as a guide and an analogy for others that i have not mentioned ; since all parts and details of this art cannot be comprehended in any description , nor can any book include them .	e aquela que es gitada per le loc don es intrada , o es sageta procedent en loc carnos , e es atirada e fora-gitada .	0.798566
a skilful worker will form a judgement on much , from little ; and on what is not present from what is before him ; and he will think out a new method and a new instrument for an unaccustomed case when it occurs in the practice of this art .	e si no obezeys a eyssiment de la hora en la qual catz , lahoras cove que tu la laysses per alcus dias entro que poyresca la carn que es al enviro de lu , e sia alleujada l‘atraccio de lu e la sua egressio .	0.693434
so i would state that arrows come out from the parts of the body they have transfixed , in two ways : either by drawing out from the site of entry ; or from the opposite side .	e semblantment si es ficada en os e no obezeys a tu a eyssiment , lahoras layssa aquela per alcus dias e itera aquela am atraccio e mocio en quascun dia , e ja es fora-gitada .	0.850489
an arrow that comes out by the track of its entry : the arrow may be visible , standing out from a fleshy part , in which case it may be extracted by pulling .	e si no obezeys a tu eyssiment aprop alcus dias , lahoras cove que tu perforas en le circuit de la sageta en aquel os de tota partida am taravel subtil entro que·l loc sia amplificat de la sageta , e aprop extratz aquela .	0.590476
if it does not respond to traction immediately it strikes , you must leave it for a few days until the surrounding tissues have suppurated , when the pulling and extraction of it will be made easy .	e si la sageta es ficada en le os del cap e ja ha procezit en un dels ventres del cervel , e apparo en le malaute alcus de aquels accidentz les quals yeu e ditz , lahoras abste de la extraccio de la sageta e layssa aquela entro que·l sieu esser sia equat aprop alcus dias ; quar si la sageta perve al ciphac , lahoras la mort no es a lu prolonguada .	0.779345
similarly if it has stuck fast in a bone and will not come out , leave this also for a few days , repeatedly pulling on it and shifting it day by day , and then it will come out .	e si la sageta no es ficada sino en le cors del os tant solament e no passa entro al ciphac , e roman le malaute per alcus dias , e no accideys a lu denguna causa de aquels accidentz , lahoras tu engenia en la atraccio de la sageta e en la atraccio de lu .	0.812143
but if it will not come out after some days , you will have to drill away the bone from all round with a fine drill so as to make room for the arrow ; then draw on it and pull it out .	mays si es mot ficada e no obezeys a tu a extraccio , lahoras tu aministra taravels en le circuit de la sageta ayssi cum havem recomtat , e aprop cura le loc entro que sia sanat .	1.06712
if the arrow is buried in some part of the body and is quite lost to sight , explore for it with a probe , and if you can feel it then draw it out with any suitable instrument .	mays si la sageta ja es amaguada en le loc del cors , e es amaguada del sentiment , lahoras tu inquireys aquela am tenta , e si tu sentas aquela , lahoras atira aquela am alcus sturmentz les quals so convenientz a la atraccio de lu .	0.708598
but if you cannot get at it on account of the narrowness of the wound and the depth at which the arrow is , and there be no bone nor nerve nor blood-vessel , then cut round it until the wound be sufficiently wide to enable you to take hold of it and extract it .	e si no podes sobre lu per la constriccio de la plagua e per la longitut del preon , e aqui no es os ni nervi ni vena , lahoras tu fen sobre la plagua entro que sia amplificada e que sia possible extrayre la sageta .	0.985088
and if it have two barbs by which it is held , free them from the adherent flesh all round , in any way you can ; or , if you cannot free the tissues , try skilfully to break off the two barbs and twist them about until the arrow comes free .	e si so a lu aurelhas am las quals sia tenguda , lahoras tu deliura la carn en la qual es ficada de tota partida am tot le engen que poyras far ; e ingenia sobre aquo , si no podes sobre la evasio de la carn en la fractura de las aurelhas e en torssio de aquelas entro que obezesca .	0.738804
whenever you try to extract an arrow from any part , employ a twisting motion of your hand with the forceps in all directions until you free it ; and use the utmost gentleness not to break the arrow and thus make it hard to draw it out and remove it .	e quan tu administras la extraccio de la sageta en quascun loc on sia , lahoras tu usa am torcio de la tua ma am forceps a totas partidas entro que fassa aquela obezir ; e subtilia am deriera subtilitat que la sageta no sia trencada e que sia fayta a tu dificil atraccio de lu e de aquela extraccio .	0.86294
if you are unable to get it out at once then leave it for some days until the tissues that surround it putrefy , then return to it , for then the extraction will be easy ; and if haemorrhage interfere use the remedies prescribed in the chapter dealing with that .	e si no podes sobre aquela de la tua hora , lahoras tu layssa per alcus dias entro que se poyrescan las partidas que so en le circuit de lu , e aprop itera aquela quar lahoras es alleujada .	0.838142
exercise the utmost care not to cut a blood-vessel or nerve or tendon ; and employ the greatest skill in freeing the arrow ; it should be done gently and unhurriedly and with perseverance , as i have told you .	mays si a tu fa contrarietat flux de sanc , lahoras tu administra aquo que havem dit de curacio en le sieu capitol .	0.534255
when extracting an arrow you should place the patient in the same position he was in when the arrow struck him , for that is more convenient ; but if you cannot do this then let him be in whatever position is possible for you .	e guarda la tua vertut de inscizio de vena o de nervi , o de corda , e aministra engen en tota manieyra a tu possibla de la evasio de la sageta ; e fay aquo am facilitat e tranquillitat e tarditat e fermetat ayssi cum yeu e a tu recomtat .	0.864632
the arrow that is to be extracted from the opposite side either has some part protruding through or else the tip of the arrow gives rise to a palpable swelling just beneath the skin and you see it sticking out ; then cut down upon it ; the incision should be wide enough to admit the forceps .	e donc que fassas contrayre la sageta per so que·l malaute sia segon la figura segon la qual foc deves le cazement de la sageta en lu , quar es mays juvatiu .	0.216628
then pull on it , for the extraction of it will be easy .	mays si aquo no es a tu possible , lahoras tu aministra aquo que es a tu possible per las figuras .	0.673333
	mays las sagetas que son fora-gitadas per le contrari del autra partida , o que ja de lu procezeys alcuna partida a las partidas de fora , o fa gilbositat la extramitat de la sageta per sentiment de la partida pus desus de la codena propdana e vezes aquela eminent ; adonc tu secsa sobre aquela ; e sia la seccio segon la quantitat en la qual prenguan las forceps ; e aprop atira aquela , quar ela es fayta leugiera a eyssiment .	-0.3
if it is stuck in bone , twist it round with your hand until the arrow makes an impression in the bone and opens up a way for itself ; then pull it .	mays si es retenguda en le os , lahoras tu tortz lama segon contrarietat entro que la sageta enprema en le os , e amplifique a si meteys , e aprop extratz aquela .	0.864103
if it does not come out , let it alone for some days , and repeat until it does come out .	e sino , layssa aquela per alcus dias , e aprop itera aquela entro qu’en yesca .	1.11026
if the arrow-shaft be in the wound , then thrust the arrow out with that .	e si le fust de la sageta es en aquela , lahoras tu impelleys aquela am lu .	0.652941
but if the shaft has fallen out , and you wish to employ thrusting , introduce down to it the hollow instrument whose cavity will enter upon the ferrule of the arrow , then push it forward with that .	mays si le fust es cazut e voles aministrar inpulsio , lahoras tu intromet e aquela , si es sorda , sturment concau per so que intre la concavitat de lu en la coa de la sageta e aprop impelleys aquela am lu .	0.731617
if the arrow be hollow , thrust it forward with an instrument that will enter into the cavity , for the exit of the arrow will thereby be made easy .	mays si la sageta es concava , lahoras tu impelleys aquela am sturment fort intrant en aquela , quar la sageta es alleujada per aquela .	0.500794
if the arrow be poisoned you must , if you can , cut out in a circle all the flesh into which the poison has entered ; then treat it with what is appropriate .	e si la sageta es entoxiguada , lahoras cove que tu concaves tota la carn en la qual es le vere , si es a tu possible aquo , e aprop cura aquela am aquo que si conveneys .	0.697619
if the arrow that has struck be in the chest or abdomen or in the urinary bladder or in the flank and it be close enough for you to explore it with the probe and you can cut down upon it , then do so , but beware of cutting into a blood-vessel or nerve . ~~~ then remove the arrow . ~~~ afterwards suture the wound , if suture be necessary , and dress it until it heals .	e si la sageta catz en le pietz , o en le ventre , o en la vesica , o en le costat , e es propinqua per so que tu tocas aquela am la tenta , e es a tu possible secsar sobre aquela , lahoras secsa sobre aquela e guarda te de inscizio de vena o de nervi , e extratz aquela , e aprop cos la plagua si indigeys , e cura aquela entro que sia sanada .	0.26
forceps for extracting arrows .	forma de forceps am las quals so atiradas las sagetas :	1.10714
	sian las extremitatz de lor cum a bec de ausel que son faytas cum serra quan prendon sobre la sageta per so que no la layssen .	-0.3
the extremities resemble the bill of a bird and are engraved like a file so as not to lose grip when you close them upon an arrow or some other object .	e de aquelas son faytas motas specias , grans , paucas e migieras , segon la quantitat de la grandeza de la sageta e de la sieua pauqueza , e de la amplitud de la plagua , e de la constriccio de lu .	0.759389
they are made in several kinds , large , small , or medium , all according to the bigness or smallness of the arrow and the breadth or narrowness of the wound .	forma de impellent concau de aquesta extremitat conquava ayssi cum pena de ausel per so que sia alleujat le intrament de la sageta en lu , e impulcio de aquela sorda :	0.554123
the hollow thruster . ~~~ the solid thruster .	forma de impellent de sorda extremitat :	-0.0128571
the extremity is solid like a probe , to facilitate entry into , and pushing , the hollow arrow .	ayssi cum ray per so que sia alleujat le intrament de lu en la sageta concava e es impellida am aquel .	0.713382
		0.3
