on the treatment of fistulae occurring in the lower parts .	de curacio de las fistulas que endeveno dejos .	0.825
for cauterizing with fire unites two good characteristics , the burning away of those superfluous tissues , and the stanching of the bleeding , as well as the drying-up of humidity . ~~~ then treat with a dressing soaked in butter , or sulphur pounded with oil , until the place putrefies and the burnt tissue comes away in the pus .	mays si flux de sanc vezes que vengua entre tu e la tua opperacio quan ensideysses aquelas carns , lahoras le milh que sia e del pus leugier instrument es cauterizar am foc o am medicina acuta , quar cauteri am foc ajusta bonas doas habitutz : so es adhustio de aquelas carns ajustadas , e abscizio del sanc exseccacio de las humiditatz .	0.347794
then treat the wound with salves to encourage healing and the growth of firm flesh , these remedies having also a styptic and drying quality .	e aprop cura aquela am calguas envolopadas en boder o en caus trissat entro que·l loc geta brac , e aprop lahoras cura la plagua am enguentz carn dura engendran e consolidan .	0.900565
then when the wound is healed over it is cured for good and there is no fear of a recurrence .	e so medicinas en las quals so stipticitat e exseccio ; quan lahoras es restaurada ja es sanada e no temes iteracio .	0.761455
if the fistula reaches deep into the anus and is far from the surface of the body , then put your finger into the anus and palpate .	mays si la fistula ja perve entro al preon del cul e es elonguada de lu superficia del cos , lahoras entromet le tieu dit en le cul e inquireys am aquel .	0.769128
if you feel a barrier of flesh or membrane interposed between the probe and your finger , and it be nearly through , then there is nothing to be done except to try a remote hope . ~~~ there are three methods that you may employ . ~~~ the first is to cauterize it , as we have said .	e donc si centes la tenta e entre tu e ela es velament de ciphac o de carn , e es propda a la penetracio , lahora no es operacio en lu sino segon via di fiducia e de speransa .	0.283616
or you may cut it open until you reach the termination so as to be able to insert a dressing and bring the medicament into contact with it , but do not extend your incision too far lest you cut into the sphincter muscle and the patient become incontinent of faeces ; then dress in the manner we have said and perhaps it may heal . ~~~ or you may perforate the barrier and pierce it through , after incising to the vicinity of the anus , as we have said , either with the probe or with some other sharp-pointed instrument ; then clear away the fleshy granulations in the incision as far as you are able ; then attempt the repair of the whole wound with the incision and the upper opening , until it heals . ~~~ let the inner end of the fistula remain open , for this will ease the patient .	la qual causa es aministrar en lu una de tres manieyras : o que cauterize aquela ayssi cum havem dit ; o que secces aquela entro que consieguas la conquavitat de lu per que sia a tu possible entrometre las qualcas e la curacio propdana ; e no procesiscas mot am seccio per so que no inscidas le lacert contenent le cuol , e que accidisque sobre le malaute eyssiment de la egistio ses voluntat ; e aprop cura aquel am aquo que havem dit quar fort leu sira sanat ; o que elongues aquel velament e mondes aquel pus que seccas aquel entro prop le cul , ayssi cum havem dit , o am tenta o am autre instrument de aguda extremitat , e aprop mondifique aquelas carns fistuladas las quals so en la seccio entro la on podes am percrustacio ; e aprop esforsa te a far la restauracio de tota la plagua am seccio , e si le orrifici pus desus no es consolidat , e romangua la fistula uberta en la partida del cul , e sira pus leugier per le malaute .	0.136205
sometimes also a fistula is cut out in this way : namely , you pass a probe into the fistula ; it should be near the circle of the junction of the outer skin with the anal mucosa ; then take a probe with an eyed point like a shoemaker's needle ; put into it a thread twisted of about five threads , and insert into the fistula until it reaches the end .	e alscunas veguadas la fistula es finida segon aquesta manieyra : es quan tu entrometas la tenta en la fistula , e es en le latz del cul entorn la superficia del cos am la codena e en le marge del cul , lahoras pren tenta de perforada extremitat , que es ayssi cum agulha de preparantz les coers segon aquesta forma :	0.645703
if it has perforated through at the anal margin within , nearby , draw the thread out of that perforation by introducing your finger into the anus .	e entromet en aquela fiel envolopat de v fiels o entorn aquels ; e aprop entromet tenta am fiel en la fistula entro que consiegua la conquavitat de lu .	0.605427
draw out the end of the thread and tie the two ends together and leave for one or two days . ~~~ as the thread cuts into the tissues , tighten it up well until those tissues enclosed in the thread are cut through and fall away .	mays si es penetrant en le marge del cul prop dedintz , lahoras tu extratz le fiel de aquel trauc ayssi que tu intrometas le tieu dit en le cul ; e extraguas la extremitat del fiel e ajustes las duas extremitatz essemps , e estrenh cascuna , e leyssa aquo per un dia o per dos , e quan mays inscideys le fiel en la carn , estrenh be aquel entro que aquelas carns sian inscididas las quals so entre doas extremitatz del fiel e que cajan .	0.337217
then dress the wound until it be healed and sound .	e aprop cura la plagua entro que sia consolidada e sanada .	1.25
if the mouth of the fistula is not perforated , perforate it as best you can , unless the depth is too great ; in which case you must not do so lest you cut the muscle . ~~~ then treat as we have said until it heals .	mays si le orrifici de la fistula no es penetrant , lahoras fay aquel penetrar , en qualque manieyre sia a tu preparat , sino que sia mot en le preon , quar no es a tu que fassas aquo per que no inscidas le lacert ; e aprop fay am aquela entro que sia sanada .	0.198817
figure of the sharp-pointed scalpel for cutting open fistulae ; the curved edge should be exceedingly sharp and the other blunt , lest you cut what should not be cut , as you see .	la forma de spatum spinos am lo qual es fenduda la fistula : la curvitat del qual es mot aguda e l’autra partida es no-aguda , per so que no inscidas aquo que no es necessari , ayssi cum vezes .	0.783673
		0.3
