chapter fifty-four .	capitol . liv .	0.911538
then pierce the skin with the instrument , introduce the instrument into that incision , and bring the scalpel up between the skin and the membrane , as if excoriating , over an area about the size of a fingernail .	e aprop perfora am le instrument tota la codena , e aprop entromet en aquela seccio , e eleva la tua ma am le spatum entre la codena e·l siphac , e tu excorja aquel ; e si’ la quantitat de una ungla o enviro .	0.565714
then pierce through the membrane till the scalpel reaches a cavity , which will be where the water is ; then withdraw the scalpel and put into the opening the instrument shaped like this ; it resembles a fine section of reed , made of silver , bronze or white copper ; smooth and well polished , with a small opening at the lower end and three at the sides , two on one side and one on the other , as you see .		-0.3
its extremity may be cut to the shape of a writing reed like this ; the upper end of it is supplied with a ring .	e aprop perforo le ciphac entro que pervengua le spatum al loc vuoyt , e es loc de l’aygua .	0.524903
when the instrument reaches the fluid , the fluid will at once pass down into it .	e aprop extratz aquel e entromet un instrument del qual aquesta es la forma :	0.473437
evacuate at one time only a moderate amount of fluid ; for if you evacuate more than you should at a time , the patient may die through a dissolution of his animal spirits , or he will undergo a fainting that is next door to death .	e es semblant a canula de argent subtil ; es fayt de argent o de eram o de lato leon , al qual en la partida pus bassa de lu es un petit trauc , e en les costatz de lu so tres traucs : dos de una partida e un del autra partida ; e fayta es la extremitat de lu insciza segon la manieyra de pluma , ayssi cum vezes :	0.820309
but let out such quantity of fluid as is proportionate to his strength and as is indicated to you by the patient's condition : the strength of his pulse and the goodness of his colour .	e en la extramitat de lu pus sobirana es armilla , quar quan le instrument perve al aygua , lahoras aquela tantost deysen sobre le instrument , donc evacua de l’aygua en la ora miega quantitat , quar si tu evacuas de aquela mes que no cove en la hora , fort leu mor le malaute per resolucio del sieu spirit animal , o accideys a lu cincopi que es appropinquada la mort .	0.332271
then withdraw the instrument and keep ( the rest of ) the fluid in . ~~~ for it will be immediately held back by the skin that closes the opening in the peritoneum , which , as i have told you , must be perforated in that manner .	mays evacua de aquela segon la quantitat de la vertut de lu e segon que significan a tu las disposicios del malaute de la vertut del pols de lu e de la bontat de lu .	0.54
then repeat the use of the instrument another day if you see that the patient can tolerate it , and withdraw again a small quantity of fluid .	e aprop extrats le instrument , e rete l’aygua la qual causa es quar tantost es retenguda per la codena la qual rete le trauc que es sobre le ciphac del qual e recomtat a tu que perfores aquel segon aquela manieyra .	0.457759
and do this daily , watchful and on guard against error , until there is only a trace of fluid left .	e aprop itera le instrument al autra dia si vezes le malaute tollerant aquo , e extratz de la aygua petita quantitat , e fay aquo per alcus jorns sobre temor , e guarda te de error entro que no romangua de l’aygua sino pauc .	0.712238
but if you are afraid for the patient and leave a large amount of fluids treat him by burying him in hot sand , and by heavy sweating in the bath and in the sun , and letting him go thirsty ; while you treat him with drying medicines , till he is well .	mays si tu temes sobre le malaute , e leyssas de l’aygua gran quantitat , lahoras cura aquel am sepultura en arena cauda , e mota suzor en banh , e al solelh espere per lonc temps ; e cura aquel am medicinas dessicativas entro que sia sanat .	0.652308
he should also be cauterized on the abdomen and on the liver and spleen after the paracentesis , as i have previously described .	e cauteriza sobre le stomac , e la melsa e·l fitge aprop la extraccio de l’aygua , segon que yeu he recontat en aquo que es precedit .	0.897196
		0.3
