chapter eighty-five .	de las plaguas del ventre .	1.005
when you pass it through the skin and the muscle that runs the length of the belly , leave the edge of the peritoneum on that side where the needle was introduced ; and pierce the other edge of the peritoneum from within outwards through the other edge of the abdominal wall .	e donc cum la agulha penetra en la codena e en aquel meteys lacertz segon rectetut e en longetut de tot le cos , e layssa la extremita del ciphac en le qual has entromesa la agulha ; e fay penetrar en la autra extremitat la agulha de la partida dedintz a la partida deforo en l’autra extremitat del mihat .	1.104
when you have done this , pierce the same edge of the abdominal wall from the outside inwards , leaving the edge of the peritoneum which is on that side , and pierce the other side from within outwards .	e don cum tu auras fayta aquela penetrar , lahoras tu fay aquela penetrar autra veguada en aquela meteyssa extremitat del mihat de la partida deforo a la partida dedintz ; e leyssa la extramitat del ciphac que es en aquest latz , e fay penetrar la agulha en l’autra extremitat de la partida dedintz a la partida deforo .	1.00169
as you pierce , make the needle pass through the peritoneum to the edge of the abdominal wall that is adjacent to that part until it pierces right through the whole .	e fay penetrar am aquela la tua penetracio am la qual fas aquela penetrar en le ciphac en la extremitat del mirat la qual es en la partida de lu entro que tot aquel penetre .	0.92754
then begin again on that same side and sew it together with the peritoneal edge on the opposite side and bring the needle out through the skin nearby . ~~~ then reintroduce into the same skin area and sew the opposite peritoneal edge with that abdominal skin edge and bring the needle out through the adjacent skin .	e aprop comensa de aquest meteys costat e cus aquel am la extremitat que es del ciphac en l’autra latz , e extratz la agulha de la codena la qual penetrec , e aprop redutz aquela en aquela codena e cos la extremitat del ciphac que es en l’autra costat am aquesta extramitat del mirat ; e extratz aquela de la codena la qual es de part de lu .	0.353382
do this once again and repeat until you have sewn up the whole wound after this fashion .	e fay aquo una veguada e autra , e fay aquo una veguada aprop autre veguada entro que tu cozes tot aquo que es deforo segon aquel eysemple .	0.767195
in short , this way of suturing is to sew with the stitch used by furriers in sewing skins ; thus you stitch the peritoneum once one way with the skin edge and leave it once the other way , until you have done .	e la suma de aquesta manieyra de sutura es que tu cozes am sutura de pellicies am la qual cozo las pels , enayssi que tu cozes le ciphac una veguada de la part de la extremitat de la codena , e que leysses aquela autra veguada entro que la ajas complida .	0.757453
now the manner of the second type of special stitch which galen mentioned is this ( these are his own words ) : that you suture it in the same way as many practitioners . ~~~ that is , they suture each part to the part that corresponds naturally to it ; so they join one peritoneal margin to the other and one skin margin to the other , in the manner i shall describe .	mays la segonda specia de sutura propria la qual dieys eyssament gualia , e aquest es de sermo de lu e per lu recomtat , es que tu cozas aquela segon semilitut am la qual alcus medicantz cozo aquela , enayssi que agreguan tota partida a la sua compar partida a lu convenient per natura ; e aplican la extremitat de autre de lu e la extremitat del mirat al autra extremitat de lu , e aquo es fayt segon que yeu a tu recomti .	0.342384
you should put the needle from without inwards , in that edge of the abdominal wall that is nearest to you , and make it pass inward through that alone , leaving out the peritoneal edges ; then turn the needle round and run it from without inwards through both peritoneal edges .	cove que tu fiques la agulha en la extremitat del mirat a tu propdana de la partida deforo , e fassas aquela penetrar a la partida dedintz en aquel sol , e leysses dos extremitatz del ciphac ; e aprop revolveys la agulha e fay aquela penetrar de foro a la dedintz en dos extremitatz del ciphac .	0.674415
then turn it round again and make it pierce , from within outwards , the other edge of the abdominal wall , on the opposite side .	e aprop revolveys aquelas cascunas , e fay penetrar quascunas de la partida dededintz entro a la partida deforo en dos extremitatz del mirat autras que so en le latz contrari .	0.825714
this type of suture is better than the easy general suture that has been mentioned .	e aquesta manieyra de sutura es milhor de la sutura comuna leugiera , e es sutura de la qual precedic rememoracio .	1.42815
these are galen's very words .	aquest es le sermo de gualia	0.275
some have said that the suture of the abdomen may be performed with two needles , thus : you thread one thread into both and begin by introducing the needle into that part near you and carrying it through to the other side . ~~~ then you insert the other needle on the far side and bring it through to the near side , after the manner of the shoemaker's stitch .	e mays le diyssero alcus , sutura del ventre es rectificada am dos agulhas , so es que tu entrometas en aquestas a quascunas un fiel , e comensa am intromiccio de agulha de aquo que es deves tu , e fay aquela penetrar entro al autra latz segon sutura de aquels les quals cozo les cuers engualment .	0.31804
you must understand that when the fissure is in the middle of the abdomen the sewing of it is more difficult than in other parts of the abdomen .	e sapias que quan disrupcio es en le mieg loc del ventre , lahoras la sutura de lu es pus difficil que dels autres locs del ventre .	0.783279
but the medical treatment of the wound comes under just the same heading as that of other wounds .	mays le juguament de medicacio de plagua es jutgament de las autras plaguas .	0.626154
when you find a wound with its blood quite fresh , before the atmosphere has altered it , and you have reduced the intestine and have sewn it up and closed it firmly , apply to it powder to encourage fresh growth .	la qual causa es quar quan tu consieguas la plagua recent am le sieu sanc denant que l’ayre altera aquela , e reduses le budel e cozes aquela e aptas aquela decentment , lahoras pausa sobre aquela polvera encarnativa .	0.800056
but if the air has altered it , then apply to it some of the available ointments until it suppurates and the threads come away and the peritoneum and abdominal wall heal ; then dress it as you would any other wound , until it is better .	e si le ayre ja ha alterada la plagua , lahoras pausa sobre aquela alcus enguentz les quals so a tu presens entro que fassan peyra dura e cajan les fiels , e sian consolidatz ciphac e mirat ; e aprop cura aquela ayssi cum es la curacio de las autras plaguas entro que sia sanat .	0.860412
if you have no medicaments to hand , apply cotton wool as soon as suppuration begins , and change it twice daily , as i have taught you , until it heals . ~~~ you will need no other treatment in the majority of cases when the wounds are simple .	mays si a tu no so presens las medicinas , lahoras pausa sobre aquela tantost , pus que comensa a getar brac , coto viel , e permuta aquel dos veguadas le dia , ayssi cum a tu e ensenhat , entro que sia sanat , quar tu no indigeysses de autra medicacio en motas disposicios quan las plaguas so simplas .	0.183665
but if you fear that the important organs may share the hurt of the wound , then you should dip some soft wool in moderately warm olive-oil or oil of roses and bind it round the various sites between the groin and the axillae .	mays si tu temes que la plagua comunique en lesio als membres principals , lahoras cove que tu submergas lana leon en oli de trempada qualiditat , o en oli rozat , e pausa aquela en le circuit dels locs que so entre les angonas e dejos las aysselas .	0.596739
if pain or gangrene be felt in the bowels—and that frequently happens—then clyster him with tepid astringent black wine , particularly if the gangrene has already set in in the bowel and has become a wound penetrating to the abdominal cavity .	e si sent dolor o putrefaccio en les sieus budels , quar motas veguadas aquo s’endeve , lahoras cristeriza aquel am vi stiptic negre tebe , e majorment si la poyredura es pervenguda en le budel e es fayta exitura penetrant entro la conquavitat de lu .	0.923473
you should know that if the injured bowel be the large intestine it will heal the more easily , while if it be the small its healing is more difficult .	e sapias que aquela que es del budel gros es de pus leugiera sanacio que aquela que es en les budels subtils .	0.935393
but the part of the bowel called the jejunum is not likely to recover from an injury to it at all ; and that is due to the number and size of arteries in it and to the thinness of its structure and to its nearly approaching a nerve in its character . ~~~ if what protrudes from the wound be omentum , and you find it freshly protruding , then reduce it as you do intestine .	e es de dificil sanacio quar le budel le qual es apelat “gegunu” no recep sanacio de plagua que caja en lu de tot ; e aquo es per la gran multitut de venas que so en lu e per la magnitut de lu que so en aquelas , e per subtilitat del cos de aquel , e per propinquitat de aquel a natura de nervis .	0.252903
but if some time has lapsed and it has turned green or black , you should ligate it above the site where it has gone black lest there be a haemorrhage ; for the omentum contains veins and arteries .	mays si aquo que procezeys de la plagua es la tela , e conseguas aquela recent , redutz aquela segon la tua rectetut am la qual reduzes les budels engualment .	1.07452
then cut off what is below the ligature and leave the ends of the thread hanging out from the lower part of the wound , so that it will be easy for you to draw upon it and extract it as the omentum falls away and the wound suppurates .	mays si es passat a lu spazi e ja es feyt vert o negre , lahoras que tu strenguas aquela am fiel sobre le loc que es denigrat de lu , per so que vengua fluxs de sanc , quar en la tela so venas e arterias .	0.553292
a note on the wound occurring in the intestine . ~~~ when a break occurs in the intestine and it is a small one , it is possible , in some men , that it may mend .	e aprop inscideys aquo que es otra aquel liament , e pausa dos extremitatz del fiel pendentz de la partida dejos de la plagua foro lu , per que sobre tu sia alleujada la atraccio de lu deves le cazement de la tela e emissio del brac de la plagua .	0.235714
for i myself saw a man who had been wounded by a spear-thrust in the abdomen .	rememoracio de las plaguas quan accideysso en le budel .	0.751705
the wound was to the right of the stomach , and , being chronic , became a fistula whence issued faeces and flatus .	quan accideys disrupcio en le budel e es petita , lahoras es possibla que sia resteurada en alcus homes , per aysso quar yeu vi aquel le qual era stat plaguat en le sieu ventre am percussio de lansa et era la plagua de la part dreyta del stomac , e la plagua era antiquada e fayta fistula , e eyssic de lu gestio e ventositat .	0.72383
i set about treating him , though i had no hope of his recovery , and i continued to attend him , and eventually he recovered and the place healed over .	adonc yeu pansegui la curacio de lu ja sia que no era confizat en la sanacio de lu , mays cessegui subtiliar aquel entro que foc sanat e le loc es consolidat .	0.924169
and when i saw that the place had healed over i was afraid for the patient lest some harm should occur in the abdominal cavity ; but absolutely no harm arose from it , and he remained perfectly well and healthy , eating and drinking and engaging in coitus and going to the bath and carrying out the duties of his office .	e yeu pus que vi le loc ja consolidat , timegui sobre le malaute que endevengues sobre lu accident de mal en le sieu ventre ; e no endevenc alcu per aquo mal accident e romas en las suas milhos disposicios mangant e bevent , e aprop entrec en banh e es exercitat en sos ditz .	0.867748
some men of experience have said that when a wound occurs in the intestine and it is small , it should be sutured in this manner , namely : ants with large heads are taken ; then the edges of the wound are brought together and one of these ants is applied by its open jaws to the two edges of the wound , and when it seizes it and closes its jaws then the head is cut off , and it will stick and will not loosen .	e ja diysero alcus experimentados que quan endeve plagua en le budel , e es petita , lahoras cove que sia liada segon aquesta manieyra : e es que tu prenguas fromiguas de grans caps ; e aprop ajusta las doas labias de la plagua e pausa una fromigua de aquelas que aja la boca uberta sobre las doas labias de la plagua ; donc quan pren sobre aquelas e strenh la sua boca , abscindeys le cap de lu , quar adhereys e no es dissolvut .	0.922965
then another ant is applied near the first ; and you proceed after this manner with a number of ants according to the size of the wound .	e aprop pausa autra formigua prop la primieyra , e no cesses aquo a far am formiguas una aprop autra segon la quantitat de tota la plagua .	0.915284
then reduce the intestine and sew up the wound ; for the heads will remain sticking to the intestine until it is healed up ; and no harm will come to the patient .	e aprop reduzeys aquela e cos la plagua ; e romanguan aquels caps annexces en le budel entro que·l budel sia sanat ; e no accideys al malaute degun nocument .	0.951599
the intestine may also be sewn up with the fine suture which is extracted from an animal's gut and sticks to it after being threaded in a needle . ~~~ the method is that the end is taken of this suture made of gut , well scraped ; and to this end is fixed a fine linen thread , twisted , and then that thread is passed through the needle affixed to the suture of animal's gut , with which the intestine is sewn and then replaced in the abdominal cavity .	e ja es possible que·l budel sia liat am fiel subtil lo qual es fayt del budel de bestia annexs am lu , pus que es mes en agulha ; e es que tu prenguas la extremitat de aquestz fiels de budel , e sia mot descarnat , e aprop lia la extremitat de lu am fiel de li , envolopat , e aprop entromet aquel fiel en agulhas e cos am aquel le budel , e areduzeys aquel en la disrupcio .	0.428151
these kinds of suture , with the ants and with the gut , are by way of a remote hope .	e aquesta manieyra de sutura am formiguas no es sino segon via de fiducia e d’esperansa .	1.26866
but if the opening be great and wide , and especially if it be in one of the small intestines , there is no technique to deal with it , nor any cure .	mays si la plagua es gran e ampla , majorment si es en un dels budels subtils , quar lahoras no es engen sino subtiliacio , e no es sanacio de lu de tot .	0.720944
		0.3
