chapter twenty-three .	capitol . xxii .	0.9
when it stays down firmly and does not come back again , gently draw the needle out , twisting it ever so slowly with your hand .	e aprop repausa se un pauc ; donc si la aygua es descenduda , lahoras tu depausa aquela autre veguada abantz que almagda ne sia getada .	0.708379
then dissolve a little pure rock-salt in water and wash the eyeball with the solution ; then apply all over the outer aspect of the eye carded linen or wool moistened with oil of roses and egg-white , and bandage it up together with the sound eye .	e donc quan es sicada e no descen , lahoras tu extrat almagda am facilitat , e revol am aquel la tua ma pauc a pauc , e aprop dissolveys en l’aygua un petit de sal clara de gemma e am aquela lava le huel dedintz ; e aprop pausa fora le huel coto o stopa o lana infusa en oli rozat e album de huou e ligua am aquo le huel sa .	1.0814
now we and our contemporaries apply pounded cumin with the egg-white .	mays nos e aquels que so de nostre temps pause sobre aquel comi trissat am album de huou .	0.696538
but if the couching needle does not serve , failing to enter the eye on account of its hardness ( for there are some whose eyes are hard indeed ) , you should take the scalpel called al-baridl figured thus .	e si no obezeys a tu almagda al intrament de l’huel per la sua duricia — quar es alcu dels homes del qual le huel es dur mot — , lahoras cove que prenguas le spatum le qual es nompnat alberid del qual aquesta es la forma :	0.571429
with this make a perforation in the conjunctiva only , not piercing any further ; for that is only to make a little entrance for the needle .	e donc perfora am aquel aquela conjunctura , e no ultimes la tua ma en le trauc , e no es si no que fassas via ad almagda loc subtil .	0.892118
and then thrust in the needle as we said before .	e aprop entromet almagda segon que havem dit .	0.892308
at the end of your operation , prepare a solidly-built bed on which the patient may lie on his back , in a dark room ; and keep him from all movement or coughing .	e deves le compliment de la tua obra , sia preparat al malaute dormitori descentment fayt en le qual dorma sobre le sieu dos en mayson tenebrosa , e sia prohibit de totz movementz .	0.925128
and prescribe such a diet for him as will relax his system ; neither let him move his head to right or to left .	e pausa en la natura de lu aquo per que sia linida la sua natura , e no maugua le sieu cap a la partida dreyta ni senestra de tot .	0.948487
let the bandage remain in the same position till the third day .	e sia le liament segon la sua disposicio entro al tertz dia .	0.924857
then loosen it in the same dark room and make trial of his sight , putting before him objects to be seen ; then replace the bandage till the seventh day .	e aprop deslia aquel en aquela maysso tenebrosa e exproha la freol vista , e fay li vezer alcunas causas , e aprop retorna le liament entro al dia . vii .	0.936364
you should not do this at the time of treatment nor immediately after the perforation by the needle ; but on the contrary you should avoid it , for intensive use of the eye causes a rapid ascent of the humour .	e no cove que fassas aquo en la hora de las curacios o tantost aprop la infusio . ~~~ habantz cove que tu alienes aquo per so quar la aygua puega leugierament per gran e vehement de reguardament .	0.202893
but if an abscess occur you should unbandage the eye before the seventh day and restore it to health by those methods that allay swelling .	mays si accideys apostema caut , lahoras cove que deslias le huel denant le vii dia , e rectifica aquel am aquo que ceda apostema .	0.499792
when it has subsided , allow him free sight , putting over his face a dark veil beneath which his vision may be exercised for a few days while he is still in the dark room .	lahoras tu absol la vista de lu e pausa sobre la cara de lu oral per le qual sia regit le vezement de lu dejos lu per alcus dias , lu existent en la mayszo tenebrosa .	0.523206
then let him come out of the room gradually and take up the exercise of his business .	e aprop sia gitat de aquela mayzo gradantment e conversa8 en las suas causas .	0.839423
but you should know that in the case of a depression of a cataract the student cannot manage without having seen that operation performed several times ; then he may perform it himself .	e sapias que in alchatea no es excusat le discipol de visio alcunas veguadas , e lahoras tu sias ardit sobre la operacio .	0.498
i have heard that a certain iraqi has said that in iraq he makes a hollow needle by which the humour is sucked out .	e ja es pervengut a nos de alcu de aquels les quals so al artach , e alcu disse que fayt foc en al ayrac magdaam perforat am le qual es succada la aygua .	0.671216
in our land i have never seen anyone do it in this fashion , nor have i read of it described in any of the books of the ancients ; perhaps it is newly invented .	mays empero yeu non e vist degu en la nostra terra le qual haia perfeyt aquo , ni e aquo legit en alcu dels libres dels antics ; e es possible que aquo sia novel .	0.700681
here are the figures of some kinds of needle for the information of those who do not know them .	e aquestas so las formas de las specias de magdaan per que sia sobre aquelas aquel le qual ignora aquelas :	0.404396
they are mostly made of brass ; and their extremities should be of this very fineness , triangular at the tip and sharp .	e sian faytas de eram o de ferr propriament , e sian las extramitatz de lor am aquesta subtilitat triangulada , la extremitat aguda ayssi cum aquela es la forma .	0.67697
		0.3
