chapter eighty-four .	de curacio de las plaguas .	1.005
but if the skin has actually disclosed the bone , and is attached by a small strip only , then cut it away and dress the wound with medicaments that will produce firm flesh to replace the skin , and bid the patient go on a diet of solid food such as brawn and gruels and the like .	mays si la plagua ja es discuberta del os e pen , e no es retencio de lu sino un petit suspensori , lahoras inscideys aquela e aprop cura la plagua am medicinas e restaura la carn aprop en loc de codena , e comanda al malaute que sia pescut de viandas en las quals es groceza : caps e formen coyt e semblantz a lor , entro que sia compost .	0.888393
and if decomposition arise in the skin and it will not adhere to the bone , then excise all the diseased part and discard it and then dress .	e si atrobas en la codena putrefaccio e no adhereys al os , lahoras tu inscideys tot aquo poyrit e geta aquo , e aprop cura aquo .	0.891844
if in these wounds there be an artery or vein shedding blood , and medicinal applications do not stanch it , then examine the artery , and if you find it not quite severed then cut it through with a scalpel and ligature it ; and if you are compelled , our directions being unavailing , then cauterize until the haemorrhage stops .	mays si en aquestas plaguas es arteria o vena de la qual fluxs de sanc pot evenir , e no es abscindida per medicinas , lahoras tu inquier sobre la arteria , e si atrobas aquela no-inscidida , lahoras tu inscideys aquela am spatum , o lia aquela ; e si necessitat te provoca que aquo que havem dit no comfereys , lahoras tu cauteriza entro que·l sanc sia abscidit .	0.786629
if these be small and simple wounds their treatment will be a light and easy matter ; it is sufficient to sprinkle some of this powder on while they are still bleeding , before the atmosphere causes a change .	e si aquestas plaguas son simplas e petitas , lahoras la causa de lor es leugiere ; enayssi que tu polverizas sobre aquelas aquesta polvera , quar consolidada aquela denant que l’ayre mude aquelas .	0.789091
description of the powder : let one part of olibanum and two parts of dragon's blood be taken , and three parts of quick or slaked lime , all beaten up together and passed through the sieve ; and let the wound be packed with this and bound up tightly so that the powder sticks in position and coagulates with the blood .	e la manieyra de la polvera es aquesta : recipe oli de enses partida una , de sanc de drago partida doas , de caus no-extincta partidas tres ; sia tot mot trissat e crivellat , e de lu sia la plagua omplida , e sia constrengida per bona constriccio entro que be sobre aquela aderesca , e sia coagulada am le sanc .	0.854167
then bind pads above and let it be , not undoing it so long as it remains without swelling ; for the dressing will not come away of itself until it is healed .	e aprop strengeys aquela desus am pulvils e leyssa aquela , e no la deslias mentre esta ayssi que no es apostemada , quar no es eredicada de lu la medicina entro que sia sanada .	0.688414
lime alone can do this if you have no olibanum and dragon's blood at hand .	e alcuna vetz fa aquo sola cautz , quan no es a tu en present enses e sanc de drago .	0.804822
it has exactly the same effect too on most large wounds , when the application and bandaging are properly done , and when the haemorrhage is recent , so long as the air has not changed them .	e ja fa aquesta meteyssa operacio en las grans plaguas quan conveneys que sia pausada sobre aquelas e sian streytas , e so plaguas recentz am le lor sanc , las quals le ayre no ha alteradas .	0.838462
if , however , the air has brought about some change , especially if it be in the summer season , then there is no point in the application of this powder .	e si le ayre las ha alteradas , e majorment quan es en temps d’estiu , lahoras no es entencio a la posicio de aquesta polvera , mays adonc cura aquelas am aquo que havem dit , enayssi que tu pauses sobre aquelas alcus enguents degistius , o que pauses sobre aquelas pols de la farina del ordi am aygua e mel entro que getan poyredura ; e aprop cura aquelas am l’autra curacio entro que sian sanadas .	0.618918
treat it then as we have said , by applying one or other of the suppurative ointments ; or by applying a gruel of barleymeal with water and honey , so that the pus flows ; then treat by all the usual methods until cured .	mays si accideys am la plagua fractura en os , e es petita , lahoras tu extratz aquo am gesti .	0.44677
if , with the wound , there be also fracture of a bone , if it be slight , you should extract it with forceps .	e yeu diyre la cura de las fracturas del cap en aquo que es envenidor .	0.671517
i mention the treatment of fractures of the head later on .	de las plaguas del col .	1.57929
on wounds in the neck : ~~~ if a wound occur in the neck the treatment of it does not differ from that of a head wound , if it be simple .	mays si la plagua accideys en le col , lahoras no es en lu differencia en medicacio , e entre la plagua del cap quan es simpla .	0.208403
but if a nerve or artery in the neck happens to be cut : if it be a nerve , there is no device that will serve except to avoid treatment of it by strong styptic remedies such as verdigris and vitriol and the like ; for these injure the nerve and cause spasm ; and under no circumstance let anything cold be applied to the wound , for the substance of the nerve is cold and it is continuous with the brain , which is the most noble among the organs .	mays si ja le nervi del col es inscis o arteria , lahoras si es nervi , no es en lu engen sino que sia evitada curacio de lu am aquo que fa vehement stipticitat , ayssi cum ziniar e zegi que es vetriol e semblantz a lor quar nozo als nervis e contrazo aquel . ~~~ e no pauses sobre la plagua alcuna causa de tot freja , quar la sustancia dels nervis es freja e la continuacio de lu es am le cervel , le qual es le pus aut de totz les membres .	0.214757
but let your remedy for it be mild , such as lime slaked in sweet water many times and moistened with olive-oil or oil of roses ; and with tutty , likewise washed in sweet water ; and other minerals according to this prescription , and with bland ointments .	e si’ aquo am que es curat de medicinas leugieras , ayssi cum es caus lavada am aygua dousa , alcuna veguada enfusa en oli rozat o no-rozat , e thucia quan es lavada am aygua dousa e las autras peyras minarantz segon aquesta manieyra , e enguentz humitz .	0.825064
if the wound be large , use stitches or draw the edges of the wound together with pads ; then dress until cured .	mays si la plagua es gran , lahoras aministra sutura , o coarta las labias de lu , e aprop cura aquela am pulvils entro que sia sanada .	0.720659
but if there be depth to the wound and a sinus appears at the bottom of it , in which pus has collected , then make an opening at the site of greatest depth .	mays si a la plagua es profunditat o accideys en lu a la pus bassa partida poyredura , lahoras perfora aquela en le loc mays depremegut .	0.908036
now if an artery has been cut in the wound and you are in time to find it still bleeding , divide it or ligature it ; or cauterize it if you are compelled to .	mays si en la plagua ja es inscisa arteria e es conseguit flux de sanc , lahoras separa o secca aquela , o lia aquela , o cauteriza aquela si necessitat te provoca ad aquo .	0.590724
if it be such a wound that some of the cartilages of the trachea are laid open , or the whole trachea , the jugular veins being safe and sound , then join the skin edges together with a suture over the windpipe , and do not touch the windpipe , but straighten it and restore to its natural form ; then tie firmly and leave for some days ; then treat with salves having some styptic and astringent quality , until healed .	mays si ja ha insciditz les spondils del golayro o tot , e so salvadas las venas del col , lahoras tu ajusta las labias de la codena am sutura sobre la cana del golayro e no toques aquel ; abantz egala aquel e reduzeys aquel sobre la sua figura natural , e aprop strenh aquel am strectura decent , e leyssa aquela per alcus jorns ; e aprop cura aquel am enguentz en les quals es stipticitat e excitacio entro que sia sanat .	0.827642
if the wound has affected bone , examine it , and if there be fragments of bone in it get them all out , or all you can .	mays si la plagua ja en le os a fayta enprecio , lahoras percuireys aquela , e lahoras si en lu ha fragmentz de hos , extratz totz aquels que podes de lor ; e aquo que a tu no es apparelhat , leyssa aquo entro que la plagua se poyrisca , e sia separat e la egrecio de lu sia alleujada .	0.781915
those you cannot get hold of , leave until the wound suppurates and heals , and it will be easy to extract them .	e si la plagua es recent lahoras polveriza sobre aquela polvera la qual t’e recomtada .	0.578969
if it be a fresh wound , sprinkle on the powder i have described ; and if any bone corrupt in the wound and it becomes a fistula , treat it by those means we shall mention in their place .	mays si en la plagua es fayta fistula , lahoras cura aquela am aquo del qual la rememoracio vindra aprop en le sieu capitol .	0.507919
on wounds in the chest and between the shoulders :	de las plaguas del col o de semblantz quan fayta entre las spallas e es fayta am spaza o am cotel o am lansa o am semblantz .	0.165584
if it be a piercing wound by a spear or a knife , and you see that it is deep , examine if there be a passage of air out of it when the patient breathes ; whence you may know that the injury is mortal .	si es percussio de lansa o de cotel , e vezes de lu la profunditat , lahoras considera mays si de la plagua yeys ventositat quan le malaute elena ; lahoras sapias que la plagua es mortal .	0.674747
but if it is not deep and the haemorrhage is fresh , then do not straight away apply powder or bandage lest it keep the blood in the depths , so that it be returned to the heart and kill the patient ; but apply to it a drawing ointment , and uncover it twice daily .	e si en lu no es profunditat e la plagua es recent am le sieu sanc , lahoras tu pauses en lu de la primieyra horo polvera , e no strenhas aquel per que no sia le sanc retengut en la profunditat de lu e que retorne al cor e que aucigua le malaute , mays pausa en lu enguent atractiu , e deslia aquela doas veguadas le dia .	0.859552
if you have no ointment , apply carded cotton to the opening of the wound to soak up the humidities issuing from it .	e si l’enguent no es a tu present , lahoras tu pausa en le orrifici de la plagua coto viel per que sucque aquo que yeys de las humiditatz ; e fay que le malaute dorma sobre la plagua per que corra aquo que es en lu ajustat .	0.761053
and make the patient sleep on the ( side of the ) wound so that what collects therein may flow out .	mays si ja de la plagua son passatz tres dias o mays e no accideys al malaute spasme ni tremor de cor mal ni strictura de ale , e vezes las autras dispozicios bonas de lu , lahoras sapias que plagua es salva ; e adonc cura aquela am calguas e am l’autra curacio entro que sia sanada .	0.400924
and if three or four days pass by after the wound , and the patient have no spasm or harmful palpitation of the heart nor obstruction to drawing breath , and you see that in other respects he is doing well , you may know that the wound is not dangerous ; so treat it with pads and the usual dressings until it heals .	mays si la sanacio de lu es excusada , e ja tot temps es uberta , lahoras sapias que ja es fayta fistula ; cura donc aquela per le sieu capitol .	0.301028
but if it will not heal and it permanently discharges pus , you may know that it has become a fistula ; look for the treatment of this in the proper place .	e si la plagua es per inscisio de spaza o de cotel , e es simpla en la superficia del pietz o del dos , lahoras cura aquela am aquo que es precedit de sutura , si es gran , o am polvera , si es petita .	0.578541
if the wound be from a cut with a sword or knife , a straightforward surface wound in the breast or back , then treat it as described before ; that is , by suture if it be a great wound or by powder if it be a small one .	mays si ja ha fayta enprecio en le os , e so ja de lu inscizas pessas , lahoras tu torqua la plagua e coyta ad extrayre aquelas pessas , si so separadas .	0.691335
but if there has also been injury to the bone , cutting out fragments from it , you should explore the wound and hasten to draw out the fragments if they are detached from the bone ; but if they are not detached then let be until the wound suppurates , when the removal of the fragments will be easy .	mays si no so separadas , lahoras leyssa las entro que se poyresca la plagua , que la extraccio de lor es alleujada .	0.315789
then with regard to other wounds occurring in other parts of the body , the same class of treatment should be used for them as for those already mentioned .	e de las autras plaguas accidentz en les autres membres le juvament en curacio es le juvament de aquo que havem dit .	0.95
		0.3
