chapter sixty-five .	capitol . lxv .	0.911538
the incision should be sufficiently large to allow the testicle to be drawn out .	e si’ la seccio segon la quantitat que a tu sia possible que de aquela le huou sia foro-getat .	0.635294
then dissect away the tissues that lie beneath the skin of the scrotum so that the hard tunica albugínea be exposed all round .	e aprop excorja aquela ciphaqueth les quals so dejos la codena dels testicols , entro que sia descubert le ciphac blanc dur de quascuna partida .	0.614286
then introduce your forefinger in around the testis in the space between the white membrane beneath the skin of the testicle and the second membrane , and with your forefinger free the attachment at the back of the testicle .	lahoras tu entromet le tieu dit en aquo que siec le testicol , en aquo que es entre ciphac blanc , le qual es dejos la codena del huou , e entre le ciphac segon , e absolve am aquel’adherencia que es en la partida detras del huou .	0.587792
then with your right hand explore within the scrotum and fold back the covering of the testicles , at the same time stretching the tunica albugínea upwards with the left hand , and bring the testis with the membrane up into the opening , and bid your assistant to stretch the testis upwards ; and do you fully free it from the posterior attachment .	e aprop mau am la ma la codena dels testicols a las partidas deforo , e am aysso exten le ciphac blanc en sus am la ma sinestra , e eleva le huou am le ciphac a la partida de la seccio ; e comanda al ministre que extenda le huou ensus e tu dissolveys la adherencia que es detras am solucio complida .	0.65488
feel with your finger that there be no part of the intestine that has got twisted within the tough white membrane ; and should you find any push it back into the abdomen .	e cerqua am les tieus ditz que lay no sia alcuna causa del budel envelopat en le ciphac blanc dur .	0.487841
then take a needle with a stout tenfold thread and enter it near the end of the membrane which lies beneath the skin of the testicles alongside the rupture ; then cut the end of the loop of thread to make four sutures and arrange one over the other in the form of a cross ; and with these ligate the membrane of which we have spoken with a strong ligature on each side ; then twist the ends of the thread and tie them with a strong knot to prevent anything from reaching the nutrient vessels of the testicles , lest an abscess occur thereby ; and make also another ligature outside the first one , rather less than two fingers' breadth from it ; and after making these two ligatures leave a finger's breadth of the membrane that is beneath the skin of the testicles and cut the rest away round , and with it remove the testis .	mays si tu atrobas de lu alcuna causa , lahoras tu enpelleys aquel al ventre dejos . ~~~ e aprop tu pren una agulha en la qual sia fiel gros fayt de x fiels , e entromet aquel deves le derier del ciphac , le qual es jos la codena dels testicols , la qual siec seccio ; e aprop inscideys las extremitatz las quals emineysso del fiel entro que sian quatre fiels , e aprop compausa alcus de lor sobre alcuna figura en manieyra de crotz ; e lia am aquel le ciphac del qual havem dit que es dejos la codena dels testicols am fort liament de dos partz . ~~~ e aprop envolveys las extremitatz dels fiels e lia aquelas am liament vehement entro que alcu dels vayssels que noyrrisso aquels no puscan trametre alcuna causa per so que de aqui no accida apostema caut .	-0.0420999
then make a counter-incision in the lower part of the skin of the testicles , to let the blood and matter drain away as we bade you before .	e pausa autra veguada liament segon foro le primier liament , lonh de lu mens tres ditz ; e aprop aquestz dos liaments layssa del ciphac le qual es dejos la codena dels testicols la quantitat de la grandeza del dit , e inscideys tot le romanent segon redondeza , e osta de lu le huou .	0.589381
	e aprop inscideys en la partida dejos de la codena dels testicols per seccio de la qual corra sanc e sania ayssi cum havem recomtat en aquo que havem dit .	-0.3
then apply wool soaked in oil to the wound , and the bandage that we prescribed ( sometimes also the white membrane that we spoke about is cauterized after the incision to forestall haemorrhage , for that usually happens ) and let the ligatures be until they fall away spontaneously .	e aprop aministra lana submersa en oli , e pausa en la plagua ; e aministra le liament le qual havem recomtat ( e alcunas veguadas le ciphac blanc es cauterizat , le qual havem dit aprop la inscizio de lu temen de flux de sanc , quar motas veguadas accideys aquels ) e leyssa le liament entro que per si caia .	0.916743
if they are slow in coming away , then foment with hot water and apply something to sweat them off .	mays si le cazement de lu es tardat , lahoras de aygua cauda sia embrocat , e pausa sobre aquel entro que caia segon que havem dit .	0.616498
then dress the wound in the usual manner until it heals .	e aprop cura la plagua am l’autra curacio de las plaguas entro que sia sanat .	0.883797
		0.3
