chapter seventy-six .	capitol . lxxvi .	0.95
if the foetal head be large and it is tightly squeezed in exit , or if there be a collection of fluid in the head , you should introduce between your fingers a spike-shaped scalpel and split the head to let the water out ; or you should smash it with the instrument called cephalotribe which will be illustrated , together with figures of the other instruments , in the chapter following .	mays si le cap del fet es gran , o accideys a lu coartacio en le eyssiment , o es en le cap de lu aygua ajustada , lahoras cove que entrometa entre les ditz espatum spinos e fenda le cap e extragua la aygua , o que discroba aquel am un instrument le qual es nompnat “alundat” , la forma del qual vindra am las formas dels autres instruments en le capitol le qual es aprop aquest .	0.690554
in the same manner you act if the foetus have a naturally large head : either you should cut the skull open or smash it with the cephalotribe as we said ; then you should draw out the bones with forceps .	e semblantment fassa si·l fet es de gran cap per natura : e lahoras cove que inscida aquel am algematu , o que prengua aquel am alunda ayssi cum havem dit ; e aprop extra les osses am les forceps .	0.931465
if the head comes out and the foetus is held up at the collar bones , an incision should be made to let out the humidity in the thorax , for the thorax will then shrink .	e si le cap es eyssit e es coartat deves la furcula , lahoras sia fendut entro que la humiditat la qual es en le pietz sia efunduda .	0.617925
but if the thorax does not shrink and is not disposed to emerge then you should cut off pieces in any manner possible .	mays si no es complicat , ni obezeys a eyssiment , lahoras tu inscideys le cap tantost segon que a tu sira possible .	0.773684
if the lower belly be swollen or dropsical then you should make an opening to draw out all the fluid .	e si le dejos del ventre es apostemat o es en lu ydropici , lahoras cove que tu perfores aquel entro que corro la humiditat que es en lu .	0.611501
if the foetus present the feet then the extraction will be easy and it will be a simple matter to guide it to the maternal opening .	mays si le fet es sobre les sieus pes , lahoras la atraccio de lu es leugiera e la direccio de lu a la boca de la mayre es leugiera .	0.82706
if it be stuck about the abdomen or thorax then pull on it with a cloth wound around your hand and cut an opening in the abdomen or thorax to allow the contents to flow out .	mays si es coartat deves le ventre e·l pietz , lahoras cove que tu extraguas aquel am drap le qual auras envolopat sobre la tua ma , e que fendes le ventre e·l pietz entro que corra aquo que es en aquels .	0.561833
if all the limbs are removed but the head is turned backwards and is jammed , the midwife should introduce her left hand and , if the mouth of the womb is open , should put the hand into the cervix of the womb and investigate the head and , with her fingers , draw it down toward the opening and fix a hook or two in it , and extract it with these .	mays si les autres membres so ostatz e torna le cap , lahoras la metrona entrometa la ma senestra ; mays si la boca de la mayre es huberta , lahoras intrometa la ma en le preon de layre , e cerque am aquela le cap , e atira aquel am les ditz entro a la boca de la mayre , e aprop entrometa en lu un unci , o dos uncis , e atire lu am aquels .	0.840179
if it should be that the mouth of the womb is closed on account of an abscess , then one must not be rough with it but should use in this case instillations of moistening greasy substances ; plasters also should be applied ; and the woman should sit in a bath of softening and moistening waters .	e si la boca de la mayre es coartada per apostema caut le qual accideys a l’u , lahoras cove que no sia trebelhat sobre lu ; abantz cove lahoras aministrar efusio de causas humidas grassas . ~~~ e aministre emplastres ; e segua le pacient en ayguas que mollifican e humectan .	0.186654
if the foetus present laterally and it is possible to reposition it , there should be applied the things mentioned for a living child .	e si le fet es sobre le sieu costat , lahoras si possible es , sia agulat : e sia aministrat aquo que havem dit en le fet viu .	0.837529
but if this be not possible then it should be cut away piecemeal and extracted .	e si aquo no es possible , lahoras sia inscidit en pessas , e sia extrayt .	1.32882
it is necessary that not a scrap of the afterbirth be left behind in the womb .	e cove que non layssas alcuna causa dedintz de la segondina .	0.685068
when you have completed your treatment then also apply those treatments we have mentioned for abscesses occurring in the uterus .	e cum tu auras complida tota la tua opperacio , lahoras aministra aquo que havem dit de la curacio en les apostemas cautz les quals accideysso de la mayre .	0.66
if haemorrhage occurs , the woman should be put into styptic fluids and the usual treatment applied .	e si accideys flux de sanc , lahoras deyssendas en ayguas stipticas e aministra l’autra curacio .	1.12236
now i myself once saw a woman who had become pregnant and the foetus had then died in utero ; then again she conceived and the second foetus also died ; and after a long while she got a swelling in the umbilicus which grew and eventually it opened and began to produce pus .	e yeu ja e vist una femna en le ventre de la qual era fet mort , e aprop sobre aquel foc autra veguada emprenhada , e aprop foc mort es le fet autre .	0.616667
i was called in to attend her , and i treated her for a long while but the wound did not heal up .	accidit al u aprop lonc temps apostema en le sieu embelic ; e inflat es entro que foc ubert , e comensec a getar brac .	0.825
so i applied to it certain very strongly drawing ointments , and then a bone came away from the place ; then a few days passed and another bone came out ; and i was mightily astonished at this , seeing that the abdomen is a place where there are no bones .	e yeu fu appelhat a la cura de lu , e medicat a lu per lonc temps , e la plagua no es consolidada .	0.944636
i formed the opinion that these were bones from a dead foetus .	adonc yeu pausegui sobre lu de alscunas causas emplastra de forta atraccio , e eyssic de lu un os , e aprop passero alcus jorns , e eyssic un autre os ; e yeu fu trop meravilhat , cum en le ventre no sia os .	1.15385
so i investigated the place and got out many bones belonging to the head of the foetus .	e adonc yeu cogitegui que eran dels osses del fet mort .	0.591973
i continued this procedure and got a great number of bones out of her , the woman being in the best of health ; indeed she lived for quite a while like that , with a little pus being exuded from that place .	donc yeu enguisigui la plagua , e extrayssi de lu motz osses , la femna existent en las sieuas milhos disposicios , e ja visquec en tal manieyra per lonc temps , correc de lu un petit de brac .	0.866011
i bring forward this uncommon occurrence here since it gives knowledge and help about the sort of treatment that the doctor who piactises surgery may contrive .	e yeu no afermegui asso esser stranh , sino quar en aquo es sciensa e ajutori ad aquo que le metge artifec am la ma per curacio aministra .	0.666964
		0.3
