chapter six .	capitol . vi .	1.05
as for water getting into the ear , the patient should first employ sneezing excited by ptarmica , his ear having been plugged with a piece of teased-out cotton ; he should lie upon that ear in which the water is ; and if it so come out , well and good .	e no fassas aquo quan cogitas que aquel ja es humectat per la vapor del aurelha , e pausa aquel en motas pessas , e prop extratz ne aquelas am les oncis o am gesti subtil , o ab inscizio ayssi co dit havem , quar es alleujada la extraccio de lu .	0.676581
but if not , take a number of small stones about a finger's length , thin and smooth , and warm them a little in the fire ; and have the patient put one of them into the meatus of the ear and let him hop on that one foot on that side ; and , with another stone , tap upon the one put into the ear ; he should keep this up with stone after stone till all the water has come out .	mays en l’aygua la qual es intrada en l’aurelha cove que·l malaute use de sternutacio am condizi al comensament , e omple la sieua aurelha am alcu coto vielh , e jagua sobre aquela aurelha en la qual es l’aygua , e si per aquo es foro-getada , bo es ; e sino , lahoras pren tropas peyras teunas e leons segon la longitut del dit , e calfa aquelas en le foc un pauc , e le pacient entrometa una de aquelas en le trauc de la sua aurelha e saute sobre la un pe sieu de aquela partida e percussia am una autra peyra sobre la peyra la qual es dintz la aurelha .	0.700704
sometimes the water is extracted by taking a reed or quill and introducing one end into the ear ; then the other end is set alight till the greater part of it is burnt ; then repeat time after time with more quills till all the water is got out .	donc no cesse aquo am peyra entro que tota l’aygua sia foro-getada . ~~~ e ja l’aygua sira foro-getada enayssi que tu prenguas de papier o de gonc . i . , ~~~ e met la una extremetat de lu en l’aurelha e estendas l’autre extremitat am foc entro que sia comburit le may de lu .	-0.0170971
or else suck it out with a cannula as described for a stone .	e prop met i autre gonc e fay aquo tantas veguadas entro que tota l’aygua sia foro-getada , e stratz aquel am canula ayssi co desus es dit de la peyra extrasadora .	0.585714
as for the extraction of a creature getting into the ear , look to see if it is small of body , such as a flea or the like , in which case treat by those means mentioned in the section .	mays en la extraccio de bestia intrant en aquela aurelha , si es a petit cos , ayssi piussa e a lu semblant , cura aquel ayssi cum havem dit en la divisio ; mays si es de gran cos la qual causa apar al sen del vezement , lahoras aministra la extraccio de lu am gesti e oncis , e la causa de lu es pus leugiera de totas las autras causas que cazo en l’aurelha .	0.714113
but if it has a large body , conspicuous to the touch , try to get it out with tweezers and hooks ; for of all things that stick in the ear this is the easiest to extract .	mays en la extraccio de verm engendrat en la aurelha , quan tu curas aquel am aquo que havem dit en la divisio e en le tractat de distillacios e no comfereys la tua curacio , lahoras cove que tu reguardes la aurelha al solelh .	0.643333
as for the extraction of a worm generated in the ear , when you have unavailingly treated it by those methods mentioned in the section in the treatise on instillations , you will need to examine the ear in the sunlight ; and if you can see any worms , extract with tweezers or fine hooks .	e donc si apar aqui alcuna causa dels verms , lahoras extratz aquel am gesti o am onci subtils , mays si no apar deguna causa , lahoras pren una canula dejos streyta e desus ampla de la qual aquesta es la forma de lu :	0.64336
but if you cannot see any , then take a cannula of this form narrow in its lower part , broad above ; and introduce the narrow part into the ear as far as the patient can bear it ; then make strong suction through it , repeatedly , till all the worms are extracted .	e entromet la extremitat subtil en la aurelha segon la quantitat la qual suffertar puesca le malaute ; e aprop sucgeys am aquela per succio fort , e fay aquo motas veguadas , entro que totz les verms sian foro-gitatz .	0.673264
but if they do not come out in response to your treatment , plug all round the cannula with wax as bidden in treating for a stone .	mays si no obezeysso a tu al ayssiment , lahoras tu opila e claus en le circuit de la canula am cera ayssi cum havem dit ; lahoras aministre distillacios las quals han ja esproadas les antics en la curacio dels verms , e atrobaras aquo en le tractat de distillacios .	0.60069
if nothing will bring them out , employ the instillations which i mentioned as having been tried by the ancients for killing worms ; you will find that in the treatise on instillations .	e sia la tua efusio am la qual efundas les olis medicinas en la aurelha am aquest strument del qual aquesta es la forma de lu :	0.57563
the instillation of oils or drugs should be done with an instrument like this , as you will see ; you make it of silver or bronze , narrow at its lower end , with a small perforation , and wide at its upper part .	e fay aquela de argent o de eram , dejos streyt , en le qual sia un petit trauc , e am pla desus . ~~~ e donc sia cum empellent a que es en la conquavitat de la canula de continent aqui on sira necessari .	0.263293
if you wish , you may make the obturator which goes in the cannula of strong bronze ; or , if you like , take a probe and wrap cotton wool tightly round its tip ; then pour into the cannula oil , juices , or whatever of these remedies you want , with the cannula in the ear .	e si vols , pren le ray e envolveys en la extremitat de lu decentment coto , e aprop gieta oli en la concavitat del auziment , o suc de alcuna herba , o aquo que vols de aquestas medicinas en la canula — e aquela es en la aurelha — , e aprop entromet le ray am coto desus e exprem am la tua ma aquel am compressio temprada de lu entro que l’oli sia expellit en la concavitat del auziment e le malaute senta le oli dedintz .	0.825391
then introduce the probe with cotton wool on it and press moderately until the oil is ejected into the meatus and the patient feels it enter .	e aquo que sia enfundut en la aurelha sia ja scalfat am foc un petit .	0.326155
let that which you put into the ear first be slightly warmed at the fire ; and be careful that it be neither very hot nor very cold , for the ear is not suited to bear that .	e guarda te que la causa la qual distillaras en l’aurelha no sia trop frega , quar las medicinas de aurelha no suffertan aquo .	0.550962
		0.3
